"Top10Finishes_RANKTHISWEEK_2012","Top10Finishes_RANKLASTWEEK_2012","Top10Finishes_PLAYERNAME_2012","Top10Finishes_EVENTS_2012","Top10Finishes_TOP10_2012","Top10Finishes_1ST_2012","Top10Finishes_2ND_2012","Top10Finishes_3RD_2012","stat_name","year"
1,1,"Rory McIlroy",16,10,4,2,1,"Top10Finishes",2012
1,1,"Bo Van Pelt",24,10,NA,1,NA,"Top10Finishes",2012
3,3,"Dustin Johnson",19,9,1,NA,1,"Top10Finishes",2012
3,3,"Matt Kuchar",22,9,1,NA,1,"Top10Finishes",2012
3,3,"Tiger Woods",19,9,3,1,2,"Top10Finishes",2012
6,6,"Luke Donald",17,8,1,NA,2,"Top10Finishes",2012
6,6,"Jason Dufner",22,8,2,1,NA,"Top10Finishes",2012
6,6,"Jim Furyk",24,8,NA,2,1,"Top10Finishes",2012
6,6,"Robert Garrigus",26,8,NA,4,NA,"Top10Finishes",2012
6,6,"Ryan Moore",24,8,1,NA,1,"Top10Finishes",2012
6,6,"Justin Rose",19,8,1,1,1,"Top10Finishes",2012
12,12,"Phil Mickelson",22,7,1,2,1,"Top10Finishes",2012
12,12,"Webb Simpson",22,7,1,NA,1,"Top10Finishes",2012
12,12,"Brandt Snedeker",22,7,2,1,1,"Top10Finishes",2012
12,12,"Steve Stricker",19,7,1,1,NA,"Top10Finishes",2012
12,12,"Bubba Watson",19,7,1,2,NA,"Top10Finishes",2012
12,12,"Lee Westwood",15,7,NA,1,1,"Top10Finishes",2012
18,18,"Bud Cauley",28,6,NA,NA,1,"Top10Finishes",2012
18,18,"Ken Duke",30,6,NA,NA,NA,"Top10Finishes",2012
18,18,"Matt Every",25,6,NA,2,1,"Top10Finishes",2012
18,18,"Zach Johnson",25,6,2,2,NA,"Top10Finishes",2012
18,18,"Kevin Na",25,6,NA,NA,NA,"Top10Finishes",2012
18,18,"Carl Pettersson",26,6,1,2,1,"Top10Finishes",2012
18,18,"Jimmy Walker",28,6,NA,NA,NA,"Top10Finishes",2012
25,25,"Jonas Blixt",21,5,1,NA,2,"Top10Finishes",2012
25,25,"Keegan Bradley",25,5,1,1,1,"Top10Finishes",2012
25,25,"Jonathan Byrd",21,5,NA,NA,1,"Top10Finishes",2012
25,25,"Ernie Els",22,5,1,1,NA,"Top10Finishes",2012
25,25,"Rickie Fowler",23,5,1,1,NA,"Top10Finishes",2012
25,25,"Hunter Mahan",23,5,2,NA,NA,"Top10Finishes",2012
25,25,"Louis Oosthuizen",19,5,NA,2,1,"Top10Finishes",2012
25,25,"John Rollins",26,5,NA,NA,1,"Top10Finishes",2012
25,25,"Adam Scott",16,5,NA,1,1,"Top10Finishes",2012
25,25,"John Senden",22,5,NA,NA,NA,"Top10Finishes",2012
25,25,"Vijay Singh",27,5,NA,NA,NA,"Top10Finishes",2012
25,25,"Kevin Stadler",25,5,NA,NA,NA,"Top10Finishes",2012
25,25,"David Toms",19,5,NA,1,NA,"Top10Finishes",2012
25,25,"Nick Watney",26,5,1,NA,NA,"Top10Finishes",2012
39,39,"Ben Crane",23,4,NA,1,NA,"Top10Finishes",2012
39,39,"Brian Davis",29,4,NA,NA,NA,"Top10Finishes",2012
39,39,"Jason Day",17,4,NA,NA,NA,"Top10Finishes",2012
39,39,"Brendon de Jonge",31,4,NA,1,NA,"Top10Finishes",2012
39,39,"Peter Hanson",11,4,NA,NA,1,"Top10Finishes",2012
39,39,"John Huh",28,4,1,1,NA,"Top10Finishes",2012
39,39,"Chris Kirk",27,4,NA,NA,NA,"Top10Finishes",2012
39,39,"Graeme McDowell",16,4,NA,2,NA,"Top10Finishes",2012
39,39,"Jeff Overton",29,4,NA,NA,NA,"Top10Finishes",2012
39,39,"Ryan Palmer",24,4,NA,NA,1,"Top10Finishes",2012
39,39,"Scott Piercy",28,4,1,NA,1,"Top10Finishes",2012
39,39,"Ian Poulter",15,4,1,NA,2,"Top10Finishes",2012
39,39,"Daniel Summerhays",26,4,NA,NA,NA,"Top10Finishes",2012
39,39,"Josh Teater",30,4,NA,NA,NA,"Top10Finishes",2012
39,39,"Cameron Tringale",26,4,NA,NA,NA,"Top10Finishes",2012
39,39,"Johnson Wagner",27,4,1,1,NA,"Top10Finishes",2012
39,39,"Charlie Wi",25,4,NA,1,1,"Top10Finishes",2012
56,56,"Blake Adams",32,3,NA,NA,NA,"Top10Finishes",2012
56,56,"Aaron Baddeley",22,3,NA,NA,NA,"Top10Finishes",2012
56,56,"Charlie Beljan",22,3,1,NA,1,"Top10Finishes",2012
56,56,"Jason Bohn",28,3,NA,1,NA,"Top10Finishes",2012
56,56,"Scott Brown",24,3,NA,NA,NA,"Top10Finishes",2012
56,56,"Chad Campbell",27,3,NA,NA,1,"Top10Finishes",2012
56,56,"Tim Clark",20,3,NA,1,NA,"Top10Finishes",2012
56,56,"Ben Curtis",19,3,1,1,NA,"Top10Finishes",2012
56,56,"Graham DeLaet",23,3,NA,NA,NA,"Top10Finishes",2012
56,56,"Harris English",27,3,NA,NA,NA,"Top10Finishes",2012
56,56,"Sergio Garcia",16,3,1,NA,1,"Top10Finishes",2012
56,56,"Brian Gay",28,3,NA,NA,NA,"Top10Finishes",2012
56,56,"Tom Gillis",23,3,NA,1,NA,"Top10Finishes",2012
56,56,"Bill Haas",23,3,1,NA,NA,"Top10Finishes",2012
56,56,"Padraig Harrington",18,3,NA,NA,NA,"Top10Finishes",2012
56,56,"JJ Henry",28,3,1,NA,1,"Top10Finishes",2012
56,56,"Martin Laird",22,3,NA,2,NA,"Top10Finishes",2012
56,56,"Spencer Levin",26,3,NA,NA,1,"Top10Finishes",2012
56,56,"Davis Love III",20,3,NA,NA,1,"Top10Finishes",2012
56,56,"John Mallinger",25,3,NA,1,NA,"Top10Finishes",2012
56,56,"Troy Matteson",32,3,NA,1,NA,"Top10Finishes",2012
56,56,"William McGirt",30,3,NA,1,NA,"Top10Finishes",2012
56,56,"Seung Yul Noh",28,3,NA,NA,NA,"Top10Finishes",2012
56,56,"Greg Owen",27,3,NA,NA,NA,"Top10Finishes",2012
56,56,"DA Points",29,3,NA,1,NA,"Top10Finishes",2012
56,56,"Dicky Pride",19,3,NA,1,NA,"Top10Finishes",2012
56,56,"Scott Stallings",27,3,1,NA,NA,"Top10Finishes",2012
56,56,"Brendan Steele",24,3,NA,NA,NA,"Top10Finishes",2012
56,56,"Kevin Streelman",26,3,NA,NA,NA,"Top10Finishes",2012
56,56,"Michael Thompson",25,3,NA,1,NA,"Top10Finishes",2012
56,56,"Boo Weekley",25,3,NA,NA,1,"Top10Finishes",2012
56,56,"Mark Wilson",25,3,1,NA,1,"Top10Finishes",2012
88,88,"Robert Allenby",27,2,NA,1,NA,"Top10Finishes",2012
88,88,"Sangmoon Bae",25,2,NA,1,NA,"Top10Finishes",2012
88,88,"KJ Choi",21,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Will Claxton",28,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Nicolas Colsaerts",9,2,NA,NA,NA,"Top10Finishes",2012
88,88,"James Driscoll",27,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Bob Estes",23,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Martin Flores",30,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Harrison Frazar",20,2,NA,1,NA,"Top10Finishes",2012
88,88,"Tommy Gainey",32,2,1,NA,1,"Top10Finishes",2012
88,88,"Retief Goosen",12,2,NA,NA,NA,"Top10Finishes",2012
88,88,"David Hearn",28,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Tim Herron",27,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Charley Hoffman",27,2,NA,1,NA,"Top10Finishes",2012
88,88,"JB Holmes",25,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Charles Howell III",29,2,NA,1,NA,"Top10Finishes",2012
88,88,"Billy Hurley III",27,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Ryo Ishikawa",18,2,NA,1,NA,"Top10Finishes",2012
88,88,"Miguel Angel Jimenez",6,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Colt Knost",29,2,NA,NA,2,"Top10Finishes",2012
88,88,"Russell Knox",23,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Jason Kokrak",27,2,NA,1,NA,"Top10Finishes",2012
88,88,"Marc Leishman",23,2,1,NA,1,"Top10Finishes",2012
88,88,"Justin Leonard",26,2,NA,NA,NA,"Top10Finishes",2012
88,88,"David Mathis",29,2,NA,NA,NA,"Top10Finishes",2012
88,88,"John Merrick",26,2,NA,1,NA,"Top10Finishes",2012
88,88,"Bryce Molder",25,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Sean OHair",24,2,NA,1,NA,"Top10Finishes",2012
88,88,"Alexandre Rocha",21,2,NA,1,NA,"Top10Finishes",2012
88,88,"Andres Romero",22,2,NA,1,1,"Top10Finishes",2012
88,88,"Rory Sabbatini",29,2,NA,1,NA,"Top10Finishes",2012
88,88,"Charl Schwartzel",16,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Kyle Stanley",27,2,1,1,NA,"Top10Finishes",2012
88,88,"Chris Stroud",28,2,NA,NA,NA,"Top10Finishes",2012
88,88,"DJ Trahan",27,2,NA,NA,NA,"Top10Finishes",2012
88,88,"Jhonattan Vegas",25,2,NA,NA,NA,"Top10Finishes",2012
124,124,"Thomas Aiken",4,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Michael Allen",3,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Mark Anderson",25,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Arjun Atwal",27,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Ricky Barnes",28,1,NA,NA,1,"Top10Finishes",2012
124,124,"Matt Bettencourt",31,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Mark Calcavecchia",3,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Alejandro Canizares",3,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Roberto Castro",27,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Greg Chalmers",25,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Kevin Chappell",29,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Gary Christian",28,1,NA,NA,NA,"Top10Finishes",2012
124,124,"John Daly",15,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Chris DiMarco",29,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Jamie Donaldson",4,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Joe Durant",14,1,NA,NA,1,"Top10Finishes",2012
124,124,"Bobby Gates",29,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Nathan Green",22,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Luke Guthrie",4,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Hunter Haas",24,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Todd Hamilton",10,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Hunter Hamrick",5,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Brian Harman",30,1,NA,NA,NA,"Top10Finishes",2012
124,124,"Billy Horschel",17,1,NA,NA,1,"Top10Finishes",2012
124,124,"Ryuji Imada",28,1,NA,NA,NA,"Top10Finishes",2012
