"TotalDriving_RANKTHISWEEK_2016","TotalDriving_RANKLASTWEEK_2016","TotalDriving_PLAYERNAME_2016","TotalDriving_EVENTS_2016","TotalDriving_TOTAL_2016","TotalDriving_DISTANCERANK_2016","TotalDriving_ACCURACYRANK_2016","stat_name","year"
1,5,"Marc Leishman",12,77,30,47,"TotalDriving",2016
2,3,"Keegan Bradley",14,80,35,45,"TotalDriving",2016
3,3,"Henrik Stenson",8,84,73,11,"TotalDriving",2016
4,1,"Emiliano Grillo",13,86,78,8,"TotalDriving",2016
5,2,"Lucas Glover",16,89,36,53,"TotalDriving",2016
6,7,"Hudson Swafford",17,94,6,88,"TotalDriving",2016
7,10,"Russell Henley",14,96,41,55,"TotalDriving",2016
8,8,"Thomas Aiken",13,105,104,1,"TotalDriving",2016
9,6,"Davis Love III",11,106,82,24,"TotalDriving",2016
10,9,"Jim Herman",17,111,87,24,"TotalDriving",2016
11,12,"Rickie Fowler",12,112,32,80,"TotalDriving",2016
12,17,"Louis Oosthuizen",6,114,40,74,"TotalDriving",2016
13,19,"Andrew Landry",9,117,95,22,"TotalDriving",2016
14,11,"Si Woo Kim",19,118,67,51,"TotalDriving",2016
15,15,"Scott Pinckney",18,119,43,76,"TotalDriving",2016
16,23,"Scott Piercy",12,120,27,93,"TotalDriving",2016
17,12,"Justin Rose",10,121,19,102,"TotalDriving",2016
18,18,"Shane Lowry",10,124,74,50,"TotalDriving",2016
18,20,"Sean OHair",14,124,28,96,"TotalDriving",2016
20,24,"Boo Weekley",17,126,85,41,"TotalDriving",2016
21,27,"Bubba Watson",8,128,5,123,"TotalDriving",2016
22,21,"Greg Owen",18,130,32,98,"TotalDriving",2016
22,28,"Jordan Spieth",9,130,63,67,"TotalDriving",2016
22,25,"Brett Stegmaier",19,130,58,72,"TotalDriving",2016
25,16,"Brendan Steele",14,133,16,117,"TotalDriving",2016
26,12,"Paul Casey",11,135,61,74,"TotalDriving",2016
26,31,"Brooks Koepka",11,135,13,122,"TotalDriving",2016
28,22,"Rory McIlroy",9,143,10,133,"TotalDriving",2016
29,34,"Chez Reavie",16,145,127,18,"TotalDriving",2016
29,30,"Jhonattan Vegas",14,145,17,128,"TotalDriving",2016
31,32,"Kevin Chappell",14,148,54,94,"TotalDriving",2016
32,26,"Kevin Kisner",14,149,137,12,"TotalDriving",2016
33,34,"Hideki Matsuyama",12,150,59,91,"TotalDriving",2016
34,42,"Jason Dufner",15,153,84,69,"TotalDriving",2016
34,42,"Cameron Percy",7,153,87,66,"TotalDriving",2016
36,33,"Patrick Rodgers",16,154,23,131,"TotalDriving",2016
37,50,"Sergio Garcia",8,155,29,126,"TotalDriving",2016
37,40,"Russell Knox",14,155,139,16,"TotalDriving",2016
39,41,"Chad Campbell",18,159,126,33,"TotalDriving",2016
39,53,"Ryan Palmer",12,159,8,151,"TotalDriving",2016
39,56,"Wes Roach",12,159,74,85,"TotalDriving",2016
42,46,"Harold Varner III",18,163,22,141,"TotalDriving",2016
42,57,"Will Wilcox",16,163,52,111,"TotalDriving",2016
44,46,"Jason Kokrak",17,164,7,157,"TotalDriving",2016
45,50,"Graham DeLaet",14,166,34,132,"TotalDriving",2016
45,37,"Patrick Reed",14,166,59,107,"TotalDriving",2016
47,44,"Scott Brown",17,167,80,87,"TotalDriving",2016
47,55,"Fabian Gomez",15,167,90,77,"TotalDriving",2016
47,57,"Kevin Streelman",15,167,119,48,"TotalDriving",2016
50,50,"David Lingmerth",15,168,149,19,"TotalDriving",2016
51,34,"Matt Jones",15,170,41,129,"TotalDriving",2016
51,46,"Danny Lee",16,170,144,26,"TotalDriving",2016
51,39,"Webb Simpson",10,170,99,71,"TotalDriving",2016
54,73,"Billy Horschel",12,172,68,104,"TotalDriving",2016
55,28,"Byeong Hun An",7,174,44,130,"TotalDriving",2016
55,61,"Jamie Lovemark",17,174,9,165,"TotalDriving",2016
57,60,"Daniel Berger",15,175,25,150,"TotalDriving",2016
57,67,"James Hahn",15,175,62,113,"TotalDriving",2016
57,45,"Kyle Reifers",19,175,115,60,"TotalDriving",2016
60,67,"John Huh",16,176,153,23,"TotalDriving",2016
61,37,"Derek Ernst",12,177,50,127,"TotalDriving",2016
62,49,"Adam Scott",10,178,15,163,"TotalDriving",2016
63,76,"Stewart Cink",14,181,57,124,"TotalDriving",2016
63,61,"JB Holmes",10,181,3,178,"TotalDriving",2016
63,67,"Dustin Johnson",9,181,4,177,"TotalDriving",2016
63,75,"Rory Sabbatini",14,181,99,82,"TotalDriving",2016
67,63,"Blayne Barber",16,182,130,52,"TotalDriving",2016
68,66,"Justin Hicks",10,183,177,6,"TotalDriving",2016
69,63,"Chesson Hadley",16,184,50,134,"TotalDriving",2016
69,53,"Adam Hadwin",16,184,106,78,"TotalDriving",2016
71,80,"Jason Day",9,185,24,161,"TotalDriving",2016
72,71,"Graeme McDowell",11,186,173,13,"TotalDriving",2016
72,80,"Andy Sullivan",7,186,149,37,"TotalDriving",2016
74,87,"Brandt Snedeker",14,187,82,105,"TotalDriving",2016
75,73,"Roberto Castro",16,188,168,20,"TotalDriving",2016
76,83,"Brian Harman",18,189,108,81,"TotalDriving",2016
76,77,"Sam Saunders",15,189,77,112,"TotalDriving",2016
76,85,"Kyle Stanley",17,189,121,68,"TotalDriving",2016
79,70,"Gary Woodland",12,191,2,189,"TotalDriving",2016
80,63,"Ryan Moore",11,192,164,28,"TotalDriving",2016
81,77,"Nick Taylor",17,193,48,145,"TotalDriving",2016
82,87,"Whee Kim",18,194,130,64,"TotalDriving",2016
83,71,"Jason Bohn",11,195,185,10,"TotalDriving",2016
83,107,"Angel Cabrera",13,195,47,148,"TotalDriving",2016
83,110,"Troy Merritt",14,195,132,63,"TotalDriving",2016
86,80,"Bill Haas",12,196,162,34,"TotalDriving",2016
86,59,"Padraig Harrington",11,196,113,83,"TotalDriving",2016
86,93,"William McGirt",15,196,157,39,"TotalDriving",2016
89,96,"David Hearn",18,197,170,27,"TotalDriving",2016
90,87,"Jerry Kelly",12,198,194,4,"TotalDriving",2016
91,87,"Zac Blair",18,199,192,7,"TotalDriving",2016
91,96,"Matthew Fitzpatrick",7,199,190,9,"TotalDriving",2016
91,93,"Justin Thomas",15,199,30,169,"TotalDriving",2016
91,119,"Bernd Wiesberger",7,199,115,84,"TotalDriving",2016
95,101,"Tony Finau",15,200,1,199,"TotalDriving",2016
96,116,"Smylie Kaufman",16,202,36,166,"TotalDriving",2016
96,98,"Colt Knost",15,202,200,2,"TotalDriving",2016
98,102,"Ken Duke",9,203,189,14,"TotalDriving",2016
98,100,"Jason Gore",15,203,138,65,"TotalDriving",2016
100,107,"Mark Hubbard",20,204,175,29,"TotalDriving",2016
100,116,"Zach Johnson",12,204,161,43,"TotalDriving",2016
100,103,"Spencer Levin",19,204,168,36,"TotalDriving",2016
100,104,"Will Ma Kenzie",17,204,147,57,"TotalDriving",2016
104,104,"Charles Howell III",17,206,18,188,"TotalDriving",2016
104,107,"Justin Leonard",8,206,201,5,"TotalDriving",2016
106,98,"Michael Thompson",14,207,68,139,"TotalDriving",2016
107,87,"Scott Langley",13,208,152,56,"TotalDriving",2016
107,110,"Luke List",17,208,12,196,"TotalDriving",2016
109,127,"Ben Martin",14,210,121,89,"TotalDriving",2016
109,112,"Darron Stiles",10,210,207,3,"TotalDriving",2016
111,130,"Brice Garnett",9,211,180,31,"TotalDriving",2016
112,93,"Harris English",15,212,45,167,"TotalDriving",2016
113,77,"Hunter Mahan",14,213,78,135,"TotalDriving",2016
114,139,"Francesco Molinari",10,214,106,108,"TotalDriving",2016
114,134,"Daniel Summerhays",15,214,108,106,"TotalDriving",2016
116,142,"Branden Grace",9,215,66,149,"TotalDriving",2016
116,125,"Jimmy Walker",12,215,25,190,"TotalDriving",2016
118,127,"Sung Kang",16,216,102,114,"TotalDriving",2016
119,138,"Matt Kuchar",12,217,163,54,"TotalDriving",2016
119,125,"Andrew Loupe",16,217,10,207,"TotalDriving",2016
121,130,"Billy Hurley III",8,218,203,15,"TotalDriving",2016
121,83,"Johnson Wagner",14,218,118,100,"TotalDriving",2016
123,127,"Charlie Beljan",13,219,21,198,"TotalDriving",2016
123,120,"Ollie Schniederjans",7,219,13,206,"TotalDriving",2016
123,121,"Brian Stuard",8,219,202,17,"TotalDriving",2016
126,104,"Phil Mickelson",11,220,45,175,"TotalDriving",2016
126,116,"Henrik Norlander",13,220,142,78,"TotalDriving",2016
128,136,"Robert Garrigus",11,221,20,201,"TotalDriving",2016
128,112,"Morgan Hoffmann",15,221,74,147,"TotalDriving",2016
128,136,"Geoff Ogilvy",14,221,103,118,"TotalDriving",2016
131,114,"Martin Laird",13,223,38,185,"TotalDriving",2016
132,146,"Bryce Molder",16,224,180,44,"TotalDriving",2016
132,130,"Ian Poulter",10,224,154,70,"TotalDriving",2016
134,123,"Scott Stallings",17,225,52,173,"TotalDriving",2016
134,130,"Robert Streb",16,225,65,160,"TotalDriving",2016
136,142,"Lucas Lee",9,227,197,30,"TotalDriving",2016
136,85,"Martin Piller",12,227,128,99,"TotalDriving",2016
136,87,"Vaughn Taylor",11,227,166,61,"TotalDriving",2016
136,123,"David Toms",11,227,206,21,"TotalDriving",2016
140,145,"Charley Hoffman",14,228,49,179,"TotalDriving",2016
141,152,"Bronson Burgoon",17,230,71,159,"TotalDriving",2016
141,121,"Alex Cejka",15,230,172,58,"TotalDriving",2016
143,146,"KJ Choi",14,231,196,35,"TotalDriving",2016
143,146,"Tom Hoge",15,231,93,138,"TotalDriving",2016
143,150,"Dicky Pride",13,231,193,38,"TotalDriving",2016
146,158,"Kevin Na",14,234,186,48,"TotalDriving",2016
146,157,"Andres Romero",8,234,91,143,"TotalDriving",2016
148,152,"Charl Schwartzel",8,236,55,181,"TotalDriving",2016
148,141,"Mark Wilson",13,236,204,32,"TotalDriving",2016
150,160,"Shane Bertsch",9,237,191,46,"TotalDriving",2016
151,161,"Abraham Ancer",11,238,199,39,"TotalDriving",2016
152,158,"Carlos Ortiz",17,239,39,200,"TotalDriving",2016
153,139,"Jonas Blixt",16,240,86,154,"TotalDriving",2016
153,168,"Chris Kirk",15,240,148,92,"TotalDriving",2016
155,151,"Cameron Smith",14,243,142,101,"TotalDriving",2016
156,165,"Chris Stroud",17,244,141,103,"TotalDriving",2016
157,161,"Ben Crane",17,245,184,61,"TotalDriving",2016
157,165,"Brendon de Jonge",19,245,124,121,"TotalDriving",2016
157,173,"Pat Perez",11,245,93,152,"TotalDriving",2016
157,156,"Vijay Singh",13,245,121,124,"TotalDriving",2016
161,169,"Jon Curran",18,247,205,42,"TotalDriving",2016
161,134,"Tim Wilkinson",11,247,188,59,"TotalDriving",2016
163,155,"George McNeill",13,248,129,119,"TotalDriving",2016
164,152,"John Senden",15,251,95,156,"TotalDriving",2016
164,161,"Shawn Stefani",16,251,71,180,"TotalDriving",2016
166,146,"Ernie Els",10,254,68,186,"TotalDriving",2016
167,170,"JJ Henry",14,255,145,110,"TotalDriving",2016
167,174,"Jeff Overton",17,255,135,120,"TotalDriving",2016
167,144,"Cameron Tringale",14,255,158,97,"TotalDriving",2016
170,175,"Rhein Gibson",13,256,64,192,"TotalDriving",2016
170,165,"DA Points",11,256,166,90,"TotalDriving",2016
172,161,"Anirban Lahiri",13,257,95,162,"TotalDriving",2016
173,171,"Seung Yul Noh",17,258,55,203,"TotalDriving",2016
174,184,"Miguel Angel Carballo",11,261,108,153,"TotalDriving",2016
175,178,"Luke Guthrie",11,266,95,171,"TotalDriving",2016
175,171,"Dawie van der Walt",16,266,108,158,"TotalDriving",2016
177,183,"DJ Trahan",7,268,101,167,"TotalDriving",2016
178,181,"Brian Gay",8,271,198,73,"TotalDriving",2016
179,181,"Aaron Baddeley",15,272,89,183,"TotalDriving",2016
180,178,"Steve Marino",14,274,119,155,"TotalDriving",2016
181,177,"Andres Gonzales",17,275,81,194,"TotalDriving",2016
181,176,"Brendon Todd",18,275,180,95,"TotalDriving",2016
183,178,"Hiroshi Iwata",18,277,135,142,"TotalDriving",2016
184,184,"Retief Goosen",10,279,115,164,"TotalDriving",2016
185,188,"Steve Stricker",8,280,194,86,"TotalDriving",2016
186,187,"Steve Wheatcroft",16,282,146,136,"TotalDriving",2016
187,190,"Peter Malnati",19,286,178,108,"TotalDriving",2016
188,188,"Ricky Barnes",18,288,91,197,"TotalDriving",2016
189,195,"Chad Collins",16,292,176,116,"TotalDriving",2016
189,192,"Tyrone Van Aswegen",20,292,105,187,"TotalDriving",2016
191,196,"Stuart Appleby",13,293,179,114,"TotalDriving",2016
192,192,"Tyler Aldridge",18,298,154,144,"TotalDriving",2016
193,184,"Michael Kim",18,299,159,140,"TotalDriving",2016
193,191,"Patton Kizzire",16,299,108,191,"TotalDriving",2016
195,192,"Matt Every",14,302,132,170,"TotalDriving",2016
196,199,"Freddie Jacobson",16,311,174,137,"TotalDriving",2016
197,198,"Derek Fathauer",18,316,124,192,"TotalDriving",2016
198,200,"Steven Bowditch",14,318,113,205,"TotalDriving",2016
199,197,"Kelly Kraft",12,326,154,172,"TotalDriving",2016
200,201,"Erik Compton",16,327,151,176,"TotalDriving",2016
201,202,"DH Lee",13,333,187,146,"TotalDriving",2016
202,203,"Jamie Donaldson",8,334,132,202,"TotalDriving",2016
203,204,"Camilo Villegas",16,335,140,195,"TotalDriving",2016
204,205,"Luke Donald",13,347,165,182,"TotalDriving",2016
205,206,"Rob Oppenheim",11,354,170,184,"TotalDriving",2016
206,207,"Robert Allenby",16,357,183,174,"TotalDriving",2016
207,208,"Carl Pettersson",14,363,159,204,"TotalDriving",2016
