"Approachesfrom75100yards_RANKTHISWEEK_2011","Approachesfrom75100yards_RANKLASTWEEK_2011","Approachesfrom75100yards_PLAYERNAME_2011","Approachesfrom75100yards_ROUNDS_2011","Approachesfrom75100yards_AVG_2011","Approachesfrom75100yards_TOTALDISTANCEFEET_2011","Approachesfrom75100yards_OFATTEMPTS_2011","Approachesfrom75100yards_RELATIVETOPAR_2011","stat_name","year"
97,97,"Tim Herron",85,NA,1268.5,71,-6,"Approachesfrom75100yards",2011
98,98,"Marc Leishman",87,NA,859.25,48,-6,"Approachesfrom75100yards",2011
99,99,"Michael Bradley",74,NA,828.417,46,-1,"Approachesfrom75100yards",2011
99,99,"Steve Flesch",88,NA,1096.083,61,-3,"Approachesfrom75100yards",2011
99,99,"JJ Henry",96,NA,1009.333,56,1,"Approachesfrom75100yards",2011
99,99,"Phil Mickelson",79,NA,991.5,55,-15,"Approachesfrom75100yards",2011
99,99,"Ryan Moore",79,NA,701.917,39,-1,"Approachesfrom75100yards",2011
104,104,"Cameron Beckman",71,NA,1118.583,62,-5,"Approachesfrom75100yards",2011
104,104,"Cameron Tringale",110,NA,1373.167,76,0,"Approachesfrom75100yards",2011
106,106,"Brandt Jobe",100,NA,1201.417,66,-4,"Approachesfrom75100yards",2011
106,106,"George McNeill",69,NA,672.167,37,-1,"Approachesfrom75100yards",2011
106,106,"Bubba Watson",85,NA,1034.833,57,-6,"Approachesfrom75100yards",2011
106,106,"Charlie Wi",83,NA,1292.5,71,-10,"Approachesfrom75100yards",2011
110,110,"Nathan Green",81,NA,840.25,46,-7,"Approachesfrom75100yards",2011
110,110,"Nate Smith",66,NA,822.333,45,-8,"Approachesfrom75100yards",2011
110,110,"Boo Weekley",66,NA,694.833,38,-3,"Approachesfrom75100yards",2011
110,110,"Mark Wilson",89,NA,1077.25,59,-12,"Approachesfrom75100yards",2011
110,110,"YE Yang",63,NA,401.417,22,4,"Approachesfrom75100yards",2011
115,115,"Robert Garrigus",83,NA,824.417,45,-6,"Approachesfrom75100yards",2011
115,115,"Bio Kim",71,NA,918.417,50,-3,"Approachesfrom75100yards",2011
117,117,"Briny Baird",60,NA,885.167,48,-10,"Approachesfrom75100yards",2011
118,118,"Blake Adams",116,NA,1798.25,97,-15,"Approachesfrom75100yards",2011
118,118,"Jim Furyk",87,NA,1202.583,65,1,"Approachesfrom75100yards",2011
118,118,"David Hearn",88,NA,1183.833,64,-9,"Approachesfrom75100yards",2011
118,118,"Zach Johnson",79,NA,1205.083,65,-7,"Approachesfrom75100yards",2011
118,118,"Scott Stallings",84,NA,1334.5,72,-13,"Approachesfrom75100yards",2011
118,118,"Jhonattan Vegas",84,NA,963.5,52,-1,"Approachesfrom75100yards",2011
124,124,"Sean OHair",71,NA,949.333,51,6,"Approachesfrom75100yards",2011
125,125,"Joseph Bramlett",73,NA,803.417,43,-6,"Approachesfrom75100yards",2011
125,125,"Kevin Chappell",78,NA,1062.333,57,4,"Approachesfrom75100yards",2011
125,125,"William McGirt",103,NA,1397.25,75,-11,"Approachesfrom75100yards",2011
125,125,"Andres Romero",77,NA,971.167,52,-9,"Approachesfrom75100yards",2011
125,125,"Paul Stankowski",78,NA,764.25,41,-6,"Approachesfrom75100yards",2011
125,125,"David Toms",78,NA,1193.667,64,-14,"Approachesfrom75100yards",2011
131,131,"Rocco Mediate",53,NA,865.5,46,-3,"Approachesfrom75100yards",2011
131,131,"John Merrick",71,NA,827.667,44,-13,"Approachesfrom75100yards",2011
131,131,"Chris Riley",76,NA,1490.583,79,-10,"Approachesfrom75100yards",2011
131,131,"Josh Teater",104,NA,1601.083,85,-7,"Approachesfrom75100yards",2011
135,135,"Hunter Mahan",92,NA,1076.917,57,-9,"Approachesfrom75100yards",2011
136,136,"David Mathis",83,NA,1099.917,58,3,"Approachesfrom75100yards",2011
136,136,"Troy Matteson",91,NA,1311.583,69,-15,"Approachesfrom75100yards",2011
138,138,"John Senden",94,NA,914.417,48,-3,"Approachesfrom75100yards",2011
139,139,"Vijay Singh",79,NA,1167.417,61,-5,"Approachesfrom75100yards",2011
140,140,"Tom Gillis",55,NA,867.583,45,-2,"Approachesfrom75100yards",2011
140,140,"Matt McQuillan",59,NA,905.333,47,-1,"Approachesfrom75100yards",2011
142,142,"Johnson Wagner",81,NA,1004.583,52,-6,"Approachesfrom75100yards",2011
143,143,"DJ Brigman",67,NA,620.25,32,-3,"Approachesfrom75100yards",2011
144,144,"Michael Thompson",79,NA,1210,62,-9,"Approachesfrom75100yards",2011
145,145,"Matt Bettencourt",84,NA,1182.333,60,6,"Approachesfrom75100yards",2011
145,145,"Michael Connell",76,NA,1260.167,64,-1,"Approachesfrom75100yards",2011
145,145,"Freddie Jacobson",92,NA,1158.75,59,3,"Approachesfrom75100yards",2011
145,145,"Kevin Kisner",70,NA,629.333,32,-1,"Approachesfrom75100yards",2011
149,149,"Steven Bowditch",86,NA,1127.333,57,-10,"Approachesfrom75100yards",2011
149,149,"Angel Cabrera",50,NA,494.083,25,-1,"Approachesfrom75100yards",2011
149,149,"Alexandre Rocha",65,NA,808.083,41,-2,"Approachesfrom75100yards",2011
152,152,"Billy Horschel",75,NA,913.583,46,2,"Approachesfrom75100yards",2011
153,153,"Bobby Gates",82,NA,739.667,37,-3,"Approachesfrom75100yards",2011
153,153,"Daniel Summerhays",75,NA,1057.833,53,1,"Approachesfrom75100yards",2011
155,155,"Trevor Immelman",84,NA,1444.833,72,0,"Approachesfrom75100yards",2011
155,155,"Troy Merritt",63,NA,902.75,45,-1,"Approachesfrom75100yards",2011
157,157,"Pat Perez",76,NA,1633.333,81,-9,"Approachesfrom75100yards",2011
158,158,"Derek Lamely",65,NA,1276.5,63,15,"Approachesfrom75100yards",2011
159,159,"Tag Ridings",87,NA,1164.417,57,-5,"Approachesfrom75100yards",2011
159,159,"DJ Trahan",91,NA,1306.25,64,-5,"Approachesfrom75100yards",2011
161,161,"DA Points",89,NA,982.75,48,3,"Approachesfrom75100yards",2011
162,162,"Ricky Barnes",78,NA,1130.167,55,0,"Approachesfrom75100yards",2011
163,163,"James Driscoll",71,NA,847.583,41,-4,"Approachesfrom75100yards",2011
163,163,"Matt Jones",71,NA,991.667,48,-3,"Approachesfrom75100yards",2011
165,165,"Tommy Gainey",104,NA,1518.167,73,7,"Approachesfrom75100yards",2011
165,165,"Jeff Overton",92,NA,1123.333,54,-2,"Approachesfrom75100yards",2011
167,167,"Geoff Ogilvy",69,NA,906.75,43,0,"Approachesfrom75100yards",2011
168,168,"Steve Marino",76,NA,1247.5,59,-11,"Approachesfrom75100yards",2011
168,168,"Chez Reavie",92,NA,1504.417,71,-4,"Approachesfrom75100yards",2011
170,170,"Ian Poulter",52,NA,637.583,30,3,"Approachesfrom75100yards",2011
171,171,"Charl Schwartzel",58,NA,494.25,23,2,"Approachesfrom75100yards",2011
