"TenthTeeLateScoringAverage_RANKTHISWEEK_2007","TenthTeeLateScoringAverage_RANKLASTWEEK_2007","TenthTeeLateScoringAverage_PLAYERNAME_2007","TenthTeeLateScoringAverage_ROUNDS_2007","TenthTeeLateScoringAverage_AVG_2007","TenthTeeLateScoringAverage_TOTALSTROKES_2007","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2007","stat_name","year"
1,1,"John Rollins",102,69.33,624,9,"TenthTeeLateScoringAverage",2007
2,2,"Kenny Perry",83,69.38,902,13,"TenthTeeLateScoringAverage",2007
3,3,"Justin Rose",63,69.5,695,10,"TenthTeeLateScoringAverage",2007
3,3,"Camilo Villegas",82,69.5,417,6,"TenthTeeLateScoringAverage",2007
5,5,"Phil Mickelson",73,69.67,209,3,"TenthTeeLateScoringAverage",2007
6,6,"Aaron Baddeley",83,69.82,768,11,"TenthTeeLateScoringAverage",2007
6,6,"Cameron Beckman",96,69.82,768,11,"TenthTeeLateScoringAverage",2007
6,6,"Steve Stricker",81,69.82,768,11,"TenthTeeLateScoringAverage",2007
9,9,"Kevin Na",84,69.84,1327,19,"TenthTeeLateScoringAverage",2007
10,10,"Sean OHair",98,69.94,1189,17,"TenthTeeLateScoringAverage",2007
11,11,"Alex Cejka",80,70,1050,15,"TenthTeeLateScoringAverage",2007
11,11,"KJ Choi",87,70,770,11,"TenthTeeLateScoringAverage",2007
11,11,"Henrik Stenson",52,70,280,4,"TenthTeeLateScoringAverage",2007
11,11,"David Toms",80,70,700,10,"TenthTeeLateScoringAverage",2007
11,11,"Bo Van Pelt",104,70,1190,17,"TenthTeeLateScoringAverage",2007
11,11,"Nick Watney",87,70,1120,16,"TenthTeeLateScoringAverage",2007
17,17,"Davis Love III",66,70.1,701,10,"TenthTeeLateScoringAverage",2007
18,18,"Jason Gore",86,70.15,912,13,"TenthTeeLateScoringAverage",2007
19,19,"Lucas Glover",98,70.17,842,12,"TenthTeeLateScoringAverage",2007
20,20,"Tag Ridings",52,70.22,632,9,"TenthTeeLateScoringAverage",2007
20,20,"Charles Warren",101,70.22,1264,18,"TenthTeeLateScoringAverage",2007
22,22,"Padraig Harrington",64,70.33,211,3,"TenthTeeLateScoringAverage",2007
22,22,"Zach Johnson",76,70.33,211,3,"TenthTeeLateScoringAverage",2007
22,22,"Geoff Ogilvy",84,70.33,422,6,"TenthTeeLateScoringAverage",2007
25,25,"Joe Durant",88,70.36,774,11,"TenthTeeLateScoringAverage",2007
25,25,"Jesper Parnevik",88,70.36,985,14,"TenthTeeLateScoringAverage",2007
27,27,"Dicky Pride",71,70.38,563,8,"TenthTeeLateScoringAverage",2007
28,28,"Jason Dufner",100,70.44,1268,18,"TenthTeeLateScoringAverage",2007
29,29,"Michael Sim",52,70.45,775,11,"TenthTeeLateScoringAverage",2007
30,30,"Ryan Moore",92,70.57,988,14,"TenthTeeLateScoringAverage",2007
31,31,"Tom Johnson",74,70.58,1341,19,"TenthTeeLateScoringAverage",2007
32,32,"Michael Allen",74,70.6,1059,15,"TenthTeeLateScoringAverage",2007
32,32,"Jarrod Lyle",77,70.6,706,10,"TenthTeeLateScoringAverage",2007
34,34,"Tom Lehman",62,70.63,565,8,"TenthTeeLateScoringAverage",2007
35,35,"Jerry Kelly",101,70.67,848,12,"TenthTeeLateScoringAverage",2007
35,35,"Jay Williamson",50,70.67,848,12,"TenthTeeLateScoringAverage",2007
37,37,"Jeff Brehaut",59,70.71,1202,17,"TenthTeeLateScoringAverage",2007
37,37,"Michael Putnam",96,70.71,1202,17,"TenthTeeLateScoringAverage",2007
39,39,"Jeff Overton",60,70.73,1061,15,"TenthTeeLateScoringAverage",2007
40,40,"Steve Flesch",100,70.74,1344,19,"TenthTeeLateScoringAverage",2007
41,41,"Bart Bryant",87,70.75,1132,16,"TenthTeeLateScoringAverage",2007
41,41,"Nathan Green",103,70.75,1132,16,"TenthTeeLateScoringAverage",2007
43,43,"Stephen Ames",81,70.78,637,9,"TenthTeeLateScoringAverage",2007
44,44,"Marco Dawson",73,70.79,991,14,"TenthTeeLateScoringAverage",2007
45,45,"Stephen Leaney",82,70.8,708,10,"TenthTeeLateScoringAverage",2007
46,46,"Matt Kuchar",85,70.84,1346,19,"TenthTeeLateScoringAverage",2007
47,47,"Cliff Kresge",107,70.86,992,14,"TenthTeeLateScoringAverage",2007
47,47,"Rory Sabbatini",81,70.86,496,7,"TenthTeeLateScoringAverage",2007
49,49,"Bill Haas",93,70.87,1063,15,"TenthTeeLateScoringAverage",2007
50,50,"Steve Lowery",74,70.88,1205,17,"TenthTeeLateScoringAverage",2007
51,51,"Brian Gay",107,70.89,1276,18,"TenthTeeLateScoringAverage",2007
52,52,"Rod Pampling",92,70.92,922,13,"TenthTeeLateScoringAverage",2007
53,53,"Paul Gow",70,70.93,993,14,"TenthTeeLateScoringAverage",2007
54,54,"Tommy Armour III",81,71,1349,19,"TenthTeeLateScoringAverage",2007
54,54,"Jason Bohn",57,71,355,5,"TenthTeeLateScoringAverage",2007
54,54,"Mark Calcavecchia",93,71,1207,17,"TenthTeeLateScoringAverage",2007
54,54,"Jim Furyk",84,71,142,2,"TenthTeeLateScoringAverage",2007
54,54,"Sergio Garcia",68,71,355,5,"TenthTeeLateScoringAverage",2007
54,54,"Jeff Maggert",79,71,852,12,"TenthTeeLateScoringAverage",2007
54,54,"Arron Oberholser",69,71,568,8,"TenthTeeLateScoringAverage",2007
54,54,"Vijay Singh",102,71,355,5,"TenthTeeLateScoringAverage",2007
54,54,"Vaughn Taylor",91,71,1065,15,"TenthTeeLateScoringAverage",2007
63,63,"Heath Slocum",101,71.05,1350,19,"TenthTeeLateScoringAverage",2007
64,64,"Andrew Buckle",77,71.06,1279,18,"TenthTeeLateScoringAverage",2007
64,64,"Steve Elkington",87,71.06,1137,16,"TenthTeeLateScoringAverage",2007
64,64,"Joe Ogilvie",102,71.06,1208,17,"TenthTeeLateScoringAverage",2007
64,64,"Pat Perez",84,71.06,1279,18,"TenthTeeLateScoringAverage",2007
68,68,"Michael Boyd",61,71.07,995,14,"TenthTeeLateScoringAverage",2007
69,69,"Robert Allenby",90,71.08,853,12,"TenthTeeLateScoringAverage",2007
69,69,"Tim Petrovic",106,71.08,1777,25,"TenthTeeLateScoringAverage",2007
69,69,"Darron Stiles",65,71.08,853,12,"TenthTeeLateScoringAverage",2007
72,72,"Kevin Sutherland",85,71.09,782,11,"TenthTeeLateScoringAverage",2007
73,73,"Justin Leonard",95,71.1,1422,20,"TenthTeeLateScoringAverage",2007
74,74,"Glen Day",85,71.13,1636,23,"TenthTeeLateScoringAverage",2007
75,75,"Craig Bowden",78,71.14,996,14,"TenthTeeLateScoringAverage",2007
75,75,"Corey Pavin",81,71.14,996,14,"TenthTeeLateScoringAverage",2007
77,77,"Charley Hoffman",97,71.17,1281,18,"TenthTeeLateScoringAverage",2007
78,78,"Ken Duke",112,71.18,1566,22,"TenthTeeLateScoringAverage",2007
78,78,"Mark Wilson",87,71.18,1566,22,"TenthTeeLateScoringAverage",2007
80,80,"Brandt Snedeker",105,71.19,1139,16,"TenthTeeLateScoringAverage",2007
81,81,"Peter Lonard",85,71.2,1068,15,"TenthTeeLateScoringAverage",2007
82,82,"Billy Mayfair",98,71.21,1353,19,"TenthTeeLateScoringAverage",2007
82,82,"Brett Quigley",79,71.21,997,14,"TenthTeeLateScoringAverage",2007
82,82,"Jeff Quinney",95,71.21,997,14,"TenthTeeLateScoringAverage",2007
85,85,"Mark Hensby",81,71.24,1211,17,"TenthTeeLateScoringAverage",2007
86,86,"Daisuke Maruyama",86,71.25,1140,16,"TenthTeeLateScoringAverage",2007
86,86,"Scott Verplank",82,71.25,855,12,"TenthTeeLateScoringAverage",2007
88,88,"Craig Kanada",109,71.29,1497,21,"TenthTeeLateScoringAverage",2007
88,88,"Shigeki Maruyama",84,71.29,1497,21,"TenthTeeLateScoringAverage",2007
90,90,"John Senden",97,71.3,713,10,"TenthTeeLateScoringAverage",2007
91,91,"JB Holmes",71,71.33,1070,15,"TenthTeeLateScoringAverage",2007
91,91,"Charlie Wi",90,71.33,1070,15,"TenthTeeLateScoringAverage",2007
93,93,"John Merrick",92,71.37,1356,19,"TenthTeeLateScoringAverage",2007
93,93,"Greg Owen",81,71.37,1356,19,"TenthTeeLateScoringAverage",2007
95,95,"Briny Baird",115,71.38,1499,21,"TenthTeeLateScoringAverage",2007
96,96,"Brian Davis",101,71.42,1357,19,"TenthTeeLateScoringAverage",2007
97,97,"Carl Pettersson",111,71.43,1000,14,"TenthTeeLateScoringAverage",2007
97,97,"Joey Sindelar",75,71.43,1000,14,"TenthTeeLateScoringAverage",2007
99,99,"Retief Goosen",50,71.44,643,9,"TenthTeeLateScoringAverage",2007
99,99,"Ryuji Imada",104,71.44,1286,18,"TenthTeeLateScoringAverage",2007
101,101,"Daniel Chopra",106,71.45,1429,20,"TenthTeeLateScoringAverage",2007
101,101,"Brendon de Jonge",76,71.45,1429,20,"TenthTeeLateScoringAverage",2007
103,103,"Rich Beem",89,71.47,1072,15,"TenthTeeLateScoringAverage",2007
103,103,"Gavin Coles",87,71.47,1215,17,"TenthTeeLateScoringAverage",2007
103,103,"John Mallinger",96,71.47,1358,19,"TenthTeeLateScoringAverage",2007
106,106,"Ted Purdy",102,71.48,1501,21,"TenthTeeLateScoringAverage",2007
107,107,"Craig Barlow",52,71.5,1144,16,"TenthTeeLateScoringAverage",2007
107,107,"Rocco Mediate",72,71.5,715,10,"TenthTeeLateScoringAverage",2007
107,107,"DJ Trahan",99,71.5,858,12,"TenthTeeLateScoringAverage",2007
110,110,"Anthony Kim",93,71.53,1073,15,"TenthTeeLateScoringAverage",2007
111,111,"Boo Weekley",101,71.56,1288,18,"TenthTeeLateScoringAverage",2007
112,112,"Brett Wetterich",88,71.57,1002,14,"TenthTeeLateScoringAverage",2007
113,113,"Mathew Goggin",97,71.62,1504,21,"TenthTeeLateScoringAverage",2007
114,114,"Mark Brooks",53,71.63,573,8,"TenthTeeLateScoringAverage",2007
114,114,"Trevor Immelman",74,71.63,573,8,"TenthTeeLateScoringAverage",2007
116,116,"Richard Johnson",93,71.65,1433,20,"TenthTeeLateScoringAverage",2007
117,117,"Nick OHern",72,71.67,430,6,"TenthTeeLateScoringAverage",2007
118,118,"JJ Henry",86,71.69,932,13,"TenthTeeLateScoringAverage",2007
119,119,"Steve Allan",63,71.7,717,10,"TenthTeeLateScoringAverage",2007
120,120,"Ryan Armour",107,71.71,1721,24,"TenthTeeLateScoringAverage",2007
121,121,"Bryce Molder",56,71.73,789,11,"TenthTeeLateScoringAverage",2007
122,122,"Tripp Isenhour",86,71.75,1435,20,"TenthTeeLateScoringAverage",2007
122,122,"Parker McLachlin",83,71.75,1435,20,"TenthTeeLateScoringAverage",2007
124,124,"Jeff Gove",103,71.78,1938,27,"TenthTeeLateScoringAverage",2007
124,124,"Paul Stankowski",52,71.78,646,9,"TenthTeeLateScoringAverage",2007
126,126,"Mike Weir",82,71.8,718,10,"TenthTeeLateScoringAverage",2007
127,127,"Steve Marino",106,71.81,1508,21,"TenthTeeLateScoringAverage",2007
128,128,"Tim Herron",98,71.87,1078,15,"TenthTeeLateScoringAverage",2007
129,129,"Craig Lile",77,71.88,1150,16,"TenthTeeLateScoringAverage",2007
130,130,"Frank Lickliter II",95,71.89,1294,18,"TenthTeeLateScoringAverage",2007
130,130,"Will Ma Kenzie",100,71.89,1294,18,"TenthTeeLateScoringAverage",2007
132,132,"Bubba Watson",80,71.94,1151,16,"TenthTeeLateScoringAverage",2007
133,133,"Harrison Frazar",88,71.95,1511,21,"TenthTeeLateScoringAverage",2007
134,134,"Jonathan Byrd",73,72,576,8,"TenthTeeLateScoringAverage",2007
134,134,"Stewart Cink",91,72,936,13,"TenthTeeLateScoringAverage",2007
134,134,"Ernie Els",59,72,216,3,"TenthTeeLateScoringAverage",2007
134,134,"Charles Howell III",89,72,504,7,"TenthTeeLateScoringAverage",2007
134,134,"Lee Janzen",66,72,1152,16,"TenthTeeLateScoringAverage",2007
134,134,"George McNeill",95,72,1008,14,"TenthTeeLateScoringAverage",2007
140,140,"Robert Garrigus",95,72.06,1153,16,"TenthTeeLateScoringAverage",2007
140,140,"Tom Pernice Jr",104,72.06,1297,18,"TenthTeeLateScoringAverage",2007
142,142,"Jason Schultz",63,72.07,1009,14,"TenthTeeLateScoringAverage",2007
143,143,"Stuart Appleby",74,72.09,793,11,"TenthTeeLateScoringAverage",2007
144,144,"Jeff Sluman",60,72.1,721,10,"TenthTeeLateScoringAverage",2007
144,144,"Johnson Wagner",97,72.1,1514,21,"TenthTeeLateScoringAverage",2007
146,146,"Jim Rutledge",59,72.11,1298,18,"TenthTeeLateScoringAverage",2007
147,147,"Eric Axley",107,72.12,1803,25,"TenthTeeLateScoringAverage",2007
148,148,"Hunter Mahan",91,72.13,1082,15,"TenthTeeLateScoringAverage",2007
148,148,"Duffy Waldorf",69,72.13,1082,15,"TenthTeeLateScoringAverage",2007
150,150,"Fred Funk",65,72.17,866,12,"TenthTeeLateScoringAverage",2007
150,150,"Ian Poulter",63,72.17,866,12,"TenthTeeLateScoringAverage",2007
152,152,"Woody Austin",95,72.23,939,13,"TenthTeeLateScoringAverage",2007
153,153,"Freddie Jacobson",70,72.25,578,8,"TenthTeeLateScoringAverage",2007
154,154,"Bob Estes",88,72.27,1084,15,"TenthTeeLateScoringAverage",2007
155,155,"Jose Coceres",50,72.29,506,7,"TenthTeeLateScoringAverage",2007
155,155,"Shaun Micheel",91,72.29,1229,17,"TenthTeeLateScoringAverage",2007
157,157,"Bob Heintz",85,72.31,1157,16,"TenthTeeLateScoringAverage",2007
157,157,"Chris Riley",59,72.31,940,13,"TenthTeeLateScoringAverage",2007
159,159,"DJ Brigman",67,72.33,868,12,"TenthTeeLateScoringAverage",2007
160,160,"Ben Curtis",80,72.36,1013,14,"TenthTeeLateScoringAverage",2007
161,161,"Chris DiMarco",79,72.4,724,10,"TenthTeeLateScoringAverage",2007
162,162,"Tim Clark",66,72.44,652,9,"TenthTeeLateScoringAverage",2007
163,163,"Chris Tidland",59,72.45,1449,20,"TenthTeeLateScoringAverage",2007
164,164,"John Daly",59,72.47,1232,17,"TenthTeeLateScoringAverage",2007
165,165,"David Branshaw",83,72.55,1596,22,"TenthTeeLateScoringAverage",2007
166,166,"Kirk Triplett",77,72.56,1161,16,"TenthTeeLateScoringAverage",2007
167,167,"Troy Matteson",87,72.57,1016,14,"TenthTeeLateScoringAverage",2007
168,168,"JP Hayes",89,72.59,1234,17,"TenthTeeLateScoringAverage",2007
169,169,"Chad Campbell",96,72.67,1308,18,"TenthTeeLateScoringAverage",2007
169,169,"Mathias Gronberg",95,72.67,1308,18,"TenthTeeLateScoringAverage",2007
171,171,"Doug LaBelle II",104,72.79,1383,19,"TenthTeeLateScoringAverage",2007
172,172,"Bob Tway",103,72.81,1165,16,"TenthTeeLateScoringAverage",2007
173,173,"Ryan Palmer",91,72.85,947,13,"TenthTeeLateScoringAverage",2007
174,174,"Luke Donald",69,72.86,510,7,"TenthTeeLateScoringAverage",2007
175,175,"Scott Gutschewski",67,73,876,12,"TenthTeeLateScoringAverage",2007
175,175,"Adam Scott",69,73,219,3,"TenthTeeLateScoringAverage",2007
175,175,"Dean Wilson",92,73,949,13,"TenthTeeLateScoringAverage",2007
178,178,"Kevin Stadler",95,73.06,1169,16,"TenthTeeLateScoringAverage",2007
179,179,"Chris Stroud",66,73.08,950,13,"TenthTeeLateScoringAverage",2007
180,180,"Kent Jones",97,73.11,1389,19,"TenthTeeLateScoringAverage",2007
181,181,"Robert Gamez",88,73.21,1391,19,"TenthTeeLateScoringAverage",2007
182,182,"Billy Andrade",88,73.23,952,13,"TenthTeeLateScoringAverage",2007
183,183,"Rich Barcelo",80,73.28,1319,18,"TenthTeeLateScoringAverage",2007
184,184,"Brian Bateman",55,73.29,1026,14,"TenthTeeLateScoringAverage",2007
184,184,"Anders Hansen",55,73.29,513,7,"TenthTeeLateScoringAverage",2007
186,186,"Kyle Reifers",71,73.31,1173,16,"TenthTeeLateScoringAverage",2007
187,187,"Todd Hamilton",76,73.33,1320,18,"TenthTeeLateScoringAverage",2007
188,188,"Chris Couch",76,73.38,1541,21,"TenthTeeLateScoringAverage",2007
189,189,"Paul Goydos",60,73.5,735,10,"TenthTeeLateScoringAverage",2007
189,189,"Matt Hendrix",63,73.5,735,10,"TenthTeeLateScoringAverage",2007
189,189,"Steve Wheatcroft",73,73.5,882,12,"TenthTeeLateScoringAverage",2007
192,192,"Jaco Van Zyl",51,73.7,737,10,"TenthTeeLateScoringAverage",2007
193,193,"Tom Byrum",50,73.82,812,11,"TenthTeeLateScoringAverage",2007
194,194,"Bubba Dickerson",51,74,666,9,"TenthTeeLateScoringAverage",2007
194,194,"Tiger Woods",63,74,74,1,"TenthTeeLateScoringAverage",2007
196,196,"Jose Maria Olazabal",52,74.38,595,8,"TenthTeeLateScoringAverage",2007
