"BonusPutting_RANKTHISWEEK_2008","BonusPutting_RANKLASTWEEK_2008","BonusPutting_PLAYERNAME_2008","BonusPutting_ROUNDS_2008","BonusPutting_VALUE_2008","BonusPutting_ATTEMPTS_2008","BonusPutting_TOTMADE20_2008","BonusPutting_TOTMADE_2008","stat_name","year"
1,1,"Corey Pavin",69,101.46,755,34,732,"BonusPutting",2008
2,2,"Jeff Quinney",87,101.41,990,44,960,"BonusPutting",2008
3,3,"Parker McLachlin",88,101.38,1090,42,1063,"BonusPutting",2008
4,4,"Ben Crane",86,101.36,1030,42,1002,"BonusPutting",2008
5,5,"Hunter Mahan",87,101.08,1020,46,985,"BonusPutting",2008
6,6,"Daniel Chopra",84,100.95,948,34,923,"BonusPutting",2008
7,7,"Jeff Overton",103,100.87,1258,45,1224,"BonusPutting",2008
8,8,"Dean Wilson",109,100.86,1274,37,1248,"BonusPutting",2008
9,9,"Bob Tway",70,100.78,772,26,752,"BonusPutting",2008
10,10,"Marc Turnesa",87,100.76,1050,41,1017,"BonusPutting",2008
11,11,"Scott McCarron",63,100.65,772,34,743,"BonusPutting",2008
12,12,"Ken Duke",116,100.54,1471,48,1431,"BonusPutting",2008
13,13,"Craig Kanada",65,100.51,777,30,751,"BonusPutting",2008
14,14,"KJ Choi",74,100.5,808,32,780,"BonusPutting",2008
15,15,"Steve Elkington",84,100.49,1017,42,980,"BonusPutting",2008
15,15,"Bob Estes",90,100.49,1230,40,1196,"BonusPutting",2008
17,17,"Patrick Sheehan",124,100.47,1488,56,1439,"BonusPutting",2008
18,18,"Jesper Parnevik",88,100.38,1046,41,1009,"BonusPutting",2008
19,19,"Aaron Baddeley",76,100.36,834,24,813,"BonusPutting",2008
19,19,"Steve Stricker",75,100.36,825,30,798,"BonusPutting",2008
21,21,"Alejandro Canizares",52,100.35,577,20,559,"BonusPutting",2008
22,22,"Woody Austin",109,100.32,1238,52,1190,"BonusPutting",2008
23,23,"Jin Park",85,100.3,997,27,973,"BonusPutting",2008
24,24,"Geoff Ogilvy",65,100.29,691,17,676,"BonusPutting",2008
25,25,"Brian Gay",102,100.25,1223,32,1194,"BonusPutting",2008
26,26,"Eric Axley",113,100.22,1354,42,1315,"BonusPutting",2008
27,27,"Mark Wilson",107,100.21,1449,54,1398,"BonusPutting",2008
28,28,"Bart Bryant",81,100.2,990,32,960,"BonusPutting",2008
28,28,"Steve Marino",119,100.2,1489,56,1436,"BonusPutting",2008
30,30,"Chad Campbell",94,100.17,1202,48,1156,"BonusPutting",2008
31,31,"Kenny Perry",97,100.15,1294,38,1258,"BonusPutting",2008
32,32,"Chad Collins",72,100.11,874,28,847,"BonusPutting",2008
32,32,"Freddie Jacobson",78,100.11,889,31,859,"BonusPutting",2008
32,32,"Steve Lowery",74,100.11,951,38,914,"BonusPutting",2008
35,35,"Tommy Armour III",77,100.1,958,31,928,"BonusPutting",2008
35,35,"Todd Hamilton",92,100.1,1043,36,1008,"BonusPutting",2008
35,35,"Nick OHern",82,100.1,1022,34,989,"BonusPutting",2008
38,38,"Matt Jones",95,100.08,1234,48,1187,"BonusPutting",2008
39,39,"Paul Casey",55,100,511,17,494,"BonusPutting",2008
39,39,"Ben Curtis",80,100,906,28,878,"BonusPutting",2008
39,39,"James Driscoll",85,100,1083,31,1052,"BonusPutting",2008
39,39,"Tim Herron",97,100,1230,48,1182,"BonusPutting",2008
39,39,"Ryuji Imada",80,100,960,29,931,"BonusPutting",2008
39,39,"Lee Janzen",89,100,1071,34,1037,"BonusPutting",2008
39,39,"Doug LaBelle II",65,100,719,24,695,"BonusPutting",2008
46,46,"Jason Day",81,99.91,1090,31,1058,"BonusPutting",2008
