"TenthTeeEarlyLowestRound_RANKTHISWEEK_2015","TenthTeeEarlyLowestRound_RANKLASTWEEK_2015","TenthTeeEarlyLowestRound_PLAYERNAME_2015","TenthTeeEarlyLowestRound_ROUNDS_2015","TenthTeeEarlyLowestRound_LOWRND_2015","stat_name","year"
1,1,"Jason Day",75,61,"TenthTeeEarlyLowestRound",2015
1,1,"Brandt Snedeker",98,61,"TenthTeeEarlyLowestRound",2015
3,3,"Scott Brown",97,62,"TenthTeeEarlyLowestRound",2015
3,3,"Paul Casey",87,62,"TenthTeeEarlyLowestRound",2015
3,3,"Erik Compton",86,62,"TenthTeeEarlyLowestRound",2015
3,3,"JB Holmes",89,62,"TenthTeeEarlyLowestRound",2015
3,3,"William McGirt",103,62,"TenthTeeEarlyLowestRound",2015
3,3,"Webb Simpson",81,62,"TenthTeeEarlyLowestRound",2015
3,3,"Jordan Spieth",91,62,"TenthTeeEarlyLowestRound",2015
3,3,"Jimmy Walker",89,62,"TenthTeeEarlyLowestRound",2015
11,11,"Chad Campbell",97,63,"TenthTeeEarlyLowestRound",2015
11,11,"Stewart Cink",77,63,"TenthTeeEarlyLowestRound",2015
11,11,"Jon Curran",83,63,"TenthTeeEarlyLowestRound",2015
11,11,"Ben Curtis",35,63,"TenthTeeEarlyLowestRound",2015
11,11,"Glen Day",24,63,"TenthTeeEarlyLowestRound",2015
11,11,"Russell Henley",87,63,"TenthTeeEarlyLowestRound",2015
11,11,"Charley Hoffman",97,63,"TenthTeeEarlyLowestRound",2015
11,11,"Max Homa",78,63,"TenthTeeEarlyLowestRound",2015
11,11,"Ryo Ishikawa",90,63,"TenthTeeEarlyLowestRound",2015
11,11,"Colt Knost",90,63,"TenthTeeEarlyLowestRound",2015
11,11,"Scott Piercy",90,63,"TenthTeeEarlyLowestRound",2015
11,11,"Henrik Stenson",63,63,"TenthTeeEarlyLowestRound",2015
11,11,"Justin Thomas",106,63,"TenthTeeEarlyLowestRound",2015
11,11,"Gary Woodland",81,63,"TenthTeeEarlyLowestRound",2015
25,25,"Blake Adams",33,64,"TenthTeeEarlyLowestRound",2015
25,25,"Daniel Berger",97,64,"TenthTeeEarlyLowestRound",2015
25,25,"Zac Blair",108,64,"TenthTeeEarlyLowestRound",2015
25,25,"Keegan Bradley",87,64,"TenthTeeEarlyLowestRound",2015
25,25,"Kevin Chappell",86,64,"TenthTeeEarlyLowestRound",2015
25,25,"Brendon de Jonge",106,64,"TenthTeeEarlyLowestRound",2015
25,25,"Jason Dufner",76,64,"TenthTeeEarlyLowestRound",2015
25,25,"Martin Flores",95,64,"TenthTeeEarlyLowestRound",2015
25,25,"Andres Gonzales",90,64,"TenthTeeEarlyLowestRound",2015
25,25,"Emiliano Grillo",18,64,"TenthTeeEarlyLowestRound",2015
25,25,"Chesson Hadley",101,64,"TenthTeeEarlyLowestRound",2015
25,25,"David Hearn",97,64,"TenthTeeEarlyLowestRound",2015
25,25,"John Huh",102,64,"TenthTeeEarlyLowestRound",2015
25,25,"Martin Kaymer",43,64,"TenthTeeEarlyLowestRound",2015
25,25,"Russell Knox",96,64,"TenthTeeEarlyLowestRound",2015
