"LateRound2ScoringAverage_RANKTHISWEEK_2015","LateRound2ScoringAverage_RANKLASTWEEK_2015","LateRound2ScoringAverage_PLAYERNAME_2015","LateRound2ScoringAverage__2015","LateRound2ScoringAverage_AVG_2015","LateRound2ScoringAverage_TOTALSTROKES_2015","LateRound2ScoringAverage_TOTALROUNDS_2015","stat_name","year"
1,1,"Justin Thomas",NA,68.71,962,14,"LateRound2ScoringAverage",2015
2,2,"Justin Rose",NA,68.88,551,8,"LateRound2ScoringAverage",2015
3,3,"Dustin Johnson",NA,69,828,12,"LateRound2ScoringAverage",2015
4,4,"Graham DeLaet",NA,69.08,829,12,"LateRound2ScoringAverage",2015
5,5,"Zac Blair",NA,69.13,1037,15,"LateRound2ScoringAverage",2015
5,5,"Greg Chalmers",NA,69.13,553,8,"LateRound2ScoringAverage",2015
7,7,"Ian Poulter",NA,69.14,484,7,"LateRound2ScoringAverage",2015
8,8,"Chris Stroud",NA,69.18,761,11,"LateRound2ScoringAverage",2015
8,8,"Cameron Tringale",NA,69.18,761,11,"LateRound2ScoringAverage",2015
10,10,"Russell Knox",NA,69.23,900,13,"LateRound2ScoringAverage",2015
11,11,"Jason Day",NA,69.3,693,10,"LateRound2ScoringAverage",2015
12,12,"Tony Finau",NA,69.31,901,13,"LateRound2ScoringAverage",2015
12,12,"Bill Haas",NA,69.31,901,13,"LateRound2ScoringAverage",2015
14,14,"Harris English",NA,69.42,833,12,"LateRound2ScoringAverage",2015
15,15,"Louis Oosthuizen",NA,69.44,625,9,"LateRound2ScoringAverage",2015
16,16,"Brendan Steele",NA,69.46,903,13,"LateRound2ScoringAverage",2015
16,16,"Nick Watney",NA,69.46,903,13,"LateRound2ScoringAverage",2015
18,18,"John Huh",NA,69.47,1042,15,"LateRound2ScoringAverage",2015
19,19,"Paul Casey",NA,69.5,834,12,"LateRound2ScoringAverage",2015
19,19,"Brooks Koepka",NA,69.5,834,12,"LateRound2ScoringAverage",2015
21,21,"Kevin Na",NA,69.54,904,13,"LateRound2ScoringAverage",2015
