"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2011","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2011","GIRPercentagefromOtherthanFairway_PLAYERNAME_2011","GIRPercentagefromOtherthanFairway_ROUNDS_2011","GIRPercentagefromOtherthanFairway_Pct_2011","GIRPercentagefromOtherthanFairway_GREENSHIT_2011","GIRPercentagefromOtherthanFairway_OFHOLES_2011","stat_name","year"
1,1,"Bubba Watson",85,58.82,280,476,"GIRPercentagefromOtherthanFairway",2011
2,2,"Ben Crane",76,58.28,197,338,"GIRPercentagefromOtherthanFairway",2011
3,3,"Bill Haas",93,57.78,271,469,"GIRPercentagefromOtherthanFairway",2011
4,4,"DJ Trahan",91,57.65,294,510,"GIRPercentagefromOtherthanFairway",2011
5,5,"Dustin Johnson",72,57.61,246,427,"GIRPercentagefromOtherthanFairway",2011
6,6,"Phil Mickelson",79,57.14,288,504,"GIRPercentagefromOtherthanFairway",2011
7,7,"Gary Woodland",93,57.09,310,543,"GIRPercentagefromOtherthanFairway",2011
8,8,"Davis Love III",70,56.42,224,397,"GIRPercentagefromOtherthanFairway",2011
9,9,"Jim Herman",69,56.4,207,367,"GIRPercentagefromOtherthanFairway",2011
10,10,"Steve Stricker",70,56.32,205,364,"GIRPercentagefromOtherthanFairway",2011
11,11,"Boo Weekley",66,56.25,162,288,"GIRPercentagefromOtherthanFairway",2011
12,12,"Robert Garrigus",83,55.94,306,547,"GIRPercentagefromOtherthanFairway",2011
13,13,"William McGirt",103,55.9,303,542,"GIRPercentagefromOtherthanFairway",2011
14,14,"JB Holmes",57,55.77,198,355,"GIRPercentagefromOtherthanFairway",2011
15,15,"Billy Mayfair",94,55.65,207,372,"GIRPercentagefromOtherthanFairway",2011
16,16,"Ricky Barnes",78,55.43,250,451,"GIRPercentagefromOtherthanFairway",2011
17,17,"Jhonattan Vegas",84,55.42,281,507,"GIRPercentagefromOtherthanFairway",2011
18,18,"Kyle Stanley",98,55.31,281,508,"GIRPercentagefromOtherthanFairway",2011
19,19,"John Rollins",85,55.09,211,383,"GIRPercentagefromOtherthanFairway",2011
20,20,"Charles Howell III",108,54.94,339,617,"GIRPercentagefromOtherthanFairway",2011
21,21,"Sergio Garcia",61,54.9,196,357,"GIRPercentagefromOtherthanFairway",2011
22,22,"Webb Simpson",98,54.81,285,520,"GIRPercentagefromOtherthanFairway",2011
23,23,"Bo Van Pelt",92,54.8,251,458,"GIRPercentagefromOtherthanFairway",2011
24,24,"Charley Hoffman",93,54.71,279,510,"GIRPercentagefromOtherthanFairway",2011
25,25,"Martin Laird",77,54.67,240,439,"GIRPercentagefromOtherthanFairway",2011
26,26,"Nick Watney",80,54.57,245,449,"GIRPercentagefromOtherthanFairway",2011
27,27,"John Senden",94,54.48,237,435,"GIRPercentagefromOtherthanFairway",2011
28,28,"Chad Campbell",99,54.44,270,496,"GIRPercentagefromOtherthanFairway",2011
29,29,"Aaron Baddeley",77,54.41,253,465,"GIRPercentagefromOtherthanFairway",2011
30,30,"Rickie Fowler",84,54.38,267,491,"GIRPercentagefromOtherthanFairway",2011
31,31,"Bill Lunde",92,54.18,259,478,"GIRPercentagefromOtherthanFairway",2011
32,32,"Josh Teater",104,54.08,285,527,"GIRPercentagefromOtherthanFairway",2011
33,33,"Scott Stallings",84,54.06,253,468,"GIRPercentagefromOtherthanFairway",2011
34,34,"Heath Slocum",89,54.05,167,309,"GIRPercentagefromOtherthanFairway",2011
35,35,"Hunter Haas",96,53.98,251,465,"GIRPercentagefromOtherthanFairway",2011
35,35,"Chris Kirk",87,53.98,285,528,"GIRPercentagefromOtherthanFairway",2011
37,37,"Jason Dufner",78,53.91,200,371,"GIRPercentagefromOtherthanFairway",2011
38,38,"Stephen Ames",69,53.9,159,295,"GIRPercentagefromOtherthanFairway",2011
39,39,"Kris Blanks",92,53.78,249,463,"GIRPercentagefromOtherthanFairway",2011
40,40,"Kevin Streelman",90,53.73,245,456,"GIRPercentagefromOtherthanFairway",2011
41,41,"Steven Bowditch",86,53.61,275,513,"GIRPercentagefromOtherthanFairway",2011
42,42,"Ryuji Imada",83,53.59,246,459,"GIRPercentagefromOtherthanFairway",2011
43,43,"Marc Leishman",87,53.53,296,553,"GIRPercentagefromOtherthanFairway",2011
44,44,"Troy Matteson",91,53.51,267,499,"GIRPercentagefromOtherthanFairway",2011
45,45,"Trevor Immelman",84,53.35,239,448,"GIRPercentagefromOtherthanFairway",2011
46,46,"Justin Rose",79,53.28,211,396,"GIRPercentagefromOtherthanFairway",2011
47,47,"Retief Goosen",50,53.23,140,263,"GIRPercentagefromOtherthanFairway",2011
47,47,"Hunter Mahan",92,53.23,247,464,"GIRPercentagefromOtherthanFairway",2011
49,49,"Michael Bradley",74,53.22,223,419,"GIRPercentagefromOtherthanFairway",2011
50,50,"Chris Stroud",88,53.21,249,468,"GIRPercentagefromOtherthanFairway",2011
51,51,"Adam Scott",60,53.18,159,299,"GIRPercentagefromOtherthanFairway",2011
52,52,"David Hearn",88,53.17,218,410,"GIRPercentagefromOtherthanFairway",2011
53,53,"Vijay Singh",79,53.15,236,444,"GIRPercentagefromOtherthanFairway",2011
54,54,"Kevin Stadler",88,53.06,217,409,"GIRPercentagefromOtherthanFairway",2011
55,55,"Chez Reavie",92,52.98,222,419,"GIRPercentagefromOtherthanFairway",2011
56,56,"Tim Herron",85,52.8,255,483,"GIRPercentagefromOtherthanFairway",2011
57,57,"Ernie Els",71,52.71,204,387,"GIRPercentagefromOtherthanFairway",2011
58,58,"Brendon de Jonge",105,52.57,266,506,"GIRPercentagefromOtherthanFairway",2011
59,59,"Bobby Gates",82,52.55,216,411,"GIRPercentagefromOtherthanFairway",2011
60,60,"Briny Baird",60,52.54,124,236,"GIRPercentagefromOtherthanFairway",2011
61,61,"Chris Couch",73,52.53,187,356,"GIRPercentagefromOtherthanFairway",2011
62,62,"Ryan Palmer",82,52.42,271,517,"GIRPercentagefromOtherthanFairway",2011
63,63,"Will Strickler",51,52.14,146,280,"GIRPercentagefromOtherthanFairway",2011
64,64,"Stewart Cink",72,52.13,208,399,"GIRPercentagefromOtherthanFairway",2011
65,65,"David Duval",67,52.12,234,449,"GIRPercentagefromOtherthanFairway",2011
66,66,"Tommy Gainey",104,52.1,298,572,"GIRPercentagefromOtherthanFairway",2011
67,67,"Jason Bohn",74,51.88,166,320,"GIRPercentagefromOtherthanFairway",2011
68,68,"Jonathan Byrd",83,51.87,236,455,"GIRPercentagefromOtherthanFairway",2011
69,69,"Chris DiMarco",93,51.69,214,414,"GIRPercentagefromOtherthanFairway",2011
