"Top10FinalRoundPerformance_RANKTHISWEEK_2005","Top10FinalRoundPerformance_RANKLASTWEEK_2005","Top10FinalRoundPerformance_PLAYERNAME_2005","Top10FinalRoundPerformance_EVENTS_2005","Top10FinalRoundPerformance_PctTIMESIMPROVED_2005","Top10FinalRoundPerformance_OFTIMESIMPROVED_2005","stat_name","year"
1,1,"Steve Allan",32,100,1,"Top10FinalRoundPerformance",2005
1,1,"Aaron Baddeley",27,100,3,"Top10FinalRoundPerformance",2005
1,1,"Doug Barron",24,100,2,"Top10FinalRoundPerformance",2005
1,1,"Rich Beem",26,100,2,"Top10FinalRoundPerformance",2005
1,1,"Danny Briggs",29,100,1,"Top10FinalRoundPerformance",2005
1,1,"Stewart Cink",26,100,1,"Top10FinalRoundPerformance",2005
1,1,"John Cook",26,100,1,"Top10FinalRoundPerformance",2005
1,1,"Joe Durant",25,100,1,"Top10FinalRoundPerformance",2005
1,1,"Todd Fischer",35,100,2,"Top10FinalRoundPerformance",2005
1,1,"Steve Flesch",30,100,1,"Top10FinalRoundPerformance",2005
1,1,"Brent Geiberger",21,100,1,"Top10FinalRoundPerformance",2005
1,1,"Matt Gogel",28,100,1,"Top10FinalRoundPerformance",2005
1,1,"JP Hayes",22,100,2,"Top10FinalRoundPerformance",2005
1,1,"Mark Hensby",21,100,2,"Top10FinalRoundPerformance",2005
1,1,"Brendan Jones",28,100,1,"Top10FinalRoundPerformance",2005
1,1,"Jerry Kelly",31,100,4,"Top10FinalRoundPerformance",2005
1,1,"Hank Kuehne",30,100,1,"Top10FinalRoundPerformance",2005
1,1,"Bernhard Langer",19,100,2,"Top10FinalRoundPerformance",2005
1,1,"JL Lewis",30,100,1,"Top10FinalRoundPerformance",2005
1,1,"Shigeki Maruyama",29,100,5,"Top10FinalRoundPerformance",2005
1,1,"Kevin Na",32,100,2,"Top10FinalRoundPerformance",2005
1,1,"Rory Sabbatini",26,100,1,"Top10FinalRoundPerformance",2005
1,1,"Heath Slocum",29,100,2,"Top10FinalRoundPerformance",2005
1,1,"Bob Tway",26,100,2,"Top10FinalRoundPerformance",2005
1,1,"Tjaart van der Walt",19,100,1,"Top10FinalRoundPerformance",2005
1,1,"Charles Warren",31,100,1,"Top10FinalRoundPerformance",2005
1,1,"Nick Watney",31,100,1,"Top10FinalRoundPerformance",2005
1,1,"Charlie Wi",23,100,1,"Top10FinalRoundPerformance",2005
29,29,"Tiger Woods",21,92.3,12,"Top10FinalRoundPerformance",2005
30,30,"Chris DiMarco",24,80,4,"Top10FinalRoundPerformance",2005
30,30,"Davis Love III",24,80,4,"Top10FinalRoundPerformance",2005
32,32,"Steve Elkington",20,75,3,"Top10FinalRoundPerformance",2005
32,32,"JJ Henry",32,75,3,"Top10FinalRoundPerformance",2005
34,34,"Vijay Singh",30,73.3,11,"Top10FinalRoundPerformance",2005
35,35,"Ben Crane",21,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"Ben Curtis",24,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"John Daly",25,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"Brad Faxon",23,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"Fred Funk",30,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"Jim Furyk",26,66.7,6,"Top10FinalRoundPerformance",2005
35,35,"Sergio Garcia",20,66.7,4,"Top10FinalRoundPerformance",2005
35,35,"Lucas Glover",28,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"Brandt Jobe",27,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"Jonathan Kaye",24,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"Justin Leonard",24,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"Ryan Palmer",32,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"Ted Purdy",34,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"Loren Roberts",18,66.7,2,"Top10FinalRoundPerformance",2005
35,35,"Vaughn Taylor",32,66.7,2,"Top10FinalRoundPerformance",2005
50,50,"Phil Mickelson",21,62.5,5,"Top10FinalRoundPerformance",2005
50,50,"David Toms",25,62.5,5,"Top10FinalRoundPerformance",2005
52,52,"Jason Bohn",28,60,3,"Top10FinalRoundPerformance",2005
52,52,"Luke Donald",18,60,3,"Top10FinalRoundPerformance",2005
52,52,"Charles Howell III",29,60,3,"Top10FinalRoundPerformance",2005
52,52,"Peter Lonard",27,60,3,"Top10FinalRoundPerformance",2005
52,52,"Billy Mayfair",31,60,3,"Top10FinalRoundPerformance",2005
52,52,"Joe Ogilvie",30,60,3,"Top10FinalRoundPerformance",2005
52,52,"Pat Perez",28,60,3,"Top10FinalRoundPerformance",2005
52,52,"Adam Scott",19,60,3,"Top10FinalRoundPerformance",2005
52,52,"Bo Van Pelt",33,60,3,"Top10FinalRoundPerformance",2005
61,61,"Retief Goosen",18,57.1,4,"Top10FinalRoundPerformance",2005
61,61,"Tim Herron",28,57.1,4,"Top10FinalRoundPerformance",2005
61,61,"Jose Maria Olazabal",16,57.1,4,"Top10FinalRoundPerformance",2005
64,64,"Arjun Atwal",17,50,1,"Top10FinalRoundPerformance",2005
64,64,"Woody Austin",30,50,2,"Top10FinalRoundPerformance",2005
64,64,"Cameron Beckman",31,50,1,"Top10FinalRoundPerformance",2005
64,64,"Fred Couples",22,50,1,"Top10FinalRoundPerformance",2005
64,64,"Brian Davis",23,50,1,"Top10FinalRoundPerformance",2005
64,64,"Brian Gay",33,50,1,"Top10FinalRoundPerformance",2005
64,64,"Mathias Gronberg",19,50,1,"Top10FinalRoundPerformance",2005
