"TenthTeeEarlyLowestRound_RANKTHISWEEK_2013","TenthTeeEarlyLowestRound_RANKLASTWEEK_2013","TenthTeeEarlyLowestRound_PLAYERNAME_2013","TenthTeeEarlyLowestRound_ROUNDS_2013","TenthTeeEarlyLowestRound_LOWRND_2013","stat_name","year"
1,1,"Keegan Bradley",88,60,"TenthTeeEarlyLowestRound",2013
1,1,"Phil Mickelson",78,60,"TenthTeeEarlyLowestRound",2013
3,3,"Chez Reavie",72,61,"TenthTeeEarlyLowestRound",2013
4,4,"Kevin Chappell",80,62,"TenthTeeEarlyLowestRound",2013
4,4,"Hunter Mahan",91,62,"TenthTeeEarlyLowestRound",2013
4,4,"Ryan Palmer",79,62,"TenthTeeEarlyLowestRound",2013
7,7,"Roberto Castro",97,63,"TenthTeeEarlyLowestRound",2013
7,7,"Erik Compton",74,63,"TenthTeeEarlyLowestRound",2013
7,7,"Bob Estes",66,63,"TenthTeeEarlyLowestRound",2013
7,7,"Martin Flores",83,63,"TenthTeeEarlyLowestRound",2013
7,7,"Jim Furyk",80,63,"TenthTeeEarlyLowestRound",2013
7,7,"Tom Gillis",69,63,"TenthTeeEarlyLowestRound",2013
7,7,"Luke Guthrie",82,63,"TenthTeeEarlyLowestRound",2013
7,7,"Russell Henley",80,63,"TenthTeeEarlyLowestRound",2013
7,7,"John Huh",88,63,"TenthTeeEarlyLowestRound",2013
7,7,"Martin Kaymer",61,63,"TenthTeeEarlyLowestRound",2013
7,7,"Jason Kokrak",78,63,"TenthTeeEarlyLowestRound",2013
7,7,"Patrick Reed",83,63,"TenthTeeEarlyLowestRound",2013
7,7,"Justin Rose",62,63,"TenthTeeEarlyLowestRound",2013
7,7,"Charl Schwartzel",69,63,"TenthTeeEarlyLowestRound",2013
7,7,"Brandt Snedeker",79,63,"TenthTeeEarlyLowestRound",2013
7,7,"Scott Stallings",79,63,"TenthTeeEarlyLowestRound",2013
7,7,"Daniel Summerhays",83,63,"TenthTeeEarlyLowestRound",2013
7,7,"YE Yang",56,63,"TenthTeeEarlyLowestRound",2013
25,25,"Sangmoon Bae",83,64,"TenthTeeEarlyLowestRound",2013
25,25,"Cameron Beckman",20,64,"TenthTeeEarlyLowestRound",2013
25,25,"Harris English",95,64,"TenthTeeEarlyLowestRound",2013
25,25,"Steve Flesch",17,64,"TenthTeeEarlyLowestRound",2013
25,25,"Rickie Fowler",75,64,"TenthTeeEarlyLowestRound",2013
25,25,"Tommy Gainey",84,64,"TenthTeeEarlyLowestRound",2013
25,25,"Fabian Gomez",65,64,"TenthTeeEarlyLowestRound",2013
25,25,"Padraig Harrington",52,64,"TenthTeeEarlyLowestRound",2013
25,25,"Justin Hicks",79,64,"TenthTeeEarlyLowestRound",2013
25,25,"Morgan Hoffmann",64,64,"TenthTeeEarlyLowestRound",2013
25,25,"Billy Horschel",96,64,"TenthTeeEarlyLowestRound",2013
25,25,"Zach Johnson",84,64,"TenthTeeEarlyLowestRound",2013
25,25,"Matt Jones",83,64,"TenthTeeEarlyLowestRound",2013
25,25,"Russell Knox",38,64,"TenthTeeEarlyLowestRound",2013
25,25,"Matt Kuchar",93,64,"TenthTeeEarlyLowestRound",2013
25,25,"David Lingmerth",68,64,"TenthTeeEarlyLowestRound",2013
25,25,"George McNeill",68,64,"TenthTeeEarlyLowestRound",2013
25,25,"Bryce Molder",82,64,"TenthTeeEarlyLowestRound",2013
25,25,"Scott Piercy",78,64,"TenthTeeEarlyLowestRound",2013
25,25,"DA Points",87,64,"TenthTeeEarlyLowestRound",2013
25,25,"Ted Potter Jr",65,64,"TenthTeeEarlyLowestRound",2013
25,25,"John Rollins",77,64,"TenthTeeEarlyLowestRound",2013
25,25,"Webb Simpson",92,64,"TenthTeeEarlyLowestRound",2013
25,25,"Kevin Stadler",83,64,"TenthTeeEarlyLowestRound",2013
25,25,"Robert Streb",75,64,"TenthTeeEarlyLowestRound",2013
25,25,"Chris Stroud",88,64,"TenthTeeEarlyLowestRound",2013
25,25,"Bo Van Pelt",72,64,"TenthTeeEarlyLowestRound",2013
25,25,"Jimmy Walker",84,64,"TenthTeeEarlyLowestRound",2013
53,53,"Shane Bertsch",4,65,"TenthTeeEarlyLowestRound",2013
53,53,"Matt Bettencourt",29,65,"TenthTeeEarlyLowestRound",2013
53,53,"Angel Cabrera",73,65,"TenthTeeEarlyLowestRound",2013
53,53,"Patrick Cantlay",18,65,"TenthTeeEarlyLowestRound",2013
53,53,"Bud Cauley",67,65,"TenthTeeEarlyLowestRound",2013
53,53,"Nicolas Colsaerts",50,65,"TenthTeeEarlyLowestRound",2013
53,53,"Glen Day",19,65,"TenthTeeEarlyLowestRound",2013
53,53,"Brendon de Jonge",110,65,"TenthTeeEarlyLowestRound",2013
53,53,"Graham DeLaet",94,65,"TenthTeeEarlyLowestRound",2013
53,53,"Ernie Els",63,65,"TenthTeeEarlyLowestRound",2013
53,53,"Matt Every",89,65,"TenthTeeEarlyLowestRound",2013
53,53,"Ross Fisher",44,65,"TenthTeeEarlyLowestRound",2013
53,53,"Sergio Garcia",65,65,"TenthTeeEarlyLowestRound",2013
53,53,"Brian Gay",79,65,"TenthTeeEarlyLowestRound",2013
53,53,"David Hearn",88,65,"TenthTeeEarlyLowestRound",2013
53,53,"Chris Kirk",89,65,"TenthTeeEarlyLowestRound",2013
53,53,"Justin Leonard",86,65,"TenthTeeEarlyLowestRound",2013
53,53,"David Lynn",70,65,"TenthTeeEarlyLowestRound",2013
53,53,"Hideki Matsuyama",26,65,"TenthTeeEarlyLowestRound",2013
53,53,"Graeme McDowell",53,65,"TenthTeeEarlyLowestRound",2013
53,53,"Henrik Norlander",70,65,"TenthTeeEarlyLowestRound",2013
53,53,"Geoff Ogilvy",57,65,"TenthTeeEarlyLowestRound",2013
53,53,"Jeff Overton",78,65,"TenthTeeEarlyLowestRound",2013
53,53,"Rod Pampling",46,65,"TenthTeeEarlyLowestRound",2013
53,53,"Pat Perez",69,65,"TenthTeeEarlyLowestRound",2013
53,53,"Tag Ridings",69,65,"TenthTeeEarlyLowestRound",2013
53,53,"Andres Romero",63,65,"TenthTeeEarlyLowestRound",2013
53,53,"Jordan Spieth",82,65,"TenthTeeEarlyLowestRound",2013
53,53,"Brendan Steele",86,65,"TenthTeeEarlyLowestRound",2013
53,53,"Shawn Stefani",63,65,"TenthTeeEarlyLowestRound",2013
53,53,"Henrik Stenson",65,65,"TenthTeeEarlyLowestRound",2013
53,53,"Kevin Sutherland",38,65,"TenthTeeEarlyLowestRound",2013
53,53,"Hideto Tanihara",4,65,"TenthTeeEarlyLowestRound",2013
53,53,"Josh Teater",86,65,"TenthTeeEarlyLowestRound",2013
53,53,"Peter Uihlein",10,65,"TenthTeeEarlyLowestRound",2013
53,53,"Camilo Villegas",79,65,"TenthTeeEarlyLowestRound",2013
53,53,"Aaron Watkins",46,65,"TenthTeeEarlyLowestRound",2013
53,53,"Mike Weir",60,65,"TenthTeeEarlyLowestRound",2013
53,53,"Charlie Wi",75,65,"TenthTeeEarlyLowestRound",2013
53,53,"Tiger Woods",61,65,"TenthTeeEarlyLowestRound",2013
93,93,"Billy Andrade",9,66,"TenthTeeEarlyLowestRound",2013
93,93,"Stuart Appleby",88,66,"TenthTeeEarlyLowestRound",2013
93,93,"Aaron Baddeley",68,66,"TenthTeeEarlyLowestRound",2013
93,93,"Greg Chalmers",77,66,"TenthTeeEarlyLowestRound",2013
93,93,"Will Claxton",67,66,"TenthTeeEarlyLowestRound",2013
93,93,"Ben Crane",62,66,"TenthTeeEarlyLowestRound",2013
93,93,"Ben Curtis",59,66,"TenthTeeEarlyLowestRound",2013
93,93,"Jason Day",86,66,"TenthTeeEarlyLowestRound",2013
93,93,"Luke Donald",60,66,"TenthTeeEarlyLowestRound",2013
93,93,"Robert Garrigus",69,66,"TenthTeeEarlyLowestRound",2013
93,93,"Bill Haas",85,66,"TenthTeeEarlyLowestRound",2013
93,93,"James Hahn",78,66,"TenthTeeEarlyLowestRound",2013
93,93,"Brian Harman",89,66,"TenthTeeEarlyLowestRound",2013
93,93,"Jim Herman",59,66,"TenthTeeEarlyLowestRound",2013
93,93,"Charley Hoffman",84,66,"TenthTeeEarlyLowestRound",2013
93,93,"Charles Howell III",87,66,"TenthTeeEarlyLowestRound",2013
93,93,"Freddie Jacobson",63,66,"TenthTeeEarlyLowestRound",2013
93,93,"Dustin Johnson",71,66,"TenthTeeEarlyLowestRound",2013
93,93,"Jerry Kelly",75,66,"TenthTeeEarlyLowestRound",2013
93,93,"Hank Kuehne",16,66,"TenthTeeEarlyLowestRound",2013
93,93,"Doug LaBelle II",72,66,"TenthTeeEarlyLowestRound",2013
93,93,"Scott Langley",79,66,"TenthTeeEarlyLowestRound",2013
93,93,"Steve LeBrun",66,66,"TenthTeeEarlyLowestRound",2013
93,93,"DH Lee",65,66,"TenthTeeEarlyLowestRound",2013
93,93,"Danny Lee",4,66,"TenthTeeEarlyLowestRound",2013
93,93,"Richard Lee",81,66,"TenthTeeEarlyLowestRound",2013
93,93,"Marc Leishman",77,66,"TenthTeeEarlyLowestRound",2013
93,93,"Luke List",65,66,"TenthTeeEarlyLowestRound",2013
93,93,"Bill Lunde",25,66,"TenthTeeEarlyLowestRound",2013
93,93,"William McGirt",75,66,"TenthTeeEarlyLowestRound",2013
93,93,"Rory McIlroy",56,66,"TenthTeeEarlyLowestRound",2013
93,93,"John Merrick",79,66,"TenthTeeEarlyLowestRound",2013
93,93,"Sean OHair",56,66,"TenthTeeEarlyLowestRound",2013
93,93,"Greg Owen",73,66,"TenthTeeEarlyLowestRound",2013
93,93,"Cameron Percy",68,66,"TenthTeeEarlyLowestRound",2013
93,93,"Jonathan Randolph",4,66,"TenthTeeEarlyLowestRound",2013
93,93,"Sam Saunders",4,66,"TenthTeeEarlyLowestRound",2013
93,93,"Adam Scott",61,66,"TenthTeeEarlyLowestRound",2013
93,93,"Joey Snyder III",38,66,"TenthTeeEarlyLowestRound",2013
93,93,"Kevin Streelman",86,66,"TenthTeeEarlyLowestRound",2013
93,93,"Steve Stricker",51,66,"TenthTeeEarlyLowestRound",2013
93,93,"Brian Stuard",78,66,"TenthTeeEarlyLowestRound",2013
93,93,"Vaughn Taylor",50,66,"TenthTeeEarlyLowestRound",2013
93,93,"Nicholas Thompson",99,66,"TenthTeeEarlyLowestRound",2013
93,93,"David Toms",49,66,"TenthTeeEarlyLowestRound",2013
93,93,"Cameron Tringale",80,66,"TenthTeeEarlyLowestRound",2013
93,93,"Johnson Wagner",64,66,"TenthTeeEarlyLowestRound",2013
93,93,"Bubba Watson",76,66,"TenthTeeEarlyLowestRound",2013
93,93,"Lee Westwood",70,66,"TenthTeeEarlyLowestRound",2013
93,93,"Lee Williams",62,66,"TenthTeeEarlyLowestRound",2013
93,93,"Chris Wood",15,66,"TenthTeeEarlyLowestRound",2013
93,93,"Gary Woodland",94,66,"TenthTeeEarlyLowestRound",2013
145,145,"Stephen Ames",49,67,"TenthTeeEarlyLowestRound",2013
145,145,"Ryan Blaum",8,67,"TenthTeeEarlyLowestRound",2013
145,145,"Jonas Blixt",76,67,"TenthTeeEarlyLowestRound",2013
145,145,"Steven Bowditch",67,67,"TenthTeeEarlyLowestRound",2013
145,145,"Bart Bryant",7,67,"TenthTeeEarlyLowestRound",2013
145,145,"Chad Campbell",78,67,"TenthTeeEarlyLowestRound",2013
145,145,"Paul Casey",22,67,"TenthTeeEarlyLowestRound",2013
145,145,"KJ Choi",85,67,"TenthTeeEarlyLowestRound",2013
145,145,"Stewart Cink",71,67,"TenthTeeEarlyLowestRound",2013
145,145,"Donald Constable",33,67,"TenthTeeEarlyLowestRound",2013
145,145,"Brian Davis",91,67,"TenthTeeEarlyLowestRound",2013
145,145,"James Driscoll",76,67,"TenthTeeEarlyLowestRound",2013
145,145,"Jason Dufner",78,67,"TenthTeeEarlyLowestRound",2013
145,145,"Ken Duke",87,67,"TenthTeeEarlyLowestRound",2013
145,145,"Derek Ernst",58,67,"TenthTeeEarlyLowestRound",2013
145,145,"Brad Fritsch",81,67,"TenthTeeEarlyLowestRound",2013
145,145,"Scott Gardiner",61,67,"TenthTeeEarlyLowestRound",2013
145,145,"Paul Haley II",44,67,"TenthTeeEarlyLowestRound",2013
145,145,"JJ Henry",83,67,"TenthTeeEarlyLowestRound",2013
145,145,"Brandt Jobe",62,67,"TenthTeeEarlyLowestRound",2013
145,145,"Jeff Klauk",24,67,"TenthTeeEarlyLowestRound",2013
145,145,"Colt Knost",69,67,"TenthTeeEarlyLowestRound",2013
145,145,"Ben Kohles",75,67,"TenthTeeEarlyLowestRound",2013
145,145,"Neal Lancaster",18,67,"TenthTeeEarlyLowestRound",2013
145,145,"Michael Letzig",44,67,"TenthTeeEarlyLowestRound",2013
145,145,"Peter Lonard",4,67,"TenthTeeEarlyLowestRound",2013
145,145,"Davis Love III",43,67,"TenthTeeEarlyLowestRound",2013
145,145,"Steve Marino",33,67,"TenthTeeEarlyLowestRound",2013
145,145,"David Mathis",71,67,"TenthTeeEarlyLowestRound",2013
145,145,"Ryan Moore",72,67,"TenthTeeEarlyLowestRound",2013
145,145,"Seung Yul Noh",71,67,"TenthTeeEarlyLowestRound",2013
145,145,"Louis Oosthuizen",30,67,"TenthTeeEarlyLowestRound",2013
145,145,"Jesper Parnevik",32,67,"TenthTeeEarlyLowestRound",2013
145,145,"Kenny Perry",10,67,"TenthTeeEarlyLowestRound",2013
145,145,"Dicky Pride",71,67,"TenthTeeEarlyLowestRound",2013
145,145,"Alexandre Rocha",11,67,"TenthTeeEarlyLowestRound",2013
145,145,"Rory Sabbatini",86,67,"TenthTeeEarlyLowestRound",2013
145,145,"Vijay Singh",61,67,"TenthTeeEarlyLowestRound",2013
145,145,"Kyle Stanley",71,67,"TenthTeeEarlyLowestRound",2013
145,145,"DJ Trahan",48,67,"TenthTeeEarlyLowestRound",2013
145,145,"Nick Watney",88,67,"TenthTeeEarlyLowestRound",2013
145,145,"Boo Weekley",100,67,"TenthTeeEarlyLowestRound",2013
145,145,"Steve Wheatcroft",4,67,"TenthTeeEarlyLowestRound",2013
145,145,"Casey Wittenberg",72,67,"TenthTeeEarlyLowestRound",2013
189,189,"Brad Adamonis",5,68,"TenthTeeEarlyLowestRound",2013
189,189,"Ricky Barnes",74,68,"TenthTeeEarlyLowestRound",2013
189,189,"Jason Bohn",70,68,"TenthTeeEarlyLowestRound",2013
189,189,"Justin Bolli",59,68,"TenthTeeEarlyLowestRound",2013
189,189,"Michael Bradley",56,68,"TenthTeeEarlyLowestRound",2013
189,189,"Scott Brown",65,68,"TenthTeeEarlyLowestRound",2013
189,189,"Kevin Carll",2,68,"TenthTeeEarlyLowestRound",2013
189,189,"Gary Christian",26,68,"TenthTeeEarlyLowestRound",2013
189,189,"Tim Clark",64,68,"TenthTeeEarlyLowestRound",2013
189,189,"Russ Cochran",4,68,"TenthTeeEarlyLowestRound",2013
189,189,"George Coetzee",37,68,"TenthTeeEarlyLowestRound",2013
189,189,"Fred Couples",16,68,"TenthTeeEarlyLowestRound",2013
189,189,"John Daly",31,68,"TenthTeeEarlyLowestRound",2013
189,189,"Chris DiMarco",33,68,"TenthTeeEarlyLowestRound",2013
189,189,"Gonzalo Fdez Castano",39,68,"TenthTeeEarlyLowestRound",2013
189,189,"Andres Gonzales",42,68,"TenthTeeEarlyLowestRound",2013
189,189,"Retief Goosen",27,68,"TenthTeeEarlyLowestRound",2013
189,189,"Jeff Gove",44,68,"TenthTeeEarlyLowestRound",2013
189,189,"Peter Hanson",45,68,"TenthTeeEarlyLowestRound",2013
189,189,"Trevor Immelman",73,68,"TenthTeeEarlyLowestRound",2013
189,189,"Ryo Ishikawa",72,68,"TenthTeeEarlyLowestRound",2013
189,189,"Robert Karlsson",56,68,"TenthTeeEarlyLowestRound",2013
189,189,"Martin Laird",68,68,"TenthTeeEarlyLowestRound",2013
189,189,"Shane Lowry",27,68,"TenthTeeEarlyLowestRound",2013
189,189,"Jeff Maggert",63,68,"TenthTeeEarlyLowestRound",2013
189,189,"Eric Meierdierks",48,68,"TenthTeeEarlyLowestRound",2013
189,189,"Kevin Na",22,68,"TenthTeeEarlyLowestRound",2013
189,189,"Jin Park",52,68,"TenthTeeEarlyLowestRound",2013
189,189,"Tim Petrovic",37,68,"TenthTeeEarlyLowestRound",2013
189,189,"Carl Pettersson",82,68,"TenthTeeEarlyLowestRound",2013
189,189,"Ian Poulter",59,68,"TenthTeeEarlyLowestRound",2013
189,189,"John Senden",79,68,"TenthTeeEarlyLowestRound",2013
189,189,"Paul Stankowski",4,68,"TenthTeeEarlyLowestRound",2013
189,189,"Andrew Svoboda",46,68,"TenthTeeEarlyLowestRound",2013
189,189,"Peter Tomasulo",36,68,"TenthTeeEarlyLowestRound",2013
189,189,"Jhonattan Vegas",7,68,"TenthTeeEarlyLowestRound",2013
189,189,"Chris Williams",14,68,"TenthTeeEarlyLowestRound",2013
189,189,"Mark Wilson",56,68,"TenthTeeEarlyLowestRound",2013
227,227,"Kiradech Aphibarnrat",10,69,"TenthTeeEarlyLowestRound",2013
227,227,"Charlie Beljan",62,69,"TenthTeeEarlyLowestRound",2013
227,227,"Jonathan Byrd",39,69,"TenthTeeEarlyLowestRound",2013
227,227,"Joe Durant",19,69,"TenthTeeEarlyLowestRound",2013
227,227,"Lucas Glover",65,69,"TenthTeeEarlyLowestRound",2013
227,227,"Tim Herron",45,69,"TenthTeeEarlyLowestRound",2013
227,227,"Scott Jamieson",10,69,"TenthTeeEarlyLowestRound",2013
227,227,"Steve Jones",3,69,"TenthTeeEarlyLowestRound",2013
227,227,"Si Woo Kim",16,69,"TenthTeeEarlyLowestRound",2013
227,227,"Michael Kim",8,69,"TenthTeeEarlyLowestRound",2013
227,227,"John Mallinger",39,69,"TenthTeeEarlyLowestRound",2013
227,227,"Troy Matteson",68,69,"TenthTeeEarlyLowestRound",2013
227,227,"Billy Mayfair",34,69,"TenthTeeEarlyLowestRound",2013
227,227,"Nick OHern",34,69,"TenthTeeEarlyLowestRound",2013
227,227,"Joe Ogilvie",40,69,"TenthTeeEarlyLowestRound",2013
