"SandSavePercentage_RANKTHISWEEK_2005","SandSavePercentage_RANKLASTWEEK_2005","SandSavePercentage_PLAYERNAME_2005","SandSavePercentage_ROUNDS_2005","SandSavePercentage_Pct_2005","SandSavePercentage_SAVES_2005","SandSavePercentage_BUNKERS_2005","SandSavePercentage_TOTALOUPAR_2005","stat_name","year"
1,1,"Pat Perez",89,62.96,85,135,25,"SandSavePercentage",2005
2,2,"Tim Clark",92,62.7,79,126,18,"SandSavePercentage",2005
3,3,"Stephen Ames",82,61.42,78,127,38,"SandSavePercentage",2005
4,4,"Brett Quigley",96,60.87,98,161,36,"SandSavePercentage",2005
5,5,"Mike Weir",71,60.83,73,120,36,"SandSavePercentage",2005
6,6,"Davis Love III",80,60.78,62,102,22,"SandSavePercentage",2005
7,7,"Kevin Sutherland",89,60,75,125,21,"SandSavePercentage",2005
8,8,"Ben Crane",78,59.83,70,117,35,"SandSavePercentage",2005
9,9,"Luke Donald",67,59.77,52,87,26,"SandSavePercentage",2005
10,10,"Joe Ogilvie",103,59.65,102,171,45,"SandSavePercentage",2005
11,11,"Jim Furyk",94,58.68,71,121,21,"SandSavePercentage",2005
12,12,"Richard Johnson",50,58.18,32,55,7,"SandSavePercentage",2005
13,13,"Vijay Singh",111,57.42,89,155,12,"SandSavePercentage",2005
14,14,"Rory Sabbatini",81,57.38,70,122,36,"SandSavePercentage",2005
15,15,"Phil Mickelson",81,57.26,67,117,23,"SandSavePercentage",2005
16,16,"Geoff Ogilvy",97,57.23,91,159,43,"SandSavePercentage",2005
17,17,"Phillip Price",77,56.91,70,123,40,"SandSavePercentage",2005
18,18,"Lee Janzen",75,56.6,60,106,41,"SandSavePercentage",2005
19,19,"Jose Maria Olazabal",55,56.58,43,76,22,"SandSavePercentage",2005
20,20,"Robert Damron",89,56.46,83,147,48,"SandSavePercentage",2005
21,21,"Gavin Coles",70,56.3,67,119,45,"SandSavePercentage",2005
22,22,"Brent Geiberger",61,56.25,45,80,30,"SandSavePercentage",2005
22,22,"Carl Pettersson",109,56.25,90,160,40,"SandSavePercentage",2005
22,22,"Kirk Triplett",55,56.25,36,64,21,"SandSavePercentage",2005
25,25,"Brian Gay",101,55.9,90,161,60,"SandSavePercentage",2005
26,26,"Jeff Sluman",94,55.76,92,165,52,"SandSavePercentage",2005
27,27,"Ryuji Imada",78,55.64,74,133,35,"SandSavePercentage",2005
28,28,"Mark Wilson",74,55.45,61,110,32,"SandSavePercentage",2005
29,29,"Tjaart van der Walt",56,55.42,46,83,21,"SandSavePercentage",2005
30,30,"Freddie Jacobson",72,55.38,72,130,47,"SandSavePercentage",2005
31,31,"Justin Leonard",78,55.36,62,112,27,"SandSavePercentage",2005
32,32,"Omar Uresti",84,55.28,68,123,39,"SandSavePercentage",2005
33,33,"Brian Davis",75,55.24,58,105,31,"SandSavePercentage",2005
34,34,"Fred Couples",72,55.21,53,96,18,"SandSavePercentage",2005
35,35,"Shigeki Maruyama",99,55.19,85,154,48,"SandSavePercentage",2005
36,36,"Daniel Chopra",108,55.03,93,169,48,"SandSavePercentage",2005
37,37,"Steve Flesch",90,54.89,73,133,36,"SandSavePercentage",2005
38,38,"Loren Roberts",54,54.69,35,64,28,"SandSavePercentage",2005
39,39,"Chris Riley",67,54.64,53,97,42,"SandSavePercentage",2005
40,40,"Dean Wilson",86,54.62,65,119,37,"SandSavePercentage",2005
41,41,"Mark Calcavecchia",92,54.61,83,152,43,"SandSavePercentage",2005
42,42,"Retief Goosen",71,54.55,36,66,20,"SandSavePercentage",2005
43,43,"Larry Mize",54,54.43,43,79,25,"SandSavePercentage",2005
44,44,"Stewart Cink",98,54.41,74,136,46,"SandSavePercentage",2005
45,45,"Justin Rose",99,54.38,87,160,38,"SandSavePercentage",2005
46,46,"Tiger Woods",76,54.21,58,107,25,"SandSavePercentage",2005
47,47,"Mark OMeara",66,54.08,53,98,45,"SandSavePercentage",2005
48,48,"James Driscoll",73,54.03,67,124,32,"SandSavePercentage",2005
49,49,"Charlie Wi",67,53.98,61,113,35,"SandSavePercentage",2005
50,50,"Stephen Leaney",89,53.49,69,129,42,"SandSavePercentage",2005
50,50,"Scott Verplank",87,53.49,69,129,43,"SandSavePercentage",2005
52,52,"Steve Allan",102,53.29,81,152,48,"SandSavePercentage",2005
53,53,"Kevin Na",88,53.25,82,154,57,"SandSavePercentage",2005
54,54,"KJ Choi",78,52.94,72,136,52,"SandSavePercentage",2005
54,54,"Bernhard Langer",67,52.94,63,119,42,"SandSavePercentage",2005
56,56,"John Senden",101,52.9,73,138,36,"SandSavePercentage",2005
57,57,"Jose Coceres",56,52.69,49,93,32,"SandSavePercentage",2005
58,58,"Cameron Beckman",96,52.55,72,137,41,"SandSavePercentage",2005
59,59,"Corey Pavin",77,52.5,63,120,48,"SandSavePercentage",2005
60,60,"Craig Barlow",81,52.48,53,101,28,"SandSavePercentage",2005
61,61,"Billy Andrade",83,52.45,75,143,39,"SandSavePercentage",2005
62,62,"Andrew Magee",82,52.34,67,128,49,"SandSavePercentage",2005
63,63,"Chris DiMarco",83,52.29,57,109,40,"SandSavePercentage",2005
64,64,"Len Mattiace",86,52.27,92,176,76,"SandSavePercentage",2005
65,65,"Charles Howell III",95,52.23,82,157,49,"SandSavePercentage",2005
66,66,"Fred Funk",102,52.12,86,165,62,"SandSavePercentage",2005
67,67,"Marco Dawson",82,51.97,66,127,38,"SandSavePercentage",2005
68,68,"Glen Day",80,51.92,54,104,30,"SandSavePercentage",2005
68,68,"Sean OHair",103,51.92,81,156,48,"SandSavePercentage",2005
70,70,"Bob Tway",87,51.26,61,119,42,"SandSavePercentage",2005
71,71,"Billy Mayfair",114,51.2,85,166,39,"SandSavePercentage",2005
72,72,"Doug Barron",70,51.04,49,96,28,"SandSavePercentage",2005
73,73,"Carlos Franco",78,51.02,50,98,28,"SandSavePercentage",2005
74,74,"JP Hayes",63,50.98,52,102,33,"SandSavePercentage",2005
75,75,"Craig Perks",67,50.91,56,110,42,"SandSavePercentage",2005
76,76,"Aaron Baddeley",84,50.78,65,128,50,"SandSavePercentage",2005
77,77,"Brendan Jones",81,50.48,53,105,35,"SandSavePercentage",2005
78,78,"Rich Beem",66,50.47,54,107,40,"SandSavePercentage",2005
79,79,"Franklin Langham",91,50.39,64,127,46,"SandSavePercentage",2005
80,80,"DA Points",94,50.36,69,137,46,"SandSavePercentage",2005
81,81,"Tim Herron",100,50.3,84,167,46,"SandSavePercentage",2005
82,82,"Glen Hnatiuk",59,50,42,84,30,"SandSavePercentage",2005
82,82,"Darron Stiles",78,50,60,120,43,"SandSavePercentage",2005
82,82,"Hidemichi Tanaka",106,50,79,158,48,"SandSavePercentage",2005
82,82,"Mario Tiziani",67,50,51,102,36,"SandSavePercentage",2005
86,86,"Zach Johnson",96,49.65,70,141,62,"SandSavePercentage",2005
87,87,"Jason Bohn",91,49.6,62,125,43,"SandSavePercentage",2005
88,88,"Olin Browne",99,49.59,61,123,54,"SandSavePercentage",2005
89,89,"Arron Oberholser",65,49.54,54,109,41,"SandSavePercentage",2005
90,90,"Sergio Garcia",73,49.53,53,107,26,"SandSavePercentage",2005
91,91,"Matt Kuchar",60,49.37,39,79,27,"SandSavePercentage",2005
91,91,"Ryan Palmer",101,49.37,78,158,60,"SandSavePercentage",2005
93,93,"Tag Ridings",93,49.25,66,134,44,"SandSavePercentage",2005
94,94,"Tom Byrum",83,49.11,55,112,54,"SandSavePercentage",2005
95,95,"Stuart Appleby",84,49.09,54,110,43,"SandSavePercentage",2005
96,96,"Jonathan Byrd",103,49.08,80,163,52,"SandSavePercentage",2005
97,97,"Brenden Pappas",51,49.06,26,53,21,"SandSavePercentage",2005
98,98,"JL Lewis",98,48.87,65,133,39,"SandSavePercentage",2005
99,99,"Rod Pampling",89,48.78,60,123,40,"SandSavePercentage",2005
100,100,"Mark Brooks",72,48.72,57,117,65,"SandSavePercentage",2005
101,101,"Brad Faxon",75,48.7,56,115,44,"SandSavePercentage",2005
102,102,"John Daly",78,48.67,55,113,47,"SandSavePercentage",2005
103,103,"Justin Bolli",65,48.65,54,111,40,"SandSavePercentage",2005
104,104,"Dan Forsman",52,48.61,35,72,19,"SandSavePercentage",2005
