"OnePuttPercentageRound1_RANKTHISWEEK_2012","OnePuttPercentageRound1_RANKLASTWEEK_2012","OnePuttPercentageRound1_PLAYERNAME_2012","OnePuttPercentageRound1_ROUNDS_2012","OnePuttPercentageRound1_Pct_2012","OnePuttPercentageRound1_OF1PUTTS_2012","OnePuttPercentageRound1_OFHOLES_2012","stat_name","year"
1,1,"Aaron Baddeley",73,45.24,171,378,"OnePuttPercentageRound1",2012
2,2,"Dustin Johnson",70,44.44,144,324,"OnePuttPercentageRound1",2012
3,3,"Carl Pettersson",92,44.23,207,468,"OnePuttPercentageRound1",2012
4,4,"Rory McIlroy",60,44.07,119,270,"OnePuttPercentageRound1",2012
5,5,"Ian Poulter",57,44.05,111,252,"OnePuttPercentageRound1",2012
6,6,"Kevin Na",80,43.96,182,414,"OnePuttPercentageRound1",2012
7,7,"Greg Chalmers",88,43.75,189,432,"OnePuttPercentageRound1",2012
7,7,"Robert Karlsson",54,43.75,126,288,"OnePuttPercentageRound1",2012
9,9,"Phil Mickelson",79,43.69,173,396,"OnePuttPercentageRound1",2012
10,10,"Ryan Moore",89,43.52,188,432,"OnePuttPercentageRound1",2012
11,11,"Charl Schwartzel",56,43.33,117,270,"OnePuttPercentageRound1",2012
12,12,"Keegan Bradley",90,43.29,187,432,"OnePuttPercentageRound1",2012
13,13,"Brandt Snedeker",81,42.86,162,378,"OnePuttPercentageRound1",2012
14,14,"Rory Sabbatini",84,42.72,223,522,"OnePuttPercentageRound1",2012
15,15,"Jason Dufner",83,42.59,161,378,"OnePuttPercentageRound1",2012
15,15,"Ken Duke",104,42.59,230,540,"OnePuttPercentageRound1",2012
15,15,"Zach Johnson",95,42.59,184,432,"OnePuttPercentageRound1",2012
18,18,"Derek Lamely",64,42.44,191,450,"OnePuttPercentageRound1",2012
19,19,"Luke Donald",63,42.36,122,288,"OnePuttPercentageRound1",2012
20,20,"David Toms",60,42.28,137,324,"OnePuttPercentageRound1",2012
21,21,"Matt Every",80,42.22,190,450,"OnePuttPercentageRound1",2012
21,21,"Nick Watney",97,42.22,190,450,"OnePuttPercentageRound1",2012
23,23,"Ben Crane",73,42.17,167,396,"OnePuttPercentageRound1",2012
24,24,"David Mathis",83,42.06,212,504,"OnePuttPercentageRound1",2012
25,25,"Jason Day",57,42.01,121,288,"OnePuttPercentageRound1",2012
26,26,"Scott Piercy",95,41.87,211,504,"OnePuttPercentageRound1",2012
26,26,"Chris Stroud",86,41.87,211,504,"OnePuttPercentageRound1",2012
28,28,"Harrison Frazar",56,41.81,143,342,"OnePuttPercentageRound1",2012
29,29,"James Driscoll",83,41.77,203,486,"OnePuttPercentageRound1",2012
30,30,"Jonas Blixt",72,41.53,157,378,"OnePuttPercentageRound1",2012
31,31,"Padraig Harrington",67,41.5,127,306,"OnePuttPercentageRound1",2012
32,32,"Chris Couch",61,41.39,149,360,"OnePuttPercentageRound1",2012
33,33,"Colt Knost",79,41.27,208,504,"OnePuttPercentageRound1",2012
34,34,"Pat Perez",81,41.16,163,396,"OnePuttPercentageRound1",2012
35,35,"Stuart Appleby",75,41.06,170,414,"OnePuttPercentageRound1",2012
36,36,"Matt Kuchar",86,41.01,155,378,"OnePuttPercentageRound1",2012
37,37,"Charlie Wi",86,40.89,184,450,"OnePuttPercentageRound1",2012
38,38,"Davis Love III",64,40.83,147,360,"OnePuttPercentageRound1",2012
39,39,"Bo Van Pelt",84,40.82,169,414,"OnePuttPercentageRound1",2012
40,40,"Ryuji Imada",78,40.74,198,486,"OnePuttPercentageRound1",2012
40,40,"Webb Simpson",77,40.74,154,378,"OnePuttPercentageRound1",2012
42,42,"Steve Stricker",73,40.43,131,324,"OnePuttPercentageRound1",2012
43,43,"Tom Gillis",75,40.34,167,414,"OnePuttPercentageRound1",2012
44,44,"Bud Cauley",99,40.28,203,504,"OnePuttPercentageRound1",2012
44,44,"Bill Lunde",83,40.28,174,432,"OnePuttPercentageRound1",2012
46,46,"Troy Kelly",68,40.15,159,396,"OnePuttPercentageRound1",2012
46,46,"Rocco Mediate",70,40.15,159,396,"OnePuttPercentageRound1",2012
48,48,"JJ Killeen",101,40.1,231,576,"OnePuttPercentageRound1",2012
48,48,"Marc Leishman",84,40.1,166,414,"OnePuttPercentageRound1",2012
50,50,"John Daly",50,40.08,101,252,"OnePuttPercentageRound1",2012
51,51,"Jonathan Byrd",69,40,144,360,"OnePuttPercentageRound1",2012
52,52,"Andres Romero",68,39.95,151,378,"OnePuttPercentageRound1",2012
53,53,"Brian Gay",91,39.92,194,486,"OnePuttPercentageRound1",2012
54,54,"Bob Estes",78,39.86,165,414,"OnePuttPercentageRound1",2012
55,55,"Jerry Kelly",84,39.74,186,468,"OnePuttPercentageRound1",2012
56,56,"Ernie Els",80,39.68,150,378,"OnePuttPercentageRound1",2012
56,56,"David Hearn",95,39.68,200,504,"OnePuttPercentageRound1",2012
58,58,"Graeme McDowell",55,39.63,107,270,"OnePuttPercentageRound1",2012
59,59,"Jim Furyk",85,39.61,164,414,"OnePuttPercentageRound1",2012
60,60,"Chris Kirk",93,39.53,185,468,"OnePuttPercentageRound1",2012
61,61,"Tiger Woods",69,39.51,128,324,"OnePuttPercentageRound1",2012
62,62,"Sung Kang",75,39.46,206,522,"OnePuttPercentageRound1",2012
63,63,"Gary Woodland",70,39.42,149,378,"OnePuttPercentageRound1",2012
64,64,"Tom Pernice Jr",62,39.39,156,396,"OnePuttPercentageRound1",2012
65,65,"Graham DeLaet",79,39.37,163,414,"OnePuttPercentageRound1",2012
66,66,"Justin Leonard",79,39.33,177,450,"OnePuttPercentageRound1",2012
67,67,"Billy Mayfair",90,39.3,191,486,"OnePuttPercentageRound1",2012
68,68,"Kevin Chappell",91,39.29,198,504,"OnePuttPercentageRound1",2012
69,69,"Troy Matteson",100,39.25,219,558,"OnePuttPercentageRound1",2012
70,70,"Justin Rose",69,39.2,127,324,"OnePuttPercentageRound1",2012
71,71,"Tim Clark",60,39.18,134,342,"OnePuttPercentageRound1",2012
72,72,"Martin Laird",77,39.15,148,378,"OnePuttPercentageRound1",2012
73,73,"Brendan Steele",77,39.13,162,414,"OnePuttPercentageRound1",2012
74,74,"Brendon Todd",78,39.09,197,504,"OnePuttPercentageRound1",2012
75,75,"Mark Anderson",75,38.89,168,432,"OnePuttPercentageRound1",2012
76,76,"Brian Davis",91,38.7,202,522,"OnePuttPercentageRound1",2012
76,76,"Brian Harman",101,38.7,209,540,"OnePuttPercentageRound1",2012
78,78,"Jimmy Walker",101,38.69,195,504,"OnePuttPercentageRound1",2012
79,79,"Nick OHern",78,38.67,174,450,"OnePuttPercentageRound1",2012
79,79,"Rod Pampling",88,38.67,174,450,"OnePuttPercentageRound1",2012
79,79,"Michael Thompson",80,38.67,174,450,"OnePuttPercentageRound1",2012
82,82,"Spencer Levin",81,38.66,167,432,"OnePuttPercentageRound1",2012
83,83,"Freddie Jacobson",61,38.54,111,288,"OnePuttPercentageRound1",2012
84,84,"Matt Bettencourt",80,38.52,208,540,"OnePuttPercentageRound1",2012
84,84,"Sergio Garcia",57,38.52,104,270,"OnePuttPercentageRound1",2012
86,86,"Josh Teater",97,38.51,201,522,"OnePuttPercentageRound1",2012
87,87,"Lee Westwood",60,38.49,97,252,"OnePuttPercentageRound1",2012
88,88,"Mark Wilson",84,38.43,166,432,"OnePuttPercentageRound1",2012
89,89,"Tommy Gainey",98,38.37,221,576,"OnePuttPercentageRound1",2012
90,90,"Nathan Green",73,38.36,145,378,"OnePuttPercentageRound1",2012
91,91,"Patrick Sheehan",58,38.33,138,360,"OnePuttPercentageRound1",2012
92,92,"Vijay Singh",99,38.27,186,486,"OnePuttPercentageRound1",2012
93,93,"Billy Hurley III",70,38.25,179,468,"OnePuttPercentageRound1",2012
94,94,"Blake Adams",107,38.19,220,576,"OnePuttPercentageRound1",2012
94,94,"Billy Horschel",63,38.19,110,288,"OnePuttPercentageRound1",2012
94,94,"Ryan Palmer",81,38.19,165,432,"OnePuttPercentageRound1",2012
97,97,"Arjun Atwal",79,38.03,178,468,"OnePuttPercentageRound1",2012
98,98,"YE Yang",64,38.01,130,342,"OnePuttPercentageRound1",2012
99,99,"Louis Oosthuizen",65,37.96,123,324,"OnePuttPercentageRound1",2012
100,100,"Greg Owen",90,37.86,184,486,"OnePuttPercentageRound1",2012
101,101,"Tommy Biershenk",74,37.82,177,468,"OnePuttPercentageRound1",2012
102,102,"Bryce Molder",83,37.73,163,432,"OnePuttPercentageRound1",2012
103,103,"Chris DiMarco",83,37.7,190,504,"OnePuttPercentageRound1",2012
104,104,"William McGirt",96,37.59,203,540,"OnePuttPercentageRound1",2012
105,105,"Vaughn Taylor",81,37.56,169,450,"OnePuttPercentageRound1",2012
106,106,"Seung Yul Noh",105,37.45,182,486,"OnePuttPercentageRound1",2012
107,107,"Martin Flores",95,37.41,202,540,"OnePuttPercentageRound1",2012
108,108,"Gavin Coles",72,37.37,148,396,"OnePuttPercentageRound1",2012
108,108,"Mathew Goggin",65,37.37,148,396,"OnePuttPercentageRound1",2012
110,110,"George McNeill",85,37.33,168,450,"OnePuttPercentageRound1",2012
111,111,"JB Holmes",90,37.27,161,432,"OnePuttPercentageRound1",2012
112,112,"Ryo Ishikawa",54,37.25,114,306,"OnePuttPercentageRound1",2012
113,113,"John Huh",99,37.1,187,504,"OnePuttPercentageRound1",2012
114,114,"Sangmoon Bae",81,37.04,160,432,"OnePuttPercentageRound1",2012
114,114,"Garth Mulroy",59,37.04,120,324,"OnePuttPercentageRound1",2012
116,116,"John Mallinger",74,36.96,153,414,"OnePuttPercentageRound1",2012
117,117,"Brendon de Jonge",115,36.92,206,558,"OnePuttPercentageRound1",2012
118,118,"Danny Lee",74,36.89,166,450,"OnePuttPercentageRound1",2012
119,119,"Scott Stallings",78,36.63,178,486,"OnePuttPercentageRound1",2012
119,119,"Johnson Wagner",88,36.63,178,486,"OnePuttPercentageRound1",2012
121,121,"Russell Knox",72,36.62,145,396,"OnePuttPercentageRound1",2012
122,122,"Marco Dawson",60,36.51,138,378,"OnePuttPercentageRound1",2012
122,122,"John Senden",81,36.51,138,378,"OnePuttPercentageRound1",2012
124,124,"Brandt Jobe",57,36.42,118,324,"OnePuttPercentageRound1",2012
124,124,"Bubba Watson",68,36.42,118,324,"OnePuttPercentageRound1",2012
126,126,"Stephen Ames",54,36.39,131,360,"OnePuttPercentageRound1",2012
