"TenthTeeLateRound2ScoringAverage_RANKTHISWEEK_2013","TenthTeeLateRound2ScoringAverage_RANKLASTWEEK_2013","TenthTeeLateRound2ScoringAverage_PLAYERNAME_2013","TenthTeeLateRound2ScoringAverage__2013","TenthTeeLateRound2ScoringAverage_AVG_2013","TenthTeeLateRound2ScoringAverage_TOTALSTROKES_2013","TenthTeeLateRound2ScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Jim Furyk",NA,65.67,197,3,"TenthTeeLateRound2ScoringAverage",2013
2,2,"Charles Howell III",NA,66.75,267,4,"TenthTeeLateRound2ScoringAverage",2013
3,3,"Rickie Fowler",NA,67,67,1,"TenthTeeLateRound2ScoringAverage",2013
3,3,"Steve Stricker",NA,67,67,1,"TenthTeeLateRound2ScoringAverage",2013
5,5,"Jim Herman",NA,68,136,2,"TenthTeeLateRound2ScoringAverage",2013
6,6,"Brian Stuard",NA,68.33,410,6,"TenthTeeLateRound2ScoringAverage",2013
7,7,"Charl Schwartzel",NA,68.5,137,2,"TenthTeeLateRound2ScoringAverage",2013
8,8,"John Huh",NA,68.63,549,8,"TenthTeeLateRound2ScoringAverage",2013
9,9,"Erik Compton",NA,68.75,275,4,"TenthTeeLateRound2ScoringAverage",2013
10,10,"Steven Bowditch",NA,68.83,413,6,"TenthTeeLateRound2ScoringAverage",2013
11,11,"Martin Flores",NA,69,621,9,"TenthTeeLateRound2ScoringAverage",2013
11,11,"Graeme McDowell",NA,69,138,2,"TenthTeeLateRound2ScoringAverage",2013
11,11,"Cameron Percy",NA,69,345,5,"TenthTeeLateRound2ScoringAverage",2013
11,11,"Bubba Watson",NA,69,69,1,"TenthTeeLateRound2ScoringAverage",2013
15,15,"Brendon de Jonge",NA,69.11,622,9,"TenthTeeLateRound2ScoringAverage",2013
16,16,"Ted Potter Jr",NA,69.29,485,7,"TenthTeeLateRound2ScoringAverage",2013
17,17,"Chris Stroud",NA,69.4,347,5,"TenthTeeLateRound2ScoringAverage",2013
18,18,"Angel Cabrera",NA,69.5,278,4,"TenthTeeLateRound2ScoringAverage",2013
18,18,"Tom Gillis",NA,69.5,278,4,"TenthTeeLateRound2ScoringAverage",2013
