"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2012","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2012","AverageDistanceafterGoingforitShot_PLAYERNAME_2012","AverageDistanceafterGoingforitShot_ROUNDS_2012","AverageDistanceafterGoingforitShot_AVG_2012","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2012","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2012","stat_name","year"
115,115,"Tim Herron",88,24.7,108650,122,"AverageDistanceafterGoingforitShot",2012
115,115,"John Mallinger",74,24.7,72892,82,"AverageDistanceafterGoingforitShot",2012
115,115,"Steve Stricker",73,24.7,86303,97,"AverageDistanceafterGoingforitShot",2012
115,115,"Cameron Tringale",88,24.7,150042,169,"AverageDistanceafterGoingforitShot",2012
121,121,"Matt Bettencourt",80,24.8,95563,107,"AverageDistanceafterGoingforitShot",2012
121,121,"Gavin Coles",72,24.8,51874,58,"AverageDistanceafterGoingforitShot",2012
121,121,"David Hearn",95,24.8,117005,131,"AverageDistanceafterGoingforitShot",2012
121,121,"Troy Kelly",68,24.8,81085,91,"AverageDistanceafterGoingforitShot",2012
121,121,"Chris Kirk",93,24.8,158110,177,"AverageDistanceafterGoingforitShot",2012
121,121,"Rory Sabbatini",84,24.8,145550,163,"AverageDistanceafterGoingforitShot",2012
127,127,"Mark Anderson",75,24.9,105608,118,"AverageDistanceafterGoingforitShot",2012
127,127,"Stephen Gangluff",57,24.9,66464,74,"AverageDistanceafterGoingforitShot",2012
127,127,"Matt Jones",53,24.9,78758,88,"AverageDistanceafterGoingforitShot",2012
127,127,"John Rollins",81,24.9,134713,150,"AverageDistanceafterGoingforitShot",2012
131,131,"Jonathan Byrd",69,25,114255,127,"AverageDistanceafterGoingforitShot",2012
131,131,"Bobby Gates",87,25,155021,172,"AverageDistanceafterGoingforitShot",2012
131,131,"Graeme McDowell",55,25,57657,64,"AverageDistanceafterGoingforitShot",2012
134,134,"Stuart Appleby",75,25.1,87759,97,"AverageDistanceafterGoingforitShot",2012
135,135,"Robert Allenby",76,25.2,95321,105,"AverageDistanceafterGoingforitShot",2012
135,135,"Robert Karlsson",54,25.2,89008,98,"AverageDistanceafterGoingforitShot",2012
135,135,"Jason Kokrak",79,25.2,130471,144,"AverageDistanceafterGoingforitShot",2012
138,138,"Chris DiMarco",83,25.3,86411,95,"AverageDistanceafterGoingforitShot",2012
138,138,"Scott Piercy",95,25.3,188669,207,"AverageDistanceafterGoingforitShot",2012
138,138,"Brendon Todd",78,25.3,71844,79,"AverageDistanceafterGoingforitShot",2012
141,141,"Nathan Green",73,25.4,109568,120,"AverageDistanceafterGoingforitShot",2012
141,141,"Bill Lunde",83,25.4,111456,122,"AverageDistanceafterGoingforitShot",2012
141,141,"Jeff Maggert",83,25.4,122735,134,"AverageDistanceafterGoingforitShot",2012
144,144,"Arjun Atwal",79,25.5,111166,121,"AverageDistanceafterGoingforitShot",2012
144,144,"Charlie Wi",86,25.5,114923,125,"AverageDistanceafterGoingforitShot",2012
146,146,"Jason Day",57,25.6,93239,101,"AverageDistanceafterGoingforitShot",2012
146,146,"Tommy Gainey",98,25.6,157675,171,"AverageDistanceafterGoingforitShot",2012
146,146,"Kevin Na",80,25.6,126113,137,"AverageDistanceafterGoingforitShot",2012
149,149,"Tim Clark",60,25.7,60988,66,"AverageDistanceafterGoingforitShot",2012
149,149,"Chris Stroud",86,25.7,113042,122,"AverageDistanceafterGoingforitShot",2012
151,151,"John Huh",99,25.8,160811,173,"AverageDistanceafterGoingforitShot",2012
151,151,"Rocco Mediate",70,25.8,93710,101,"AverageDistanceafterGoingforitShot",2012
151,151,"Phil Mickelson",79,25.8,132123,142,"AverageDistanceafterGoingforitShot",2012
151,151,"Heath Slocum",93,25.8,104905,113,"AverageDistanceafterGoingforitShot",2012
155,155,"Ben Crane",73,26,123699,132,"AverageDistanceafterGoingforitShot",2012
155,155,"Spencer Levin",81,26,122685,131,"AverageDistanceafterGoingforitShot",2012
157,157,"Patrick Sheehan",58,26.1,60074,64,"AverageDistanceafterGoingforitShot",2012
157,157,"Brandt Snedeker",81,26.1,103398,110,"AverageDistanceafterGoingforitShot",2012
159,159,"Steve Wheatcroft",56,26.2,64222,68,"AverageDistanceafterGoingforitShot",2012
160,160,"Cameron Beckman",81,26.3,96470,102,"AverageDistanceafterGoingforitShot",2012
160,160,"Matt Every",80,26.3,107871,114,"AverageDistanceafterGoingforitShot",2012
160,160,"Hunter Haas",69,26.3,107844,114,"AverageDistanceafterGoingforitShot",2012
163,163,"JJ Henry",93,26.4,102493,108,"AverageDistanceafterGoingforitShot",2012
164,164,"Brian Davis",91,26.5,109587,115,"AverageDistanceafterGoingforitShot",2012
164,164,"JJ Killeen",101,26.5,145084,152,"AverageDistanceafterGoingforitShot",2012
164,164,"David Toms",60,26.5,60161,63,"AverageDistanceafterGoingforitShot",2012
167,167,"Webb Simpson",77,26.6,149363,156,"AverageDistanceafterGoingforitShot",2012
167,167,"Daniel Summerhays",81,26.6,117886,123,"AverageDistanceafterGoingforitShot",2012
169,169,"Andres Romero",68,26.8,117816,122,"AverageDistanceafterGoingforitShot",2012
170,170,"DJ Trahan",73,27,121719,125,"AverageDistanceafterGoingforitShot",2012
171,171,"Marco Dawson",60,27.1,69152,71,"AverageDistanceafterGoingforitShot",2012
172,172,"Billy Hurley III",70,27.3,52083,53,"AverageDistanceafterGoingforitShot",2012
173,173,"Scott Dunlap",57,27.4,76981,78,"AverageDistanceafterGoingforitShot",2012
174,174,"Ted Potter Jr",77,27.5,91144,92,"AverageDistanceafterGoingforitShot",2012
175,175,"Miguel Angel Carballo",73,27.6,101230,102,"AverageDistanceafterGoingforitShot",2012
176,176,"Sung Kang",75,27.7,100540,101,"AverageDistanceafterGoingforitShot",2012
176,176,"YE Yang",64,27.7,72827,73,"AverageDistanceafterGoingforitShot",2012
178,178,"Brendan Steele",77,27.9,130645,130,"AverageDistanceafterGoingforitShot",2012
179,179,"David Mathis",83,28,85631,85,"AverageDistanceafterGoingforitShot",2012
180,180,"Tom Pernice Jr",62,28.2,76142,75,"AverageDistanceafterGoingforitShot",2012
181,181,"Jerry Kelly",84,28.4,107171,105,"AverageDistanceafterGoingforitShot",2012
181,181,"Mark Wilson",84,28.4,104262,102,"AverageDistanceafterGoingforitShot",2012
183,183,"Brian Gay",91,28.6,78300,76,"AverageDistanceafterGoingforitShot",2012
184,184,"Erik Compton",81,29.1,141418,135,"AverageDistanceafterGoingforitShot",2012
185,185,"Colt Knost",79,29.7,72768,68,"AverageDistanceafterGoingforitShot",2012
186,186,"Nick OHern",78,30,70092,65,"AverageDistanceafterGoingforitShot",2012
187,187,"Ryuji Imada",78,30.4,101747,93,"AverageDistanceafterGoingforitShot",2012
188,188,"Greg Chalmers",88,31.1,141036,126,"AverageDistanceafterGoingforitShot",2012
189,189,"Vaughn Taylor",81,31.5,104461,92,"AverageDistanceafterGoingforitShot",2012
190,190,"Derek Lamely",64,33.7,122459,101,"AverageDistanceafterGoingforitShot",2012
191,191,"Justin Leonard",79,33.9,95117,78,"AverageDistanceafterGoingforitShot",2012
