"OnePuttPercentageRound1_RANKTHISWEEK_2007","OnePuttPercentageRound1_RANKLASTWEEK_2007","OnePuttPercentageRound1_PLAYERNAME_2007","OnePuttPercentageRound1_ROUNDS_2007","OnePuttPercentageRound1_Pct_2007","OnePuttPercentageRound1_OF1PUTTS_2007","OnePuttPercentageRound1_OFHOLES_2007","stat_name","year"
1,1,"Ryuji Imada",104,46.06,257,558,"OnePuttPercentageRound1",2007
2,2,"Rory Sabbatini",81,45.71,181,396,"OnePuttPercentageRound1",2007
3,3,"Tim Clark",66,44.44,144,324,"OnePuttPercentageRound1",2007
4,4,"Bob Estes",88,44.25,223,504,"OnePuttPercentageRound1",2007
5,5,"Kevin Na",84,44.02,206,468,"OnePuttPercentageRound1",2007
6,6,"John Mallinger",96,43.49,227,522,"OnePuttPercentageRound1",2007
7,7,"Padraig Harrington",64,43.14,132,306,"OnePuttPercentageRound1",2007
8,8,"Rich Beem",89,43.06,217,504,"OnePuttPercentageRound1",2007
9,9,"Justin Rose",63,42.96,116,270,"OnePuttPercentageRound1",2007
10,10,"Jim Furyk",84,42.93,170,396,"OnePuttPercentageRound1",2007
11,11,"Corey Pavin",81,42.67,192,450,"OnePuttPercentageRound1",2007
12,12,"Chris Riley",59,42.48,130,306,"OnePuttPercentageRound1",2007
13,13,"Steve Allan",63,42.28,137,324,"OnePuttPercentageRound1",2007
14,14,"Michael Sim",52,42.16,129,306,"OnePuttPercentageRound1",2007
15,15,"Aaron Baddeley",83,41.92,166,396,"OnePuttPercentageRound1",2007
16,16,"George McNeill",95,41.67,225,540,"OnePuttPercentageRound1",2007
17,17,"Jose Maria Olazabal",52,41.48,112,270,"OnePuttPercentageRound1",2007
18,18,"Retief Goosen",50,41.45,97,234,"OnePuttPercentageRound1",2007
19,19,"Bart Bryant",87,41.44,179,432,"OnePuttPercentageRound1",2007
20,20,"Jonathan Byrd",73,41.3,171,414,"OnePuttPercentageRound1",2007
20,20,"Marco Dawson",73,41.3,171,414,"OnePuttPercentageRound1",2007
22,22,"Jay Williamson",50,41.27,104,252,"OnePuttPercentageRound1",2007
23,23,"Arron Oberholser",69,41.23,141,342,"OnePuttPercentageRound1",2007
23,23,"Jeff Overton",60,41.23,141,342,"OnePuttPercentageRound1",2007
25,25,"Heath Slocum",101,41.07,207,504,"OnePuttPercentageRound1",2007
26,26,"Jason Gore",86,40.95,199,486,"OnePuttPercentageRound1",2007
27,27,"Freddie Jacobson",70,40.83,147,360,"OnePuttPercentageRound1",2007
28,28,"Steve Stricker",81,40.66,161,396,"OnePuttPercentageRound1",2007
29,29,"Brian Gay",107,40.63,234,576,"OnePuttPercentageRound1",2007
30,30,"Joe Ogilvie",102,40.5,226,558,"OnePuttPercentageRound1",2007
31,31,"JP Hayes",89,40.48,204,504,"OnePuttPercentageRound1",2007
32,32,"Paul Goydos",60,40.43,131,324,"OnePuttPercentageRound1",2007
33,33,"Ernie Els",59,40.37,109,270,"OnePuttPercentageRound1",2007
34,34,"Ryan Moore",92,40.28,203,504,"OnePuttPercentageRound1",2007
35,35,"John Rollins",102,40.08,202,504,"OnePuttPercentageRound1",2007
36,36,"Nathan Green",103,40.04,209,522,"OnePuttPercentageRound1",2007
37,37,"Steve Elkington",87,40,180,450,"OnePuttPercentageRound1",2007
37,37,"Will Ma Kenzie",100,40,216,540,"OnePuttPercentageRound1",2007
39,39,"Troy Matteson",87,39.96,187,468,"OnePuttPercentageRound1",2007
40,40,"Charlie Wi",90,39.92,194,486,"OnePuttPercentageRound1",2007
41,41,"Parker McLachlin",83,39.88,201,504,"OnePuttPercentageRound1",2007
42,42,"KJ Choi",87,39.81,172,432,"OnePuttPercentageRound1",2007
43,43,"Steve Flesch",100,39.78,222,558,"OnePuttPercentageRound1",2007
44,44,"Luke Donald",69,39.77,136,342,"OnePuttPercentageRound1",2007
45,45,"Billy Andrade",88,39.71,193,486,"OnePuttPercentageRound1",2007
46,46,"Chris DiMarco",79,39.61,164,414,"OnePuttPercentageRound1",2007
47,47,"Stewart Cink",91,39.58,171,432,"OnePuttPercentageRound1",2007
48,48,"Ian Poulter",63,39.54,121,306,"OnePuttPercentageRound1",2007
49,49,"Adam Scott",69,39.51,128,324,"OnePuttPercentageRound1",2007
50,50,"Frank Lickliter II",95,39.46,206,522,"OnePuttPercentageRound1",2007
50,50,"Jeff Quinney",95,39.46,206,522,"OnePuttPercentageRound1",2007
52,52,"Craig Kanada",109,39.38,241,612,"OnePuttPercentageRound1",2007
53,53,"Camilo Villegas",82,39.35,170,432,"OnePuttPercentageRound1",2007
54,54,"Dicky Pride",71,39.33,177,450,"OnePuttPercentageRound1",2007
55,55,"Jesper Parnevik",88,39.3,191,486,"OnePuttPercentageRound1",2007
56,56,"Tim Petrovic",106,39.24,226,576,"OnePuttPercentageRound1",2007
57,57,"Scott Verplank",82,39.14,155,396,"OnePuttPercentageRound1",2007
58,58,"Justin Leonard",95,39.08,204,522,"OnePuttPercentageRound1",2007
59,59,"Shigeki Maruyama",84,39.07,218,558,"OnePuttPercentageRound1",2007
60,60,"Woody Austin",95,38.89,189,486,"OnePuttPercentageRound1",2007
60,60,"Tag Ridings",52,38.89,126,324,"OnePuttPercentageRound1",2007
62,62,"Chris Couch",76,38.7,202,522,"OnePuttPercentageRound1",2007
62,62,"Bo Van Pelt",104,38.7,209,540,"OnePuttPercentageRound1",2007
64,64,"Mark Calcavecchia",93,38.69,195,504,"OnePuttPercentageRound1",2007
65,65,"Lucas Glover",98,38.68,188,486,"OnePuttPercentageRound1",2007
66,66,"Ben Curtis",80,38.66,167,432,"OnePuttPercentageRound1",2007
67,67,"DJ Trahan",99,38.52,208,540,"OnePuttPercentageRound1",2007
68,68,"Bob Heintz",85,38.48,187,486,"OnePuttPercentageRound1",2007
69,69,"Rocco Mediate",72,38.38,152,396,"OnePuttPercentageRound1",2007
70,70,"David Toms",80,38.36,145,378,"OnePuttPercentageRound1",2007
71,71,"Craig Bowden",78,38.22,172,450,"OnePuttPercentageRound1",2007
72,72,"Steve Lowery",74,38.13,151,396,"OnePuttPercentageRound1",2007
73,73,"Paul Gow",70,38.03,178,468,"OnePuttPercentageRound1",2007
73,73,"Bubba Watson",80,38.03,178,468,"OnePuttPercentageRound1",2007
75,75,"Carl Pettersson",111,37.96,205,540,"OnePuttPercentageRound1",2007
76,76,"Jason Bohn",57,37.91,116,306,"OnePuttPercentageRound1",2007
77,77,"Michael Boyd",61,37.83,143,378,"OnePuttPercentageRound1",2007
77,77,"Zach Johnson",76,37.83,143,378,"OnePuttPercentageRound1",2007
79,79,"Steve Marino",106,37.81,211,558,"OnePuttPercentageRound1",2007
80,80,"Dean Wilson",92,37.7,190,504,"OnePuttPercentageRound1",2007
81,81,"Brian Davis",101,37.5,189,504,"OnePuttPercentageRound1",2007
81,81,"Ted Purdy",102,37.5,216,576,"OnePuttPercentageRound1",2007
83,83,"Tom Johnson",74,37.45,182,486,"OnePuttPercentageRound1",2007
84,84,"Tripp Isenhour",86,37.41,202,540,"OnePuttPercentageRound1",2007
84,84,"Cliff Kresge",107,37.41,202,540,"OnePuttPercentageRound1",2007
86,86,"Matt Kuchar",85,37.39,175,468,"OnePuttPercentageRound1",2007
87,87,"Kevin Sutherland",85,37.33,168,450,"OnePuttPercentageRound1",2007
88,88,"Henrik Stenson",52,37.3,94,252,"OnePuttPercentageRound1",2007
88,88,"Chris Tidland",59,37.3,141,378,"OnePuttPercentageRound1",2007
90,90,"Stuart Appleby",74,37.2,154,414,"OnePuttPercentageRound1",2007
91,91,"Kyle Reifers",71,37.18,174,468,"OnePuttPercentageRound1",2007
92,92,"Tom Pernice Jr",104,37.1,207,558,"OnePuttPercentageRound1",2007
93,93,"Eric Axley",107,37.04,240,648,"OnePuttPercentageRound1",2007
93,93,"Gavin Coles",87,37.04,180,486,"OnePuttPercentageRound1",2007
95,95,"Rich Barcelo",80,36.97,173,468,"OnePuttPercentageRound1",2007
96,96,"DJ Brigman",67,36.87,146,396,"OnePuttPercentageRound1",2007
97,97,"Cameron Beckman",96,36.78,192,522,"OnePuttPercentageRound1",2007
97,97,"Mathew Goggin",97,36.78,192,522,"OnePuttPercentageRound1",2007
99,99,"Daniel Chopra",106,36.7,218,594,"OnePuttPercentageRound1",2007
100,100,"Mark Hensby",81,36.67,165,450,"OnePuttPercentageRound1",2007
100,100,"Phil Mickelson",73,36.67,132,360,"OnePuttPercentageRound1",2007
100,100,"Tiger Woods",63,36.67,99,270,"OnePuttPercentageRound1",2007
103,103,"Ryan Armour",107,36.63,211,576,"OnePuttPercentageRound1",2007
104,104,"Rod Pampling",92,36.57,158,432,"OnePuttPercentageRound1",2007
105,105,"Mathias Gronberg",95,36.56,204,558,"OnePuttPercentageRound1",2007
106,106,"Jerry Kelly",101,36.51,184,504,"OnePuttPercentageRound1",2007
106,106,"Daisuke Maruyama",86,36.51,184,504,"OnePuttPercentageRound1",2007
108,108,"Craig Barlow",52,36.46,105,288,"OnePuttPercentageRound1",2007
109,109,"Sergio Garcia",68,36.42,118,324,"OnePuttPercentageRound1",2007
110,110,"Briny Baird",115,36.38,203,558,"OnePuttPercentageRound1",2007
111,111,"Vijay Singh",102,36.32,170,468,"OnePuttPercentageRound1",2007
112,112,"Jose Coceres",50,36.27,111,306,"OnePuttPercentageRound1",2007
113,113,"Hunter Mahan",91,36.21,176,486,"OnePuttPercentageRound1",2007
113,113,"Brandt Snedeker",105,36.21,189,522,"OnePuttPercentageRound1",2007
115,115,"Ken Duke",112,36.2,202,558,"OnePuttPercentageRound1",2007
116,116,"Brian Bateman",55,36.11,117,324,"OnePuttPercentageRound1",2007
116,116,"Andrew Buckle",77,36.11,169,468,"OnePuttPercentageRound1",2007
116,116,"Charley Hoffman",97,36.11,195,540,"OnePuttPercentageRound1",2007
119,119,"Bryce Molder",56,35.98,136,378,"OnePuttPercentageRound1",2007
119,119,"Geoff Ogilvy",84,35.98,136,378,"OnePuttPercentageRound1",2007
119,119,"Jeff Sluman",60,35.98,136,378,"OnePuttPercentageRound1",2007
122,122,"Bubba Dickerson",51,35.96,123,342,"OnePuttPercentageRound1",2007
123,123,"Anders Hansen",55,35.95,110,306,"OnePuttPercentageRound1",2007
124,124,"Bob Tway",103,35.94,207,576,"OnePuttPercentageRound1",2007
125,125,"Todd Hamilton",76,35.91,181,504,"OnePuttPercentageRound1",2007
125,125,"Sean OHair",98,35.91,181,504,"OnePuttPercentageRound1",2007
127,127,"Stephen Leaney",82,35.9,168,468,"OnePuttPercentageRound1",2007
128,128,"Jarrod Lyle",77,35.88,155,432,"OnePuttPercentageRound1",2007
129,129,"John Senden",97,35.8,174,486,"OnePuttPercentageRound1",2007
130,130,"Steve Wheatcroft",73,35.78,161,450,"OnePuttPercentageRound1",2007
131,131,"Stephen Ames",81,35.71,135,378,"OnePuttPercentageRound1",2007
131,131,"Nick OHern",72,35.71,135,378,"OnePuttPercentageRound1",2007
133,133,"Brendon de Jonge",76,35.68,167,468,"OnePuttPercentageRound1",2007
134,134,"Lee Janzen",66,35.65,154,432,"OnePuttPercentageRound1",2007
134,134,"Craig Lile",77,35.65,154,432,"OnePuttPercentageRound1",2007
136,136,"Pat Perez",84,35.6,173,486,"OnePuttPercentageRound1",2007
137,137,"Charles Howell III",89,35.56,160,450,"OnePuttPercentageRound1",2007
137,137,"Kent Jones",97,35.56,192,540,"OnePuttPercentageRound1",2007
139,139,"Doug LaBelle II",104,35.52,211,594,"OnePuttPercentageRound1",2007
139,139,"Johnson Wagner",97,35.52,211,594,"OnePuttPercentageRound1",2007
141,141,"Duffy Waldorf",69,35.51,147,414,"OnePuttPercentageRound1",2007
142,142,"Jason Dufner",100,35.42,204,576,"OnePuttPercentageRound1",2007
143,143,"Tim Herron",98,35.39,172,486,"OnePuttPercentageRound1",2007
