"RyderCupPoints_RANKTHISWEEK_2008","RyderCupPoints_RANKLASTWEEK_2008","RyderCupPoints_PLAYERNAME_2008","RyderCupPoints_EVENTS_2008","RyderCupPoints_POINTS_2008","stat_name","year"
1,1,"Tiger Woods",13,11365.627,"RyderCupPoints",2008
2,2,"Phil Mickelson",22,5342.5,"RyderCupPoints",2008
3,3,"Stewart Cink",27,4952.665,"RyderCupPoints",2008
4,4,"Kenny Perry",27,4480.7,"RyderCupPoints",2008
5,5,"Jim Furyk",31,4423.892,"RyderCupPoints",2008
6,6,"Anthony Kim",22,4035.297,"RyderCupPoints",2008
7,7,"Justin Leonard",30,3379.273,"RyderCupPoints",2008
8,8,"Ben Curtis",28,3120.062,"RyderCupPoints",2008
9,9,"Boo Weekley",23,2785.096,"RyderCupPoints",2008
10,10,"Steve Stricker",26,2663.571,"RyderCupPoints",2008
11,11,"Woody Austin",31,2422.983,"RyderCupPoints",2008
12,12,"DJ Trahan",32,2372.566,"RyderCupPoints",2008
13,13,"Hunter Mahan",33,2304.517,"RyderCupPoints",2008
14,14,"Sean OHair",29,2282.822,"RyderCupPoints",2008
15,15,"Rocco Mediate",30,2273.66,"RyderCupPoints",2008
16,16,"Brandt Snedeker",24,2248.887,"RyderCupPoints",2008
17,17,"Zach Johnson",28,2184.508,"RyderCupPoints",2008
18,18,"JB Holmes",26,2126.047,"RyderCupPoints",2008
19,19,"Jeff Quinney",23,2024.187,"RyderCupPoints",2008
20,20,"Bart Bryant",28,1900.256,"RyderCupPoints",2008
21,21,"Chad Campbell",32,1827.43,"RyderCupPoints",2008
22,22,"Jerry Kelly",34,1774.992,"RyderCupPoints",2008
23,23,"Steve Flesch",31,1720.528,"RyderCupPoints",2008
24,24,"Heath Slocum",28,1665.654,"RyderCupPoints",2008
25,25,"Paul Goydos",31,1614.467,"RyderCupPoints",2008
26,26,"Briny Baird",28,1586.664,"RyderCupPoints",2008
27,27,"Bubba Watson",31,1547.341,"RyderCupPoints",2008
28,28,"Steve Lowery",24,1517.986,"RyderCupPoints",2008
29,29,"Pat Perez",27,1456.916,"RyderCupPoints",2008
30,30,"Ken Duke",26,1427.965,"RyderCupPoints",2008
31,31,"Billy Mayfair",31,1416.853,"RyderCupPoints",2008
32,32,"Kevin Sutherland",30,1412.536,"RyderCupPoints",2008
33,33,"Nicholas Thompson",36,1391.738,"RyderCupPoints",2008
34,34,"Scott Verplank",28,1369.377,"RyderCupPoints",2008
35,35,"Chez Reavie",24,1366.169,"RyderCupPoints",2008
36,36,"Brian Gay",30,1362.828,"RyderCupPoints",2008
37,37,"Ben Crane",25,1345.619,"RyderCupPoints",2008
38,38,"Tom Pernice Jr",34,1337.303,"RyderCupPoints",2008
39,39,"David Toms",24,1334.639,"RyderCupPoints",2008
40,40,"Tommy Armour III",23,1329.821,"RyderCupPoints",2008
41,41,"Johnson Wagner",23,1326.796,"RyderCupPoints",2008
42,42,"Steve Marino",24,1296.91,"RyderCupPoints",2008
43,43,"Charles Howell III",35,1290.458,"RyderCupPoints",2008
44,44,"Dean Wilson",36,1264.775,"RyderCupPoints",2008
45,45,"John Merrick",21,1244.653,"RyderCupPoints",2008
46,46,"Ryan Moore",26,1229.33,"RyderCupPoints",2008
47,47,"Dudley Hart",25,1140.803,"RyderCupPoints",2008
48,48,"Troy Matteson",34,1118.443,"RyderCupPoints",2008
49,49,"Jonathan Byrd",31,1109.085,"RyderCupPoints",2008
50,50,"Lucas Glover",33,1106.598,"RyderCupPoints",2008
51,51,"Nick Watney",30,1101.283,"RyderCupPoints",2008
52,52,"Eric Axley",36,1073.997,"RyderCupPoints",2008
53,53,"Joe Durant",32,1051.325,"RyderCupPoints",2008
54,54,"Parker McLachlin",21,1004.99,"RyderCupPoints",2008
55,55,"Jason Bohn",20,1001.786,"RyderCupPoints",2008
56,56,"Cliff Kresge",22,985.74,"RyderCupPoints",2008
57,57,"John Rollins",32,981.589,"RyderCupPoints",2008
58,58,"Mark Calcavecchia",31,971.252,"RyderCupPoints",2008
59,59,"Fred Couples",17,963.308,"RyderCupPoints",2008
60,60,"Brett Quigley",29,947.237,"RyderCupPoints",2008
61,61,"Matt Kuchar",24,916.973,"RyderCupPoints",2008
62,62,"John Mallinger",22,914.212,"RyderCupPoints",2008
63,63,"Corey Pavin",21,903.962,"RyderCupPoints",2008
64,64,"Kevin Na",24,872.756,"RyderCupPoints",2008
65,65,"Davis Love III",24,842.823,"RyderCupPoints",2008
66,66,"Charley Hoffman",32,832.646,"RyderCupPoints",2008
67,67,"Mark Wilson",30,831.184,"RyderCupPoints",2008
68,68,"Tom Lehman",21,789.172,"RyderCupPoints",2008
69,69,"Joe Ogilvie",28,765.77,"RyderCupPoints",2008
70,70,"George McNeill",22,751.878,"RyderCupPoints",2008
71,71,"Vaughn Taylor",32,735.625,"RyderCupPoints",2008
72,72,"Michael Letzig",21,723.035,"RyderCupPoints",2008
73,73,"Brad Adamonis",20,717.031,"RyderCupPoints",2008
74,74,"Bill Haas",31,696.287,"RyderCupPoints",2008
75,75,"Arron Oberholser",17,687.119,"RyderCupPoints",2008
76,76,"Frank Lickliter II",31,683.599,"RyderCupPoints",2008
77,77,"Charles Warren",26,654.132,"RyderCupPoints",2008
78,78,"Jay Williamson",23,638.315,"RyderCupPoints",2008
79,79,"Dustin Johnson",23,624.545,"RyderCupPoints",2008
80,80,"Greg Kraft",23,614.529,"RyderCupPoints",2008
81,81,"Bob Estes",28,604.946,"RyderCupPoints",2008
82,82,"Kevin Streelman",23,579.67,"RyderCupPoints",2008
83,83,"Chris DiMarco",30,563.917,"RyderCupPoints",2008
84,84,"James Driscoll",28,560.003,"RyderCupPoints",2008
85,85,"Shane Bertsch",30,559.796,"RyderCupPoints",2008
86,86,"Tim Petrovic",32,553.045,"RyderCupPoints",2008
87,87,"Bo Van Pelt",30,547.456,"RyderCupPoints",2008
88,88,"Todd Hamilton",32,545.901,"RyderCupPoints",2008
89,89,"Tim Herron",28,540.268,"RyderCupPoints",2008
90,90,"Michael Allen",29,518.396,"RyderCupPoints",2008
91,91,"Bob Tway",21,513.556,"RyderCupPoints",2008
92,92,"Patrick Sheehan",35,507.647,"RyderCupPoints",2008
93,93,"Lee Janzen",28,481.379,"RyderCupPoints",2008
94,94,"Jason Gore",30,474.586,"RyderCupPoints",2008
95,95,"JJ Henry",34,471.248,"RyderCupPoints",2008
96,96,"Ryan Palmer",22,457.973,"RyderCupPoints",2008
97,97,"Jeff Overton",32,448.841,"RyderCupPoints",2008
98,98,"Kevin Stadler",24,420.667,"RyderCupPoints",2008
99,99,"Brian Bateman",27,420.506,"RyderCupPoints",2008
100,100,"Roland Thatcher",15,396.212,"RyderCupPoints",2008
101,101,"Tag Ridings",31,383.999,"RyderCupPoints",2008
102,102,"Will Ma Kenzie",24,381.217,"RyderCupPoints",2008
103,103,"Rich Beem",30,371.565,"RyderCupPoints",2008
104,104,"Scott McCarron",16,370.757,"RyderCupPoints",2008
105,105,"Marco Dawson",26,367.437,"RyderCupPoints",2008
106,106,"Brett Wetterich",21,359.092,"RyderCupPoints",2008
107,107,"Glen Day",15,356.551,"RyderCupPoints",2008
108,108,"Craig Kanada",17,332.203,"RyderCupPoints",2008
109,109,"Robert Garrigus",29,325.032,"RyderCupPoints",2008
110,110,"Fred Funk",22,318.386,"RyderCupPoints",2008
111,111,"John Huston",22,316.904,"RyderCupPoints",2008
112,112,"Brandt Jobe",23,302.844,"RyderCupPoints",2008
113,113,"Justin Bolli",19,300.319,"RyderCupPoints",2008
114,114,"Ryan Armour",24,290.546,"RyderCupPoints",2008
115,115,"JP Hayes",26,283.198,"RyderCupPoints",2008
116,116,"Jeff Maggert",26,278.648,"RyderCupPoints",2008
117,117,"Chris Riley",20,260.15,"RyderCupPoints",2008
118,118,"Jeff Gove",22,258.291,"RyderCupPoints",2008
119,119,"Ted Purdy",28,257.102,"RyderCupPoints",2008
120,120,"Shaun Micheel",26,257.018,"RyderCupPoints",2008
121,121,"Doug LaBelle II",16,250.31,"RyderCupPoints",2008
122,122,"Cameron Beckman",25,245.978,"RyderCupPoints",2008
123,123,"Omar Uresti",24,237.12,"RyderCupPoints",2008
124,124,"Marc Turnesa",22,234.662,"RyderCupPoints",2008
125,125,"Bob Heintz",11,222.744,"RyderCupPoints",2008
126,126,"Harrison Frazar",24,209.668,"RyderCupPoints",2008
127,127,"Scott Sterling",20,203.962,"RyderCupPoints",2008
128,128,"Jason Dufner",12,194.165,"RyderCupPoints",2008
129,129,"Billy Andrade",23,175.01,"RyderCupPoints",2008
130,130,"Kent Jones",23,167.552,"RyderCupPoints",2008
131,131,"Brent Geiberger",19,162.275,"RyderCupPoints",2008
132,132,"Olin Browne",32,161.984,"RyderCupPoints",2008
133,133,"Robert Gamez",27,154.749,"RyderCupPoints",2008
134,134,"DA Points",11,142.696,"RyderCupPoints",2008
135,135,"Jimmy Walker",19,141.621,"RyderCupPoints",2008
136,136,"Dan Forsman",15,135.129,"RyderCupPoints",2008
137,137,"John Riegger",20,131.082,"RyderCupPoints",2008
138,138,"Craig Barlow",19,129.732,"RyderCupPoints",2008
139,139,"Jeff Brehaut",11,128.88,"RyderCupPoints",2008
140,140,"Chad Collins",16,118.942,"RyderCupPoints",2008
141,141,"Larry Mize",20,114.528,"RyderCupPoints",2008
142,142,"Jim McGovern",20,101.991,"RyderCupPoints",2008
143,143,"Todd Demsey",17,100.582,"RyderCupPoints",2008
144,144,"Paul Stankowski",17,92.87,"RyderCupPoints",2008
145,145,"Chris Stroud",22,89.603,"RyderCupPoints",2008
146,146,"Robert Damron",17,86.478,"RyderCupPoints",2008
147,147,"Bob May",13,81.835,"RyderCupPoints",2008
148,148,"David Duval",19,79.553,"RyderCupPoints",2008
149,149,"Michael Bradley",11,77.584,"RyderCupPoints",2008
150,150,"Dicky Pride",15,73.63,"RyderCupPoints",2008
