"Total1Putts510_RANKTHISWEEK_2016","Total1Putts510_RANKLASTWEEK_2016","Total1Putts510_PLAYERNAME_2016","Total1Putts510_ROUNDS_2016","Total1Putts510_TOTAL_2016","Total1Putts510_TOTALFORALLDISTANCES_2016","Total1Putts510_PCTOFALL1PUTTS_2016","stat_name","year"
1,1,"Mark Hubbard",73,130,428,30.4,"Total1Putts510",2016
2,2,"Jamie Lovemark",57,121,367,33,"Total1Putts510",2016
3,3,"Adam Hadwin",53,116,337,34.4,"Total1Putts510",2016
4,4,"Brian Harman",60,108,366,29.5,"Total1Putts510",2016
5,5,"Tyrone Van Aswegen",67,105,367,28.6,"Total1Putts510",2016
6,5,"Harold Varner III",58,103,350,29.4,"Total1Putts510",2016
7,5,"Tyler Aldridge",53,99,282,35.1,"Total1Putts510",2016
7,23,"Steve Wheatcroft",53,99,322,30.7,"Total1Putts510",2016
9,8,"Michael Kim",62,98,380,25.8,"Total1Putts510",2016
10,10,"Si Woo Kim",63,96,379,25.3,"Total1Putts510",2016
11,12,"Cameron Tringale",47,93,294,31.6,"Total1Putts510",2016
12,20,"William McGirt",54,92,349,26.4,"Total1Putts510",2016
12,23,"Daniel Summerhays",55,92,321,28.7,"Total1Putts510",2016
14,9,"Seung Yul Noh",54,91,317,28.7,"Total1Putts510",2016
14,13,"Brett Stegmaier",57,91,317,28.7,"Total1Putts510",2016
16,10,"Freddie Jacobson",54,90,300,30,"Total1Putts510",2016
16,17,"Jeff Overton",51,90,312,28.8,"Total1Putts510",2016
18,13,"Kyle Stanley",57,89,322,27.6,"Total1Putts510",2016
19,18,"Stuart Appleby",39,88,277,31.8,"Total1Putts510",2016
19,30,"Kevin Chappell",49,88,291,30.2,"Total1Putts510",2016
19,23,"Tom Hoge",47,88,273,32.2,"Total1Putts510",2016
22,13,"Aaron Baddeley",51,87,294,29.6,"Total1Putts510",2016
22,18,"Chad Collins",45,87,267,32.6,"Total1Putts510",2016
24,49,"Andrew Loupe",50,86,316,27.2,"Total1Putts510",2016
24,16,"Chez Reavie",56,86,343,25.1,"Total1Putts510",2016
26,38,"Roberto Castro",55,85,304,28,"Total1Putts510",2016
26,32,"Ben Crane",48,85,277,30.7,"Total1Putts510",2016
26,23,"Peter Malnati",53,85,315,27,"Total1Putts510",2016
26,38,"Camilo Villegas",50,85,301,28.2,"Total1Putts510",2016
30,20,"Charles Howell III",63,84,348,24.1,"Total1Putts510",2016
31,38,"Fabian Gomez",49,83,299,27.8,"Total1Putts510",2016
31,38,"Sung Kang",51,83,301,27.6,"Total1Putts510",2016
31,55,"Danny Lee",53,83,260,31.9,"Total1Putts510",2016
31,55,"Brendan Steele",48,83,255,32.5,"Total1Putts510",2016
35,23,"Ricky Barnes",57,82,336,24.4,"Total1Putts510",2016
35,49,"Patton Kizzire",57,82,325,25.2,"Total1Putts510",2016
37,23,"Derek Fathauer",58,81,333,24.3,"Total1Putts510",2016
37,22,"John Huh",51,81,311,26,"Total1Putts510",2016
37,43,"Kyle Reifers",63,81,321,25.2,"Total1Putts510",2016
40,55,"Blayne Barber",44,80,254,31.5,"Total1Putts510",2016
