"RoughTendency_RANKTHISWEEK_2010","RoughTendency_RANKLASTWEEK_2010","RoughTendency_PLAYERNAME_2010","RoughTendency_ROUNDS_2010","RoughTendency_Pct_2010","RoughTendency_TOTALROUGH_2010","RoughTendency_POSSIBLEFWYS_2010","RoughTendency_RELATIVETOPAR_2010","stat_name","year"
1,1,"Omar Uresti",74,18.79,159,846,1.07,"RoughTendency",2010
2,2,"Joe Durant",67,18.88,149,789,1.41,"RoughTendency",2010
3,3,"Brian Gay",101,20.02,229,1144,0.66,"RoughTendency",2010
4,4,"Craig Bowden",56,20.6,137,665,1.68,"RoughTendency",2010
5,5,"Skip Kendall",58,21.09,143,678,1.82,"RoughTendency",2010
6,6,"Tim Clark",88,21.27,201,945,1.14,"RoughTendency",2010
7,7,"Heath Slocum",97,21.3,217,1019,0.32,"RoughTendency",2010
8,8,"David Toms",86,21.98,213,969,1.08,"RoughTendency",2010
9,9,"Scott Verplank",74,22.06,171,775,0.94,"RoughTendency",2010
10,10,"John Mallinger",78,22.1,198,896,1.46,"RoughTendency",2010
11,11,"Alex Cejka",81,22.13,206,931,1.65,"RoughTendency",2010
12,12,"Garrett Willis",82,22.15,218,984,0.73,"RoughTendency",2010
13,13,"Zach Johnson",93,22.47,235,1046,1.11,"RoughTendency",2010
14,14,"Jim Furyk",76,22.69,189,833,0.58,"RoughTendency",2010
15,15,"Paul Goydos",78,22.76,208,914,1.15,"RoughTendency",2010
16,16,"Richard Johnson",90,22.83,231,1012,1.86,"RoughTendency",2010
17,17,"Jerry Kelly",99,23.08,264,1144,1.14,"RoughTendency",2010
18,18,"Rocco Mediate",71,23.1,194,840,2.01,"RoughTendency",2010
19,19,"Billy Mayfair",78,23.15,209,903,0.96,"RoughTendency",2010
20,20,"Ben Curtis",78,23.36,214,916,1.26,"RoughTendency",2010
21,21,"Ben Crane",85,23.69,217,916,0.6,"RoughTendency",2010
22,22,"Chris DiMarco",88,23.72,254,1071,0.51,"RoughTendency",2010
23,23,"Tom Gillis",97,23.84,298,1250,0.74,"RoughTendency",2010
24,24,"Jeff Quinney",91,24,265,1104,1.13,"RoughTendency",2010
25,25,"Mark Wilson",87,24.09,265,1100,1.06,"RoughTendency",2010
26,26,"Chad Campbell",95,24.11,271,1124,1.37,"RoughTendency",2010
27,27,"Justin Bolli",55,24.13,139,576,1.73,"RoughTendency",2010
28,28,"Jason Dufner",87,24.24,232,957,1.16,"RoughTendency",2010
29,29,"Kris Blanks",91,24.32,249,1024,1.45,"RoughTendency",2010
30,30,"Brendon de Jonge",114,24.46,306,1251,0.98,"RoughTendency",2010
31,31,"John Merrick",109,24.47,312,1275,1.41,"RoughTendency",2010
31,31,"Vaughn Taylor",87,24.47,267,1091,0.97,"RoughTendency",2010
33,33,"Aron Price",70,24.51,211,861,1.42,"RoughTendency",2010
34,34,"Brian Davis",101,24.53,303,1235,1.29,"RoughTendency",2010
35,35,"Brent Delahoussaye",57,24.57,159,647,1.19,"RoughTendency",2010
36,36,"Stephen Ames",75,24.58,235,956,1.23,"RoughTendency",2010
37,37,"Chris Riley",73,24.74,216,873,1.25,"RoughTendency",2010
38,38,"Cliff Kresge",50,24.8,154,621,0.58,"RoughTendency",2010
39,39,"Pat Perez",90,24.93,287,1151,1.32,"RoughTendency",2010
40,40,"James Nitties",92,24.96,278,1114,1.08,"RoughTendency",2010
41,41,"Charles Warren",64,24.97,189,757,1.59,"RoughTendency",2010
42,42,"Ryan Moore",80,25.06,212,846,0.61,"RoughTendency",2010
43,43,"Justin Leonard",89,25.17,252,1001,1.07,"RoughTendency",2010
44,44,"Kevin Sutherland",86,25.19,271,1076,0.26,"RoughTendency",2010
45,45,"Rod Pampling",77,25.21,244,968,0.98,"RoughTendency",2010
46,46,"Matt Kuchar",97,25.22,262,1039,0,"RoughTendency",2010
47,47,"Boo Weekley",88,25.27,260,1029,1.38,"RoughTendency",2010
48,48,"KJ Choi",82,25.3,213,842,0.8,"RoughTendency",2010
49,49,"Tim Petrovic",105,25.31,329,1300,1.49,"RoughTendency",2010
50,50,"Will Ma Kenzie",72,25.37,239,942,0.88,"RoughTendency",2010
51,51,"Henrik Bjornstad",72,25.4,206,811,1.31,"RoughTendency",2010
52,52,"Scott McCarron",90,25.57,292,1142,0.55,"RoughTendency",2010
53,53,"Steve Flesch",78,25.65,228,889,0.66,"RoughTendency",2010
54,54,"Hunter Mahan",85,25.67,238,927,0.38,"RoughTendency",2010
55,55,"Chris Couch",66,25.7,210,817,0.57,"RoughTendency",2010
55,55,"Kenny Perry",69,25.7,201,782,1.24,"RoughTendency",2010
57,57,"Jeff Maggert",76,25.77,225,873,1.56,"RoughTendency",2010
58,58,"Woody Austin",93,26.05,298,1144,0.67,"RoughTendency",2010
59,59,"Kevin Johnson",62,26.08,175,671,1.94,"RoughTendency",2010
60,60,"Mathew Goggin",85,26.17,274,1047,1.86,"RoughTendency",2010
61,61,"Paul Stankowski",62,26.19,192,733,0.42,"RoughTendency",2010
62,62,"Davis Love III",79,26.23,239,911,0.59,"RoughTendency",2010
63,63,"Jay Williamson",76,26.27,222,845,1.26,"RoughTendency",2010
64,64,"Steve Elkington",74,26.3,213,810,0.56,"RoughTendency",2010
64,64,"Steve Wheatcroft",74,26.3,208,791,1.39,"RoughTendency",2010
66,66,"Steve Stricker",73,26.32,205,779,-0.24,"RoughTendency",2010
67,67,"Blake Adams",84,26.4,273,1034,0.92,"RoughTendency",2010
68,68,"Michael Letzig",84,26.5,292,1102,0.82,"RoughTendency",2010
69,69,"Jarrod Lyle",54,26.58,168,632,0.18,"RoughTendency",2010
70,70,"Josh Teater",101,26.59,335,1260,1.79,"RoughTendency",2010
71,71,"John Senden",103,26.6,320,1203,0.72,"RoughTendency",2010
71,71,"Brandt Snedeker",89,26.6,274,1030,0.88,"RoughTendency",2010
73,73,"Spencer Levin",110,26.7,362,1356,0.91,"RoughTendency",2010
73,73,"Kevin Streelman",90,26.7,295,1105,1.29,"RoughTendency",2010
75,75,"Rickie Fowler",98,26.72,306,1145,0.42,"RoughTendency",2010
76,76,"Tom Pernice Jr",74,26.75,214,800,1.59,"RoughTendency",2010
77,77,"Charlie Wi",95,26.77,329,1229,0.64,"RoughTendency",2010
78,78,"Nicholas Thompson",88,26.94,285,1058,1.26,"RoughTendency",2010
79,79,"Jason Bohn",84,26.95,273,1013,1.39,"RoughTendency",2010
80,80,"Justin Rose",78,27,260,963,0.04,"RoughTendency",2010
81,81,"YE Yang",72,27.07,219,809,0.23,"RoughTendency",2010
82,82,"Retief Goosen",75,27.12,198,730,-0.05,"RoughTendency",2010
82,82,"Bill Haas",87,27.12,281,1036,0,"RoughTendency",2010
84,84,"Graham DeLaet",88,27.13,283,1043,0.04,"RoughTendency",2010
85,85,"Carl Pettersson",99,27.17,310,1141,0.68,"RoughTendency",2010
86,86,"John Rollins",81,27.21,283,1040,0.32,"RoughTendency",2010
86,86,"Johnson Wagner",85,27.21,277,1018,1.23,"RoughTendency",2010
