"Approachesfrom75100yardsRgh_RANKTHISWEEK_2010","Approachesfrom75100yardsRgh_RANKLASTWEEK_2010","Approachesfrom75100yardsRgh_PLAYERNAME_2010","Approachesfrom75100yardsRgh_ROUNDS_2010","Approachesfrom75100yardsRgh_AVG_2010","Approachesfrom75100yardsRgh_TOTALDISTANCEFEET_2010","Approachesfrom75100yardsRgh_OFATTEMPTS_2010","Approachesfrom75100yardsRgh_RELATIVETOPAR_2010","stat_name","year"
1,1,"Steve Stricker",73,NA,67.917,7,-5,"Approachesfrom75100yardsRgh",2010
2,2,"Rocco Mediate",71,NA,103.833,8,-1,"Approachesfrom75100yardsRgh",2010
3,3,"Garth Mulroy",53,NA,111.917,8,-3,"Approachesfrom75100yardsRgh",2010
4,4,"JJ Henry",92,NA,144,10,-1,"Approachesfrom75100yardsRgh",2010
5,5,"Michael Connell",89,NA,234.25,16,0,"Approachesfrom75100yardsRgh",2010
6,6,"JP Hayes",79,NA,270.083,18,-2,"Approachesfrom75100yardsRgh",2010
7,7,"Roger Tambellini",77,NA,167.25,11,-2,"Approachesfrom75100yardsRgh",2010
8,8,"Ricky Barnes",103,NA,441.583,28,-7,"Approachesfrom75100yardsRgh",2010
8,8,"Hunter Mahan",85,NA,220.917,14,-5,"Approachesfrom75100yardsRgh",2010
10,10,"Michael Sim",64,NA,271.333,17,-1,"Approachesfrom75100yardsRgh",2010
11,11,"Cliff Kresge",50,NA,65.083,4,-1,"Approachesfrom75100yardsRgh",2010
11,11,"Cameron Percy",73,NA,340.667,21,-5,"Approachesfrom75100yardsRgh",2010
13,13,"Ben Crane",85,NA,318.75,19,-6,"Approachesfrom75100yardsRgh",2010
13,13,"Steve Flesch",78,NA,134.083,8,-1,"Approachesfrom75100yardsRgh",2010
13,13,"John Mallinger",78,NA,117.5,7,0,"Approachesfrom75100yardsRgh",2010
16,16,"Freddie Jacobson",83,NA,273.167,16,-1,"Approachesfrom75100yardsRgh",2010
17,17,"Chris Riley",73,NA,218.167,12,2,"Approachesfrom75100yardsRgh",2010
17,17,"Jeev Milkha Singh",59,NA,218.083,12,-1,"Approachesfrom75100yardsRgh",2010
19,19,"Ben Curtis",78,NA,236.75,13,-1,"Approachesfrom75100yardsRgh",2010
20,20,"Jay Williamson",76,NA,257.667,14,0,"Approachesfrom75100yardsRgh",2010
21,21,"Will Ma Kenzie",72,NA,409.833,22,-5,"Approachesfrom75100yardsRgh",2010
22,22,"Jason Bohn",84,NA,356.167,19,0,"Approachesfrom75100yardsRgh",2010
23,23,"Tim Herron",79,NA,377.917,20,-1,"Approachesfrom75100yardsRgh",2010
24,24,"Mark Calcavecchia",50,NA,132.833,7,1,"Approachesfrom75100yardsRgh",2010
24,24,"Vijay Singh",75,NA,171.25,9,1,"Approachesfrom75100yardsRgh",2010
26,26,"Sean OHair",84,NA,383.333,20,-7,"Approachesfrom75100yardsRgh",2010
27,27,"Charlie Wi",95,NA,308.167,16,-1,"Approachesfrom75100yardsRgh",2010
28,28,"DJ Trahan",92,NA,466.417,24,2,"Approachesfrom75100yardsRgh",2010
29,29,"Brendon de Jonge",114,NA,253.083,13,-3,"Approachesfrom75100yardsRgh",2010
29,29,"David Duval",71,NA,233.75,12,-1,"Approachesfrom75100yardsRgh",2010
29,29,"Tim Petrovic",105,NA,546.417,28,2,"Approachesfrom75100yardsRgh",2010
29,29,"Adam Scott",70,NA,194.833,10,-4,"Approachesfrom75100yardsRgh",2010
33,33,"Brent Delahoussaye",57,NA,156.333,8,-1,"Approachesfrom75100yardsRgh",2010
34,34,"Matt Bettencourt",91,NA,434.583,22,0,"Approachesfrom75100yardsRgh",2010
34,34,"Davis Love III",79,NA,316.083,16,3,"Approachesfrom75100yardsRgh",2010
36,36,"Jimmy Walker",82,NA,356.917,18,1,"Approachesfrom75100yardsRgh",2010
37,37,"Roland Thatcher",72,NA,298.917,15,1,"Approachesfrom75100yardsRgh",2010
38,38,"Marc Leishman",87,NA,303.5,15,-1,"Approachesfrom75100yardsRgh",2010
38,38,"Justin Rose",78,NA,384.917,19,-5,"Approachesfrom75100yardsRgh",2010
