"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2010","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2010","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2010","AverageApproachDistanceBirdieorBetter_ROUNDS_2010","AverageApproachDistanceBirdieorBetter_AVGYARDS_2010","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2010","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2010","stat_name","year"
1,NA,"Brad Faxon",58,151.6,824243,151,"AverageApproachDistanceBirdieorBetter",2010
2,NA,"Omar Uresti",74,153,958308,174,"AverageApproachDistanceBirdieorBetter",2010
3,NA,"Brian Gay",101,154.8,1571595,282,"AverageApproachDistanceBirdieorBetter",2010
4,NA,"Ben Curtis",78,155.9,1190068,212,"AverageApproachDistanceBirdieorBetter",2010
5,NA,"Jerod Turner",54,157.2,696138,123,"AverageApproachDistanceBirdieorBetter",2010
6,NA,"Tim Clark",88,157.6,1406961,248,"AverageApproachDistanceBirdieorBetter",2010
7,NA,"Justin Leonard",89,158.2,1548723,272,"AverageApproachDistanceBirdieorBetter",2010
8,NA,"Paul Goydos",78,158.4,1408862,247,"AverageApproachDistanceBirdieorBetter",2010
9,NA,"Jay Williamson",76,158.7,1199440,210,"AverageApproachDistanceBirdieorBetter",2010
10,NA,"Ben Crane",85,159.2,1478914,258,"AverageApproachDistanceBirdieorBetter",2010
11,NA,"Brent Delahoussaye",57,159.5,809831,141,"AverageApproachDistanceBirdieorBetter",2010
12,NA,"Greg Kraft",52,159.7,626581,109,"AverageApproachDistanceBirdieorBetter",2010
13,NA,"Chris Riley",73,159.8,1260129,219,"AverageApproachDistanceBirdieorBetter",2010
14,NA,"Dean Wilson",54,159.9,972866,169,"AverageApproachDistanceBirdieorBetter",2010
15,NA,"Michael Bradley",77,160.1,1291025,224,"AverageApproachDistanceBirdieorBetter",2010
15,NA,"Scott Verplank",74,160.1,1141442,198,"AverageApproachDistanceBirdieorBetter",2010
17,NA,"Skip Kendall",58,160.6,890387,154,"AverageApproachDistanceBirdieorBetter",2010
18,NA,"Jeff Quinney",91,160.8,1702095,294,"AverageApproachDistanceBirdieorBetter",2010
19,NA,"Vance Veazey",58,161.1,858176,148,"AverageApproachDistanceBirdieorBetter",2010
20,NA,"Webb Simpson",98,161.2,1961179,338,"AverageApproachDistanceBirdieorBetter",2010
21,NA,"Ryuji Imada",90,161.3,1678626,289,"AverageApproachDistanceBirdieorBetter",2010
21,NA,"David Toms",86,161.3,1538829,265,"AverageApproachDistanceBirdieorBetter",2010
23,NA,"Tom Pernice Jr",74,161.6,1151825,198,"AverageApproachDistanceBirdieorBetter",2010
24,NA,"Justin Bolli",55,161.7,704544,121,"AverageApproachDistanceBirdieorBetter",2010
25,NA,"Jeff Maggert",76,162.1,1213656,208,"AverageApproachDistanceBirdieorBetter",2010
26,NA,"Kevin Johnson",62,162.2,817439,140,"AverageApproachDistanceBirdieorBetter",2010
27,NA,"Bryce Molder",84,162.4,1514119,259,"AverageApproachDistanceBirdieorBetter",2010
28,NA,"Craig Bowden",56,162.5,783789,134,"AverageApproachDistanceBirdieorBetter",2010
29,NA,"Freddie Jacobson",83,162.8,1652978,282,"AverageApproachDistanceBirdieorBetter",2010
30,NA,"Chris DiMarco",88,163.7,1543694,262,"AverageApproachDistanceBirdieorBetter",2010
31,NA,"Jeev Milkha Singh",59,163.9,985234,167,"AverageApproachDistanceBirdieorBetter",2010
32,NA,"Richard Johnson",90,164,1398830,237,"AverageApproachDistanceBirdieorBetter",2010
33,NA,"Jeff Gove",57,164.1,809175,137,"AverageApproachDistanceBirdieorBetter",2010
34,NA,"Greg Chalmers",93,164.6,1855057,313,"AverageApproachDistanceBirdieorBetter",2010
34,NA,"Brandt Snedeker",89,164.6,1706946,288,"AverageApproachDistanceBirdieorBetter",2010
36,NA,"JP Hayes",79,164.7,1458747,246,"AverageApproachDistanceBirdieorBetter",2010
