"PuttingfromGrtr10_RANKTHISWEEK_2005","PuttingfromGrtr10_RANKLASTWEEK_2005","PuttingfromGrtr10_PLAYERNAME_2005","PuttingfromGrtr10_ROUNDS_2005","PuttingfromGrtr10_PctMADE_2005","PuttingfromGrtr10_ATTEMPTS_2005","PuttingfromGrtr10_PUTTSMADE_2005","stat_name","year"
1,1,"Brad Faxon",75,20.56,574,118,"PuttingfromGrtr10",2005
2,2,"Loren Roberts",54,19.85,534,106,"PuttingfromGrtr10",2005
3,3,"Phillip Price",77,19.73,669,132,"PuttingfromGrtr10",2005
4,4,"Bob Tway",87,19.7,741,146,"PuttingfromGrtr10",2005
5,5,"Len Mattiace",86,19.54,819,160,"PuttingfromGrtr10",2005
6,6,"Brenden Pappas",51,19.43,530,103,"PuttingfromGrtr10",2005
7,7,"Larry Mize",54,19.4,500,97,"PuttingfromGrtr10",2005
8,8,"Charlie Wi",67,19.11,586,112,"PuttingfromGrtr10",2005
9,9,"Ryan Palmer",101,18.91,878,166,"PuttingfromGrtr10",2005
10,10,"Tim Herron",100,18.9,799,151,"PuttingfromGrtr10",2005
11,11,"Steve Stricker",62,18.84,584,110,"PuttingfromGrtr10",2005
12,12,"Billy Andrade",83,18.64,767,143,"PuttingfromGrtr10",2005
12,12,"Arjun Atwal",65,18.64,649,121,"PuttingfromGrtr10",2005
12,12,"Joe Ogilvie",103,18.64,778,145,"PuttingfromGrtr10",2005
15,15,"Kent Jones",99,18.52,961,178,"PuttingfromGrtr10",2005
16,16,"Dudley Hart",84,18.49,784,145,"PuttingfromGrtr10",2005
17,17,"John Cook",72,18.31,628,115,"PuttingfromGrtr10",2005
17,17,"Kevin Na",88,18.31,781,143,"PuttingfromGrtr10",2005
19,19,"Steve Lowery",100,18.26,909,166,"PuttingfromGrtr10",2005
20,20,"Bob Heintz",67,18.24,636,116,"PuttingfromGrtr10",2005
21,21,"Mark Wilson",74,18.15,672,122,"PuttingfromGrtr10",2005
22,22,"Phil Mickelson",81,18.13,502,91,"PuttingfromGrtr10",2005
23,23,"Matt Gogel",78,18.1,746,135,"PuttingfromGrtr10",2005
24,24,"Dan Forsman",52,18.04,521,94,"PuttingfromGrtr10",2005
25,25,"Freddie Jacobson",72,18.02,566,102,"PuttingfromGrtr10",2005
26,26,"Jose Maria Olazabal",55,17.92,424,76,"PuttingfromGrtr10",2005
27,27,"Aaron Baddeley",84,17.89,766,137,"PuttingfromGrtr10",2005
28,28,"Padraig Harrington",50,17.88,425,76,"PuttingfromGrtr10",2005
29,29,"Charles Howell III",95,17.87,806,144,"PuttingfromGrtr10",2005
30,30,"Ben Crane",78,17.85,650,116,"PuttingfromGrtr10",2005
30,30,"Jim Furyk",94,17.85,773,138,"PuttingfromGrtr10",2005
32,32,"Mario Tiziani",67,17.81,668,119,"PuttingfromGrtr10",2005
33,33,"Richard Johnson",50,17.8,500,89,"PuttingfromGrtr10",2005
34,34,"Stewart Cink",98,17.75,766,136,"PuttingfromGrtr10",2005
35,35,"David Toms",87,17.72,683,121,"PuttingfromGrtr10",2005
36,36,"Steve Allan",102,17.56,951,167,"PuttingfromGrtr10",2005
37,37,"Hunter Haas",83,17.37,760,132,"PuttingfromGrtr10",2005
38,38,"Kirk Triplett",55,17.36,484,84,"PuttingfromGrtr10",2005
38,38,"Dean Wilson",86,17.36,847,147,"PuttingfromGrtr10",2005
40,40,"Kenny Perry",82,17.35,663,115,"PuttingfromGrtr10",2005
41,41,"Chad Campbell",95,17.32,843,146,"PuttingfromGrtr10",2005
42,42,"Daniel Chopra",108,17.31,959,166,"PuttingfromGrtr10",2005
43,43,"Hank Kuehne",84,17.3,792,137,"PuttingfromGrtr10",2005
44,44,"Robert Gamez",91,17.29,833,144,"PuttingfromGrtr10",2005
44,44,"Mark OMeara",66,17.29,532,92,"PuttingfromGrtr10",2005
46,46,"Glen Day",80,17.27,724,125,"PuttingfromGrtr10",2005
46,46,"James Driscoll",73,17.27,660,114,"PuttingfromGrtr10",2005
48,48,"Hunter Mahan",103,17.26,1031,178,"PuttingfromGrtr10",2005
49,49,"Jay Haas",54,17.22,418,72,"PuttingfromGrtr10",2005
50,50,"Mark Hensby",70,17.2,529,91,"PuttingfromGrtr10",2005
51,51,"Geoff Ogilvy",97,17.17,757,130,"PuttingfromGrtr10",2005
52,52,"Bob Estes",92,17.15,834,143,"PuttingfromGrtr10",2005
53,53,"Brian Gay",101,17.12,987,169,"PuttingfromGrtr10",2005
54,54,"Tiger Woods",76,17.08,568,97,"PuttingfromGrtr10",2005
55,55,"Stephen Ames",82,17.06,633,108,"PuttingfromGrtr10",2005
56,56,"Woody Austin",100,17.05,915,156,"PuttingfromGrtr10",2005
56,56,"Jay Williamson",53,17.05,481,82,"PuttingfromGrtr10",2005
58,58,"Bo Van Pelt",112,17.02,1046,178,"PuttingfromGrtr10",2005
59,59,"Tim Clark",92,17,641,109,"PuttingfromGrtr10",2005
60,60,"Pat Perez",89,16.94,744,126,"PuttingfromGrtr10",2005
61,61,"Gavin Coles",70,16.87,664,112,"PuttingfromGrtr10",2005
62,62,"Chris Anderson",66,16.78,578,97,"PuttingfromGrtr10",2005
62,62,"KJ Choi",78,16.78,572,96,"PuttingfromGrtr10",2005
64,64,"Rory Sabbatini",81,16.77,638,107,"PuttingfromGrtr10",2005
65,65,"Neal Lancaster",95,16.76,901,151,"PuttingfromGrtr10",2005
66,66,"Marco Dawson",82,16.75,830,139,"PuttingfromGrtr10",2005
67,67,"John Huston",90,16.73,807,135,"PuttingfromGrtr10",2005
68,68,"Brian Davis",75,16.72,652,109,"PuttingfromGrtr10",2005
69,69,"Bart Bryant",91,16.71,856,143,"PuttingfromGrtr10",2005
70,70,"Paul Gow",78,16.69,689,115,"PuttingfromGrtr10",2005
71,71,"Steve Flesch",90,16.67,684,114,"PuttingfromGrtr10",2005
71,71,"Vijay Singh",111,16.67,912,152,"PuttingfromGrtr10",2005
73,73,"Brett Quigley",96,16.63,866,144,"PuttingfromGrtr10",2005
74,74,"Davis Love III",80,16.56,604,100,"PuttingfromGrtr10",2005
75,75,"Scott McCarron",78,16.54,653,108,"PuttingfromGrtr10",2005
76,76,"Lee Westwood",50,16.48,352,58,"PuttingfromGrtr10",2005
77,77,"Patrick Sheehan",114,16.47,1032,170,"PuttingfromGrtr10",2005
78,78,"Chris DiMarco",83,16.44,596,98,"PuttingfromGrtr10",2005
78,78,"Darron Stiles",78,16.44,742,122,"PuttingfromGrtr10",2005
80,80,"Harrison Frazar",105,16.43,974,160,"PuttingfromGrtr10",2005
81,81,"Tag Ridings",93,16.42,883,145,"PuttingfromGrtr10",2005
82,82,"Brandt Jobe",96,16.4,884,145,"PuttingfromGrtr10",2005
82,82,"Jesper Parnevik",84,16.4,689,113,"PuttingfromGrtr10",2005
84,84,"Mathias Gronberg",60,16.39,592,97,"PuttingfromGrtr10",2005
85,85,"Scott Hend",75,16.38,690,113,"PuttingfromGrtr10",2005
86,86,"John Elliott",58,16.36,538,88,"PuttingfromGrtr10",2005
87,87,"Corey Pavin",77,16.35,630,103,"PuttingfromGrtr10",2005
88,88,"Fred Couples",72,16.34,465,76,"PuttingfromGrtr10",2005
89,89,"Matt Kuchar",60,16.33,594,97,"PuttingfromGrtr10",2005
90,90,"Shaun Micheel",81,16.25,714,116,"PuttingfromGrtr10",2005
91,91,"Nick Watney",91,16.24,893,145,"PuttingfromGrtr10",2005
92,92,"Adam Scott",72,16.22,561,91,"PuttingfromGrtr10",2005
93,93,"Briny Baird",98,16.21,1012,164,"PuttingfromGrtr10",2005
94,94,"Brett Wetterich",76,16.2,722,117,"PuttingfromGrtr10",2005
95,95,"Sean OHair",103,16.19,945,153,"PuttingfromGrtr10",2005
95,95,"Tim Petrovic",97,16.19,834,135,"PuttingfromGrtr10",2005
97,97,"Brent Geiberger",61,16.15,582,94,"PuttingfromGrtr10",2005
98,98,"Rob Rashell",65,16.12,546,88,"PuttingfromGrtr10",2005
99,99,"Charles Warren",89,16.11,894,144,"PuttingfromGrtr10",2005
100,100,"Frank Lickliter II",100,16.07,921,148,"PuttingfromGrtr10",2005
101,101,"Zach Johnson",96,16.04,879,141,"PuttingfromGrtr10",2005
102,102,"Scott Verplank",87,16.03,680,109,"PuttingfromGrtr10",2005
103,103,"Todd Fischer",99,15.99,863,138,"PuttingfromGrtr10",2005
103,103,"Todd Hamilton",94,15.99,769,123,"PuttingfromGrtr10",2005
103,103,"Rod Pampling",89,15.99,744,119,"PuttingfromGrtr10",2005
106,106,"Tom Pernice Jr",111,15.98,895,143,"PuttingfromGrtr10",2005
107,107,"Olin Browne",99,15.96,946,151,"PuttingfromGrtr10",2005
108,108,"Ian Poulter",62,15.95,395,63,"PuttingfromGrtr10",2005
109,109,"Brendan Jones",81,15.89,774,123,"PuttingfromGrtr10",2005
110,110,"Lee Janzen",75,15.84,625,99,"PuttingfromGrtr10",2005
111,111,"Tom Gillis",77,15.83,720,114,"PuttingfromGrtr10",2005
112,112,"Bernhard Langer",67,15.82,474,75,"PuttingfromGrtr10",2005
113,113,"Kevin Stadler",96,15.81,879,139,"PuttingfromGrtr10",2005
114,114,"Stuart Appleby",84,15.77,672,106,"PuttingfromGrtr10",2005
115,115,"Tommy Armour III",103,15.73,1030,162,"PuttingfromGrtr10",2005
115,115,"Scott Gutschewski",86,15.73,782,123,"PuttingfromGrtr10",2005
117,117,"Robert Allenby",95,15.7,809,127,"PuttingfromGrtr10",2005
118,118,"Arron Oberholser",65,15.68,555,87,"PuttingfromGrtr10",2005
119,119,"Thomas Levet",54,15.67,383,60,"PuttingfromGrtr10",2005
120,120,"Cameron Beckman",96,15.61,871,136,"PuttingfromGrtr10",2005
120,120,"Jonathan Byrd",103,15.61,993,155,"PuttingfromGrtr10",2005
122,122,"Jason Bohn",91,15.59,866,135,"PuttingfromGrtr10",2005
123,123,"Shigeki Maruyama",99,15.54,869,135,"PuttingfromGrtr10",2005
124,124,"JL Lewis",98,15.52,831,129,"PuttingfromGrtr10",2005
125,125,"Justin Bolli",65,15.51,593,92,"PuttingfromGrtr10",2005
126,126,"Jason Allred",75,15.5,671,104,"PuttingfromGrtr10",2005
126,126,"Omar Uresti",84,15.5,774,120,"PuttingfromGrtr10",2005
126,126,"Mike Weir",71,15.5,471,73,"PuttingfromGrtr10",2005
129,129,"Jose Coceres",56,15.47,530,82,"PuttingfromGrtr10",2005
130,130,"Steve Elkington",67,15.42,629,97,"PuttingfromGrtr10",2005
131,131,"Jeff Maggert",79,15.4,656,101,"PuttingfromGrtr10",2005
132,132,"Carl Pettersson",109,15.36,970,149,"PuttingfromGrtr10",2005
133,133,"Justin Rose",99,15.35,912,140,"PuttingfromGrtr10",2005
134,134,"Alex Cejka",84,15.32,705,108,"PuttingfromGrtr10",2005
135,135,"Tom Byrum",83,15.31,849,130,"PuttingfromGrtr10",2005
136,136,"Justin Leonard",78,15.3,562,86,"PuttingfromGrtr10",2005
137,137,"Billy Mayfair",114,15.29,1092,167,"PuttingfromGrtr10",2005
138,138,"Franklin Langham",91,15.27,825,126,"PuttingfromGrtr10",2005
139,139,"Chris Riley",67,15.26,426,65,"PuttingfromGrtr10",2005
140,140,"DJ Trahan",81,15.22,762,116,"PuttingfromGrtr10",2005
141,141,"Mark Calcavecchia",92,15.2,809,123,"PuttingfromGrtr10",2005
142,142,"Tjaart van der Walt",56,15.19,619,94,"PuttingfromGrtr10",2005
143,143,"Lucas Glover",88,15.17,844,128,"PuttingfromGrtr10",2005
144,144,"Jonathan Kaye",77,15.12,668,101,"PuttingfromGrtr10",2005
145,145,"Chris Smith",93,15.1,1020,154,"PuttingfromGrtr10",2005
146,146,"Rich Beem",66,15.04,512,77,"PuttingfromGrtr10",2005
146,146,"Jerry Kelly",101,15.04,811,122,"PuttingfromGrtr10",2005
148,148,"Ted Purdy",122,15.03,1118,168,"PuttingfromGrtr10",2005
148,148,"Vaughn Taylor",99,15.03,925,139,"PuttingfromGrtr10",2005
150,150,"Fred Funk",102,15,900,135,"PuttingfromGrtr10",2005
151,151,"Paul Claxton",79,14.98,701,105,"PuttingfromGrtr10",2005
152,152,"Brian Bateman",98,14.95,930,139,"PuttingfromGrtr10",2005
153,153,"DA Points",94,14.94,877,131,"PuttingfromGrtr10",2005
154,154,"Jeff Sluman",94,14.9,913,136,"PuttingfromGrtr10",2005
155,155,"JP Hayes",63,14.88,531,79,"PuttingfromGrtr10",2005
156,156,"Heath Slocum",103,14.87,955,142,"PuttingfromGrtr10",2005
157,157,"Glen Hnatiuk",59,14.86,552,82,"PuttingfromGrtr10",2005
158,158,"Paul Azinger",66,14.81,574,85,"PuttingfromGrtr10",2005
159,159,"Joey Sindelar",104,14.74,1045,154,"PuttingfromGrtr10",2005
160,160,"DJ Brigman",76,14.71,673,99,"PuttingfromGrtr10",2005
161,161,"Peter Lonard",85,14.69,708,104,"PuttingfromGrtr10",2005
162,162,"Will Ma Kenzie",75,14.67,709,104,"PuttingfromGrtr10",2005
162,162,"Hidemichi Tanaka",106,14.67,995,146,"PuttingfromGrtr10",2005
164,164,"Stephen Leaney",89,14.66,839,123,"PuttingfromGrtr10",2005
165,165,"Kevin Sutherland",89,14.65,819,120,"PuttingfromGrtr10",2005
166,166,"Michael Allen",90,14.57,796,116,"PuttingfromGrtr10",2005
167,167,"Craig Barlow",81,14.56,680,99,"PuttingfromGrtr10",2005
168,168,"Carlos Franco",78,14.52,723,105,"PuttingfromGrtr10",2005
169,169,"John Daly",78,14.44,568,82,"PuttingfromGrtr10",2005
170,170,"Ryuji Imada",78,14.4,653,94,"PuttingfromGrtr10",2005
170,170,"Roland Thatcher",75,14.4,743,107,"PuttingfromGrtr10",2005
172,172,"Jeff Hart",63,14.38,612,88,"PuttingfromGrtr10",2005
173,173,"Skip Kendall",80,14.34,746,107,"PuttingfromGrtr10",2005
174,174,"Matt Davidson",53,14.29,546,78,"PuttingfromGrtr10",2005
175,175,"Robert Damron",89,14.27,806,115,"PuttingfromGrtr10",2005
176,176,"Ben Curtis",65,14.26,519,74,"PuttingfromGrtr10",2005
177,177,"Greg Owen",84,14.14,764,108,"PuttingfromGrtr10",2005
177,177,"Duffy Waldorf",86,14.14,764,108,"PuttingfromGrtr10",2005
179,179,"Tom Lehman",69,14.13,545,77,"PuttingfromGrtr10",2005
180,180,"David Hearn",68,14.01,664,93,"PuttingfromGrtr10",2005
181,181,"John Rollins",97,13.98,880,123,"PuttingfromGrtr10",2005
182,182,"Doug Barron",70,13.96,652,91,"PuttingfromGrtr10",2005
183,183,"Jeff Brehaut",71,13.95,688,96,"PuttingfromGrtr10",2005
184,184,"Danny Briggs",70,13.9,662,92,"PuttingfromGrtr10",2005
185,185,"Michael Long",72,13.87,685,95,"PuttingfromGrtr10",2005
186,186,"Bradley Hughes",52,13.77,559,77,"PuttingfromGrtr10",2005
187,187,"Luke Donald",67,13.67,439,60,"PuttingfromGrtr10",2005
187,187,"Joey Snyder III",102,13.67,1039,142,"PuttingfromGrtr10",2005
189,189,"Andrew Magee",82,13.63,719,98,"PuttingfromGrtr10",2005
190,190,"Rocco Mediate",73,13.6,669,91,"PuttingfromGrtr10",2005
191,191,"Sergio Garcia",73,13.55,561,76,"PuttingfromGrtr10",2005
192,192,"Craig Perks",67,13.53,643,87,"PuttingfromGrtr10",2005
193,193,"Retief Goosen",71,13.45,461,62,"PuttingfromGrtr10",2005
194,194,"Bill Glasson",54,13.35,457,61,"PuttingfromGrtr10",2005
195,195,"John Senden",101,12.99,1001,130,"PuttingfromGrtr10",2005
196,196,"JJ Henry",102,12.85,988,127,"PuttingfromGrtr10",2005
197,197,"Dennis Paulson",63,12.83,608,78,"PuttingfromGrtr10",2005
198,198,"Joe Durant",81,12.77,744,95,"PuttingfromGrtr10",2005
199,199,"Mark Brooks",72,12.44,627,78,"PuttingfromGrtr10",2005
200,200,"Hideto Tanihara",50,12.34,462,57,"PuttingfromGrtr10",2005
201,201,"Steve Jones",56,11.88,480,57,"PuttingfromGrtr10",2005
202,202,"Jim Carter",62,11.39,553,63,"PuttingfromGrtr10",2005
