"BirdieorBetterPercentageFairway_RANKTHISWEEK_2009","BirdieorBetterPercentageFairway_RANKLASTWEEK_2009","BirdieorBetterPercentageFairway_PLAYERNAME_2009","BirdieorBetterPercentageFairway_ROUNDS_2009","BirdieorBetterPercentageFairway_Pct_2009","BirdieorBetterPercentageFairway_TOTALBIRDIES_2009","BirdieorBetterPercentageFairway_TOTALHOLES_2009","stat_name","year"
1,1,"Anthony Kim",76,27.17,191,703,"BirdieorBetterPercentageFairway",2009
2,2,"Tiger Woods",64,26.01,168,646,"BirdieorBetterPercentageFairway",2009
3,3,"Fred Couples",54,25.91,135,521,"BirdieorBetterPercentageFairway",2009
4,4,"Rory Sabbatini",81,25.76,213,827,"BirdieorBetterPercentageFairway",2009
5,5,"Tim Clark",81,25.47,219,860,"BirdieorBetterPercentageFairway",2009
6,6,"Steve Stricker",81,25.46,220,864,"BirdieorBetterPercentageFairway",2009
7,7,"Stephen Ames",77,25.22,198,785,"BirdieorBetterPercentageFairway",2009
8,8,"Dean Wilson",81,25.15,244,970,"BirdieorBetterPercentageFairway",2009
9,9,"Daniel Chopra",89,24.83,255,1027,"BirdieorBetterPercentageFairway",2009
10,10,"Hunter Mahan",94,24.73,248,1003,"BirdieorBetterPercentageFairway",2009
11,11,"Phil Mickelson",66,24.68,137,555,"BirdieorBetterPercentageFairway",2009
12,12,"Dustin Johnson",85,24.65,192,779,"BirdieorBetterPercentageFairway",2009
13,13,"Geoff Ogilvy",78,24.63,182,739,"BirdieorBetterPercentageFairway",2009
14,14,"Matt Weibring",65,24.46,182,744,"BirdieorBetterPercentageFairway",2009
15,15,"Zach Johnson",94,24.28,271,1116,"BirdieorBetterPercentageFairway",2009
16,16,"Matt Jones",56,24.14,134,555,"BirdieorBetterPercentageFairway",2009
17,17,"Sean OHair",80,24.12,179,742,"BirdieorBetterPercentageFairway",2009
18,18,"Martin Laird",72,24.03,193,803,"BirdieorBetterPercentageFairway",2009
19,19,"Bo Van Pelt",100,23.91,263,1100,"BirdieorBetterPercentageFairway",2009
20,20,"Justin Leonard",95,23.87,253,1060,"BirdieorBetterPercentageFairway",2009
21,21,"Matt Bettencourt",98,23.85,259,1086,"BirdieorBetterPercentageFairway",2009
21,21,"Jason Day",61,23.85,155,650,"BirdieorBetterPercentageFairway",2009
23,23,"Jonathan Byrd",89,23.82,252,1058,"BirdieorBetterPercentageFairway",2009
23,23,"Rod Pampling",72,23.82,206,865,"BirdieorBetterPercentageFairway",2009
25,25,"Bubba Watson",73,23.73,163,687,"BirdieorBetterPercentageFairway",2009
26,26,"Jim Furyk",86,23.7,223,941,"BirdieorBetterPercentageFairway",2009
26,26,"Justin Rose",71,23.7,183,772,"BirdieorBetterPercentageFairway",2009
28,28,"Luke Donald",79,23.63,194,821,"BirdieorBetterPercentageFairway",2009
29,29,"Tag Ridings",50,23.59,117,496,"BirdieorBetterPercentageFairway",2009
30,30,"Harrison Frazar",93,23.58,241,1022,"BirdieorBetterPercentageFairway",2009
31,31,"Mike Weir",85,23.56,213,904,"BirdieorBetterPercentageFairway",2009
32,32,"Greg Chalmers",85,23.55,223,947,"BirdieorBetterPercentageFairway",2009
33,33,"Lucas Glover",93,23.52,254,1080,"BirdieorBetterPercentageFairway",2009
34,34,"Charlie Wi",92,23.51,253,1076,"BirdieorBetterPercentageFairway",2009
35,35,"Ian Poulter",59,23.36,132,565,"BirdieorBetterPercentageFairway",2009
36,36,"Brian Davis",103,23.34,288,1234,"BirdieorBetterPercentageFairway",2009
36,36,"Padraig Harrington",66,23.34,141,604,"BirdieorBetterPercentageFairway",2009
36,36,"Charley Hoffman",97,23.34,253,1084,"BirdieorBetterPercentageFairway",2009
39,39,"George McNeill",82,23.33,231,990,"BirdieorBetterPercentageFairway",2009
40,40,"Kevin Na",91,23.27,245,1053,"BirdieorBetterPercentageFairway",2009
41,41,"Lee Janzen",74,23.15,194,838,"BirdieorBetterPercentageFairway",2009
41,41,"Ryan Moore",89,23.15,234,1011,"BirdieorBetterPercentageFairway",2009
43,43,"Kevin Sutherland",96,23.05,230,998,"BirdieorBetterPercentageFairway",2009
44,44,"Pat Perez",74,23.01,194,843,"BirdieorBetterPercentageFairway",2009
44,44,"Scott Verplank",88,23.01,257,1117,"BirdieorBetterPercentageFairway",2009
46,46,"Andres Romero",58,22.96,110,479,"BirdieorBetterPercentageFairway",2009
47,47,"Joe Durant",62,22.93,158,689,"BirdieorBetterPercentageFairway",2009
48,48,"Joe Ogilvie",85,22.89,222,970,"BirdieorBetterPercentageFairway",2009
49,49,"Chris Riley",77,22.87,220,962,"BirdieorBetterPercentageFairway",2009
50,50,"Jerry Kelly",90,22.86,240,1050,"BirdieorBetterPercentageFairway",2009
50,50,"Kenny Perry",92,22.86,230,1006,"BirdieorBetterPercentageFairway",2009
52,52,"Nick Watney",86,22.84,196,858,"BirdieorBetterPercentageFairway",2009
53,53,"Matt Kuchar",82,22.83,224,981,"BirdieorBetterPercentageFairway",2009
54,54,"Mark Calcavecchia",72,22.81,182,798,"BirdieorBetterPercentageFairway",2009
55,55,"DJ Trahan",96,22.8,244,1070,"BirdieorBetterPercentageFairway",2009
56,56,"Angel Cabrera",55,22.78,100,439,"BirdieorBetterPercentageFairway",2009
57,57,"Freddie Jacobson",83,22.77,212,931,"BirdieorBetterPercentageFairway",2009
57,57,"Bryce Molder",69,22.77,176,773,"BirdieorBetterPercentageFairway",2009
59,59,"Ted Purdy",101,22.76,269,1182,"BirdieorBetterPercentageFairway",2009
60,60,"Camilo Villegas",76,22.75,167,734,"BirdieorBetterPercentageFairway",2009
61,61,"YE Yang",83,22.7,205,903,"BirdieorBetterPercentageFairway",2009
62,62,"Marc Leishman",91,22.67,243,1072,"BirdieorBetterPercentageFairway",2009
62,62,"Darron Stiles",52,22.67,141,622,"BirdieorBetterPercentageFairway",2009
64,64,"Chad Campbell",90,22.61,215,951,"BirdieorBetterPercentageFairway",2009
64,64,"Chris Stroud",88,22.61,227,1004,"BirdieorBetterPercentageFairway",2009
66,66,"Retief Goosen",74,22.58,168,744,"BirdieorBetterPercentageFairway",2009
67,67,"Paul Goydos",79,22.53,210,932,"BirdieorBetterPercentageFairway",2009
67,67,"Scott Piercy",85,22.53,210,932,"BirdieorBetterPercentageFairway",2009
69,69,"Bob Heintz",59,22.51,158,702,"BirdieorBetterPercentageFairway",2009
70,70,"Kevin Streelman",97,22.43,258,1150,"BirdieorBetterPercentageFairway",2009
71,71,"Brandt Snedeker",81,22.4,205,915,"BirdieorBetterPercentageFairway",2009
72,72,"Webb Simpson",94,22.37,253,1131,"BirdieorBetterPercentageFairway",2009
73,73,"John Senden",100,22.35,281,1257,"BirdieorBetterPercentageFairway",2009
74,74,"Michael Letzig",96,22.31,243,1089,"BirdieorBetterPercentageFairway",2009
75,75,"Mark Wilson",99,22.13,274,1238,"BirdieorBetterPercentageFairway",2009
76,76,"Kris Blanks",60,22.12,146,660,"BirdieorBetterPercentageFairway",2009
77,77,"Steve Marino",98,22.11,249,1126,"BirdieorBetterPercentageFairway",2009
77,77,"Vaughn Taylor",88,22.11,241,1090,"BirdieorBetterPercentageFairway",2009
79,79,"Tim Petrovic",97,22.09,260,1177,"BirdieorBetterPercentageFairway",2009
80,80,"Davis Love III",89,22.06,218,988,"BirdieorBetterPercentageFairway",2009
81,81,"Jeff Quinney",78,22.03,219,994,"BirdieorBetterPercentageFairway",2009
82,82,"John Mallinger",90,21.98,213,969,"BirdieorBetterPercentageFairway",2009
82,82,"David Toms",98,21.98,258,1174,"BirdieorBetterPercentageFairway",2009
84,84,"Jeff Overton",92,21.92,201,917,"BirdieorBetterPercentageFairway",2009
85,85,"Patrick Sheehan",51,21.91,124,566,"BirdieorBetterPercentageFairway",2009
86,86,"Alex Cejka",82,21.86,219,1002,"BirdieorBetterPercentageFairway",2009
86,86,"Tim Herron",87,21.86,223,1020,"BirdieorBetterPercentageFairway",2009
88,88,"Ryan Palmer",78,21.83,198,907,"BirdieorBetterPercentageFairway",2009
89,89,"DA Points",99,21.78,262,1203,"BirdieorBetterPercentageFairway",2009
89,89,"Nicholas Thompson",96,21.78,250,1148,"BirdieorBetterPercentageFairway",2009
91,91,"Ernie Els",70,21.76,156,717,"BirdieorBetterPercentageFairway",2009
92,92,"Gary Woodland",53,21.71,94,433,"BirdieorBetterPercentageFairway",2009
