"GIRPuttingInside5_RANKTHISWEEK_2008","GIRPuttingInside5_RANKLASTWEEK_2008","GIRPuttingInside5_PLAYERNAME_2008","GIRPuttingInside5_ROUNDS_2008","GIRPuttingInside5_Pct_2008","GIRPuttingInside5_ATTEMPTS_2008","GIRPuttingInside5_PUTTSMADE_2008","stat_name","year"
178,178,"Bubba Watson",97,72.88,59,43,"GIRPuttingInside5",2008
179,179,"Mathias Gronberg",87,72.5,40,29,"GIRPuttingInside5",2008
180,180,"Frank Lickliter II",107,72.34,47,34,"GIRPuttingInside5",2008
181,181,"Briny Baird",113,72.22,54,39,"GIRPuttingInside5",2008
182,182,"Joe Durant",92,72.09,43,31,"GIRPuttingInside5",2008
183,183,"Chez Reavie",102,72,50,36,"GIRPuttingInside5",2008
184,184,"Cody Freeman",66,71.43,35,25,"GIRPuttingInside5",2008
184,184,"Rocco Mediate",87,71.43,28,20,"GIRPuttingInside5",2008
184,184,"John Senden",93,71.43,49,35,"GIRPuttingInside5",2008
187,187,"Andres Romero",69,70.83,24,17,"GIRPuttingInside5",2008
188,188,"Paul Claxton",63,70.59,34,24,"GIRPuttingInside5",2008
189,189,"Billy Andrade",71,70.37,27,19,"GIRPuttingInside5",2008
190,190,"Brad Elder",67,69.23,26,18,"GIRPuttingInside5",2008
191,191,"Alex Cejka",75,68.57,35,24,"GIRPuttingInside5",2008
192,192,"Nick Flanagan",89,67.57,37,25,"GIRPuttingInside5",2008
193,193,"Trevor Immelman",70,66.67,30,20,"GIRPuttingInside5",2008
193,193,"Ted Purdy",68,66.67,30,20,"GIRPuttingInside5",2008
195,195,"Will Ma Kenzie",62,64.29,28,18,"GIRPuttingInside5",2008
196,196,"Fred Couples",60,60.71,28,17,"GIRPuttingInside5",2008
197,197,"Tom Lehman",51,57.14,21,12,"GIRPuttingInside5",2008
