"YTDSubParRoundsStreak_RANKTHISWEEK_2013","YTDSubParRoundsStreak_RANKLASTWEEK_2013","YTDSubParRoundsStreak_PLAYERNAME_2013","YTDSubParRoundsStreak__2013","YTDSubParRoundsStreak_VALUE_2013","stat_name","year"
1,1,"Chris Kirk",NA,15,"YTDSubParRoundsStreak",2013
2,2,"Kevin Stadler",NA,12,"YTDSubParRoundsStreak",2013
3,3,"Steven Bowditch",NA,11,"YTDSubParRoundsStreak",2013
3,3,"Tim Clark",NA,11,"YTDSubParRoundsStreak",2013
3,3,"Charley Hoffman",NA,11,"YTDSubParRoundsStreak",2013
6,6,"Russell Henley",NA,10,"YTDSubParRoundsStreak",2013
6,6,"Justin Hicks",NA,10,"YTDSubParRoundsStreak",2013
6,6,"Zach Johnson",NA,10,"YTDSubParRoundsStreak",2013
6,6,"Jeff Overton",NA,10,"YTDSubParRoundsStreak",2013
6,6,"Patrick Reed",NA,10,"YTDSubParRoundsStreak",2013
6,6,"Brandt Snedeker",NA,10,"YTDSubParRoundsStreak",2013
6,6,"Nicholas Thompson",NA,10,"YTDSubParRoundsStreak",2013
6,6,"Jimmy Walker",NA,10,"YTDSubParRoundsStreak",2013
14,14,"Chad Campbell",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Martin Flores",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Brad Fritsch",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Brian Gay",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Jim Herman",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Charles Howell III",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Matt Kuchar",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Justin Leonard",NA,9,"YTDSubParRoundsStreak",2013
14,14,"William McGirt",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Bryce Molder",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Henrik Stenson",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Brian Stuard",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Kevin Sutherland",NA,9,"YTDSubParRoundsStreak",2013
14,14,"Tiger Woods",NA,9,"YTDSubParRoundsStreak",2013
28,28,"Ricky Barnes",NA,8,"YTDSubParRoundsStreak",2013
28,28,"Brendon de Jonge",NA,8,"YTDSubParRoundsStreak",2013
28,28,"Bill Haas",NA,8,"YTDSubParRoundsStreak",2013
28,28,"James Hahn",NA,8,"YTDSubParRoundsStreak",2013
28,28,"Matt Jones",NA,8,"YTDSubParRoundsStreak",2013
28,28,"Tim Petrovic",NA,8,"YTDSubParRoundsStreak",2013
28,28,"Dicky Pride",NA,8,"YTDSubParRoundsStreak",2013
28,28,"Justin Rose",NA,8,"YTDSubParRoundsStreak",2013
28,28,"Kevin Streelman",NA,8,"YTDSubParRoundsStreak",2013
28,28,"Daniel Summerhays",NA,8,"YTDSubParRoundsStreak",2013
28,28,"Josh Teater",NA,8,"YTDSubParRoundsStreak",2013
39,39,"Jason Bohn",NA,7,"YTDSubParRoundsStreak",2013
39,39,"Keegan Bradley",NA,7,"YTDSubParRoundsStreak",2013
39,39,"KJ Choi",NA,7,"YTDSubParRoundsStreak",2013
39,39,"Graham DeLaet",NA,7,"YTDSubParRoundsStreak",2013
39,39,"Luke Donald",NA,7,"YTDSubParRoundsStreak",2013
39,39,"Harris English",NA,7,"YTDSubParRoundsStreak",2013
39,39,"Jim Furyk",NA,7,"YTDSubParRoundsStreak",2013
39,39,"Billy Horschel",NA,7,"YTDSubParRoundsStreak",2013
39,39,"Ken Looper",NA,7,"YTDSubParRoundsStreak",2013
39,39,"George McNeill",NA,7,"YTDSubParRoundsStreak",2013
