"DistancefromEdgeofFairway_RANKTHISWEEK_2016","DistancefromEdgeofFairway_RANKLASTWEEK_2016","DistancefromEdgeofFairway_PLAYERNAME_2016","DistancefromEdgeofFairway_EVENTS_2016","DistancefromEdgeofFairway_AVG_2016","DistancefromEdgeofFairway_TOTALDISTANCEFEET_2016","DistancefromEdgeofFairway_TOTALSTROKES_2016","stat_name","year"
1,1,"Jordan Spieth",9,NA,1551.583,86,"DistancefromEdgeofFairway",2016
2,2,"Justin Hicks",10,NA,1839.25,99,"DistancefromEdgeofFairway",2016
3,3,"Jerry Kelly",12,NA,2104.917,113,"DistancefromEdgeofFairway",2016
3,3,"Justin Leonard",8,NA,1695.583,91,"DistancefromEdgeofFairway",2016
5,5,"Russell Knox",14,NA,2229.417,119,"DistancefromEdgeofFairway",2016
6,6,"Abraham Ancer",11,NA,1371.417,71,"DistancefromEdgeofFairway",2016
7,7,"Brian Stuard",8,NA,1594.75,82,"DistancefromEdgeofFairway",2016
8,8,"Ken Duke",9,NA,1832.25,93,"DistancefromEdgeofFairway",2016
9,9,"Kevin Kisner",14,NA,2838.333,139,"DistancefromEdgeofFairway",2016
10,10,"Jim Herman",17,NA,3699.917,178,"DistancefromEdgeofFairway",2016
10,11,"Spencer Levin",19,NA,4786.583,231,"DistancefromEdgeofFairway",2016
12,14,"Zac Blair",18,NA,3526.417,169,"DistancefromEdgeofFairway",2016
13,13,"Colt Knost",15,NA,3326.083,159,"DistancefromEdgeofFairway",2016
14,18,"Russell Henley",14,NA,3669.417,173,"DistancefromEdgeofFairway",2016
15,12,"Thomas Aiken",13,NA,1897.667,89,"DistancefromEdgeofFairway",2016
15,27,"Daniel Summerhays",15,NA,5134.583,241,"DistancefromEdgeofFairway",2016
15,17,"Boo Weekley",17,NA,3791.167,178,"DistancefromEdgeofFairway",2016
18,21,"Matt Kuchar",12,NA,3343.417,155,"DistancefromEdgeofFairway",2016
19,18,"Jason Bohn",11,NA,2644.833,122,"DistancefromEdgeofFairway",2016
19,22,"Chez Reavie",16,NA,4349.25,201,"DistancefromEdgeofFairway",2016
19,34,"Webb Simpson",10,NA,2966.75,137,"DistancefromEdgeofFairway",2016
22,25,"Zach Johnson",12,NA,3172.167,146,"DistancefromEdgeofFairway",2016
23,28,"William McGirt",15,NA,4973.083,227,"DistancefromEdgeofFairway",2016
24,18,"Ryan Moore",11,NA,2702.5,123,"DistancefromEdgeofFairway",2016
24,32,"Kyle Reifers",19,NA,5098.333,232,"DistancefromEdgeofFairway",2016
26,29,"Bryce Molder",16,NA,4358.5,197,"DistancefromEdgeofFairway",2016
27,15,"Scott Langley",13,NA,3520.333,158,"DistancefromEdgeofFairway",2016
28,16,"Ben Martin",14,NA,4688.667,210,"DistancefromEdgeofFairway",2016
29,32,"Shane Bertsch",9,NA,2378.25,106,"DistancefromEdgeofFairway",2016
30,22,"Emiliano Grillo",13,NA,3017.833,134,"DistancefromEdgeofFairway",2016
30,30,"Kyle Stanley",17,NA,5188,231,"DistancefromEdgeofFairway",2016
32,36,"Francesco Molinari",10,NA,4260,187,"DistancefromEdgeofFairway",2016
33,37,"Kevin Streelman",15,NA,3453.25,151,"DistancefromEdgeofFairway",2016
34,39,"Will Ma Kenzie",17,NA,4681.583,204,"DistancefromEdgeofFairway",2016
35,35,"Lucas Glover",16,NA,5197.667,226,"DistancefromEdgeofFairway",2016
36,40,"Graeme McDowell",11,NA,2024.667,87,"DistancefromEdgeofFairway",2016
37,47,"Chad Campbell",18,NA,4477,191,"DistancefromEdgeofFairway",2016
37,42,"Jason Dufner",15,NA,4330.083,185,"DistancefromEdgeofFairway",2016
37,40,"Ian Poulter",10,NA,2852.333,122,"DistancefromEdgeofFairway",2016
40,43,"Dicky Pride",13,NA,2463.167,105,"DistancefromEdgeofFairway",2016
40,30,"Tim Wilkinson",11,NA,3292.083,140,"DistancefromEdgeofFairway",2016
42,25,"Kevin Chappell",14,NA,5166.25,219,"DistancefromEdgeofFairway",2016
42,44,"Brice Garnett",9,NA,1510.583,64,"DistancefromEdgeofFairway",2016
42,44,"John Senden",15,NA,5759.667,244,"DistancefromEdgeofFairway",2016
45,47,"Cameron Percy",7,NA,1613.833,68,"DistancefromEdgeofFairway",2016
46,49,"Kevin Na",14,NA,4106.167,172,"DistancefromEdgeofFairway",2016
47,53,"Fabian Gomez",15,NA,5032,210,"DistancefromEdgeofFairway",2016
48,51,"Roberto Castro",16,NA,4740.5,197,"DistancefromEdgeofFairway",2016
49,44,"Blayne Barber",16,NA,4198,174,"DistancefromEdgeofFairway",2016
49,22,"David Toms",11,NA,3475.917,144,"DistancefromEdgeofFairway",2016
51,53,"Branden Grace",9,NA,2630.5,108,"DistancefromEdgeofFairway",2016
52,56,"KJ Choi",14,NA,4732.75,194,"DistancefromEdgeofFairway",2016
52,57,"Brian Harman",18,NA,6119.333,251,"DistancefromEdgeofFairway",2016
52,38,"Hideki Matsuyama",12,NA,3291.833,135,"DistancefromEdgeofFairway",2016
55,57,"Jon Curran",18,NA,4427.5,180,"DistancefromEdgeofFairway",2016
55,57,"Troy Merritt",14,NA,3733.083,152,"DistancefromEdgeofFairway",2016
57,60,"Andrew Landry",9,NA,1061.333,43,"DistancefromEdgeofFairway",2016
58,62,"Whee Kim",18,NA,5189,210,"DistancefromEdgeofFairway",2016
59,51,"Justin Rose",10,NA,3204.417,129,"DistancefromEdgeofFairway",2016
59,62,"Darron Stiles",10,NA,1538.333,62,"DistancefromEdgeofFairway",2016
61,71,"DA Points",11,NA,2419,97,"DistancefromEdgeofFairway",2016
62,65,"Brian Gay",8,NA,2248.5,90,"DistancefromEdgeofFairway",2016
62,53,"Mark Wilson",13,NA,3896.917,156,"DistancefromEdgeofFairway",2016
