"DrivingPctAll_RANKTHISWEEK_2014","DrivingPctAll_RANKLASTWEEK_2014","DrivingPctAll_PLAYERNAME_2014","DrivingPctAll_ROUNDS_2014","DrivingPctAll_Pct_2014","DrivingPctAll_TOTALDRIVESFOR_2014","DrivingPctAll_TOTALDRIVESOVERALL_2014","DrivingPctAll_RELATIVETOPAR_2014","stat_name","year"
1,1,"Mike Weir",69,11.37,84,739,0.476,"DrivingPctAll",2014
2,2,"Briny Baird",50,11.16,70,627,0.243,"DrivingPctAll",2014
3,3,"Michael Thompson",74,10.24,86,840,0.093,"DrivingPctAll",2014
4,4,"Luke Donald",57,9.64,59,612,0.051,"DrivingPctAll",2014
5,5,"Ken Duke",80,9.32,86,923,0.14,"DrivingPctAll",2014
6,6,"Brian Gay",81,9.07,80,882,0.275,"DrivingPctAll",2014
7,7,"Scott Langley",95,9,99,1100,0.162,"DrivingPctAll",2014
8,8,"Aaron Baddeley",74,8.99,74,823,0.27,"DrivingPctAll",2014
9,9,"Justin Leonard",75,8.93,77,862,0.286,"DrivingPctAll",2014
10,10,"Jim Furyk",84,8.91,82,920,-0.098,"DrivingPctAll",2014
11,11,"Graeme McDowell",66,8.7,56,644,-0.018,"DrivingPctAll",2014
12,12,"Woody Austin",63,8.65,69,798,0.275,"DrivingPctAll",2014
13,13,"Bryce Molder",77,8.52,76,892,0.158,"DrivingPctAll",2014
14,14,"Spencer Levin",59,8.33,58,696,0.207,"DrivingPctAll",2014
15,15,"YE Yang",79,8.24,70,849,0.243,"DrivingPctAll",2014
16,16,"Trevor Immelman",84,8.11,76,937,0.237,"DrivingPctAll",2014
17,17,"Chad Collins",78,8.02,68,848,0.221,"DrivingPctAll",2014
18,18,"Gonzalo Fdez Castano",83,7.97,77,966,0.325,"DrivingPctAll",2014
19,19,"John Rollins",84,7.91,74,935,0.365,"DrivingPctAll",2014
20,20,"Ted Potter Jr",68,7.9,66,835,0.136,"DrivingPctAll",2014
21,21,"Chesson Hadley",84,7.89,78,989,0.269,"DrivingPctAll",2014
22,22,"James Driscoll",71,7.82,63,806,0.333,"DrivingPctAll",2014
23,23,"Richard Lee",80,7.76,66,851,0.167,"DrivingPctAll",2014
24,24,"Brandt Snedeker",89,7.7,71,922,0.239,"DrivingPctAll",2014
25,25,"DH Lee",54,7.67,48,626,0.458,"DrivingPctAll",2014
26,26,"Roberto Castro",76,7.54,62,822,0.113,"DrivingPctAll",2014
27,27,"Jason Bohn",81,7.48,76,1016,0.303,"DrivingPctAll",2014
