"StrokesGainedTotal_RANKTHISWEEK_2015","StrokesGainedTotal_RANKLASTWEEK_2015","StrokesGainedTotal_PLAYERNAME_2015","StrokesGainedTotal_ROUNDS_2015","StrokesGainedTotal_AVERAGE_2015","StrokesGainedTotal_TOTALSGT_2015","StrokesGainedTotal_TOTALSGT2G_2015","StrokesGainedTotal_TOTALSGP_2015","StrokesGainedTotal_MEASUREDROUNDS_2015","stat_name","year"
1,1,"Henrik Stenson",63,2.21,97.245,78.041,19.205,44,"StrokesGainedTotal",2015
2,2,"Jordan Spieth",91,2.154,142.131,104.47,37.665,66,"StrokesGainedTotal",2015
3,3,"Jason Day",75,2.106,120.054,86.649,33.407,57,"StrokesGainedTotal",2015
4,4,"Bubba Watson",71,2.088,116.927,105.053,11.875,56,"StrokesGainedTotal",2015
5,5,"Jim Furyk",71,1.634,84.986,86.239,-1.252,52,"StrokesGainedTotal",2015
6,6,"Justin Rose",69,1.493,73.18,72.06,1.123,49,"StrokesGainedTotal",2015
7,7,"Hideki Matsuyama",95,1.464,102.473,97.135,5.34,70,"StrokesGainedTotal",2015
8,8,"Dustin Johnson",75,1.455,78.552,71.623,6.932,54,"StrokesGainedTotal",2015
9,9,"Paul Casey",87,1.216,76.616,75.709,0.911,63,"StrokesGainedTotal",2015
10,10,"Will Wilcox",58,1.186,48.615,35.396,13.22,41,"StrokesGainedTotal",2015
11,11,"Matt Kuchar",97,1.133,87.212,62.892,24.322,77,"StrokesGainedTotal",2015
12,12,"Zach Johnson",90,1.12,78.417,75.643,2.778,70,"StrokesGainedTotal",2015
13,13,"Robert Streb",110,1.093,104.938,68.382,36.561,96,"StrokesGainedTotal",2015
14,14,"Rickie Fowler",76,1.088,62.024,44.412,17.616,57,"StrokesGainedTotal",2015
15,15,"Brooks Koepka",84,1.081,70.245,42.877,27.372,65,"StrokesGainedTotal",2015
16,16,"Sergio Garcia",59,1.045,37.624,38.412,-0.784,36,"StrokesGainedTotal",2015
17,17,"Keegan Bradley",87,1.018,65.156,69.635,-4.473,64,"StrokesGainedTotal",2015
18,18,"Justin Thomas",106,0.968,92.893,88.883,4.012,96,"StrokesGainedTotal",2015
19,19,"Ryan Palmer",80,0.96,51.852,43.921,7.937,54,"StrokesGainedTotal",2015
20,20,"Brendan Steele",88,0.958,72.798,76.351,-3.547,76,"StrokesGainedTotal",2015
21,21,"JB Holmes",89,0.944,62.313,62.613,-0.296,66,"StrokesGainedTotal",2015
21,21,"Kevin Na",98,0.944,67.027,50.485,16.544,71,"StrokesGainedTotal",2015
23,23,"Jimmy Walker",89,0.933,59.711,15.449,44.265,64,"StrokesGainedTotal",2015
24,24,"Lee Westwood",56,0.879,28.112,9.067,19.046,32,"StrokesGainedTotal",2015
25,25,"Patrick Reed",103,0.859,65.248,35.333,29.919,76,"StrokesGainedTotal",2015
26,26,"Brendon Todd",96,0.83,63.067,18.851,44.219,76,"StrokesGainedTotal",2015
27,27,"Russell Knox",96,0.806,70.153,71.984,-1.826,87,"StrokesGainedTotal",2015
28,28,"Jason Bohn",95,0.777,67.614,46.844,20.775,87,"StrokesGainedTotal",2015
