"FedExCupBonusMoney_RANKTHISWEEK_2014","FedExCupBonusMoney_RANKLASTWEEK_2014","FedExCupBonusMoney_PLAYERNAME_2014","FedExCupBonusMoney_EVENTS_2014","FedExCupBonusMoney_MONEY_2014","stat_name","year"
1,1,"Billy Horschel",27,1e+07,"FedExCupBonusMoney",2014
2,2,"Chris Kirk",28,3e+06,"FedExCupBonusMoney",2014
3,3,"Rory McIlroy",17,2e+06,"FedExCupBonusMoney",2014
4,4,"Jim Furyk",21,1500000,"FedExCupBonusMoney",2014
5,5,"Bubba Watson",21,1e+06,"FedExCupBonusMoney",2014
6,6,"Hunter Mahan",25,8e+05,"FedExCupBonusMoney",2014
7,7,"Jimmy Walker",27,7e+05,"FedExCupBonusMoney",2014
8,8,"Matt Kuchar",24,6e+05,"FedExCupBonusMoney",2014
9,9,"Rickie Fowler",26,550000,"FedExCupBonusMoney",2014
10,10,"Jason Day",15,5e+05,"FedExCupBonusMoney",2014
11,11,"Justin Rose",19,3e+05,"FedExCupBonusMoney",2014
12,12,"Adam Scott",17,290000,"FedExCupBonusMoney",2014
13,13,"Sergio Garcia",16,280000,"FedExCupBonusMoney",2014
14,14,"Ryan Palmer",23,270000,"FedExCupBonusMoney",2014
15,15,"Jordan Spieth",27,250000,"FedExCupBonusMoney",2014
16,16,"Bill Haas",28,242500,"FedExCupBonusMoney",2014
16,16,"Martin Kaymer",19,242500,"FedExCupBonusMoney",2014
18,18,"Zach Johnson",26,235000,"FedExCupBonusMoney",2014
19,19,"Russell Henley",29,230000,"FedExCupBonusMoney",2014
20,20,"Cameron Tringale",31,225000,"FedExCupBonusMoney",2014
21,21,"Patrick Reed",28,220000,"FedExCupBonusMoney",2014
22,22,"Gary Woodland",25,215000,"FedExCupBonusMoney",2014
23,23,"John Senden",27,210000,"FedExCupBonusMoney",2014
24,24,"Kevin Na",27,205000,"FedExCupBonusMoney",2014
25,25,"Webb Simpson",25,2e+05,"FedExCupBonusMoney",2014
26,26,"Morgan Hoffmann",32,195000,"FedExCupBonusMoney",2014
27,27,"Brendon Todd",29,190000,"FedExCupBonusMoney",2014
28,28,"Hideki Matsuyama",24,185000,"FedExCupBonusMoney",2014
29,29,"Geoff Ogilvy",26,180000,"FedExCupBonusMoney",2014
30,30,"Dustin Johnson",17,175000,"FedExCupBonusMoney",2014
31,31,"Stuart Appleby",29,165000,"FedExCupBonusMoney",2014
32,32,"Harris English",28,155000,"FedExCupBonusMoney",2014
33,33,"Keegan Bradley",26,150000,"FedExCupBonusMoney",2014
34,34,"Charles Howell III",29,145000,"FedExCupBonusMoney",2014
35,35,"Seung Yul Noh",27,142000,"FedExCupBonusMoney",2014
36,36,"Brian Harman",32,140000,"FedExCupBonusMoney",2014
37,37,"Graham DeLaet",24,138000,"FedExCupBonusMoney",2014
38,38,"Kevin Stadler",26,137000,"FedExCupBonusMoney",2014
39,39,"Ryan Moore",24,136000,"FedExCupBonusMoney",2014
40,40,"Russell Knox",26,135000,"FedExCupBonusMoney",2014
41,41,"Ernie Els",24,134000,"FedExCupBonusMoney",2014
42,42,"JB Holmes",24,133000,"FedExCupBonusMoney",2014
43,43,"Charl Schwartzel",18,132000,"FedExCupBonusMoney",2014
44,44,"Kevin Streelman",24,131000,"FedExCupBonusMoney",2014
45,45,"Matt Every",26,130000,"FedExCupBonusMoney",2014
46,46,"George McNeill",24,129000,"FedExCupBonusMoney",2014
47,47,"Chris Stroud",25,128000,"FedExCupBonusMoney",2014
48,48,"Camilo Villegas",29,127000,"FedExCupBonusMoney",2014
49,49,"Chesson Hadley",29,126000,"FedExCupBonusMoney",2014
50,50,"Angel Cabrera",23,125000,"FedExCupBonusMoney",2014
51,51,"Brian Stuard",29,120000,"FedExCupBonusMoney",2014
52,52,"Henrik Stenson",15,115000,"FedExCupBonusMoney",2014
53,53,"Charley Hoffman",25,114000,"FedExCupBonusMoney",2014
54,54,"Tim Clark",26,113000,"FedExCupBonusMoney",2014
55,55,"Kevin Chappell",28,110000,"FedExCupBonusMoney",2014
56,56,"Graeme McDowell",17,110000,"FedExCupBonusMoney",2014
57,57,"Daniel Summerhays",27,110000,"FedExCupBonusMoney",2014
58,58,"Marc Leishman",24,110000,"FedExCupBonusMoney",2014
59,59,"Steven Bowditch",30,110000,"FedExCupBonusMoney",2014
60,60,"Ben Crane",25,110000,"FedExCupBonusMoney",2014
61,61,"William McGirt",29,110000,"FedExCupBonusMoney",2014
62,62,"Jerry Kelly",23,110000,"FedExCupBonusMoney",2014
63,63,"Carl Pettersson",28,110000,"FedExCupBonusMoney",2014
64,64,"Erik Compton",28,110000,"FedExCupBonusMoney",2014
