"RightRoughProximity_RANKTHISWEEK_2015","RightRoughProximity_RANKLASTWEEK_2015","RightRoughProximity_PLAYERNAME_2015","RightRoughProximity_ROUNDS_2015","RightRoughProximity_AVG_2015","RightRoughProximity_ATTEMPTS_2015","RightRoughProximity_TOTALDISTANCEFEET_2015","RightRoughProximity_RELATIVETOPAR_2015","stat_name","year"
1,1,"Bubba Watson",71,NA,120,4164.333,-9,"RightRoughProximity",2015
2,2,"Jim Furyk",71,NA,86,3158.167,4,"RightRoughProximity",2015
3,3,"Eric Axley",57,NA,84,3188.25,11,"RightRoughProximity",2015
4,4,"William McGirt",103,NA,139,5355.917,21,"RightRoughProximity",2015
5,5,"Charley Hoffman",97,NA,169,6595.75,14,"RightRoughProximity",2015
6,6,"Dustin Johnson",75,NA,120,4685.667,-3,"RightRoughProximity",2015
7,7,"Jordan Spieth",91,NA,118,4621.417,-4,"RightRoughProximity",2015
7,7,"Nicholas Thompson",90,NA,110,4307,20,"RightRoughProximity",2015
9,9,"Billy Hurley III",83,NA,101,3974.583,13,"RightRoughProximity",2015
10,10,"Chez Reavie",56,NA,74,2917.333,15,"RightRoughProximity",2015
11,11,"Greg Chalmers",58,NA,76,3028.083,9,"RightRoughProximity",2015
12,12,"Ryo Ishikawa",90,NA,147,5862,6,"RightRoughProximity",2015
13,13,"Jason Bohn",95,NA,106,4252.667,9,"RightRoughProximity",2015
14,14,"Stewart Cink",77,NA,109,4383.583,-5,"RightRoughProximity",2015
15,15,"Blayne Barber",76,NA,99,3993.667,6,"RightRoughProximity",2015
15,15,"Scott Langley",94,NA,166,6691.167,17,"RightRoughProximity",2015
17,17,"Patrick Rodgers",57,NA,106,4280.833,12,"RightRoughProximity",2015
17,17,"Lee Westwood",56,NA,59,2386.917,13,"RightRoughProximity",2015
19,19,"Robert Allenby",63,NA,57,2308.333,4,"RightRoughProximity",2015
19,19,"Shawn Stefani",94,NA,146,5908.583,15,"RightRoughProximity",2015
21,21,"Morgan Hoffmann",85,NA,148,6001,1,"RightRoughProximity",2015
22,22,"Chesson Hadley",101,NA,147,5975.25,28,"RightRoughProximity",2015
23,23,"Jon Curran",83,NA,85,3473.583,8,"RightRoughProximity",2015
24,24,"Steven Bowditch",103,NA,164,6709.167,12,"RightRoughProximity",2015
25,25,"Jim Renner",68,NA,110,4505.417,24,"RightRoughProximity",2015
26,26,"Kevin Kisner",104,NA,152,6244,16,"RightRoughProximity",2015
26,26,"Andrew Putnam",68,NA,103,4227.417,11,"RightRoughProximity",2015
28,28,"Brendon Todd",96,NA,118,4868.167,13,"RightRoughProximity",2015
29,29,"Jason Gore",76,NA,87,3596,12,"RightRoughProximity",2015
29,29,"Carl Pettersson",106,NA,167,6900.833,23,"RightRoughProximity",2015
31,31,"Angel Cabrera",53,NA,81,3353.25,15,"RightRoughProximity",2015
31,31,"JB Holmes",89,NA,134,5547.333,10,"RightRoughProximity",2015
33,33,"Jason Kokrak",88,NA,158,6553.75,1,"RightRoughProximity",2015
34,34,"Danny Lee",120,NA,144,5997.25,15,"RightRoughProximity",2015
35,35,"Hideki Matsuyama",95,NA,125,5229.75,10,"RightRoughProximity",2015
36,36,"Oscar Fraustro",58,NA,90,3769.083,8,"RightRoughProximity",2015
36,36,"Daniel Summerhays",101,NA,181,7581.667,14,"RightRoughProximity",2015
38,38,"Martin Flores",95,NA,170,7137.75,11,"RightRoughProximity",2015
39,39,"Matt Kuchar",97,NA,105,4417.917,-3,"RightRoughProximity",2015
39,39,"Brendan Steele",88,NA,136,5727.417,2,"RightRoughProximity",2015
41,41,"Ben Crane",62,NA,70,2953.083,8,"RightRoughProximity",2015
41,41,"John Merrick",78,NA,92,3879.917,23,"RightRoughProximity",2015
43,43,"Ricky Barnes",82,NA,149,6290.083,17,"RightRoughProximity",2015
44,44,"Louis Oosthuizen",68,NA,83,3511.417,5,"RightRoughProximity",2015
45,45,"Brandt Snedeker",98,NA,127,5407,8,"RightRoughProximity",2015
46,46,"Kyle Reifers",96,NA,157,6700.833,32,"RightRoughProximity",2015
47,47,"Charlie Beljan",76,NA,126,5391.417,18,"RightRoughProximity",2015
47,47,"Greg Owen",58,NA,97,4147.667,16,"RightRoughProximity",2015
49,49,"Hudson Swafford",97,NA,142,6085.917,17,"RightRoughProximity",2015
50,50,"Russell Henley",87,NA,89,3819,0,"RightRoughProximity",2015
51,51,"DA Points",72,NA,118,5077.917,3,"RightRoughProximity",2015
52,52,"Jason Day",75,NA,124,5341.417,3,"RightRoughProximity",2015
52,52,"Bill Haas",89,NA,121,5217,1,"RightRoughProximity",2015
54,54,"Paul Casey",87,NA,106,4576.5,6,"RightRoughProximity",2015
55,55,"Jason Dufner",76,NA,72,3116.333,3,"RightRoughProximity",2015
56,56,"Justin Rose",69,NA,79,3423.917,14,"RightRoughProximity",2015
56,56,"Sam Saunders",83,NA,120,5201,28,"RightRoughProximity",2015
58,58,"Jonas Blixt",78,NA,102,4428.833,10,"RightRoughProximity",2015
58,58,"David Lingmerth",90,NA,119,5163.167,22,"RightRoughProximity",2015
58,58,"Patrick Reed",103,NA,163,7073.417,5,"RightRoughProximity",2015
58,58,"John Senden",80,NA,76,3298.917,13,"RightRoughProximity",2015
58,58,"Tim Wilkinson",73,NA,96,4168.167,23,"RightRoughProximity",2015
63,63,"Spencer Levin",99,NA,109,4742.667,21,"RightRoughProximity",2015
63,63,"John Peterson",84,NA,125,5435.417,16,"RightRoughProximity",2015
63,63,"Chris Stroud",84,NA,112,4871.583,24,"RightRoughProximity",2015
66,66,"Justin Thomas",106,NA,167,7278.833,8,"RightRoughProximity",2015
67,67,"Brendon de Jonge",106,NA,154,6734.917,16,"RightRoughProximity",2015
67,67,"Nick Watney",91,NA,150,6564.417,25,"RightRoughProximity",2015
69,69,"Erik Compton",86,NA,114,5007.667,12,"RightRoughProximity",2015
69,69,"Bryce Molder",91,NA,143,6282.5,15,"RightRoughProximity",2015
71,71,"Daniel Berger",97,NA,169,7447,19,"RightRoughProximity",2015
72,72,"Hunter Mahan",88,NA,134,5916.833,20,"RightRoughProximity",2015
72,72,"Ryan Palmer",80,NA,107,4725.167,8,"RightRoughProximity",2015
72,72,"Scott Piercy",90,NA,197,8702.083,32,"RightRoughProximity",2015
72,72,"Scott Stallings",60,NA,86,3800.417,6,"RightRoughProximity",2015
76,76,"David Toms",62,NA,95,4200.25,15,"RightRoughProximity",2015
77,77,"Rickie Fowler",76,NA,106,4701.417,22,"RightRoughProximity",2015
78,78,"Ben Martin",93,NA,130,5773.417,35,"RightRoughProximity",2015
78,78,"George McNeill",93,NA,154,6837.25,18,"RightRoughProximity",2015
80,80,"Adam Hadwin",95,NA,128,5693.167,23,"RightRoughProximity",2015
81,81,"Tony Finau",106,NA,232,10345.083,-1,"RightRoughProximity",2015
