"TotalEagles_RANKTHISWEEK_2013","TotalEagles_RANKLASTWEEK_2013","TotalEagles_PLAYERNAME_2013","TotalEagles_ROUNDS_2013","TotalEagles_TOTAL_2013","stat_name","year"
1,1,"Chris Kirk",89,15,"TotalEagles",2013
2,2,"Jason Kokrak",78,13,"TotalEagles",2013
2,2,"Jordan Spieth",82,13,"TotalEagles",2013
4,4,"Dustin Johnson",71,12,"TotalEagles",2013
5,5,"Keegan Bradley",88,11,"TotalEagles",2013
5,5,"Charley Hoffman",84,11,"TotalEagles",2013
5,5,"Patrick Reed",83,11,"TotalEagles",2013
5,5,"Kevin Stadler",83,11,"TotalEagles",2013
5,5,"Boo Weekley",100,11,"TotalEagles",2013
5,5,"Gary Woodland",94,11,"TotalEagles",2013
11,11,"Matt Every",89,10,"TotalEagles",2013
11,11,"James Hahn",78,10,"TotalEagles",2013
11,11,"George McNeill",68,10,"TotalEagles",2013
11,11,"John Merrick",79,10,"TotalEagles",2013
11,11,"Kyle Stanley",71,10,"TotalEagles",2013
16,16,"Aaron Baddeley",68,9,"TotalEagles",2013
16,16,"Chad Campbell",78,9,"TotalEagles",2013
16,16,"Brendon de Jonge",110,9,"TotalEagles",2013
16,16,"Martin Flores",83,9,"TotalEagles",2013
16,16,"Rickie Fowler",75,9,"TotalEagles",2013
16,16,"Brad Fritsch",81,9,"TotalEagles",2013
16,16,"Sergio Garcia",65,9,"TotalEagles",2013
16,16,"Robert Garrigus",69,9,"TotalEagles",2013
16,16,"Charles Howell III",87,9,"TotalEagles",2013
16,16,"Doug LaBelle II",72,9,"TotalEagles",2013
16,16,"Henrik Stenson",65,9,"TotalEagles",2013
16,16,"Daniel Summerhays",83,9,"TotalEagles",2013
16,16,"Camilo Villegas",79,9,"TotalEagles",2013
16,16,"Nick Watney",88,9,"TotalEagles",2013
30,30,"Greg Chalmers",77,8,"TotalEagles",2013
30,30,"Kevin Chappell",80,8,"TotalEagles",2013
30,30,"Jason Day",86,8,"TotalEagles",2013
30,30,"Ernie Els",63,8,"TotalEagles",2013
30,30,"John Huh",88,8,"TotalEagles",2013
30,30,"Ben Kohles",75,8,"TotalEagles",2013
30,30,"Matt Kuchar",93,8,"TotalEagles",2013
30,30,"Luke List",65,8,"TotalEagles",2013
30,30,"Scott Piercy",78,8,"TotalEagles",2013
30,30,"Rory Sabbatini",86,8,"TotalEagles",2013
30,30,"Nicholas Thompson",99,8,"TotalEagles",2013
30,30,"Michael Thompson",66,8,"TotalEagles",2013
30,30,"Jimmy Walker",84,8,"TotalEagles",2013
30,30,"Tiger Woods",61,8,"TotalEagles",2013
44,44,"Scott Brown",65,7,"TotalEagles",2013
44,44,"Roberto Castro",97,7,"TotalEagles",2013
44,44,"Nicolas Colsaerts",50,7,"TotalEagles",2013
44,44,"Harris English",95,7,"TotalEagles",2013
44,44,"Scott Gardiner",61,7,"TotalEagles",2013
44,44,"Bill Haas",85,7,"TotalEagles",2013
44,44,"Brian Harman",89,7,"TotalEagles",2013
44,44,"Russell Henley",80,7,"TotalEagles",2013
44,44,"Zach Johnson",84,7,"TotalEagles",2013
44,44,"Matt Jones",83,7,"TotalEagles",2013
44,44,"Martin Laird",68,7,"TotalEagles",2013
44,44,"DH Lee",65,7,"TotalEagles",2013
44,44,"Troy Matteson",68,7,"TotalEagles",2013
44,44,"Rory McIlroy",56,7,"TotalEagles",2013
44,44,"Greg Owen",73,7,"TotalEagles",2013
44,44,"Brandt Snedeker",79,7,"TotalEagles",2013
44,44,"Scott Stallings",79,7,"TotalEagles",2013
44,44,"Kevin Streelman",86,7,"TotalEagles",2013
44,44,"Steve Stricker",51,7,"TotalEagles",2013
44,44,"Cameron Tringale",80,7,"TotalEagles",2013
44,44,"Bubba Watson",76,7,"TotalEagles",2013
65,65,"Bud Cauley",67,6,"TotalEagles",2013
65,65,"Tim Clark",64,6,"TotalEagles",2013
65,65,"Erik Compton",74,6,"TotalEagles",2013
65,65,"Ken Duke",87,6,"TotalEagles",2013
65,65,"Jim Herman",59,6,"TotalEagles",2013
65,65,"Morgan Hoffmann",64,6,"TotalEagles",2013
65,65,"Ryo Ishikawa",72,6,"TotalEagles",2013
65,65,"Brandt Jobe",62,6,"TotalEagles",2013
65,65,"Martin Kaymer",61,6,"TotalEagles",2013
65,65,"Jerry Kelly",75,6,"TotalEagles",2013
65,65,"Colt Knost",69,6,"TotalEagles",2013
65,65,"Phil Mickelson",78,6,"TotalEagles",2013
65,65,"Ryan Moore",72,6,"TotalEagles",2013
65,65,"Sean OHair",56,6,"TotalEagles",2013
65,65,"Carl Pettersson",82,6,"TotalEagles",2013
65,65,"Ted Potter Jr",65,6,"TotalEagles",2013
65,65,"Tag Ridings",69,6,"TotalEagles",2013
65,65,"Webb Simpson",92,6,"TotalEagles",2013
65,65,"Brian Stuard",78,6,"TotalEagles",2013
84,84,"Stephen Ames",49,5,"TotalEagles",2013
84,84,"Sangmoon Bae",83,5,"TotalEagles",2013
84,84,"Stewart Cink",71,5,"TotalEagles",2013
84,84,"Brian Davis",91,5,"TotalEagles",2013
84,84,"Graham DeLaet",94,5,"TotalEagles",2013
84,84,"Lucas Glover",65,5,"TotalEagles",2013
84,84,"JJ Henry",83,5,"TotalEagles",2013
84,84,"Justin Hicks",79,5,"TotalEagles",2013
84,84,"Billy Horschel",96,5,"TotalEagles",2013
