"BestRoundsin60sStreak_RANKTHISWEEK_2012","BestRoundsin60sStreak_RANKLASTWEEK_2012","BestRoundsin60sStreak_PLAYERNAME_2012","BestRoundsin60sStreak__2012","BestRoundsin60sStreak_CAREERBESTSTREAK_2012","BestRoundsin60sStreak_BESTYTDSTREAK_2012","BestRoundsin60sStreak_CURRENTSTREAK_2012","stat_name","year"
1,1,"Bob Estes",NA,17,4,NA,"BestRoundsin60sStreak",2012
2,2,"Charles Howell III",NA,16,6,NA,"BestRoundsin60sStreak",2012
3,3,"Chris DiMarco",NA,14,4,NA,"BestRoundsin60sStreak",2012
3,3,"Scott Hoch",NA,14,NA,NA,"BestRoundsin60sStreak",2012
3,3,"Tiger Woods",NA,14,6,NA,"BestRoundsin60sStreak",2012
6,6,"Brendon de Jonge",NA,13,10,NA,"BestRoundsin60sStreak",2012
6,6,"Harrison Frazar",NA,13,9,NA,"BestRoundsin60sStreak",2012
6,6,"Chris Kirk",NA,13,13,NA,"BestRoundsin60sStreak",2012
6,6,"Davis Love III",NA,13,4,NA,"BestRoundsin60sStreak",2012
6,6,"Scott Piercy",NA,13,13,NA,"BestRoundsin60sStreak",2012
6,6,"Webb Simpson",NA,13,5,NA,"BestRoundsin60sStreak",2012
12,12,"Briny Baird",NA,12,2,NA,"BestRoundsin60sStreak",2012
12,12,"Joe Durant",NA,12,2,NA,"BestRoundsin60sStreak",2012
12,12,"Shigeki Maruyama",NA,12,NA,NA,"BestRoundsin60sStreak",2012
12,12,"Mark OMeara",NA,12,NA,NA,"BestRoundsin60sStreak",2012
12,12,"Tim Petrovic",NA,12,5,NA,"BestRoundsin60sStreak",2012
12,12,"Chris Riley",NA,12,3,NA,"BestRoundsin60sStreak",2012
12,12,"Kevin Sutherland",NA,12,2,NA,"BestRoundsin60sStreak",2012
12,12,"David Toms",NA,12,3,NA,"BestRoundsin60sStreak",2012
12,12,"Johnson Wagner",NA,12,12,NA,"BestRoundsin60sStreak",2012
21,21,"Brian Bateman",NA,11,NA,NA,"BestRoundsin60sStreak",2012
21,21,"Jonathan Byrd",NA,11,2,NA,"BestRoundsin60sStreak",2012
21,21,"Ben Crane",NA,11,6,NA,"BestRoundsin60sStreak",2012
21,21,"David Edwards",NA,11,NA,NA,"BestRoundsin60sStreak",2012
21,21,"Jim Furyk",NA,11,4,NA,"BestRoundsin60sStreak",2012
21,21,"JP Hayes",NA,11,NA,NA,"BestRoundsin60sStreak",2012
21,21,"Jerry Kelly",NA,11,9,NA,"BestRoundsin60sStreak",2012
21,21,"Bernhard Langer",NA,11,NA,NA,"BestRoundsin60sStreak",2012
21,21,"Bruce Lietzke",NA,11,NA,NA,"BestRoundsin60sStreak",2012
21,21,"Mark McCumber",NA,11,NA,NA,"BestRoundsin60sStreak",2012
21,21,"Rory McIlroy",NA,11,11,NA,"BestRoundsin60sStreak",2012
21,21,"Jerry Pate",NA,11,NA,NA,"BestRoundsin60sStreak",2012
21,21,"Kenny Perry",NA,11,1,NA,"BestRoundsin60sStreak",2012
21,21,"John Senden",NA,11,4,NA,"BestRoundsin60sStreak",2012
21,21,"Scott Verplank",NA,11,1,NA,"BestRoundsin60sStreak",2012
36,36,"Woody Austin",NA,10,2,NA,"BestRoundsin60sStreak",2012
36,36,"Chad Campbell",NA,10,5,NA,"BestRoundsin60sStreak",2012
36,36,"Fred Couples",NA,10,1,NA,"BestRoundsin60sStreak",2012
36,36,"Brian Davis",NA,10,5,NA,"BestRoundsin60sStreak",2012
36,36,"Steve Flesch",NA,10,NA,NA,"BestRoundsin60sStreak",2012
36,36,"Carlos Franco",NA,10,NA,NA,"BestRoundsin60sStreak",2012
36,36,"David Frost",NA,10,NA,NA,"BestRoundsin60sStreak",2012
36,36,"Fred Funk",NA,10,1,NA,"BestRoundsin60sStreak",2012
36,36,"Robert Gamez",NA,10,1,NA,"BestRoundsin60sStreak",2012
36,36,"Lucas Glover",NA,10,2,NA,"BestRoundsin60sStreak",2012
36,36,"Matt Kuchar",NA,10,6,NA,"BestRoundsin60sStreak",2012
36,36,"Rocco Mediate",NA,10,5,NA,"BestRoundsin60sStreak",2012
36,36,"James Nitties",NA,10,NA,NA,"BestRoundsin60sStreak",2012
36,36,"Corey Pavin",NA,10,2,NA,"BestRoundsin60sStreak",2012
36,36,"David Peoples",NA,10,NA,NA,"BestRoundsin60sStreak",2012
36,36,"Tom Pernice Jr",NA,10,2,NA,"BestRoundsin60sStreak",2012
36,36,"Carl Pettersson",NA,10,5,NA,"BestRoundsin60sStreak",2012
36,36,"Mike Reid",NA,10,NA,NA,"BestRoundsin60sStreak",2012
36,36,"Loren Roberts",NA,10,NA,NA,"BestRoundsin60sStreak",2012
36,36,"Gene Sauers",NA,10,2,NA,"BestRoundsin60sStreak",2012
36,36,"Tom Sieckmann",NA,10,NA,NA,"BestRoundsin60sStreak",2012
