"3PuttsperRound_RANKTHISWEEK_2011","3PuttsperRound_RANKLASTWEEK_2011","3PuttsperRound_PLAYERNAME_2011","3PuttsperRound_ROUNDS_2011","3PuttsperRound_AVG_2011","3PuttsperRound_TOTAL3PUTTS_2011","3PuttsperRound_TOTALROUNDS_2011","stat_name","year"
1,1,"Boo Weekley",66,1,66,66,"3PuttsperRound",2011
2,2,"Justin Hicks",60,0.93,56,60,"3PuttsperRound",2011
3,3,"Joe Durant",71,0.87,62,71,"3PuttsperRound",2011
3,3,"Tom Gillis",55,0.87,48,55,"3PuttsperRound",2011
5,5,"Jhonattan Vegas",84,0.83,70,84,"3PuttsperRound",2011
6,6,"Will Strickler",51,0.76,39,51,"3PuttsperRound",2011
7,7,"Derek Lamely",65,0.74,48,65,"3PuttsperRound",2011
7,7,"DJ Trahan",91,0.74,67,91,"3PuttsperRound",2011
9,9,"Robert Allenby",84,0.73,61,83,"3PuttsperRound",2011
9,9,"Joseph Bramlett",73,0.73,53,73,"3PuttsperRound",2011
9,9,"Jarrod Lyle",83,0.73,61,83,"3PuttsperRound",2011
9,9,"Adam Scott",60,0.73,43,59,"3PuttsperRound",2011
13,13,"Dustin Johnson",72,0.72,51,71,"3PuttsperRound",2011
14,14,"Zack Miller",86,0.71,61,86,"3PuttsperRound",2011
14,14,"Bo Van Pelt",92,0.71,64,90,"3PuttsperRound",2011
16,16,"Chad Campbell",99,0.7,69,99,"3PuttsperRound",2011
16,16,"Rocco Mediate",53,0.7,37,53,"3PuttsperRound",2011
16,16,"Kyle Stanley",98,0.7,69,98,"3PuttsperRound",2011
16,16,"Gary Woodland",93,0.7,65,93,"3PuttsperRound",2011
20,20,"Cameron Beckman",71,0.69,49,71,"3PuttsperRound",2011
20,20,"Harrison Frazar",58,0.69,40,58,"3PuttsperRound",2011
22,22,"Rich Beem",53,0.68,36,53,"3PuttsperRound",2011
22,22,"JP Hayes",56,0.68,38,56,"3PuttsperRound",2011
22,22,"Steve Marino",76,0.68,52,76,"3PuttsperRound",2011
22,22,"Troy Merritt",63,0.68,43,63,"3PuttsperRound",2011
26,26,"Vijay Singh",79,0.67,53,79,"3PuttsperRound",2011
27,27,"Scott Gutschewski",67,0.66,44,67,"3PuttsperRound",2011
27,27,"Chez Reavie",92,0.66,61,92,"3PuttsperRound",2011
27,27,"Alexandre Rocha",65,0.66,43,65,"3PuttsperRound",2011
27,27,"Bubba Watson",85,0.66,52,79,"3PuttsperRound",2011
31,31,"Jason Dufner",78,0.65,51,78,"3PuttsperRound",2011
31,31,"Jim Herman",69,0.65,45,69,"3PuttsperRound",2011
31,31,"Hunter Mahan",92,0.65,58,89,"3PuttsperRound",2011
31,31,"Justin Rose",79,0.65,50,77,"3PuttsperRound",2011
35,35,"Ricky Barnes",78,0.64,50,78,"3PuttsperRound",2011
35,35,"Graeme McDowell",50,0.64,30,47,"3PuttsperRound",2011
