"AverageApproachDistanceBogeyorWorse_RANKTHISWEEK_2013","AverageApproachDistanceBogeyorWorse_RANKLASTWEEK_2013","AverageApproachDistanceBogeyorWorse_PLAYERNAME_2013","AverageApproachDistanceBogeyorWorse_ROUNDS_2013","AverageApproachDistanceBogeyorWorse_AVGYARDS_2013","AverageApproachDistanceBogeyorWorse_TOTALDISTANCEINCHES_2013","AverageApproachDistanceBogeyorWorse_NUMBEROFAPPROACHSHOTS_2013","stat_name","year"
1,1,"Shawn Stefani",63,151.6,818646,150,"AverageApproachDistanceBogeyorWorse",2013
1,1,"YE Yang",56,151.6,715044,131,"AverageApproachDistanceBogeyorWorse",2013
3,3,"Scott Stallings",79,152.1,1122200,205,"AverageApproachDistanceBogeyorWorse",2013
4,4,"Peter Hanson",45,152.3,537435,98,"AverageApproachDistanceBogeyorWorse",2013
5,5,"Keegan Bradley",88,154.2,954729,172,"AverageApproachDistanceBogeyorWorse",2013
6,6,"Rory McIlroy",56,155,647434,116,"AverageApproachDistanceBogeyorWorse",2013
7,7,"Kevin Streelman",86,155.2,983283,176,"AverageApproachDistanceBogeyorWorse",2013
8,8,"Nicolas Colsaerts",50,155.3,687568,123,"AverageApproachDistanceBogeyorWorse",2013
8,8,"Ernie Els",63,155.3,760231,136,"AverageApproachDistanceBogeyorWorse",2013
10,10,"Charley Hoffman",84,155.4,1275599,228,"AverageApproachDistanceBogeyorWorse",2013
10,10,"Ian Poulter",59,155.4,537016,96,"AverageApproachDistanceBogeyorWorse",2013
12,12,"Sean OHair",56,155.6,1064440,190,"AverageApproachDistanceBogeyorWorse",2013
12,12,"Greg Owen",73,155.6,1310922,234,"AverageApproachDistanceBogeyorWorse",2013
14,14,"David Toms",49,155.9,516257,92,"AverageApproachDistanceBogeyorWorse",2013
15,15,"Charlie Beljan",62,156,1094869,195,"AverageApproachDistanceBogeyorWorse",2013
16,16,"David Lynn",70,156.2,905264,161,"AverageApproachDistanceBogeyorWorse",2013
17,17,"Michael Thompson",66,156.3,956343,170,"AverageApproachDistanceBogeyorWorse",2013
18,18,"Carl Pettersson",82,156.4,1069760,190,"AverageApproachDistanceBogeyorWorse",2013
18,18,"Robert Streb",75,156.4,1103409,196,"AverageApproachDistanceBogeyorWorse",2013
18,18,"Bubba Watson",76,156.4,866868,154,"AverageApproachDistanceBogeyorWorse",2013
21,21,"Ben Kohles",75,156.5,1132440,201,"AverageApproachDistanceBogeyorWorse",2013
21,21,"Ryan Palmer",79,156.5,1109927,197,"AverageApproachDistanceBogeyorWorse",2013
23,23,"Brian Harman",89,156.6,1358294,241,"AverageApproachDistanceBogeyorWorse",2013
24,24,"Steve Stricker",51,156.7,355456,63,"AverageApproachDistanceBogeyorWorse",2013
25,25,"Luke Donald",60,157,683883,121,"AverageApproachDistanceBogeyorWorse",2013
25,25,"Richard Lee",81,157,1051181,186,"AverageApproachDistanceBogeyorWorse",2013
25,25,"Adam Scott",61,157,650039,115,"AverageApproachDistanceBogeyorWorse",2013
28,28,"Jason Day",86,157.2,916739,162,"AverageApproachDistanceBogeyorWorse",2013
29,29,"George McNeill",68,157.5,1105692,195,"AverageApproachDistanceBogeyorWorse",2013
30,30,"Brad Fritsch",81,157.9,1239312,218,"AverageApproachDistanceBogeyorWorse",2013
31,31,"Stuart Appleby",88,158,1166254,205,"AverageApproachDistanceBogeyorWorse",2013
32,32,"Harris English",95,158.1,1360535,239,"AverageApproachDistanceBogeyorWorse",2013
32,32,"Jordan Spieth",82,158.1,956272,168,"AverageApproachDistanceBogeyorWorse",2013
32,32,"Lee Westwood",70,158.1,796827,140,"AverageApproachDistanceBogeyorWorse",2013
35,35,"Brendon de Jonge",110,158.2,1360930,239,"AverageApproachDistanceBogeyorWorse",2013
35,35,"Darron Stiles",51,158.2,769056,135,"AverageApproachDistanceBogeyorWorse",2013
35,35,"DJ Trahan",48,158.2,671944,118,"AverageApproachDistanceBogeyorWorse",2013
38,38,"Matt Every",89,158.4,1357385,238,"AverageApproachDistanceBogeyorWorse",2013
38,38,"Matt Kuchar",93,158.4,912391,160,"AverageApproachDistanceBogeyorWorse",2013
40,40,"Cameron Percy",68,158.5,941503,165,"AverageApproachDistanceBogeyorWorse",2013
41,41,"Justin Bolli",59,158.6,976381,171,"AverageApproachDistanceBogeyorWorse",2013
41,41,"Tag Ridings",69,158.6,976612,171,"AverageApproachDistanceBogeyorWorse",2013
43,43,"Stephen Ames",49,158.8,811885,142,"AverageApproachDistanceBogeyorWorse",2013
44,44,"Billy Horschel",96,158.9,1373143,240,"AverageApproachDistanceBogeyorWorse",2013
44,44,"Martin Laird",68,158.9,995255,174,"AverageApproachDistanceBogeyorWorse",2013
44,44,"Charl Schwartzel",69,158.9,858274,150,"AverageApproachDistanceBogeyorWorse",2013
47,47,"Zach Johnson",84,159,984497,172,"AverageApproachDistanceBogeyorWorse",2013
47,47,"Martin Kaymer",61,159,732611,128,"AverageApproachDistanceBogeyorWorse",2013
47,47,"David Lingmerth",68,159,1047333,183,"AverageApproachDistanceBogeyorWorse",2013
47,47,"Brendan Steele",86,159,1310545,229,"AverageApproachDistanceBogeyorWorse",2013
51,51,"Jonas Blixt",76,159.1,1082520,189,"AverageApproachDistanceBogeyorWorse",2013
51,51,"Tom Gillis",69,159.1,1122581,196,"AverageApproachDistanceBogeyorWorse",2013
51,51,"Josh Teater",86,159.1,1088040,190,"AverageApproachDistanceBogeyorWorse",2013
54,54,"Charles Howell III",87,159.2,1123292,196,"AverageApproachDistanceBogeyorWorse",2013
54,54,"John Merrick",79,159.2,1089269,190,"AverageApproachDistanceBogeyorWorse",2013
56,56,"Jason Dufner",78,159.3,986084,172,"AverageApproachDistanceBogeyorWorse",2013
57,57,"Tommy Gainey",84,159.4,1584178,276,"AverageApproachDistanceBogeyorWorse",2013
58,58,"Steve LeBrun",66,159.6,988345,172,"AverageApproachDistanceBogeyorWorse",2013
59,59,"Brian Gay",79,159.7,1241953,216,"AverageApproachDistanceBogeyorWorse",2013
59,59,"James Hahn",78,159.7,1207556,210,"AverageApproachDistanceBogeyorWorse",2013
61,61,"Graeme McDowell",53,159.8,563868,98,"AverageApproachDistanceBogeyorWorse",2013
61,61,"Brian Stuard",78,159.8,1035789,180,"AverageApproachDistanceBogeyorWorse",2013
63,63,"Brandt Jobe",62,159.9,915003,159,"AverageApproachDistanceBogeyorWorse",2013
63,63,"Patrick Reed",83,159.9,1335388,232,"AverageApproachDistanceBogeyorWorse",2013
63,63,"Justin Rose",62,159.9,615861,107,"AverageApproachDistanceBogeyorWorse",2013
66,66,"Erik Compton",74,160.1,1083488,188,"AverageApproachDistanceBogeyorWorse",2013
66,66,"Geoff Ogilvy",57,160.1,864370,150,"AverageApproachDistanceBogeyorWorse",2013
66,66,"Vijay Singh",61,160.1,783659,136,"AverageApproachDistanceBogeyorWorse",2013
69,69,"Will Claxton",67,160.4,1114784,193,"AverageApproachDistanceBogeyorWorse",2013
70,70,"Tim Herron",45,160.5,878328,152,"AverageApproachDistanceBogeyorWorse",2013
71,71,"Bill Haas",85,160.6,878796,152,"AverageApproachDistanceBogeyorWorse",2013
71,71,"Scott Langley",79,160.6,1075584,186,"AverageApproachDistanceBogeyorWorse",2013
73,73,"Luke List",65,160.7,1162593,201,"AverageApproachDistanceBogeyorWorse",2013
74,74,"Rory Sabbatini",86,160.8,1238958,214,"AverageApproachDistanceBogeyorWorse",2013
