"PuttingfromInside5_RANKTHISWEEK_2005","PuttingfromInside5_RANKLASTWEEK_2005","PuttingfromInside5_PLAYERNAME_2005","PuttingfromInside5_ROUNDS_2005","PuttingfromInside5_Pct_2005","PuttingfromInside5_ATTEMPTS_2005","PuttingfromInside5_PUTTSMADE_2005","stat_name","year"
1,1,"Ian Poulter",62,98.14,483,474,"PuttingfromInside5",2005
2,2,"Stewart Cink",98,98.13,964,946,"PuttingfromInside5",2005
3,3,"Steve Stricker",62,98.1,788,773,"PuttingfromInside5",2005
4,4,"Brad Faxon",75,98.02,756,741,"PuttingfromInside5",2005
5,5,"John Cook",72,98.01,804,788,"PuttingfromInside5",2005
6,6,"Retief Goosen",71,97.73,617,603,"PuttingfromInside5",2005
6,6,"Zach Johnson",96,97.73,1144,1118,"PuttingfromInside5",2005
6,6,"Richard Johnson",50,97.73,617,603,"PuttingfromInside5",2005
9,9,"Luke Donald",67,97.69,562,549,"PuttingfromInside5",2005
10,10,"Vijay Singh",111,97.68,1208,1180,"PuttingfromInside5",2005
11,11,"Mario Tiziani",67,97.64,848,828,"PuttingfromInside5",2005
12,12,"Dudley Hart",84,97.63,972,949,"PuttingfromInside5",2005
13,13,"Jeff Brehaut",71,97.6,876,855,"PuttingfromInside5",2005
14,14,"Loren Roberts",54,97.59,663,647,"PuttingfromInside5",2005
15,15,"Jerry Kelly",101,97.58,1073,1047,"PuttingfromInside5",2005
16,16,"Fred Funk",102,97.52,1131,1103,"PuttingfromInside5",2005
17,17,"Kirk Triplett",55,97.51,602,587,"PuttingfromInside5",2005
17,17,"Tiger Woods",76,97.51,762,743,"PuttingfromInside5",2005
19,19,"Bart Bryant",91,97.5,1042,1016,"PuttingfromInside5",2005
20,20,"Brian Gay",101,97.48,1270,1238,"PuttingfromInside5",2005
21,21,"Olin Browne",99,97.46,1140,1111,"PuttingfromInside5",2005
22,22,"Brett Quigley",96,97.41,1159,1129,"PuttingfromInside5",2005
23,23,"Freddie Jacobson",72,97.4,732,713,"PuttingfromInside5",2005
23,23,"Jesper Parnevik",84,97.4,924,900,"PuttingfromInside5",2005
25,25,"Brent Geiberger",61,97.38,724,705,"PuttingfromInside5",2005
25,25,"Ryan Palmer",101,97.38,1067,1039,"PuttingfromInside5",2005
27,27,"Shigeki Maruyama",99,97.37,1177,1146,"PuttingfromInside5",2005
28,28,"Bob Estes",92,97.34,1126,1096,"PuttingfromInside5",2005
29,29,"Steve Elkington",67,97.33,787,766,"PuttingfromInside5",2005
29,29,"Bob Tway",87,97.33,900,876,"PuttingfromInside5",2005
31,31,"Matt Gogel",78,97.32,934,909,"PuttingfromInside5",2005
32,32,"Dean Wilson",86,97.31,1078,1049,"PuttingfromInside5",2005
33,33,"Hunter Mahan",103,97.3,1297,1262,"PuttingfromInside5",2005
34,34,"Tom Gillis",77,97.27,954,928,"PuttingfromInside5",2005
34,34,"Phillip Price",77,97.27,879,855,"PuttingfromInside5",2005
36,36,"Michael Allen",90,97.25,1089,1059,"PuttingfromInside5",2005
36,36,"Charlie Wi",67,97.25,800,778,"PuttingfromInside5",2005
38,38,"Tom Pernice Jr",111,97.23,1227,1193,"PuttingfromInside5",2005
39,39,"Patrick Sheehan",114,97.19,1318,1281,"PuttingfromInside5",2005
40,40,"Arron Oberholser",65,97.18,710,690,"PuttingfromInside5",2005
40,40,"Tag Ridings",93,97.18,1133,1101,"PuttingfromInside5",2005
42,42,"Bill Glasson",54,97.16,599,582,"PuttingfromInside5",2005
43,43,"Ben Curtis",65,97.15,702,682,"PuttingfromInside5",2005
44,44,"Jim Furyk",94,97.12,971,943,"PuttingfromInside5",2005
44,44,"David Toms",87,97.12,833,809,"PuttingfromInside5",2005
46,46,"Mark Hensby",70,97.11,693,673,"PuttingfromInside5",2005
47,47,"Robert Gamez",91,97.08,1095,1063,"PuttingfromInside5",2005
48,48,"James Driscoll",73,97.07,886,860,"PuttingfromInside5",2005
49,49,"Geoff Ogilvy",97,97.06,1021,991,"PuttingfromInside5",2005
50,50,"Chris Anderson",66,97.04,812,788,"PuttingfromInside5",2005
51,51,"Phil Mickelson",81,97.03,673,653,"PuttingfromInside5",2005
52,52,"Ben Crane",78,96.99,863,837,"PuttingfromInside5",2005
53,53,"Chris DiMarco",83,96.97,826,801,"PuttingfromInside5",2005
54,54,"Gavin Coles",70,96.96,855,829,"PuttingfromInside5",2005
54,54,"Tjaart van der Walt",56,96.96,756,733,"PuttingfromInside5",2005
56,56,"Tommy Armour III",103,96.95,1313,1273,"PuttingfromInside5",2005
