"PuttsMadePerEventOver10_RANKTHISWEEK_2015","PuttsMadePerEventOver10_RANKLASTWEEK_2015","PuttsMadePerEventOver10_PLAYERNAME_2015","PuttsMadePerEventOver10_ROUNDS_2015","PuttsMadePerEventOver10_PUTTSMADE_2015","stat_name","year"
1,1,"Lee Westwood",56,8,"PuttsMadePerEventOver10",2015
2,2,"Henrik Stenson",63,7.2,"PuttsMadePerEventOver10",2015
3,3,"Sergio Garcia",59,7,"PuttsMadePerEventOver10",2015
4,4,"Russell Henley",87,6.9,"PuttsMadePerEventOver10",2015
4,4,"Ian Poulter",68,6.9,"PuttsMadePerEventOver10",2015
6,6,"Jimmy Walker",89,6.8,"PuttsMadePerEventOver10",2015
7,7,"Rickie Fowler",76,6.6,"PuttsMadePerEventOver10",2015
7,7,"Jordan Spieth",91,6.6,"PuttsMadePerEventOver10",2015
9,9,"Robert Streb",110,6.5,"PuttsMadePerEventOver10",2015
10,10,"Paul Casey",87,6.4,"PuttsMadePerEventOver10",2015
10,10,"Ben Martin",93,6.4,"PuttsMadePerEventOver10",2015
10,10,"Pat Perez",96,6.4,"PuttsMadePerEventOver10",2015
10,10,"Patrick Reed",103,6.4,"PuttsMadePerEventOver10",2015
10,10,"Camilo Villegas",83,6.4,"PuttsMadePerEventOver10",2015
15,15,"Jason Day",75,6.3,"PuttsMadePerEventOver10",2015
15,15,"Brandt Snedeker",98,6.3,"PuttsMadePerEventOver10",2015
15,15,"Daniel Summerhays",101,6.3,"PuttsMadePerEventOver10",2015
18,18,"Jason Bohn",95,6.2,"PuttsMadePerEventOver10",2015
18,18,"Matt Kuchar",97,6.2,"PuttsMadePerEventOver10",2015
20,20,"Stewart Cink",77,6.1,"PuttsMadePerEventOver10",2015
20,20,"Matt Jones",89,6.1,"PuttsMadePerEventOver10",2015
20,20,"Brooks Koepka",84,6.1,"PuttsMadePerEventOver10",2015
20,20,"Bubba Watson",71,6.1,"PuttsMadePerEventOver10",2015
24,24,"Aaron Baddeley",76,6,"PuttsMadePerEventOver10",2015
24,24,"David Hearn",97,6,"PuttsMadePerEventOver10",2015
24,24,"Hideki Matsuyama",95,6,"PuttsMadePerEventOver10",2015
24,24,"George McNeill",93,6,"PuttsMadePerEventOver10",2015
24,24,"Scott Pinckney",88,6,"PuttsMadePerEventOver10",2015
24,24,"Brendon Todd",96,6,"PuttsMadePerEventOver10",2015
30,30,"Billy Horschel",99,5.9,"PuttsMadePerEventOver10",2015
30,30,"Hunter Mahan",88,5.9,"PuttsMadePerEventOver10",2015
32,32,"Zach Johnson",90,5.8,"PuttsMadePerEventOver10",2015
