"1PuttsperRound_RANKTHISWEEK_2010","1PuttsperRound_RANKLASTWEEK_2010","1PuttsperRound_PLAYERNAME_2010","1PuttsperRound_ROUNDS_2010","1PuttsperRound_AVG_2010","1PuttsperRound_TOTAL1PUTTS_2010","1PuttsperRound_TOTALROUNDS_2010","stat_name","year"
180,180,"Omar Uresti",74,5.81,430,74,"1PuttsperRound",2010
182,182,"Boo Weekley",88,5.8,510,88,"1PuttsperRound",2010
183,183,"Justin Bolli",55,5.73,315,55,"1PuttsperRound",2010
183,183,"John Daly",63,5.73,361,63,"1PuttsperRound",2010
185,185,"Brent Delahoussaye",57,5.68,324,57,"1PuttsperRound",2010
186,186,"Henrik Bjornstad",72,5.56,400,72,"1PuttsperRound",2010
187,187,"Mark Calcavecchia",50,5.42,271,50,"1PuttsperRound",2010
188,188,"Billy Mayfair",78,5.38,420,78,"1PuttsperRound",2010
188,188,"Cameron Tringale",55,5.38,296,55,"1PuttsperRound",2010
190,190,"Kris Blanks",91,5.37,489,91,"1PuttsperRound",2010
191,191,"Roger Tambellini",77,5.21,401,77,"1PuttsperRound",2010
192,192,"Jeff Gove",57,5.11,291,57,"1PuttsperRound",2010
