"ScramblingFringeRTPScore_RANKTHISWEEK_2007","ScramblingFringeRTPScore_RANKLASTWEEK_2007","ScramblingFringeRTPScore_PLAYERNAME_2007","ScramblingFringeRTPScore_ROUNDS_2007","ScramblingFringeRTPScore_AVGRTP_2007","ScramblingFringeRTPScore_TOTALHOLES_2007","ScramblingFringeRTPScore_TOTALRTP_2007","stat_name","year"
1,1,"John Rollins",102,-0.088,68,-6,"ScramblingFringeRTPScore",2007
2,2,"Charles Howell III",89,-0.082,61,-5,"ScramblingFringeRTPScore",2007
3,3,"Tim Clark",66,-0.063,63,-4,"ScramblingFringeRTPScore",2007
4,4,"Arron Oberholser",69,-0.061,33,-2,"ScramblingFringeRTPScore",2007
4,4,"Corey Pavin",81,-0.061,98,-6,"ScramblingFringeRTPScore",2007
6,6,"Brandt Snedeker",105,-0.058,69,-4,"ScramblingFringeRTPScore",2007
7,7,"Chris Tidland",59,-0.056,54,-3,"ScramblingFringeRTPScore",2007
8,8,"Trevor Immelman",74,-0.053,38,-2,"ScramblingFringeRTPScore",2007
9,9,"Stewart Cink",91,-0.05,60,-3,"ScramblingFringeRTPScore",2007
10,10,"Matt Kuchar",85,-0.049,61,-3,"ScramblingFringeRTPScore",2007
11,11,"Tom Lehman",62,-0.043,46,-2,"ScramblingFringeRTPScore",2007
11,11,"Dicky Pride",71,-0.043,69,-3,"ScramblingFringeRTPScore",2007
13,13,"Charlie Wi",90,-0.042,71,-3,"ScramblingFringeRTPScore",2007
14,14,"Paul Gow",70,-0.04,50,-2,"ScramblingFringeRTPScore",2007
14,14,"Carl Pettersson",111,-0.04,75,-3,"ScramblingFringeRTPScore",2007
16,16,"Bob Estes",88,-0.036,83,-3,"ScramblingFringeRTPScore",2007
16,16,"Ian Poulter",63,-0.036,28,-1,"ScramblingFringeRTPScore",2007
18,18,"Kyle Reifers",71,-0.035,57,-2,"ScramblingFringeRTPScore",2007
19,19,"Eric Axley",107,-0.033,91,-3,"ScramblingFringeRTPScore",2007
20,20,"Daniel Chopra",106,-0.031,97,-3,"ScramblingFringeRTPScore",2007
20,20,"Jason Schultz",63,-0.031,64,-2,"ScramblingFringeRTPScore",2007
22,22,"Hunter Mahan",91,-0.028,71,-2,"ScramblingFringeRTPScore",2007
22,22,"Mike Weir",82,-0.028,72,-2,"ScramblingFringeRTPScore",2007
24,24,"Robert Gamez",88,-0.022,89,-2,"ScramblingFringeRTPScore",2007
24,24,"Geoff Ogilvy",84,-0.022,46,-1,"ScramblingFringeRTPScore",2007
26,26,"Brian Bateman",55,-0.02,49,-1,"ScramblingFringeRTPScore",2007
27,27,"Zach Johnson",76,-0.018,57,-1,"ScramblingFringeRTPScore",2007
