"3PuttAvoidance25_RANKTHISWEEK_2006","3PuttAvoidance25_RANKLASTWEEK_2006","3PuttAvoidance25_PLAYERNAME_2006","3PuttAvoidance25_ROUNDS_2006","3PuttAvoidance25_Pct_2006","3PuttAvoidance25_TOTAL3PUTTS_2006","3PuttAvoidance25_ATTEMPTS_2006","3PuttAvoidance25_2PUTTORBETTERPct_2006","stat_name","year"
1,1,"Jesper Parnevik",84,3.1,10,323,96.9,"3PuttAvoidance25",2006
2,2,"Steve Stricker",64,4.33,9,208,95.6,"3PuttAvoidance25",2006
3,3,"Brian Gay",107,4.5,17,378,95.5,"3PuttAvoidance25",2006
4,4,"Aaron Baddeley",78,4.81,13,270,95.1,"3PuttAvoidance25",2006
5,5,"Richard Johnson",94,4.98,20,402,95,"3PuttAvoidance25",2006
6,6,"Jim Furyk",89,5.61,16,285,94.3,"3PuttAvoidance25",2006
7,7,"Larry Mize",53,6.06,12,198,93.9,"3PuttAvoidance25",2006
8,8,"Vance Veazey",59,6.17,14,227,93.8,"3PuttAvoidance25",2006
9,9,"Ben Crane",85,6.18,16,259,93.8,"3PuttAvoidance25",2006
10,10,"Ben Curtis",86,6.23,20,321,93.7,"3PuttAvoidance25",2006
11,11,"Shaun Micheel",96,6.53,23,352,93.4,"3PuttAvoidance25",2006
12,12,"Daniel Chopra",110,6.67,25,375,93.3,"3PuttAvoidance25",2006
13,13,"Danny Ellis",68,6.72,16,238,93.2,"3PuttAvoidance25",2006
14,14,"Justin Leonard",83,6.84,18,263,93.1,"3PuttAvoidance25",2006
15,15,"Charley Hoffman",100,6.86,26,379,93.1,"3PuttAvoidance25",2006
16,16,"Jimmy Walker",60,6.95,18,259,93,"3PuttAvoidance25",2006
17,17,"JJ Henry",96,7.14,27,378,92.8,"3PuttAvoidance25",2006
17,17,"Ryan Moore",68,7.14,18,252,92.8,"3PuttAvoidance25",2006
19,19,"Michael Allen",84,7.17,20,279,92.8,"3PuttAvoidance25",2006
19,19,"Hidemichi Tanaka",74,7.17,21,293,92.8,"3PuttAvoidance25",2006
21,21,"Scott Gutschewski",53,7.18,14,195,92.8,"3PuttAvoidance25",2006
22,22,"Stephen Leaney",84,7.19,23,320,92.8,"3PuttAvoidance25",2006
23,23,"Lucas Glover",105,7.34,27,368,92.6,"3PuttAvoidance25",2006
24,24,"Stewart Cink",93,7.37,23,312,92.6,"3PuttAvoidance25",2006
25,25,"Bob Estes",85,7.45,26,349,92.5,"3PuttAvoidance25",2006
26,26,"Rod Pampling",89,7.52,20,266,92.4,"3PuttAvoidance25",2006
