"FinalRoundScoringAverage_RANKTHISWEEK_2013","FinalRoundScoringAverage_RANKLASTWEEK_2013","FinalRoundScoringAverage_PLAYERNAME_2013","FinalRoundScoringAverage__2013","FinalRoundScoringAverage_AVG_2013","FinalRoundScoringAverage_TOTALSTROKES_2013","FinalRoundScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Aaron Watkins",NA,67.67,203,3,"FinalRoundScoringAverage",2013
2,2,"Justin Bolli",NA,69,276,4,"FinalRoundScoringAverage",2013
2,2,"Robert Streb",NA,69,759,11,"FinalRoundScoringAverage",2013
4,4,"Jordan Spieth",NA,69.22,1246,18,"FinalRoundScoringAverage",2013
5,5,"Bryce Molder",NA,69.24,1177,17,"FinalRoundScoringAverage",2013
6,6,"David Toms",NA,69.38,555,8,"FinalRoundScoringAverage",2013
7,7,"Matt Jones",NA,69.53,1182,17,"FinalRoundScoringAverage",2013
8,8,"Keegan Bradley",NA,69.65,1393,20,"FinalRoundScoringAverage",2013
9,9,"Brendon de Jonge",NA,69.68,1742,25,"FinalRoundScoringAverage",2013
10,10,"Webb Simpson",NA,69.7,1394,20,"FinalRoundScoringAverage",2013
11,11,"DJ Trahan",NA,69.71,488,7,"FinalRoundScoringAverage",2013
12,12,"Phil Mickelson",NA,69.78,1256,18,"FinalRoundScoringAverage",2013
13,13,"John Rollins",NA,69.85,908,13,"FinalRoundScoringAverage",2013
14,14,"Patrick Reed",NA,69.86,978,14,"FinalRoundScoringAverage",2013
15,15,"Rory Sabbatini",NA,69.87,1048,15,"FinalRoundScoringAverage",2013
16,16,"Kevin Streelman",NA,69.89,1258,18,"FinalRoundScoringAverage",2013
16,16,"Jimmy Walker",NA,69.89,1258,18,"FinalRoundScoringAverage",2013
18,18,"Jason Day",NA,69.9,1398,20,"FinalRoundScoringAverage",2013
19,19,"Henrik Stenson",NA,70,1050,15,"FinalRoundScoringAverage",2013
19,19,"Brian Stuard",NA,70,840,12,"FinalRoundScoringAverage",2013
21,21,"Russell Henley",NA,70.06,1121,16,"FinalRoundScoringAverage",2013
22,22,"DH Lee",NA,70.09,771,11,"FinalRoundScoringAverage",2013
23,23,"Ricky Barnes",NA,70.11,631,9,"FinalRoundScoringAverage",2013
23,23,"Bud Cauley",NA,70.11,631,9,"FinalRoundScoringAverage",2013
25,25,"Martin Flores",NA,70.13,1122,16,"FinalRoundScoringAverage",2013
25,25,"Luke List",NA,70.13,561,8,"FinalRoundScoringAverage",2013
25,25,"Cameron Tringale",NA,70.13,1122,16,"FinalRoundScoringAverage",2013
28,28,"Doug LaBelle II",NA,70.15,912,13,"FinalRoundScoringAverage",2013
29,29,"Justin Rose",NA,70.21,983,14,"FinalRoundScoringAverage",2013
