"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2011","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2011","BirdieorBetterPercentageLeftRough_PLAYERNAME_2011","BirdieorBetterPercentageLeftRough_ROUNDS_2011","BirdieorBetterPercentageLeftRough_Pct_2011","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2011","BirdieorBetterPercentageLeftRough_TOTALHOLES_2011","stat_name","year"
1,1,"JB Holmes",57,24.04,25,104,"BirdieorBetterPercentageLeftRough",2011
2,2,"Rickie Fowler",84,22.73,25,110,"BirdieorBetterPercentageLeftRough",2011
3,3,"Bubba Watson",85,21.62,24,111,"BirdieorBetterPercentageLeftRough",2011
4,4,"Aaron Baddeley",77,21.6,27,125,"BirdieorBetterPercentageLeftRough",2011
5,5,"Steve Stricker",70,21.43,21,98,"BirdieorBetterPercentageLeftRough",2011
6,6,"Trevor Immelman",84,21.24,24,113,"BirdieorBetterPercentageLeftRough",2011
7,7,"Scott Piercy",78,20,23,115,"BirdieorBetterPercentageLeftRough",2011
8,8,"Brandt Snedeker",85,19.85,26,131,"BirdieorBetterPercentageLeftRough",2011
9,9,"Ryan Palmer",82,19.67,24,122,"BirdieorBetterPercentageLeftRough",2011
10,10,"John Rollins",85,19.48,15,77,"BirdieorBetterPercentageLeftRough",2011
11,11,"Vijay Singh",79,19.38,25,129,"BirdieorBetterPercentageLeftRough",2011
12,12,"Steve Elkington",50,19.05,8,42,"BirdieorBetterPercentageLeftRough",2011
13,13,"Matt Kuchar",94,18.9,24,127,"BirdieorBetterPercentageLeftRough",2011
14,14,"Steve Marino",76,18.87,20,106,"BirdieorBetterPercentageLeftRough",2011
15,15,"Steven Bowditch",86,18.78,37,197,"BirdieorBetterPercentageLeftRough",2011
16,16,"Cameron Beckman",71,18.7,23,123,"BirdieorBetterPercentageLeftRough",2011
16,16,"Phil Mickelson",79,18.7,23,123,"BirdieorBetterPercentageLeftRough",2011
18,18,"Robert Garrigus",83,18.66,25,134,"BirdieorBetterPercentageLeftRough",2011
19,19,"JP Hayes",56,18.42,14,76,"BirdieorBetterPercentageLeftRough",2011
20,20,"Martin Laird",77,18.28,17,93,"BirdieorBetterPercentageLeftRough",2011
21,21,"Tommy Gainey",104,18.18,30,165,"BirdieorBetterPercentageLeftRough",2011
21,21,"Padraig Harrington",60,18.18,18,99,"BirdieorBetterPercentageLeftRough",2011
21,21,"Andres Romero",77,18.18,24,132,"BirdieorBetterPercentageLeftRough",2011
24,24,"Retief Goosen",50,18.03,11,61,"BirdieorBetterPercentageLeftRough",2011
25,25,"Joseph Bramlett",73,18,18,100,"BirdieorBetterPercentageLeftRough",2011
26,26,"Marc Turnesa",54,17.91,12,67,"BirdieorBetterPercentageLeftRough",2011
27,27,"Ian Poulter",52,17.86,10,56,"BirdieorBetterPercentageLeftRough",2011
27,27,"YE Yang",63,17.86,15,84,"BirdieorBetterPercentageLeftRough",2011
29,29,"Andres Gonzales",60,17.81,13,73,"BirdieorBetterPercentageLeftRough",2011
30,30,"Zack Miller",86,17.8,21,118,"BirdieorBetterPercentageLeftRough",2011
30,30,"Nick Watney",80,17.8,21,118,"BirdieorBetterPercentageLeftRough",2011
32,32,"Woody Austin",59,17.72,14,79,"BirdieorBetterPercentageLeftRough",2011
33,33,"Brian Davis",105,17.53,17,97,"BirdieorBetterPercentageLeftRough",2011
34,34,"Stephen Ames",69,17.5,14,80,"BirdieorBetterPercentageLeftRough",2011
34,34,"James Driscoll",71,17.5,21,120,"BirdieorBetterPercentageLeftRough",2011
36,36,"Jim Herman",69,17.24,20,116,"BirdieorBetterPercentageLeftRough",2011
37,37,"Michael Bradley",74,17.19,22,128,"BirdieorBetterPercentageLeftRough",2011
38,38,"Chris Couch",73,17.14,18,105,"BirdieorBetterPercentageLeftRough",2011
39,39,"DJ Trahan",91,17.01,25,147,"BirdieorBetterPercentageLeftRough",2011
40,40,"Matt Bettencourt",84,16.99,26,153,"BirdieorBetterPercentageLeftRough",2011
41,41,"Hunter Mahan",92,16.96,19,112,"BirdieorBetterPercentageLeftRough",2011
42,42,"Kevin Kisner",70,16.67,19,114,"BirdieorBetterPercentageLeftRough",2011
43,43,"Tag Ridings",87,16.55,24,145,"BirdieorBetterPercentageLeftRough",2011
44,44,"Brian Gay",90,16.46,13,79,"BirdieorBetterPercentageLeftRough",2011
45,45,"Adam Scott",60,16.44,12,73,"BirdieorBetterPercentageLeftRough",2011
46,46,"Jonathan Byrd",83,16.42,22,134,"BirdieorBetterPercentageLeftRough",2011
46,46,"Joe Ogilvie",75,16.42,22,134,"BirdieorBetterPercentageLeftRough",2011
48,48,"Lucas Glover",74,16.38,19,116,"BirdieorBetterPercentageLeftRough",2011
49,49,"Jhonattan Vegas",84,16.15,26,161,"BirdieorBetterPercentageLeftRough",2011
50,50,"Ricky Barnes",78,16.13,20,124,"BirdieorBetterPercentageLeftRough",2011
50,50,"Justin Rose",79,16.13,15,93,"BirdieorBetterPercentageLeftRough",2011
52,52,"Fabian Gomez",84,16.07,18,112,"BirdieorBetterPercentageLeftRough",2011
53,53,"Ben Curtis",66,16.04,17,106,"BirdieorBetterPercentageLeftRough",2011
54,54,"Rich Beem",53,16,12,75,"BirdieorBetterPercentageLeftRough",2011
55,55,"Charles Howell III",108,15.87,20,126,"BirdieorBetterPercentageLeftRough",2011
55,55,"David Toms",78,15.87,10,63,"BirdieorBetterPercentageLeftRough",2011
57,57,"Kyle Stanley",98,15.83,19,120,"BirdieorBetterPercentageLeftRough",2011
58,58,"Ben Crane",76,15.79,12,76,"BirdieorBetterPercentageLeftRough",2011
59,59,"Kevin Na",84,15.72,25,159,"BirdieorBetterPercentageLeftRough",2011
60,60,"Camilo Villegas",69,15.66,13,83,"BirdieorBetterPercentageLeftRough",2011
61,61,"Marc Leishman",87,15.63,20,128,"BirdieorBetterPercentageLeftRough",2011
61,61,"Matt McQuillan",59,15.63,10,64,"BirdieorBetterPercentageLeftRough",2011
63,63,"Cameron Tringale",110,15.58,24,154,"BirdieorBetterPercentageLeftRough",2011
64,64,"Roland Thatcher",67,15.57,19,122,"BirdieorBetterPercentageLeftRough",2011
65,65,"Dustin Johnson",72,15.46,15,97,"BirdieorBetterPercentageLeftRough",2011
66,66,"Alex Cejka",59,15.28,11,72,"BirdieorBetterPercentageLeftRough",2011
67,67,"Lee Janzen",62,15.15,15,99,"BirdieorBetterPercentageLeftRough",2011
68,68,"Hunter Haas",96,15.09,24,159,"BirdieorBetterPercentageLeftRough",2011
68,68,"Rory Sabbatini",85,15.09,16,106,"BirdieorBetterPercentageLeftRough",2011
70,70,"Shane Bertsch",62,15.07,11,73,"BirdieorBetterPercentageLeftRough",2011
71,71,"Paul Stankowski",78,15,21,140,"BirdieorBetterPercentageLeftRough",2011
72,72,"Chris Kirk",87,14.89,21,141,"BirdieorBetterPercentageLeftRough",2011
73,73,"Davis Love III",70,14.85,15,101,"BirdieorBetterPercentageLeftRough",2011
74,74,"Troy Matteson",91,14.69,21,143,"BirdieorBetterPercentageLeftRough",2011
75,75,"Charley Hoffman",93,14.53,17,117,"BirdieorBetterPercentageLeftRough",2011
76,76,"Sergio Garcia",61,14.46,12,83,"BirdieorBetterPercentageLeftRough",2011
77,77,"William McGirt",103,14.45,25,173,"BirdieorBetterPercentageLeftRough",2011
78,78,"Ryan Moore",79,14.42,15,104,"BirdieorBetterPercentageLeftRough",2011
79,79,"Angel Cabrera",50,14.29,13,91,"BirdieorBetterPercentageLeftRough",2011
79,79,"Pat Perez",76,14.29,15,105,"BirdieorBetterPercentageLeftRough",2011
79,79,"Bo Van Pelt",92,14.29,17,119,"BirdieorBetterPercentageLeftRough",2011
