"3PuttAvoidance_RANKTHISWEEK_2013","3PuttAvoidance_RANKLASTWEEK_2013","3PuttAvoidance_PLAYERNAME_2013","3PuttAvoidance_ROUNDS_2013","3PuttAvoidance_Pct_2013","3PuttAvoidance_TOTAL3PUTTS_2013","3PuttAvoidance_TOTALHOLESOVERALL_2013","stat_name","year"
1,1,"Greg Chalmers",77,1.83,24,1314,"3PuttAvoidance",2013
2,2,"Matt Kuchar",93,1.85,29,1566,"3PuttAvoidance",2013
3,3,"Brian Gay",79,1.9,27,1422,"3PuttAvoidance",2013
4,4,"Justin Leonard",86,2,31,1548,"3PuttAvoidance",2013
5,5,"Bob Estes",66,2.1,25,1188,"3PuttAvoidance",2013
6,6,"Bryce Molder",82,2.15,31,1440,"3PuttAvoidance",2013
7,7,"David Hearn",88,2.27,36,1584,"3PuttAvoidance",2013
8,8,"Brian Harman",89,2.29,35,1530,"3PuttAvoidance",2013
8,8,"Charl Schwartzel",69,2.29,28,1224,"3PuttAvoidance",2013
10,10,"Chez Reavie",72,2.31,30,1296,"3PuttAvoidance",2013
10,10,"Tag Ridings",69,2.31,27,1170,"3PuttAvoidance",2013
12,12,"Peter Hanson",45,2.33,18,774,"3PuttAvoidance",2013
13,13,"Keegan Bradley",88,2.36,37,1566,"3PuttAvoidance",2013
14,14,"William McGirt",75,2.37,32,1350,"3PuttAvoidance",2013
15,15,"Jason Bohn",70,2.38,30,1260,"3PuttAvoidance",2013
15,15,"Sergio Garcia",65,2.38,27,1134,"3PuttAvoidance",2013
15,15,"Rod Pampling",46,2.38,18,756,"3PuttAvoidance",2013
18,18,"Luke Donald",60,2.39,25,1044,"3PuttAvoidance",2013
18,18,"Colt Knost",69,2.39,28,1170,"3PuttAvoidance",2013
20,20,"Chris Stroud",88,2.4,38,1584,"3PuttAvoidance",2013
21,21,"Daniel Summerhays",83,2.41,36,1494,"3PuttAvoidance",2013
22,22,"Bill Haas",85,2.45,37,1512,"3PuttAvoidance",2013
23,23,"Brendon de Jonge",110,2.47,49,1980,"3PuttAvoidance",2013
