"BirdieorBetterPercentage_RANKTHISWEEK_2008","BirdieorBetterPercentage_RANKLASTWEEK_2008","BirdieorBetterPercentage_PLAYERNAME_2008","BirdieorBetterPercentage_ROUNDS_2008","BirdieorBetterPercentage_Pct_2008","BirdieorBetterPercentage_TOTALBIRDIES_2008","BirdieorBetterPercentage_TOTALHOLES_2008","BirdieorBetterPercentage_GIRRANK_2008","stat_name","year"
1,1,"Ryan Palmer",69,23.35,290,1242,51,"BirdieorBetterPercentage",2008
2,2,"Robert Garrigus",90,22.04,357,1620,21,"BirdieorBetterPercentage",2008
3,3,"Bob Tway",70,21.9,276,1260,33,"BirdieorBetterPercentage",2008
4,4,"Camilo Villegas",79,21.79,306,1404,111,"BirdieorBetterPercentage",2008
5,5,"John Huston",56,21.73,219,1008,4,"BirdieorBetterPercentage",2008
6,6,"Phil Mickelson",80,21.44,301,1404,70,"BirdieorBetterPercentage",2008
7,7,"Kenny Perry",97,21.36,373,1746,30,"BirdieorBetterPercentage",2008
8,8,"Padraig Harrington",52,21.22,191,900,186,"BirdieorBetterPercentage",2008
9,9,"Pat Perez",93,21.07,349,1656,43,"BirdieorBetterPercentage",2008
10,10,"Stewart Cink",87,21.06,307,1458,41,"BirdieorBetterPercentage",2008
11,11,"Jason Gore",94,21.04,356,1692,39,"BirdieorBetterPercentage",2008
12,12,"Tommy Gainey",60,21.02,227,1080,36,"BirdieorBetterPercentage",2008
13,13,"Anthony Kim",81,20.99,306,1458,71,"BirdieorBetterPercentage",2008
14,14,"Rory Sabbatini",77,20.98,287,1368,65,"BirdieorBetterPercentage",2008
15,15,"Steve Marino",119,20.92,448,2142,15,"BirdieorBetterPercentage",2008
16,16,"Chad Campbell",94,20.8,352,1692,13,"BirdieorBetterPercentage",2008
17,17,"Martin Laird",98,20.75,366,1764,38,"BirdieorBetterPercentage",2008
18,18,"Ken Duke",116,20.74,433,2088,104,"BirdieorBetterPercentage",2008
19,19,"JB Holmes",86,20.65,316,1530,152,"BirdieorBetterPercentage",2008
20,20,"Ben Crane",86,20.61,319,1548,73,"BirdieorBetterPercentage",2008
20,20,"Joe Ogilvie",100,20.61,371,1800,119,"BirdieorBetterPercentage",2008
22,22,"Bill Haas",99,20.59,367,1782,20,"BirdieorBetterPercentage",2008
23,23,"Michael Letzig",88,20.52,325,1584,143,"BirdieorBetterPercentage",2008
24,24,"Mark Hensby",71,20.5,262,1278,121,"BirdieorBetterPercentage",2008
25,25,"Nathan Green",95,20.47,350,1710,188,"BirdieorBetterPercentage",2008
25,25,"Justin Leonard",101,20.47,350,1710,54,"BirdieorBetterPercentage",2008
27,27,"Vijay Singh",82,20.44,287,1404,12,"BirdieorBetterPercentage",2008
28,28,"Kevin Streelman",114,20.42,419,2052,31,"BirdieorBetterPercentage",2008
29,29,"Mark Wilson",107,20.4,393,1926,42,"BirdieorBetterPercentage",2008
30,30,"Steve Elkington",84,20.37,308,1512,40,"BirdieorBetterPercentage",2008
31,31,"Robert Allenby",108,20.35,392,1926,2,"BirdieorBetterPercentage",2008
32,32,"George McNeill",97,20.33,355,1746,13,"BirdieorBetterPercentage",2008
32,32,"Tag Ridings",88,20.33,322,1584,125,"BirdieorBetterPercentage",2008
34,34,"Nick Watney",96,20.31,351,1728,16,"BirdieorBetterPercentage",2008
35,35,"Vaughn Taylor",103,20.23,375,1854,81,"BirdieorBetterPercentage",2008
36,36,"Nicholas Thompson",113,20.21,411,2034,145,"BirdieorBetterPercentage",2008
37,37,"Adam Scott",51,20.18,178,882,128,"BirdieorBetterPercentage",2008
38,38,"Jesper Parnevik",88,20.14,319,1584,184,"BirdieorBetterPercentage",2008
39,39,"Fred Couples",60,20.09,217,1080,83,"BirdieorBetterPercentage",2008
40,40,"Kevin Sutherland",98,20.07,354,1764,17,"BirdieorBetterPercentage",2008
41,41,"Brian Davis",108,20.06,390,1944,89,"BirdieorBetterPercentage",2008
41,41,"Kevin Stadler",90,20.06,325,1620,93,"BirdieorBetterPercentage",2008
43,43,"Tim Petrovic",97,20.05,350,1746,144,"BirdieorBetterPercentage",2008
44,44,"Brenden Pappas",66,20.03,238,1188,88,"BirdieorBetterPercentage",2008
45,45,"Michael Allen",91,20.02,328,1638,53,"BirdieorBetterPercentage",2008
45,45,"Carlos Franco",73,20.02,263,1314,47,"BirdieorBetterPercentage",2008
47,47,"Jeff Overton",103,20.01,371,1854,118,"BirdieorBetterPercentage",2008
48,48,"Brian Gay",102,19.99,367,1836,129,"BirdieorBetterPercentage",2008
48,48,"Frank Lickliter II",107,19.99,385,1926,124,"BirdieorBetterPercentage",2008
50,50,"Aaron Baddeley",76,19.94,262,1314,166,"BirdieorBetterPercentage",2008
51,51,"Jonathan Byrd",88,19.93,305,1530,149,"BirdieorBetterPercentage",2008
51,51,"Dustin Johnson",92,19.93,330,1656,129,"BirdieorBetterPercentage",2008
51,51,"Kevin Na",97,19.93,348,1746,133,"BirdieorBetterPercentage",2008
51,51,"Bubba Watson",97,19.93,348,1746,27,"BirdieorBetterPercentage",2008
55,55,"DJ Trahan",94,19.92,337,1692,62,"BirdieorBetterPercentage",2008
56,56,"Stephen Ames",83,19.85,293,1476,96,"BirdieorBetterPercentage",2008
56,56,"Shane Bertsch",96,19.85,343,1728,122,"BirdieorBetterPercentage",2008
56,56,"Tim Clark",90,19.85,318,1602,131,"BirdieorBetterPercentage",2008
59,59,"Steve Allan",58,19.83,207,1044,59,"BirdieorBetterPercentage",2008
60,60,"Scott Verplank",82,19.82,289,1458,94,"BirdieorBetterPercentage",2008
61,61,"Cameron Beckman",87,19.8,310,1566,69,"BirdieorBetterPercentage",2008
61,61,"Marc Turnesa",87,19.8,310,1566,137,"BirdieorBetterPercentage",2008
63,63,"Mathew Goggin",91,19.78,324,1638,29,"BirdieorBetterPercentage",2008
64,64,"Jason Day",81,19.75,288,1458,80,"BirdieorBetterPercentage",2008
65,65,"Dudley Hart",74,19.74,263,1332,64,"BirdieorBetterPercentage",2008
65,65,"Charley Hoffman",94,19.74,334,1692,63,"BirdieorBetterPercentage",2008
65,65,"Hunter Mahan",87,19.74,302,1530,7,"BirdieorBetterPercentage",2008
68,68,"Tom Pernice Jr",104,19.66,368,1872,120,"BirdieorBetterPercentage",2008
69,69,"Boo Weekley",86,19.61,293,1494,22,"BirdieorBetterPercentage",2008
70,70,"Scott McCarron",63,19.58,222,1134,103,"BirdieorBetterPercentage",2008
70,70,"Bo Van Pelt",101,19.58,356,1818,34,"BirdieorBetterPercentage",2008
72,72,"Carl Pettersson",110,19.55,387,1980,134,"BirdieorBetterPercentage",2008
