"RightTendency_RANKTHISWEEK_2008","RightTendency_RANKLASTWEEK_2008","RightTendency_PLAYERNAME_2008","RightTendency_EVENTS_2008","RightTendency_Pct_2008","RightTendency_NUMBEROFTIMES_2008","RightTendency_ATTEMPTS_2008","RightTendency_AVGRTPSCORE_2008","stat_name","year"
1,1,"Carlos Franco",25,28.6,20,70,3,"RightTendency",2008
2,2,"David Duval",20,31,22,71,2.27,"RightTendency",2008
3,3,"John Senden",28,32.3,21,65,2.38,"RightTendency",2008
4,4,"Olin Browne",27,32.4,12,37,0.83,"RightTendency",2008
5,5,"Charles Warren",29,32.5,25,77,0.4,"RightTendency",2008
6,6,"Cliff Kresge",28,35.6,16,45,1.25,"RightTendency",2008
7,7,"JB Holmes",26,38.5,47,122,0.43,"RightTendency",2008
8,8,"Lee Janzen",28,38.6,51,132,0.2,"RightTendency",2008
9,9,"Brandt Snedeker",26,39.2,40,102,3.25,"RightTendency",2008
10,10,"Tommy Armour III",25,39.4,28,71,3.21,"RightTendency",2008
11,11,"Joe Durant",28,39.7,25,63,-0.4,"RightTendency",2008
12,12,"Jerry Kelly",31,40.2,43,107,0.7,"RightTendency",2008
13,13,"Craig Kanada",23,40.4,21,52,4.76,"RightTendency",2008
14,14,"Jin Park",30,40.9,27,66,0.74,"RightTendency",2008
15,15,"Phil Mickelson",21,41.1,46,112,1.09,"RightTendency",2008
16,16,"Doug LaBelle II",22,41.3,26,63,0.38,"RightTendency",2008
17,17,"Paul Casey",16,41.5,27,65,1.85,"RightTendency",2008
17,17,"Steve Flesch",29,41.5,39,94,2.31,"RightTendency",2008
19,19,"Nathan Green",30,42.2,35,83,0.86,"RightTendency",2008
20,20,"Nick OHern",26,42.3,30,71,3.33,"RightTendency",2008
21,21,"Padraig Harrington",15,42.4,25,59,1.2,"RightTendency",2008
21,21,"Kenny Perry",26,42.4,42,99,2.86,"RightTendency",2008
23,23,"Steve Lowery",25,42.5,37,87,0.27,"RightTendency",2008
24,24,"Peter Lonard",30,42.9,54,126,0.19,"RightTendency",2008
25,25,"Carl Pettersson",29,43.1,59,137,1.02,"RightTendency",2008
26,26,"James Driscoll",28,43.5,37,85,1.89,"RightTendency",2008
27,27,"Jeff Maggert",28,43.9,43,98,4.42,"RightTendency",2008
28,28,"Mark Hensby",26,44,44,100,1.36,"RightTendency",2008
29,29,"Anthony Kim",22,44.1,49,111,0.61,"RightTendency",2008
30,30,"Steve Stricker",22,44.4,52,117,2.69,"RightTendency",2008
31,31,"Richard Johnson",29,45.3,34,75,0.59,"RightTendency",2008
31,31,"Davis Love III",23,45.3,39,86,0.26,"RightTendency",2008
33,33,"Todd Hamilton",28,45.7,21,46,4.76,"RightTendency",2008
34,34,"Retief Goosen",18,45.8,22,48,0,"RightTendency",2008
34,34,"Dudley Hart",22,45.8,38,83,2.11,"RightTendency",2008
34,34,"Dean Wilson",32,45.8,55,120,0.73,"RightTendency",2008
37,37,"Shane Bertsch",29,45.9,34,74,0.29,"RightTendency",2008
37,37,"Matt Kuchar",27,45.9,28,61,0,"RightTendency",2008
39,39,"Kevin Na",29,46,29,63,1.03,"RightTendency",2008
40,40,"Mathias Gronberg",30,46.1,47,102,1.28,"RightTendency",2008
42,42,"Brett Quigley",25,46.3,44,95,-0.45,"RightTendency",2008
43,43,"Bob Tway",20,46.4,39,84,0.77,"RightTendency",2008
44,44,"Joe Ogilvie",29,46.9,38,81,0,"RightTendency",2008
44,44,"YE Yang",29,46.9,46,98,2.61,"RightTendency",2008
46,46,"Brian Gay",31,47,47,100,-0.21,"RightTendency",2008
46,46,"JJ Henry",34,47,71,151,-0.28,"RightTendency",2008
48,48,"Kenneth Ferrie",25,47.2,34,72,2.06,"RightTendency",2008
49,49,"Tom Scherrer",20,47.4,37,78,3.24,"RightTendency",2008
50,50,"Ryan Palmer",22,47.5,56,118,0.71,"RightTendency",2008
51,51,"Justin Bolli",28,47.9,34,71,0.29,"RightTendency",2008
52,52,"Jim McGovern",26,48,36,75,2.78,"RightTendency",2008
53,53,"Tim Clark",27,48.1,75,156,1.47,"RightTendency",2008
54,54,"Eric Axley",35,48.2,81,168,2.59,"RightTendency",2008
55,55,"Patrick Sheehan",35,48.3,57,118,0.35,"RightTendency",2008
56,56,"Todd Demsey",25,48.5,48,99,0.63,"RightTendency",2008
57,57,"Steve Marino",32,48.7,55,113,2,"RightTendency",2008
57,57,"Ted Purdy",25,48.7,37,76,2.97,"RightTendency",2008
59,59,"Brett Rumford",26,48.9,45,92,-0.44,"RightTendency",2008
60,60,"Heath Slocum",29,49,24,49,1.67,"RightTendency",2008
61,61,"Briny Baird",30,49.1,55,112,0.91,"RightTendency",2008
61,61,"KJ Choi",21,49.1,52,106,0,"RightTendency",2008
61,61,"Marco Dawson",21,49.1,26,53,3.85,"RightTendency",2008
64,64,"Billy Andrade",24,49.2,30,61,2,"RightTendency",2008
65,65,"Cody Freeman",26,49.4,39,79,0.26,"RightTendency",2008
65,65,"Johnson Wagner",26,49.4,42,85,1.43,"RightTendency",2008
67,67,"Jonathan Byrd",27,50,38,76,0.53,"RightTendency",2008
67,67,"Mark Calcavecchia",25,50,13,26,0.77,"RightTendency",2008
67,67,"John Huston",18,50,27,54,-1.85,"RightTendency",2008
67,67,"Ryuji Imada",25,50,59,118,2.71,"RightTendency",2008
71,71,"Nick Flanagan",29,50.5,50,99,-0.8,"RightTendency",2008
72,72,"Robert Gamez",26,50.7,37,73,1.08,"RightTendency",2008
73,73,"Robert Allenby",28,50.8,65,128,1.54,"RightTendency",2008
74,74,"Kevin Stadler",30,51.2,44,86,0,"RightTendency",2008
75,75,"Rod Pampling",28,51.3,41,80,1.46,"RightTendency",2008
76,76,"Glen Day",19,51.4,38,74,0.53,"RightTendency",2008
77,77,"Cameron Beckman",29,51.5,35,68,-0.86,"RightTendency",2008
77,77,"Vaughn Taylor",32,51.5,67,130,1.34,"RightTendency",2008
79,79,"Omar Uresti",24,51.6,33,64,1.82,"RightTendency",2008
80,80,"Tim Wilkinson",29,51.8,57,110,2.28,"RightTendency",2008
81,81,"Sergio Garcia",19,51.9,56,108,-0.18,"RightTendency",2008
81,81,"Lucas Glover",26,51.9,41,79,2.44,"RightTendency",2008
83,83,"Woody Austin",30,52,52,100,1.35,"RightTendency",2008
84,84,"Brad Adamonis",29,52.1,38,73,0.26,"RightTendency",2008
84,84,"Jason Allred",23,52.1,50,96,2,"RightTendency",2008
86,86,"Camilo Villegas",22,52.2,36,69,0.28,"RightTendency",2008
87,87,"John Mallinger",29,52.3,34,65,2.94,"RightTendency",2008
