"TotalBirdies_RANKTHISWEEK_2015","TotalBirdies_RANKLASTWEEK_2015","TotalBirdies_PLAYERNAME_2015","TotalBirdies_ROUNDS_2015","TotalBirdies_TOTAL_2015","stat_name","year"
1,1,"Danny Lee",120,475,"TotalBirdies",2015
2,2,"Justin Thomas",106,440,"TotalBirdies",2015
3,3,"Tony Finau",106,435,"TotalBirdies",2015
4,4,"Robert Streb",110,434,"TotalBirdies",2015
5,5,"Brendon de Jonge",106,400,"TotalBirdies",2015
6,6,"Jordan Spieth",91,396,"TotalBirdies",2015
7,7,"Patrick Reed",103,392,"TotalBirdies",2015
8,8,"Chesson Hadley",101,385,"TotalBirdies",2015
9,9,"Carl Pettersson",106,383,"TotalBirdies",2015
10,10,"Steven Bowditch",103,381,"TotalBirdies",2015
10,10,"Pat Perez",96,381,"TotalBirdies",2015
12,12,"Harris English",105,379,"TotalBirdies",2015
13,13,"Jason Bohn",95,378,"TotalBirdies",2015
14,14,"Daniel Summerhays",101,376,"TotalBirdies",2015
15,15,"Daniel Berger",97,373,"TotalBirdies",2015
16,16,"Hudson Swafford",97,371,"TotalBirdies",2015
17,17,"Hideki Matsuyama",95,370,"TotalBirdies",2015
17,17,"Kevin Na",98,370,"TotalBirdies",2015
17,17,"Shawn Stefani",94,370,"TotalBirdies",2015
20,20,"Billy Horschel",99,368,"TotalBirdies",2015
21,21,"Kevin Kisner",104,367,"TotalBirdies",2015
22,22,"Charley Hoffman",97,366,"TotalBirdies",2015
23,23,"Matt Kuchar",97,362,"TotalBirdies",2015
24,24,"William McGirt",103,361,"TotalBirdies",2015
25,25,"Carlos Ortiz",100,360,"TotalBirdies",2015
26,26,"David Hearn",97,359,"TotalBirdies",2015
27,27,"Russell Knox",96,357,"TotalBirdies",2015
28,28,"Zac Blair",108,356,"TotalBirdies",2015
28,28,"Brandt Snedeker",98,356,"TotalBirdies",2015
30,30,"Scott Brown",97,355,"TotalBirdies",2015
31,31,"Sangmoon Bae",98,354,"TotalBirdies",2015
32,32,"Charles Howell III",105,352,"TotalBirdies",2015
33,33,"Jimmy Walker",89,350,"TotalBirdies",2015
34,34,"Ben Martin",93,345,"TotalBirdies",2015
35,35,"Brendon Todd",96,344,"TotalBirdies",2015
36,36,"JB Holmes",89,343,"TotalBirdies",2015
36,36,"Nick Watney",91,343,"TotalBirdies",2015
38,38,"Zach Johnson",90,342,"TotalBirdies",2015
39,39,"Matt Jones",89,341,"TotalBirdies",2015
39,39,"Scott Piercy",90,341,"TotalBirdies",2015
41,41,"James Hahn",94,340,"TotalBirdies",2015
42,42,"Chad Campbell",97,339,"TotalBirdies",2015
42,42,"Jason Day",75,339,"TotalBirdies",2015
44,44,"John Huh",102,338,"TotalBirdies",2015
44,44,"Jason Kokrak",88,338,"TotalBirdies",2015
44,44,"George McNeill",93,338,"TotalBirdies",2015
47,47,"Brendan Steele",88,336,"TotalBirdies",2015
47,47,"Nick Taylor",91,336,"TotalBirdies",2015
49,49,"David Lingmerth",90,335,"TotalBirdies",2015
50,50,"Cameron Tringale",96,331,"TotalBirdies",2015
51,51,"Adam Hadwin",95,329,"TotalBirdies",2015
52,52,"Russell Henley",87,328,"TotalBirdies",2015
53,53,"Alex Cejka",94,326,"TotalBirdies",2015
53,53,"Ryo Ishikawa",90,326,"TotalBirdies",2015
55,55,"Kevin Chappell",86,324,"TotalBirdies",2015
55,55,"Kyle Reifers",96,324,"TotalBirdies",2015
57,57,"Keegan Bradley",87,323,"TotalBirdies",2015
57,57,"Jeff Overton",94,323,"TotalBirdies",2015
