"RyderCupPoints_RANKTHISWEEK_2016","RyderCupPoints_RANKLASTWEEK_2016","RyderCupPoints_PLAYERNAME_2016","RyderCupPoints_EVENTS_2016","RyderCupPoints_POINTS_2016","stat_name","year"
1,1,"Jordan Spieth",17,8872.84,"RyderCupPoints",2016
2,2,"Dustin Johnson",17,4809.848,"RyderCupPoints",2016
3,3,"Bubba Watson",16,3658.078,"RyderCupPoints",2016
4,4,"Brandt Snedeker",19,3511.352,"RyderCupPoints",2016
5,6,"Rickie Fowler",19,3441.704,"RyderCupPoints",2016
6,7,"Phil Mickelson",18,3261.735,"RyderCupPoints",2016
7,5,"Zach Johnson",19,3166.216,"RyderCupPoints",2016
8,8,"Patrick Reed",21,2960.257,"RyderCupPoints",2016
9,9,"JB Holmes",18,2592.281,"RyderCupPoints",2016
10,10,"Charley Hoffman",20,2287.858,"RyderCupPoints",2016
11,11,"Bill Haas",19,2215.376,"RyderCupPoints",2016
12,12,"Brooks Koepka",17,2214.007,"RyderCupPoints",2016
13,13,"Kevin Kisner",16,1766.323,"RyderCupPoints",2016
14,14,"Jason Dufner",18,1753.935,"RyderCupPoints",2016
15,15,"Matt Kuchar",18,1654.1,"RyderCupPoints",2016
16,16,"Billy Horschel",20,1609.317,"RyderCupPoints",2016
17,17,"Jamie Lovemark",13,1576.223,"RyderCupPoints",2016
18,87,"James Hahn",18,1570.925,"RyderCupPoints",2016
19,18,"Kevin Na",19,1556.914,"RyderCupPoints",2016
20,19,"Jimmy Walker",19,1439.837,"RyderCupPoints",2016
21,20,"Ryan Moore",16,1421.244,"RyderCupPoints",2016
22,21,"Jim Herman",12,1392.622,"RyderCupPoints",2016
23,23,"Vaughn Taylor",9,1307.672,"RyderCupPoints",2016
24,22,"Brian Stuard",6,1274.012,"RyderCupPoints",2016
25,26,"Daniel Berger",16,1222.968,"RyderCupPoints",2016
26,24,"Kevin Chappell",13,1220.391,"RyderCupPoints",2016
27,25,"Chris Kirk",18,1197.174,"RyderCupPoints",2016
28,27,"Charles Howell III",14,1111.796,"RyderCupPoints",2016
29,75,"Roberto Castro",12,1105.371,"RyderCupPoints",2016
30,28,"Kevin Streelman",14,1036.3,"RyderCupPoints",2016
31,30,"Gary Woodland",18,1025.377,"RyderCupPoints",2016
32,32,"Robert Streb",20,1008.51,"RyderCupPoints",2016
33,33,"Harris English",16,994.521,"RyderCupPoints",2016
