"RyderCupPoints_RANKTHISWEEK_2014","RyderCupPoints_RANKLASTWEEK_2014","RyderCupPoints_PLAYERNAME_2014","RyderCupPoints_EVENTS_2014","RyderCupPoints_POINTS_2014","stat_name","year"
95,95,"Ken Duke",26,490.974,"RyderCupPoints",2014
96,96,"Andrew Loupe",21,480.237,"RyderCupPoints",2014
97,97,"Tommy Gainey",26,473.728,"RyderCupPoints",2014
98,98,"Hudson Swafford",25,464.46,"RyderCupPoints",2014
99,99,"Kyle Stanley",30,448.104,"RyderCupPoints",2014
100,100,"Chad Campbell",17,443.798,"RyderCupPoints",2014
101,101,"DA Points",30,410.836,"RyderCupPoints",2014
102,102,"Chad Collins",27,405.554,"RyderCupPoints",2014
103,103,"Sean OHair",24,404.474,"RyderCupPoints",2014
104,104,"Josh Teater",30,401.818,"RyderCupPoints",2014
105,105,"Fred Couples",4,387.171,"RyderCupPoints",2014
106,106,"Troy Matteson",22,383.891,"RyderCupPoints",2014
107,107,"Johnson Wagner",24,381.876,"RyderCupPoints",2014
108,108,"Ted Potter Jr",26,375.687,"RyderCupPoints",2014
109,109,"Jeff Maggert",18,360.157,"RyderCupPoints",2014
110,110,"Wes Roach",21,359.781,"RyderCupPoints",2014
111,111,"James Driscoll",24,341.654,"RyderCupPoints",2014
112,112,"Joe Durant",14,335.858,"RyderCupPoints",2014
113,113,"Heath Slocum",22,311.767,"RyderCupPoints",2014
114,114,"Jamie Lovemark",19,294.371,"RyderCupPoints",2014
115,115,"Davis Love III",22,284.8,"RyderCupPoints",2014
116,116,"John Rollins",27,282.834,"RyderCupPoints",2014
117,117,"Woody Austin",23,282.624,"RyderCupPoints",2014
118,118,"Spencer Levin",20,277.78,"RyderCupPoints",2014
119,119,"Steve Marino",12,277.605,"RyderCupPoints",2014
120,120,"John Peterson",26,273.955,"RyderCupPoints",2014
121,121,"Derek Ernst",28,273.724,"RyderCupPoints",2014
122,122,"Lucas Glover",29,265.166,"RyderCupPoints",2014
123,123,"Kenny Perry",5,261.176,"RyderCupPoints",2014
124,124,"Dicky Pride",12,243.592,"RyderCupPoints",2014
125,125,"Peter Malnati",17,230.446,"RyderCupPoints",2014
126,126,"Jason Gore",7,207.882,"RyderCupPoints",2014
127,127,"John Mallinger",14,203.508,"RyderCupPoints",2014
128,128,"Tim Herron",14,199.24,"RyderCupPoints",2014
129,129,"Jim Herman",21,197.668,"RyderCupPoints",2014
130,130,"Kevin Tway",22,183.292,"RyderCupPoints",2014
131,131,"Bob Estes",2,156,"RyderCupPoints",2014
132,132,"Mark Wilson",24,138.04,"RyderCupPoints",2014
133,133,"Eric Axley",9,133.209,"RyderCupPoints",2014
134,134,"Mark Anderson",8,122.598,"RyderCupPoints",2014
135,135,"Peter Uihlein",8,122.25,"RyderCupPoints",2014
136,136,"Matt Bettencourt",14,116.771,"RyderCupPoints",2014
137,137,"Blake Adams",8,98.439,"RyderCupPoints",2014
138,138,"David Duval",15,94.709,"RyderCupPoints",2014
139,139,"Alex Prugh",15,90.606,"RyderCupPoints",2014
140,140,"Tom Watson",8,78.757,"RyderCupPoints",2014
141,141,"Patrick Cantlay",4,76.131,"RyderCupPoints",2014
142,142,"Tim Petrovic",9,76.059,"RyderCupPoints",2014
143,143,"Zac Blair",1,75.508,"RyderCupPoints",2014
144,144,"Kevin Foley",14,75.265,"RyderCupPoints",2014
145,145,"Andres Gonzales",2,75,"RyderCupPoints",2014
146,146,"Edward Loar",19,73.372,"RyderCupPoints",2014
147,147,"John Daly",14,72.316,"RyderCupPoints",2014
148,148,"Mark Calcavecchia",9,68.608,"RyderCupPoints",2014
149,149,"Cameron Beckman",11,61.925,"RyderCupPoints",2014
150,150,"Lee Williams",13,60.463,"RyderCupPoints",2014
151,151,"Will Claxton",8,56.886,"RyderCupPoints",2014
152,152,"Doug LaBelle II",12,52.279,"RyderCupPoints",2014
153,153,"Tag Ridings",12,50.287,"RyderCupPoints",2014
154,154,"Larry Mize",2,45.36,"RyderCupPoints",2014
155,155,"Fran Quinn",1,45.298,"RyderCupPoints",2014
156,156,"Paul Goydos",19,43.441,"RyderCupPoints",2014
157,157,"Harrison Frazar",15,43.415,"RyderCupPoints",2014
158,158,"Lee Janzen",7,40.597,"RyderCupPoints",2014
159,159,"Dudley Hart",4,40.217,"RyderCupPoints",2014
160,160,"Joe Ogilvie",13,38.17,"RyderCupPoints",2014
161,161,"Glen Day",4,30.628,"RyderCupPoints",2014
162,162,"Steve Flesch",4,30.152,"RyderCupPoints",2014
163,163,"Fred Funk",8,28.795,"RyderCupPoints",2014
164,164,"Todd Hamilton",4,28.251,"RyderCupPoints",2014
165,165,"Chris Smith",7,27.35,"RyderCupPoints",2014
166,166,"Marc Turnesa",5,27.054,"RyderCupPoints",2014
167,167,"Scott McCarron",12,22.794,"RyderCupPoints",2014
168,168,"Billy Mayfair",4,21.918,"RyderCupPoints",2014
169,169,"Alex Aragon",17,21.526,"RyderCupPoints",2014
170,170,"Tom Lehman",1,20.077,"RyderCupPoints",2014
170,170,"Mark OMeara",3,20.077,"RyderCupPoints",2014
172,172,"Sam Saunders",1,18.476,"RyderCupPoints",2014
173,173,"Kevin Sutherland",2,17.965,"RyderCupPoints",2014
174,174,"Len Mattiace",3,17.66,"RyderCupPoints",2014
175,175,"Kris Blanks",8,17.327,"RyderCupPoints",2014
176,176,"Vaughn Taylor",3,16.829,"RyderCupPoints",2014
177,177,"Ben Kohles",3,14.784,"RyderCupPoints",2014
178,178,"Josh Broadaway",1,13.671,"RyderCupPoints",2014
179,179,"Jeff Curl",2,13.44,"RyderCupPoints",2014
180,180,"Chez Reavie",2,11.767,"RyderCupPoints",2014
181,181,"Bobby Gates",14,10.919,"RyderCupPoints",2014
182,182,"Scott Verplank",12,10.696,"RyderCupPoints",2014
183,183,"Brett Quigley",1,10.26,"RyderCupPoints",2014
184,184,"Kent Jones",2,7.74,"RyderCupPoints",2014
185,185,"DJ Trahan",5,6.45,"RyderCupPoints",2014
186,186,"Marco Dawson",1,3.623,"RyderCupPoints",2014
187,187,"Paul Stankowski",3,3.36,"RyderCupPoints",2014
188,188,"Chris DiMarco",7,3.185,"RyderCupPoints",2014
