"OnePuttPercentageRound1_RANKTHISWEEK_2005","OnePuttPercentageRound1_RANKLASTWEEK_2005","OnePuttPercentageRound1_PLAYERNAME_2005","OnePuttPercentageRound1_ROUNDS_2005","OnePuttPercentageRound1_Pct_2005","OnePuttPercentageRound1_OF1PUTTS_2005","OnePuttPercentageRound1_OFHOLES_2005","stat_name","year"
1,1,"Charlie Wi",67,47.47,188,396,"OnePuttPercentageRound1",2005
2,2,"Jesper Parnevik",84,46.38,192,414,"OnePuttPercentageRound1",2005
3,3,"Lee Westwood",50,45.63,115,252,"OnePuttPercentageRound1",2005
4,4,"Ben Crane",78,45.28,163,360,"OnePuttPercentageRound1",2005
5,5,"Tom Pernice Jr",111,44.27,247,558,"OnePuttPercentageRound1",2005
6,6,"Steve Stricker",62,44.18,167,378,"OnePuttPercentageRound1",2005
7,7,"Arjun Atwal",65,43.79,134,306,"OnePuttPercentageRound1",2005
8,8,"Tim Clark",92,43.52,188,432,"OnePuttPercentageRound1",2005
9,9,"Paul Azinger",66,43.43,172,396,"OnePuttPercentageRound1",2005
10,10,"Mark OMeara",66,43.39,164,378,"OnePuttPercentageRound1",2005
11,11,"Freddie Jacobson",72,43.18,171,396,"OnePuttPercentageRound1",2005
12,12,"Geoff Ogilvy",97,43.11,194,450,"OnePuttPercentageRound1",2005
13,13,"Brenden Pappas",51,42.96,116,270,"OnePuttPercentageRound1",2005
14,14,"Pat Perez",89,42.86,216,504,"OnePuttPercentageRound1",2005
15,15,"Brad Faxon",75,42.68,169,396,"OnePuttPercentageRound1",2005
16,16,"Lee Janzen",75,42.67,192,450,"OnePuttPercentageRound1",2005
17,17,"Cameron Beckman",96,42.59,230,540,"OnePuttPercentageRound1",2005
17,17,"Dean Wilson",86,42.59,207,486,"OnePuttPercentageRound1",2005
19,19,"Brent Geiberger",61,42.5,153,360,"OnePuttPercentageRound1",2005
20,20,"Retief Goosen",71,42.36,122,288,"OnePuttPercentageRound1",2005
21,21,"Todd Fischer",99,42.32,259,612,"OnePuttPercentageRound1",2005
22,22,"Ryan Palmer",101,42.11,235,558,"OnePuttPercentageRound1",2005
23,23,"Joe Ogilvie",103,41.95,219,522,"OnePuttPercentageRound1",2005
24,24,"Tiger Woods",76,41.94,151,360,"OnePuttPercentageRound1",2005
25,25,"Billy Andrade",83,41.88,196,468,"OnePuttPercentageRound1",2005
26,26,"Phil Mickelson",81,41.81,143,342,"OnePuttPercentageRound1",2005
27,27,"John Rollins",97,41.57,217,522,"OnePuttPercentageRound1",2005
27,27,"Vijay Singh",111,41.57,217,522,"OnePuttPercentageRound1",2005
29,29,"Dudley Hart",84,41.56,187,450,"OnePuttPercentageRound1",2005
30,30,"Corey Pavin",77,41.41,164,396,"OnePuttPercentageRound1",2005
31,31,"JP Hayes",63,41.27,156,378,"OnePuttPercentageRound1",2005
32,32,"Carl Pettersson",109,41.25,245,594,"OnePuttPercentageRound1",2005
33,33,"Larry Mize",54,41.18,126,306,"OnePuttPercentageRound1",2005
34,34,"Bob Estes",92,41.11,185,450,"OnePuttPercentageRound1",2005
35,35,"Brian Gay",101,40.97,236,576,"OnePuttPercentageRound1",2005
36,36,"Chris Riley",67,40.82,169,414,"OnePuttPercentageRound1",2005
37,37,"Bart Bryant",91,40.81,191,468,"OnePuttPercentageRound1",2005
38,38,"Hidemichi Tanaka",106,40.74,242,594,"OnePuttPercentageRound1",2005
39,39,"Jonathan Byrd",103,40.56,219,540,"OnePuttPercentageRound1",2005
40,40,"Jose Coceres",56,40.48,153,378,"OnePuttPercentageRound1",2005
41,41,"Aaron Baddeley",84,40.38,189,468,"OnePuttPercentageRound1",2005
42,42,"Matt Davidson",53,40.28,145,360,"OnePuttPercentageRound1",2005
42,42,"Luke Donald",67,40.28,116,288,"OnePuttPercentageRound1",2005
44,44,"Justin Bolli",65,40.1,166,414,"OnePuttPercentageRound1",2005
45,45,"Tag Ridings",93,40,216,540,"OnePuttPercentageRound1",2005
46,46,"Jay Williamson",53,39.93,115,288,"OnePuttPercentageRound1",2005
47,47,"Tim Herron",100,39.92,194,486,"OnePuttPercentageRound1",2005
48,48,"Scott Hend",75,39.71,193,486,"OnePuttPercentageRound1",2005
49,49,"KJ Choi",78,39.65,157,396,"OnePuttPercentageRound1",2005
50,50,"Jeff Sluman",94,39.51,192,486,"OnePuttPercentageRound1",2005
51,51,"Robert Gamez",91,39.48,199,504,"OnePuttPercentageRound1",2005
52,52,"Joey Sindelar",104,39.46,206,522,"OnePuttPercentageRound1",2005
53,53,"Harrison Frazar",105,39.44,213,540,"OnePuttPercentageRound1",2005
54,54,"Gavin Coles",70,39.39,156,396,"OnePuttPercentageRound1",2005
55,55,"Carlos Franco",78,39.35,170,432,"OnePuttPercentageRound1",2005
55,55,"Rod Pampling",89,39.35,170,432,"OnePuttPercentageRound1",2005
57,57,"Paul Gow",78,39.33,177,450,"OnePuttPercentageRound1",2005
58,58,"Mark Calcavecchia",92,39.32,184,468,"OnePuttPercentageRound1",2005
59,59,"Matt Gogel",78,39.3,191,486,"OnePuttPercentageRound1",2005
60,60,"Hank Kuehne",84,39.27,205,522,"OnePuttPercentageRound1",2005
61,61,"John Huston",90,39.26,212,540,"OnePuttPercentageRound1",2005
62,62,"Len Mattiace",86,39.23,233,594,"OnePuttPercentageRound1",2005
63,63,"Chris Anderson",66,39.12,169,432,"OnePuttPercentageRound1",2005
63,63,"Bob Heintz",67,39.12,169,432,"OnePuttPercentageRound1",2005
65,65,"Steve Flesch",90,39.09,197,504,"OnePuttPercentageRound1",2005
65,65,"Omar Uresti",84,39.09,190,486,"OnePuttPercentageRound1",2005
67,67,"Steve Lowery",100,39.07,218,558,"OnePuttPercentageRound1",2005
68,68,"Patrick Sheehan",114,39.05,239,612,"OnePuttPercentageRound1",2005
69,69,"Briny Baird",98,38.89,217,558,"OnePuttPercentageRound1",2005
69,69,"Richard Johnson",50,38.89,112,288,"OnePuttPercentageRound1",2005
69,69,"Bernhard Langer",67,38.89,133,342,"OnePuttPercentageRound1",2005
69,69,"Mario Tiziani",67,38.89,154,396,"OnePuttPercentageRound1",2005
73,73,"Daniel Chopra",108,38.72,230,594,"OnePuttPercentageRound1",2005
74,74,"Hunter Haas",83,38.68,188,486,"OnePuttPercentageRound1",2005
75,75,"Stuart Appleby",84,38.65,160,414,"OnePuttPercentageRound1",2005
76,76,"Mark Hensby",70,38.6,132,342,"OnePuttPercentageRound1",2005
77,77,"Mathias Gronberg",60,38.58,125,324,"OnePuttPercentageRound1",2005
78,78,"Kirk Triplett",55,38.56,118,306,"OnePuttPercentageRound1",2005
79,79,"Dan Forsman",52,38.54,111,288,"OnePuttPercentageRound1",2005
80,80,"Skip Kendall",80,38.53,215,558,"OnePuttPercentageRound1",2005
81,81,"Jason Allred",75,38.49,194,504,"OnePuttPercentageRound1",2005
81,81,"Padraig Harrington",50,38.49,97,252,"OnePuttPercentageRound1",2005
83,83,"Charles Howell III",95,38.48,187,486,"OnePuttPercentageRound1",2005
84,84,"Bob Tway",87,38.44,173,450,"OnePuttPercentageRound1",2005
85,85,"Brian Davis",75,38.41,159,414,"OnePuttPercentageRound1",2005
85,85,"Marco Dawson",82,38.41,159,414,"OnePuttPercentageRound1",2005
87,87,"Steve Allan",102,38.35,214,558,"OnePuttPercentageRound1",2005
88,88,"Kevin Na",88,38.33,207,540,"OnePuttPercentageRound1",2005
89,89,"Paul Claxton",79,38.31,200,522,"OnePuttPercentageRound1",2005
89,89,"Fred Funk",102,38.31,200,522,"OnePuttPercentageRound1",2005
91,91,"Bill Glasson",54,38.3,131,342,"OnePuttPercentageRound1",2005
92,92,"Jason Bohn",91,38.29,193,504,"OnePuttPercentageRound1",2005
93,93,"Andrew Magee",82,38.27,186,486,"OnePuttPercentageRound1",2005
94,94,"Brandt Jobe",96,38.25,179,468,"OnePuttPercentageRound1",2005
95,95,"Jim Furyk",94,38.22,172,450,"OnePuttPercentageRound1",2005
96,96,"Jose Maria Olazabal",55,38.15,103,270,"OnePuttPercentageRound1",2005
97,97,"Alex Cejka",84,38.12,199,522,"OnePuttPercentageRound1",2005
98,98,"Shigeki Maruyama",99,38.1,192,504,"OnePuttPercentageRound1",2005
99,99,"Arron Oberholser",65,38.06,137,360,"OnePuttPercentageRound1",2005
100,100,"Hunter Mahan",103,38.05,226,594,"OnePuttPercentageRound1",2005
101,101,"Glen Day",80,38.03,178,468,"OnePuttPercentageRound1",2005
102,102,"Steve Jones",56,38.01,130,342,"OnePuttPercentageRound1",2005
103,103,"Rob Rashell",65,38,171,450,"OnePuttPercentageRound1",2005
104,104,"Vaughn Taylor",99,37.99,212,558,"OnePuttPercentageRound1",2005
105,105,"Brett Quigley",96,37.96,205,540,"OnePuttPercentageRound1",2005
106,106,"Scott McCarron",78,37.92,157,414,"OnePuttPercentageRound1",2005
107,107,"Ted Purdy",122,37.91,232,612,"OnePuttPercentageRound1",2005
108,108,"Davis Love III",80,37.88,150,396,"OnePuttPercentageRound1",2005
109,109,"Tom Byrum",83,37.86,184,486,"OnePuttPercentageRound1",2005
110,110,"Woody Austin",100,37.78,204,540,"OnePuttPercentageRound1",2005
110,110,"Craig Barlow",81,37.78,170,450,"OnePuttPercentageRound1",2005
110,110,"JL Lewis",98,37.78,204,540,"OnePuttPercentageRound1",2005
113,113,"Phillip Price",77,37.73,163,432,"OnePuttPercentageRound1",2005
114,114,"Brian Bateman",98,37.63,210,558,"OnePuttPercentageRound1",2005
115,115,"Ryuji Imada",78,37.56,169,450,"OnePuttPercentageRound1",2005
115,115,"Rory Sabbatini",81,37.56,169,450,"OnePuttPercentageRound1",2005
115,115,"Darron Stiles",78,37.56,169,450,"OnePuttPercentageRound1",2005
118,118,"Todd Hamilton",94,37.55,196,522,"OnePuttPercentageRound1",2005
119,119,"John Daly",78,37.5,162,432,"OnePuttPercentageRound1",2005
119,119,"Heath Slocum",103,37.5,189,504,"OnePuttPercentageRound1",2005
121,121,"Jeff Maggert",79,37.44,155,414,"OnePuttPercentageRound1",2005
122,122,"Nick Watney",91,37.41,202,540,"OnePuttPercentageRound1",2005
123,123,"Chris DiMarco",83,37.37,148,396,"OnePuttPercentageRound1",2005
124,124,"Mark Brooks",72,37.3,188,504,"OnePuttPercentageRound1",2005
124,124,"Robert Damron",89,37.3,188,504,"OnePuttPercentageRound1",2005
126,126,"Tim Petrovic",97,37.28,208,558,"OnePuttPercentageRound1",2005
127,127,"Jim Carter",62,37.27,161,432,"OnePuttPercentageRound1",2005
128,128,"Rocco Mediate",73,37.2,154,414,"OnePuttPercentageRound1",2005
129,129,"James Driscoll",73,37.11,167,450,"OnePuttPercentageRound1",2005
130,130,"John Elliott",58,37.04,160,432,"OnePuttPercentageRound1",2005
130,130,"Matt Kuchar",60,37.04,140,378,"OnePuttPercentageRound1",2005
132,132,"Tommy Armour III",103,36.97,193,522,"OnePuttPercentageRound1",2005
132,132,"Peter Lonard",85,36.97,173,468,"OnePuttPercentageRound1",2005
134,134,"Kevin Sutherland",89,36.89,166,450,"OnePuttPercentageRound1",2005
135,135,"Ian Poulter",62,36.84,126,342,"OnePuttPercentageRound1",2005
136,136,"Mike Weir",71,36.77,139,378,"OnePuttPercentageRound1",2005
137,137,"JJ Henry",102,36.74,205,558,"OnePuttPercentageRound1",2005
138,138,"Adam Scott",72,36.73,119,324,"OnePuttPercentageRound1",2005
139,139,"Steve Elkington",67,36.67,132,360,"OnePuttPercentageRound1",2005
140,140,"Stephen Ames",82,36.62,145,396,"OnePuttPercentageRound1",2005
141,141,"Stewart Cink",98,36.57,158,432,"OnePuttPercentageRound1",2005
142,142,"Franklin Langham",91,36.48,197,540,"OnePuttPercentageRound1",2005
142,142,"Billy Mayfair",114,36.48,197,540,"OnePuttPercentageRound1",2005
144,144,"Danny Briggs",70,36.42,177,486,"OnePuttPercentageRound1",2005
144,144,"Justin Rose",99,36.42,177,486,"OnePuttPercentageRound1",2005
146,146,"Ben Curtis",65,36.34,157,432,"OnePuttPercentageRound1",2005
147,147,"Jay Haas",54,36.3,98,270,"OnePuttPercentageRound1",2005
147,147,"Charles Warren",89,36.3,196,540,"OnePuttPercentageRound1",2005
149,149,"Kevin Stadler",96,36.28,209,576,"OnePuttPercentageRound1",2005
150,150,"Loren Roberts",54,36.27,111,306,"OnePuttPercentageRound1",2005
151,151,"Tjaart van der Walt",56,36.26,124,342,"OnePuttPercentageRound1",2005
152,152,"David Toms",87,36.24,137,378,"OnePuttPercentageRound1",2005
153,153,"Stephen Leaney",89,36.21,176,486,"OnePuttPercentageRound1",2005
154,154,"Michael Allen",90,36.11,195,540,"OnePuttPercentageRound1",2005
155,155,"Robert Allenby",95,36.02,188,522,"OnePuttPercentageRound1",2005
