"FirstTeeLateRound4ScoringAverage_RANKTHISWEEK_2008","FirstTeeLateRound4ScoringAverage_RANKLASTWEEK_2008","FirstTeeLateRound4ScoringAverage_PLAYERNAME_2008","FirstTeeLateRound4ScoringAverage__2008","FirstTeeLateRound4ScoringAverage_AVG_2008","FirstTeeLateRound4ScoringAverage_TOTALSTROKES_2008","FirstTeeLateRound4ScoringAverage_TOTALROUNDS_2008","stat_name","year"
1,1,"Martin Laird",NA,67.25,269,4,"FirstTeeLateRound4ScoringAverage",2008
2,2,"James Driscoll",NA,67.67,203,3,"FirstTeeLateRound4ScoringAverage",2008
3,3,"Padraig Harrington",NA,68.43,479,7,"FirstTeeLateRound4ScoringAverage",2008
4,4,"Tom Scherrer",NA,68.5,137,2,"FirstTeeLateRound4ScoringAverage",2008
4,4,"John Senden",NA,68.5,274,4,"FirstTeeLateRound4ScoringAverage",2008
4,4,"Jimmy Walker",NA,68.5,137,2,"FirstTeeLateRound4ScoringAverage",2008
7,7,"Jason Gore",NA,68.67,412,6,"FirstTeeLateRound4ScoringAverage",2008
8,8,"Peter Lonard",NA,68.75,275,4,"FirstTeeLateRound4ScoringAverage",2008
9,9,"Hunter Mahan",NA,68.78,619,9,"FirstTeeLateRound4ScoringAverage",2008
10,10,"Jason Allred",NA,69,69,1,"FirstTeeLateRound4ScoringAverage",2008
10,10,"Tommy Armour III",NA,69,552,8,"FirstTeeLateRound4ScoringAverage",2008
10,10,"Richard Johnson",NA,69,138,2,"FirstTeeLateRound4ScoringAverage",2008
10,10,"David Lutterus",NA,69,69,1,"FirstTeeLateRound4ScoringAverage",2008
10,10,"Will Ma Kenzie",NA,69,138,2,"FirstTeeLateRound4ScoringAverage",2008
10,10,"Brett Rumford",NA,69,138,2,"FirstTeeLateRound4ScoringAverage",2008
16,16,"Justin Bolli",NA,69.25,277,4,"FirstTeeLateRound4ScoringAverage",2008
17,17,"Shane Bertsch",NA,69.29,485,7,"FirstTeeLateRound4ScoringAverage",2008
17,17,"George McNeill",NA,69.29,485,7,"FirstTeeLateRound4ScoringAverage",2008
19,19,"Kent Jones",NA,69.33,208,3,"FirstTeeLateRound4ScoringAverage",2008
20,20,"Fred Couples",NA,69.4,347,5,"FirstTeeLateRound4ScoringAverage",2008
21,21,"Billy Mayfair",NA,69.43,486,7,"FirstTeeLateRound4ScoringAverage",2008
21,21,"Bob Tway",NA,69.43,486,7,"FirstTeeLateRound4ScoringAverage",2008
23,23,"Stephen Ames",NA,69.45,764,11,"FirstTeeLateRound4ScoringAverage",2008
24,24,"Steve Lowery",NA,69.5,139,2,"FirstTeeLateRound4ScoringAverage",2008
25,25,"Ryuji Imada",NA,69.56,626,9,"FirstTeeLateRound4ScoringAverage",2008
26,26,"Vijay Singh",NA,69.64,766,11,"FirstTeeLateRound4ScoringAverage",2008
27,27,"Scott Verplank",NA,69.67,627,9,"FirstTeeLateRound4ScoringAverage",2008
28,28,"Chad Campbell",NA,69.69,906,13,"FirstTeeLateRound4ScoringAverage",2008
