"GIRPercentageLess125yards_RANKTHISWEEK_2015","GIRPercentageLess125yards_RANKLASTWEEK_2015","GIRPercentageLess125yards_PLAYERNAME_2015","GIRPercentageLess125yards_ROUNDS_2015","GIRPercentageLess125yards_Pct_2015","GIRPercentageLess125yards_GREENSHIT_2015","GIRPercentageLess125yards_TOTALHOLES_2015","GIRPercentageLess125yards_RELATIVETOPAR_2015","stat_name","year"
1,1,"Stewart Cink",77,88.13,282,320,-0.41,"GIRPercentageLess125yards",2015
2,2,"Jonathan Byrd",69,87.93,204,232,-0.41,"GIRPercentageLess125yards",2015
3,3,"Seung Yul Noh",65,86.74,229,264,-0.48,"GIRPercentageLess125yards",2015
4,4,"Roberto Castro",54,86.71,150,173,-0.45,"GIRPercentageLess125yards",2015
5,5,"Francesco Molinari",56,86.63,175,202,-0.46,"GIRPercentageLess125yards",2015
6,6,"Jim Herman",88,86.6,323,373,-0.43,"GIRPercentageLess125yards",2015
7,7,"KJ Choi",66,85.77,223,260,-0.46,"GIRPercentageLess125yards",2015
8,8,"Hideki Matsuyama",95,85.71,336,392,-0.51,"GIRPercentageLess125yards",2015
8,8,"Ryan Moore",81,85.71,264,308,-0.52,"GIRPercentageLess125yards",2015
10,10,"Michael Putnam",87,85.55,290,339,-0.4,"GIRPercentageLess125yards",2015
11,11,"Mark Wilson",89,85.52,319,373,-0.41,"GIRPercentageLess125yards",2015
12,12,"Zach Johnson",90,85.5,289,338,-0.47,"GIRPercentageLess125yards",2015
13,13,"John Huh",102,85.41,322,377,-0.42,"GIRPercentageLess125yards",2015
13,13,"Brendon Todd",96,85.41,322,377,-0.46,"GIRPercentageLess125yards",2015
15,15,"Alex Prugh",84,85.34,326,382,-0.44,"GIRPercentageLess125yards",2015
16,16,"Keegan Bradley",87,85.32,279,327,-0.52,"GIRPercentageLess125yards",2015
17,17,"Geoff Ogilvy",50,85.1,177,208,-0.36,"GIRPercentageLess125yards",2015
18,18,"Nick Watney",91,85.03,375,441,-0.45,"GIRPercentageLess125yards",2015
