"ApproachPuttPerformance_RANKTHISWEEK_2013","ApproachPuttPerformance_RANKLASTWEEK_2013","ApproachPuttPerformance_PLAYERNAME_2013","ApproachPuttPerformance_ROUNDS_2013","ApproachPuttPerformance_VALUE_2013","ApproachPuttPerformance_ATTEMPTS_2013","ApproachPuttPerformance_TOTALDISTANCEFEET_2013","stat_name","year"
1,1,"KJ Choi",85,NA,673,1303.25,"ApproachPuttPerformance",2013
2,2,"Ricky Barnes",74,NA,761,1538.25,"ApproachPuttPerformance",2013
2,2,"John Merrick",79,NA,746,1490.417,"ApproachPuttPerformance",2013
4,4,"Jason Bohn",70,NA,693,1429.667,"ApproachPuttPerformance",2013
4,4,"Keegan Bradley",88,NA,770,1634.583,"ApproachPuttPerformance",2013
4,4,"Jason Day",86,NA,623,1305.833,"ApproachPuttPerformance",2013
4,4,"Bobby Gates",49,NA,426,887.083,"ApproachPuttPerformance",2013
4,4,"JJ Henry",83,NA,870,1788.417,"ApproachPuttPerformance",2013
4,4,"Tim Herron",45,NA,462,963.833,"ApproachPuttPerformance",2013
4,4,"Scott Langley",79,NA,684,1451.833,"ApproachPuttPerformance",2013
4,4,"Ryan Moore",72,NA,601,1249.333,"ApproachPuttPerformance",2013
4,4,"Rod Pampling",46,NA,387,802.75,"ApproachPuttPerformance",2013
4,4,"Webb Simpson",92,NA,729,1536,"ApproachPuttPerformance",2013
4,4,"Kevin Stadler",83,NA,755,1582.167,"ApproachPuttPerformance",2013
4,4,"Daniel Summerhays",83,NA,826,1722.083,"ApproachPuttPerformance",2013
4,4,"Andrew Svoboda",46,NA,393,826.75,"ApproachPuttPerformance",2013
4,4,"Bubba Watson",76,NA,660,1354.75,"ApproachPuttPerformance",2013
4,4,"Lee Westwood",70,NA,559,1184,"ApproachPuttPerformance",2013
4,4,"Mark Wilson",56,NA,564,1192.333,"ApproachPuttPerformance",2013
4,4,"Tiger Woods",61,NA,435,911.583,"ApproachPuttPerformance",2013
21,21,"Stephen Ames",49,NA,449,982.75,"ApproachPuttPerformance",2013
21,21,"Aaron Baddeley",68,NA,568,1239.333,"ApproachPuttPerformance",2013
21,21,"Chad Campbell",78,NA,811,1761.5,"ApproachPuttPerformance",2013
21,21,"Roberto Castro",97,NA,922,2029.417,"ApproachPuttPerformance",2013
21,21,"Stewart Cink",71,NA,639,1384.333,"ApproachPuttPerformance",2013
21,21,"Will Claxton",67,NA,653,1436.167,"ApproachPuttPerformance",2013
