"FedExCupSeasonPoints_RANKTHISWEEK_2015","FedExCupSeasonPoints_RANKLASTWEEK_2015","FedExCupSeasonPoints_PLAYERNAME_2015","FedExCupSeasonPoints_EVENTS_2015","FedExCupSeasonPoints_POINTS_2015","FedExCupSeasonPoints_OFWINS_2015","FedExCupSeasonPoints_OFTOP10S_2015","FedExCupSeasonPoints_POINTSBEHINDLEAD_2015","FedExCupSeasonPoints_RESETPOINTS_2015","stat_name","year"
1,1,"Jordan Spieth",21,4169,4,14,NA,NA,"FedExCupSeasonPoints",2015
2,2,"Jason Day",16,2459,3,8,1710,NA,"FedExCupSeasonPoints",2015
3,3,"Bubba Watson",15,2407,2,7,1762,NA,"FedExCupSeasonPoints",2015
4,4,"Jimmy Walker",20,2014,2,6,2155,NA,"FedExCupSeasonPoints",2015
5,5,"Justin Rose",16,1742,1,7,2427,NA,"FedExCupSeasonPoints",2015
6,6,"Robert Streb",26,1720,1,9,2449,NA,"FedExCupSeasonPoints",2015
7,7,"Dustin Johnson",17,1718,1,8,2451,NA,"FedExCupSeasonPoints",2015
8,8,"Patrick Reed",23,1593,1,3,2576,NA,"FedExCupSeasonPoints",2015
9,9,"Rory McIlroy",9,1567,2,6,2602,NA,"FedExCupSeasonPoints",2015
10,10,"Danny Lee",32,1561,1,7,2608,NA,"FedExCupSeasonPoints",2015
11,11,"Zach Johnson",21,1559,1,8,2610,NA,"FedExCupSeasonPoints",2015
12,12,"Brooks Koepka",19,1544,1,8,2625,NA,"FedExCupSeasonPoints",2015
13,13,"Brandt Snedeker",23,1537,1,8,2632,NA,"FedExCupSeasonPoints",2015
14,14,"Charley Hoffman",24,1512,1,6,2657,NA,"FedExCupSeasonPoints",2015
15,15,"Rickie Fowler",17,1498,1,5,2671,NA,"FedExCupSeasonPoints",2015
16,16,"JB Holmes",21,1484,1,5,2685,NA,"FedExCupSeasonPoints",2015
17,17,"Kevin Kisner",26,1416,NA,6,2753,NA,"FedExCupSeasonPoints",2015
18,18,"Jim Furyk",16,1401,1,6,2768,NA,"FedExCupSeasonPoints",2015
19,19,"Paul Casey",20,1389,NA,7,2780,NA,"FedExCupSeasonPoints",2015
20,20,"Hideki Matsuyama",21,1374,NA,8,2795,NA,"FedExCupSeasonPoints",2015
21,21,"David Lingmerth",25,1305,1,4,2864,NA,"FedExCupSeasonPoints",2015
22,22,"Steven Bowditch",28,1287,1,2,2882,NA,"FedExCupSeasonPoints",2015
23,23,"Bill Haas",21,1281,1,5,2888,NA,"FedExCupSeasonPoints",2015
24,24,"Ben Martin",24,1217,1,5,2952,NA,"FedExCupSeasonPoints",2015
25,25,"Ryan Moore",21,1208,1,4,2961,NA,"FedExCupSeasonPoints",2015
26,26,"Matt Kuchar",21,1164,NA,5,3005,NA,"FedExCupSeasonPoints",2015
