"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2010","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2010","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2010","PercentageofYardagecoveredbyTeeShots_ROUNDS_2010","PercentageofYardagecoveredbyTeeShots_AVGPct_2010","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2010","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2010","stat_name","year"
52,52,"Hunter Mahan",85,62.51,267866.5,428519,"PercentageofYardagecoveredbyTeeShots",2010
53,53,"Tim Herron",79,62.5,273311.9,437294,"PercentageofYardagecoveredbyTeeShots",2010
54,54,"Will Ma Kenzie",72,62.48,268858.5,430318,"PercentageofYardagecoveredbyTeeShots",2010
55,55,"Sean OHair",84,62.47,260130.9,416408,"PercentageofYardagecoveredbyTeeShots",2010
56,56,"Jeev Milkha Singh",59,62.41,204219.2,327233,"PercentageofYardagecoveredbyTeeShots",2010
57,57,"Michael Letzig",84,62.4,315015.4,504802,"PercentageofYardagecoveredbyTeeShots",2010
58,58,"Jonathan Byrd",85,62.39,324556.2,520170,"PercentageofYardagecoveredbyTeeShots",2010
58,58,"Kevin Stadler",86,62.39,285703.3,457914,"PercentageofYardagecoveredbyTeeShots",2010
60,60,"Kevin Streelman",90,62.37,317395.7,508855,"PercentageofYardagecoveredbyTeeShots",2010
61,61,"Blake Adams",84,62.35,294423,472200,"PercentageofYardagecoveredbyTeeShots",2010
61,61,"Ted Purdy",86,62.35,296271.2,475205,"PercentageofYardagecoveredbyTeeShots",2010
63,63,"Matt Jones",89,62.33,314957.4,505284,"PercentageofYardagecoveredbyTeeShots",2010
63,63,"Roger Tambellini",77,62.33,244908.7,392909,"PercentageofYardagecoveredbyTeeShots",2010
65,65,"JJ Henry",92,62.31,311423.7,499788,"PercentageofYardagecoveredbyTeeShots",2010
66,66,"Steve Marino",81,62.28,250838.9,402763,"PercentageofYardagecoveredbyTeeShots",2010
67,67,"Joe Durant",67,62.27,222592.1,357446,"PercentageofYardagecoveredbyTeeShots",2010
67,67,"Paul Stankowski",62,62.27,208428.8,334712,"PercentageofYardagecoveredbyTeeShots",2010
69,69,"Bill Haas",87,62.26,296061.7,475559,"PercentageofYardagecoveredbyTeeShots",2010
69,69,"Andrew McLardy",52,62.26,173813.6,279153,"PercentageofYardagecoveredbyTeeShots",2010
69,69,"Nicholas Thompson",88,62.26,304301.2,488787,"PercentageofYardagecoveredbyTeeShots",2010
72,72,"Stuart Appleby",101,62.25,347676.8,558555,"PercentageofYardagecoveredbyTeeShots",2010
72,72,"Joe Ogilvie",99,62.25,338986.8,544564,"PercentageofYardagecoveredbyTeeShots",2010
74,74,"Ryan Moore",80,62.21,242492.6,389805,"PercentageofYardagecoveredbyTeeShots",2010
74,74,"Greg Owen",69,62.21,243710.4,391726,"PercentageofYardagecoveredbyTeeShots",2010
76,76,"Jeff Gove",57,62.2,173076.9,278275,"PercentageofYardagecoveredbyTeeShots",2010
77,77,"Steve Lowery",67,62.19,219559.9,353071,"PercentageofYardagecoveredbyTeeShots",2010
78,78,"John Merrick",109,62.16,363721.3,585095,"PercentageofYardagecoveredbyTeeShots",2010
