"Round4ScoringAverage_RANKTHISWEEK_2007","Round4ScoringAverage_RANKLASTWEEK_2007","Round4ScoringAverage_PLAYERNAME_2007","Round4ScoringAverage__2007","Round4ScoringAverage_AVG_2007","Round4ScoringAverage_TOTALSTROKES_2007","Round4ScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Tiger Woods",NA,68.8,1032,15,"Round4ScoringAverage",2007
2,2,"Jonathan Byrd",NA,69.15,899,13,"Round4ScoringAverage",2007
3,3,"Ian Poulter",NA,69.31,901,13,"Round4ScoringAverage",2007
4,4,"Anthony Kim",NA,69.55,1391,20,"Round4ScoringAverage",2007
5,5,"Alex Cejka",NA,69.56,1113,16,"Round4ScoringAverage",2007
6,6,"Phil Mickelson",NA,69.6,1044,15,"Round4ScoringAverage",2007
7,7,"Heath Slocum",NA,69.64,1532,22,"Round4ScoringAverage",2007
8,8,"Bo Van Pelt",NA,69.68,1533,22,"Round4ScoringAverage",2007
9,9,"Rory Sabbatini",NA,69.71,1185,17,"Round4ScoringAverage",2007
10,10,"Brandt Snedeker",NA,69.78,1605,23,"Round4ScoringAverage",2007
11,11,"Ernie Els",NA,69.79,977,14,"Round4ScoringAverage",2007
12,12,"Pat Perez",NA,69.94,1119,16,"Round4ScoringAverage",2007
13,13,"Jim Furyk",NA,69.95,1329,19,"Round4ScoringAverage",2007
14,14,"Robert Allenby",NA,70.06,1191,17,"Round4ScoringAverage",2007
15,15,"Chris Stroud",NA,70.11,631,9,"Round4ScoringAverage",2007
16,16,"Billy Mayfair",NA,70.16,1333,19,"Round4ScoringAverage",2007
17,17,"Hunter Mahan",NA,70.17,1263,18,"Round4ScoringAverage",2007
18,18,"Jeff Overton",NA,70.18,772,11,"Round4ScoringAverage",2007
19,19,"Matt Kuchar",NA,70.19,1123,16,"Round4ScoringAverage",2007
20,20,"Tom Byrum",NA,70.2,351,5,"Round4ScoringAverage",2007
21,21,"Jeff Sluman",NA,70.22,632,9,"Round4ScoringAverage",2007
22,22,"Marco Dawson",NA,70.23,913,13,"Round4ScoringAverage",2007
23,23,"Darron Stiles",NA,70.38,563,8,"Round4ScoringAverage",2007
24,24,"David Toms",NA,70.39,1267,18,"Round4ScoringAverage",2007
25,25,"Mark Calcavecchia",NA,70.42,1338,19,"Round4ScoringAverage",2007
25,25,"Joe Ogilvie",NA,70.42,1338,19,"Round4ScoringAverage",2007
27,27,"Brett Wetterich",NA,70.44,1127,16,"Round4ScoringAverage",2007
27,27,"Dean Wilson",NA,70.44,1268,18,"Round4ScoringAverage",2007
29,29,"Vijay Singh",NA,70.46,1691,24,"Round4ScoringAverage",2007
30,30,"John Senden",NA,70.48,1480,21,"Round4ScoringAverage",2007
31,31,"KJ Choi",NA,70.5,1269,18,"Round4ScoringAverage",2007
31,31,"Davis Love III",NA,70.5,846,12,"Round4ScoringAverage",2007
33,33,"Sergio Garcia",NA,70.53,1058,15,"Round4ScoringAverage",2007
