"DrivingAccuracyPercentage_RANKTHISWEEK_2013","DrivingAccuracyPercentage_RANKLASTWEEK_2013","DrivingAccuracyPercentage_PLAYERNAME_2013","DrivingAccuracyPercentage_ROUNDS_2013","DrivingAccuracyPercentage_Pct_2013","DrivingAccuracyPercentage_FAIRWAYSHIT_2013","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2013","stat_name","year"
1,1,"Jerry Kelly",75,71.81,749,1043,"DrivingAccuracyPercentage",2013
2,2,"Mark Wilson",56,70.74,515,728,"DrivingAccuracyPercentage",2013
3,3,"Steve Stricker",51,70.65,467,661,"DrivingAccuracyPercentage",2013
4,4,"Jim Furyk",80,70.47,766,1087,"DrivingAccuracyPercentage",2013
5,5,"Tim Clark",64,70.31,599,852,"DrivingAccuracyPercentage",2013
6,6,"Chez Reavie",72,70.29,705,1003,"DrivingAccuracyPercentage",2013
7,7,"Henrik Stenson",65,70.09,628,896,"DrivingAccuracyPercentage",2013
8,8,"Zach Johnson",84,69.68,809,1161,"DrivingAccuracyPercentage",2013
9,9,"Justin Hicks",79,69.61,726,1043,"DrivingAccuracyPercentage",2013
10,10,"Ken Duke",87,69.28,841,1214,"DrivingAccuracyPercentage",2013
11,11,"Jeff Maggert",63,68.83,605,879,"DrivingAccuracyPercentage",2013
12,12,"Jin Park",52,68.82,479,696,"DrivingAccuracyPercentage",2013
13,13,"Brian Davis",91,68.61,870,1268,"DrivingAccuracyPercentage",2013
14,14,"John Huh",88,68.53,845,1233,"DrivingAccuracyPercentage",2013
15,15,"Graeme McDowell",53,68.51,470,686,"DrivingAccuracyPercentage",2013
16,16,"Ryan Moore",72,68.44,681,995,"DrivingAccuracyPercentage",2013
17,17,"Ted Potter Jr",65,68.03,581,854,"DrivingAccuracyPercentage",2013
18,18,"Jordan Spieth",82,67.8,775,1143,"DrivingAccuracyPercentage",2013
19,19,"Ben Kohles",75,67.78,669,987,"DrivingAccuracyPercentage",2013
20,20,"Darron Stiles",51,67.64,462,683,"DrivingAccuracyPercentage",2013
21,21,"Doug LaBelle II",72,67.42,658,976,"DrivingAccuracyPercentage",2013
22,22,"Roberto Castro",97,67.36,910,1351,"DrivingAccuracyPercentage",2013
23,23,"Kevin Streelman",86,67.25,805,1197,"DrivingAccuracyPercentage",2013
24,24,"Richard Lee",81,66.95,717,1071,"DrivingAccuracyPercentage",2013
25,25,"Hunter Mahan",91,66.61,794,1192,"DrivingAccuracyPercentage",2013
26,26,"David Toms",49,66.5,407,612,"DrivingAccuracyPercentage",2013
27,27,"Colt Knost",69,66.48,601,904,"DrivingAccuracyPercentage",2013
28,28,"Boo Weekley",100,66.36,925,1394,"DrivingAccuracyPercentage",2013
29,29,"Brendon de Jonge",110,66.28,1016,1533,"DrivingAccuracyPercentage",2013
30,30,"DH Lee",65,66.23,600,906,"DrivingAccuracyPercentage",2013
31,31,"KJ Choi",85,66.04,774,1172,"DrivingAccuracyPercentage",2013
32,32,"Brian Stuard",78,65.99,679,1029,"DrivingAccuracyPercentage",2013
33,33,"Bryce Molder",82,65.95,734,1113,"DrivingAccuracyPercentage",2013
34,34,"Graham DeLaet",94,65.8,862,1310,"DrivingAccuracyPercentage",2013
35,35,"Jason Bohn",70,65.74,641,975,"DrivingAccuracyPercentage",2013
36,36,"George McNeill",68,65.62,624,951,"DrivingAccuracyPercentage",2013
37,37,"Vaughn Taylor",50,65.32,420,643,"DrivingAccuracyPercentage",2013
38,38,"Dicky Pride",71,65.24,608,932,"DrivingAccuracyPercentage",2013
