"LateLowestRound_RANKTHISWEEK_2014","LateLowestRound_RANKLASTWEEK_2014","LateLowestRound_PLAYERNAME_2014","LateLowestRound__2014","LateLowestRound_LOWRND_2014","stat_name","year"
1,1,"Sergio Garcia",NA,61,"LateLowestRound",2014
1,1,"George McNeill",NA,61,"LateLowestRound",2014
3,3,"Chad Campbell",NA,62,"LateLowestRound",2014
3,3,"Tim Clark",NA,62,"LateLowestRound",2014
3,3,"Morgan Hoffmann",NA,62,"LateLowestRound",2014
3,3,"Ryo Ishikawa",NA,62,"LateLowestRound",2014
3,3,"Zach Johnson",NA,62,"LateLowestRound",2014
3,3,"Russell Knox",NA,62,"LateLowestRound",2014
3,3,"Ben Martin",NA,62,"LateLowestRound",2014
10,10,"Kevin Chappell",NA,63,"LateLowestRound",2014
10,10,"Stewart Cink",NA,63,"LateLowestRound",2014
10,10,"Ben Crane",NA,63,"LateLowestRound",2014
10,10,"James Driscoll",NA,63,"LateLowestRound",2014
10,10,"Brad Fritsch",NA,63,"LateLowestRound",2014
10,10,"Billy Horschel",NA,63,"LateLowestRound",2014
10,10,"Dustin Johnson",NA,63,"LateLowestRound",2014
10,10,"Martin Kaymer",NA,63,"LateLowestRound",2014
10,10,"David Lingmerth",NA,63,"LateLowestRound",2014
10,10,"Jamie Lovemark",NA,63,"LateLowestRound",2014
10,10,"Rory McIlroy",NA,63,"LateLowestRound",2014
10,10,"Phil Mickelson",NA,63,"LateLowestRound",2014
10,10,"Bryce Molder",NA,63,"LateLowestRound",2014
10,10,"Ryan Moore",NA,63,"LateLowestRound",2014
10,10,"Jeff Overton",NA,63,"LateLowestRound",2014
10,10,"Ryan Palmer",NA,63,"LateLowestRound",2014
10,10,"Ian Poulter",NA,63,"LateLowestRound",2014
10,10,"Patrick Reed",NA,63,"LateLowestRound",2014
10,10,"Richard Sterne",NA,63,"LateLowestRound",2014
10,10,"Brendon Todd",NA,63,"LateLowestRound",2014
10,10,"Camilo Villegas",NA,63,"LateLowestRound",2014
10,10,"Jimmy Walker",NA,63,"LateLowestRound",2014
32,32,"Eric Axley",NA,64,"LateLowestRound",2014
32,32,"Charlie Beljan",NA,64,"LateLowestRound",2014
32,32,"Jason Bohn",NA,64,"LateLowestRound",2014
32,32,"Angel Cabrera",NA,64,"LateLowestRound",2014
32,32,"Roberto Castro",NA,64,"LateLowestRound",2014
32,32,"John Daly",NA,64,"LateLowestRound",2014
32,32,"Jason Day",NA,64,"LateLowestRound",2014
32,32,"Brendon de Jonge",NA,64,"LateLowestRound",2014
32,32,"Joe Durant",NA,64,"LateLowestRound",2014
32,32,"Paul Goydos",NA,64,"LateLowestRound",2014
32,32,"Luke Guthrie",NA,64,"LateLowestRound",2014
32,32,"Bill Haas",NA,64,"LateLowestRound",2014
32,32,"Russell Henley",NA,64,"LateLowestRound",2014
32,32,"Justin Hicks",NA,64,"LateLowestRound",2014
32,32,"Charley Hoffman",NA,64,"LateLowestRound",2014
32,32,"Freddie Jacobson",NA,64,"LateLowestRound",2014
32,32,"Chris Kirk",NA,64,"LateLowestRound",2014
32,32,"Kevin Kisner",NA,64,"LateLowestRound",2014
32,32,"Matt Kuchar",NA,64,"LateLowestRound",2014
32,32,"Scott Langley",NA,64,"LateLowestRound",2014
32,32,"Marc Leishman",NA,64,"LateLowestRound",2014
32,32,"Jeff Maggert",NA,64,"LateLowestRound",2014
32,32,"Troy Matteson",NA,64,"LateLowestRound",2014
32,32,"Graeme McDowell",NA,64,"LateLowestRound",2014
32,32,"William McGirt",NA,64,"LateLowestRound",2014
32,32,"Kevin Na",NA,64,"LateLowestRound",2014
32,32,"Louis Oosthuizen",NA,64,"LateLowestRound",2014
32,32,"Tim Petrovic",NA,64,"LateLowestRound",2014
32,32,"Michael Putnam",NA,64,"LateLowestRound",2014
32,32,"Charl Schwartzel",NA,64,"LateLowestRound",2014
32,32,"John Senden",NA,64,"LateLowestRound",2014
32,32,"Webb Simpson",NA,64,"LateLowestRound",2014
32,32,"Shawn Stefani",NA,64,"LateLowestRound",2014
32,32,"Kevin Streelman",NA,64,"LateLowestRound",2014
32,32,"Steve Stricker",NA,64,"LateLowestRound",2014
32,32,"Daniel Summerhays",NA,64,"LateLowestRound",2014
32,32,"Andrew Svoboda",NA,64,"LateLowestRound",2014
32,32,"Justin Thomas",NA,64,"LateLowestRound",2014
32,32,"Cameron Tringale",NA,64,"LateLowestRound",2014
32,32,"Nick Watney",NA,64,"LateLowestRound",2014
32,32,"Bubba Watson",NA,64,"LateLowestRound",2014
32,32,"Will Wilcox",NA,64,"LateLowestRound",2014
74,74,"Stephen Ames",NA,65,"LateLowestRound",2014
74,74,"Mark Anderson",NA,65,"LateLowestRound",2014
74,74,"Stuart Appleby",NA,65,"LateLowestRound",2014
74,74,"Aaron Baddeley",NA,65,"LateLowestRound",2014
74,74,"Keegan Bradley",NA,65,"LateLowestRound",2014
74,74,"Josh Broadaway",NA,65,"LateLowestRound",2014
74,74,"Scott Brown",NA,65,"LateLowestRound",2014
74,74,"Jonathan Byrd",NA,65,"LateLowestRound",2014
74,74,"Paul Casey",NA,65,"LateLowestRound",2014
74,74,"Greg Chalmers",NA,65,"LateLowestRound",2014
74,74,"KJ Choi",NA,65,"LateLowestRound",2014
74,74,"Will Claxton",NA,65,"LateLowestRound",2014
74,74,"Chad Collins",NA,65,"LateLowestRound",2014
74,74,"Austin Cook",NA,65,"LateLowestRound",2014
74,74,"Brian Davis",NA,65,"LateLowestRound",2014
74,74,"Glen Day",NA,65,"LateLowestRound",2014
74,74,"Graham DeLaet",NA,65,"LateLowestRound",2014
74,74,"Jamie Donaldson",NA,65,"LateLowestRound",2014
74,74,"Ken Duke",NA,65,"LateLowestRound",2014
74,74,"Ernie Els",NA,65,"LateLowestRound",2014
74,74,"Harris English",NA,65,"LateLowestRound",2014
74,74,"Matt Every",NA,65,"LateLowestRound",2014
