"TotalEagles_RANKTHISWEEK_2010","TotalEagles_RANKLASTWEEK_2010","TotalEagles_PLAYERNAME_2010","TotalEagles_ROUNDS_2010","TotalEagles_TOTAL_2010","stat_name","year"
1,1,"Matt Bettencourt",91,17,"TotalEagles",2010
2,2,"Dustin Johnson",83,16,"TotalEagles",2010
3,3,"JB Holmes",100,14,"TotalEagles",2010
3,3,"Martin Laird",91,14,"TotalEagles",2010
5,5,"Aaron Baddeley",94,13,"TotalEagles",2010
5,5,"Bubba Watson",77,13,"TotalEagles",2010
7,7,"Davis Love III",79,12,"TotalEagles",2010
7,7,"Phil Mickelson",76,12,"TotalEagles",2010
7,7,"Scott Piercy",88,12,"TotalEagles",2010
10,10,"Brendon de Jonge",114,11,"TotalEagles",2010
10,10,"Rickie Fowler",98,11,"TotalEagles",2010
10,10,"Adam Scott",70,11,"TotalEagles",2010
10,10,"DJ Trahan",92,11,"TotalEagles",2010
14,14,"Ricky Barnes",103,10,"TotalEagles",2010
14,14,"Charley Hoffman",85,10,"TotalEagles",2010
14,14,"Richard Johnson",90,10,"TotalEagles",2010
14,14,"Matt Jones",89,10,"TotalEagles",2010
14,14,"Michael Letzig",84,10,"TotalEagles",2010
14,14,"Hunter Mahan",85,10,"TotalEagles",2010
14,14,"Alex Prugh",88,10,"TotalEagles",2010
14,14,"Andres Romero",73,10,"TotalEagles",2010
14,14,"Kevin Stadler",86,10,"TotalEagles",2010
14,14,"Kevin Sutherland",86,10,"TotalEagles",2010
14,14,"Josh Teater",101,10,"TotalEagles",2010
14,14,"Nick Watney",91,10,"TotalEagles",2010
26,26,"Robert Allenby",76,9,"TotalEagles",2010
26,26,"Woody Austin",93,9,"TotalEagles",2010
26,26,"John Daly",63,9,"TotalEagles",2010
26,26,"Jason Dufner",87,9,"TotalEagles",2010
26,26,"Tom Gillis",97,9,"TotalEagles",2010
26,26,"Bill Haas",87,9,"TotalEagles",2010
26,26,"Charles Howell III",103,9,"TotalEagles",2010
26,26,"Matt Kuchar",97,9,"TotalEagles",2010
26,26,"Derek Lamely",81,9,"TotalEagles",2010
26,26,"Bill Lunde",79,9,"TotalEagles",2010
26,26,"Billy Mayfair",78,9,"TotalEagles",2010
26,26,"Scott McCarron",90,9,"TotalEagles",2010
26,26,"Rocco Mediate",71,9,"TotalEagles",2010
26,26,"Sean OHair",84,9,"TotalEagles",2010
26,26,"Joe Ogilvie",99,9,"TotalEagles",2010
26,26,"Jeff Overton",89,9,"TotalEagles",2010
26,26,"Kenny Perry",69,9,"TotalEagles",2010
26,26,"Carl Pettersson",99,9,"TotalEagles",2010
26,26,"Charles Warren",64,9,"TotalEagles",2010
45,45,"Stewart Cink",84,8,"TotalEagles",2010
45,45,"Michael Connell",89,8,"TotalEagles",2010
45,45,"Ben Crane",85,8,"TotalEagles",2010
45,45,"Steve Flesch",78,8,"TotalEagles",2010
45,45,"George McNeill",79,8,"TotalEagles",2010
45,45,"James Nitties",92,8,"TotalEagles",2010
45,45,"Rod Pampling",77,8,"TotalEagles",2010
45,45,"John Rollins",81,8,"TotalEagles",2010
45,45,"Webb Simpson",98,8,"TotalEagles",2010
45,45,"Vijay Singh",75,8,"TotalEagles",2010
45,45,"Boo Weekley",88,8,"TotalEagles",2010
56,56,"Stuart Appleby",101,7,"TotalEagles",2010
56,56,"Rich Barcelo",70,7,"TotalEagles",2010
56,56,"Paul Casey",64,7,"TotalEagles",2010
56,56,"Alex Cejka",81,7,"TotalEagles",2010
56,56,"Chad Collins",87,7,"TotalEagles",2010
56,56,"Chris Couch",66,7,"TotalEagles",2010
56,56,"James Driscoll",78,7,"TotalEagles",2010
56,56,"Lucas Glover",75,7,"TotalEagles",2010
56,56,"Mathew Goggin",85,7,"TotalEagles",2010
56,56,"JJ Henry",92,7,"TotalEagles",2010
56,56,"Jerry Kelly",99,7,"TotalEagles",2010
56,56,"Troy Merritt",86,7,"TotalEagles",2010
56,56,"Brandt Snedeker",89,7,"TotalEagles",2010
69,69,"Blake Adams",84,6,"TotalEagles",2010
69,69,"Jason Bohn",84,6,"TotalEagles",2010
69,69,"Jonathan Byrd",85,6,"TotalEagles",2010
69,69,"Greg Chalmers",93,6,"TotalEagles",2010
69,69,"KJ Choi",82,6,"TotalEagles",2010
69,69,"Brian Davis",101,6,"TotalEagles",2010
69,69,"Joe Durant",67,6,"TotalEagles",2010
69,69,"JP Hayes",79,6,"TotalEagles",2010
69,69,"Lee Janzen",77,6,"TotalEagles",2010
69,69,"Steve Marino",81,6,"TotalEagles",2010
69,69,"Troy Matteson",84,6,"TotalEagles",2010
69,69,"Rory McIlroy",54,6,"TotalEagles",2010
69,69,"John Merrick",109,6,"TotalEagles",2010
69,69,"Ryan Moore",80,6,"TotalEagles",2010
69,69,"Garth Mulroy",53,6,"TotalEagles",2010
69,69,"Ryan Palmer",84,6,"TotalEagles",2010
69,69,"DA Points",90,6,"TotalEagles",2010
69,69,"Brett Quigley",96,6,"TotalEagles",2010
69,69,"Kevin Streelman",90,6,"TotalEagles",2010
69,69,"Vaughn Taylor",87,6,"TotalEagles",2010
69,69,"Nicholas Thompson",88,6,"TotalEagles",2010
69,69,"Bo Van Pelt",104,6,"TotalEagles",2010
69,69,"Camilo Villegas",78,6,"TotalEagles",2010
69,69,"Johnson Wagner",85,6,"TotalEagles",2010
69,69,"Mike Weir",59,6,"TotalEagles",2010
94,94,"Briny Baird",87,5,"TotalEagles",2010
94,94,"Chad Campbell",95,5,"TotalEagles",2010
94,94,"Daniel Chopra",74,5,"TotalEagles",2010
94,94,"Tim Clark",88,5,"TotalEagles",2010
94,94,"Jason Day",82,5,"TotalEagles",2010
94,94,"Graham DeLaet",88,5,"TotalEagles",2010
94,94,"Chris DiMarco",88,5,"TotalEagles",2010
94,94,"Steve Elkington",74,5,"TotalEagles",2010
94,94,"Martin Flores",75,5,"TotalEagles",2010
94,94,"Robert Garrigus",71,5,"TotalEagles",2010
94,94,"Nathan Green",86,5,"TotalEagles",2010
94,94,"Padraig Harrington",57,5,"TotalEagles",2010
94,94,"Justin Leonard",89,5,"TotalEagles",2010
94,94,"Will Ma Kenzie",72,5,"TotalEagles",2010
94,94,"Jeff Maggert",76,5,"TotalEagles",2010
94,94,"John Mallinger",78,5,"TotalEagles",2010
94,94,"Kevin Na",94,5,"TotalEagles",2010
94,94,"Tom Pernice Jr",74,5,"TotalEagles",2010
94,94,"Aron Price",70,5,"TotalEagles",2010
94,94,"Chris Riley",73,5,"TotalEagles",2010
94,94,"Rory Sabbatini",79,5,"TotalEagles",2010
94,94,"John Senden",103,5,"TotalEagles",2010
94,94,"Steve Stricker",73,5,"TotalEagles",2010
94,94,"Cameron Tringale",55,5,"TotalEagles",2010
94,94,"Jimmy Walker",82,5,"TotalEagles",2010
94,94,"Charlie Wi",95,5,"TotalEagles",2010
94,94,"Jay Williamson",76,5,"TotalEagles",2010
94,94,"Garrett Willis",82,5,"TotalEagles",2010
122,122,"Stephen Ames",75,4,"TotalEagles",2010
122,122,"Henrik Bjornstad",72,4,"TotalEagles",2010
122,122,"Angel Cabrera",64,4,"TotalEagles",2010
122,122,"Mark Calcavecchia",50,4,"TotalEagles",2010
122,122,"Brian Gay",101,4,"TotalEagles",2010
122,122,"Retief Goosen",75,4,"TotalEagles",2010
122,122,"Paul Goydos",78,4,"TotalEagles",2010
122,122,"Tim Herron",79,4,"TotalEagles",2010
122,122,"Ryuji Imada",90,4,"TotalEagles",2010
122,122,"Trevor Immelman",55,4,"TotalEagles",2010
122,122,"Kevin Johnson",62,4,"TotalEagles",2010
122,122,"Cliff Kresge",50,4,"TotalEagles",2010
122,122,"Marc Leishman",87,4,"TotalEagles",2010
122,122,"Steve Lowery",67,4,"TotalEagles",2010
122,122,"David Lutterus",69,4,"TotalEagles",2010
122,122,"Bryce Molder",84,4,"TotalEagles",2010
122,122,"Pat Perez",90,4,"TotalEagles",2010
122,122,"Jeff Quinney",91,4,"TotalEagles",2010
122,122,"Jeev Milkha Singh",59,4,"TotalEagles",2010
122,122,"Heath Slocum",97,4,"TotalEagles",2010
122,122,"Brian Stuard",81,4,"TotalEagles",2010
122,122,"Roger Tambellini",77,4,"TotalEagles",2010
122,122,"Roland Thatcher",72,4,"TotalEagles",2010
122,122,"Chris Tidland",77,4,"TotalEagles",2010
122,122,"David Toms",86,4,"TotalEagles",2010
122,122,"Vance Veazey",58,4,"TotalEagles",2010
122,122,"Scott Verplank",74,4,"TotalEagles",2010
122,122,"Steve Wheatcroft",74,4,"TotalEagles",2010
122,122,"Mark Wilson",87,4,"TotalEagles",2010
122,122,"YE Yang",72,4,"TotalEagles",2010
152,152,"David Duval",71,3,"TotalEagles",2010
152,152,"Ernie Els",72,3,"TotalEagles",2010
152,152,"Bob Estes",79,3,"TotalEagles",2010
152,152,"Matt Every",60,3,"TotalEagles",2010
152,152,"Jim Furyk",76,3,"TotalEagles",2010
152,152,"Jeff Gove",57,3,"TotalEagles",2010
152,152,"Freddie Jacobson",83,3,"TotalEagles",2010
152,152,"Skip Kendall",58,3,"TotalEagles",2010
152,152,"Jarrod Lyle",54,3,"TotalEagles",2010
152,152,"Greg Owen",69,3,"TotalEagles",2010
152,152,"Brenden Pappas",66,3,"TotalEagles",2010
152,152,"Cameron Percy",73,3,"TotalEagles",2010
152,152,"Tim Petrovic",105,3,"TotalEagles",2010
152,152,"Ted Purdy",86,3,"TotalEagles",2010
152,152,"Brett Wetterich",54,3,"TotalEagles",2010
152,152,"Chris Wilson",65,3,"TotalEagles",2010
168,168,"Cameron Beckman",68,2,"TotalEagles",2010
168,168,"Kris Blanks",91,2,"TotalEagles",2010
168,168,"Justin Bolli",55,2,"TotalEagles",2010
168,168,"Michael Bradley",77,2,"TotalEagles",2010
168,168,"Ben Curtis",78,2,"TotalEagles",2010
168,168,"Brad Faxon",58,2,"TotalEagles",2010
168,168,"Sergio Garcia",58,2,"TotalEagles",2010
168,168,"Mathias Gronberg",61,2,"TotalEagles",2010
168,168,"Zach Johnson",93,2,"TotalEagles",2010
168,168,"Spencer Levin",110,2,"TotalEagles",2010
168,168,"Andrew McLardy",52,2,"TotalEagles",2010
168,168,"Shaun Micheel",70,2,"TotalEagles",2010
168,168,"Ian Poulter",55,2,"TotalEagles",2010
168,168,"Justin Rose",78,2,"TotalEagles",2010
168,168,"Michael Sim",64,2,"TotalEagles",2010
168,168,"Paul Stankowski",62,2,"TotalEagles",2010
168,168,"Chris Stroud",90,2,"TotalEagles",2010
168,168,"Jerod Turner",54,2,"TotalEagles",2010
186,186,"Brent Delahoussaye",57,1,"TotalEagles",2010
186,186,"Luke Donald",71,1,"TotalEagles",2010
186,186,"Greg Kraft",52,1,"TotalEagles",2010
186,186,"Geoff Ogilvy",62,1,"TotalEagles",2010
186,186,"Omar Uresti",74,1,"TotalEagles",2010
186,186,"Dean Wilson",54,1,"TotalEagles",2010
192,192,"Craig Bowden",56,NA,"TotalEagles",2010
