"AverageDistanceofPuttsmade_RANKTHISWEEK_2006","AverageDistanceofPuttsmade_RANKLASTWEEK_2006","AverageDistanceofPuttsmade_PLAYERNAME_2006","AverageDistanceofPuttsmade_ROUNDS_2006","AverageDistanceofPuttsmade_AVG_2006","AverageDistanceofPuttsmade_TOTALDISTINCHES_2006","AverageDistanceofPuttsmade_TOTALROUNDS_2006","AverageDistanceofPuttsmade_AVGDIST_2006","AverageDistanceofPuttsmade_BESTROUND_2006","stat_name","year"
1,1,"Ben Crane",85,NA,61510,61,NA,NA,"AverageDistanceofPuttsmade",2006
2,2,"Tom Pernice Jr",108,NA,85498,86,NA,NA,"AverageDistanceofPuttsmade",2006
3,3,"Richard Johnson",94,NA,84073,85,NA,NA,"AverageDistanceofPuttsmade",2006
4,4,"Chris Smith",67,NA,57192,58,NA,NA,"AverageDistanceofPuttsmade",2006
5,5,"David Howell",52,NA,29536,30,NA,NA,"AverageDistanceofPuttsmade",2006
6,6,"Brett Quigley",109,NA,91234,93,NA,NA,"AverageDistanceofPuttsmade",2006
7,7,"Kent Jones",103,NA,86171,88,NA,NA,"AverageDistanceofPuttsmade",2006
8,8,"JP Hayes",55,NA,47850,49,NA,NA,"AverageDistanceofPuttsmade",2006
9,9,"Mark OMeara",52,NA,34923,36,NA,NA,"AverageDistanceofPuttsmade",2006
9,9,"Vaughn Taylor",88,NA,74655,77,NA,NA,"AverageDistanceofPuttsmade",2006
11,11,"David McKenzie",82,NA,66875,69,NA,NA,"AverageDistanceofPuttsmade",2006
12,12,"David Duval",71,NA,51163,53,NA,NA,"AverageDistanceofPuttsmade",2006
13,13,"Tiger Woods",55,NA,35538,37,NA,NA,"AverageDistanceofPuttsmade",2006
14,14,"Stewart Cink",93,NA,69801,73,NA,NA,"AverageDistanceofPuttsmade",2006
14,14,"Davis Love III",85,NA,54508,57,NA,NA,"AverageDistanceofPuttsmade",2006
16,16,"Dean Wilson",115,NA,87590,92,NA,NA,"AverageDistanceofPuttsmade",2006
17,17,"Ben Curtis",86,NA,62715,66,NA,NA,"AverageDistanceofPuttsmade",2006
17,17,"Brad Faxon",78,NA,69370,73,NA,NA,"AverageDistanceofPuttsmade",2006
19,19,"Brent Geiberger",99,NA,84455,89,NA,NA,"AverageDistanceofPuttsmade",2006
19,19,"Chris Riley",86,NA,65448,69,NA,NA,"AverageDistanceofPuttsmade",2006
21,21,"Jonathan Byrd",66,NA,51176,54,NA,NA,"AverageDistanceofPuttsmade",2006
21,21,"Mark Wilson",79,NA,68286,72,NA,NA,"AverageDistanceofPuttsmade",2006
23,23,"Nathan Green",108,NA,88891,94,NA,NA,"AverageDistanceofPuttsmade",2006
24,24,"Brian Gay",107,NA,93450,99,NA,NA,"AverageDistanceofPuttsmade",2006
25,25,"Stephen Ames",63,NA,41460,44,NA,NA,"AverageDistanceofPuttsmade",2006
25,25,"David Toms",76,NA,58388,62,NA,NA,"AverageDistanceofPuttsmade",2006
27,27,"Ian Poulter",53,NA,39542,42,NA,NA,"AverageDistanceofPuttsmade",2006
28,28,"Freddie Jacobson",56,NA,50672,54,NA,NA,"AverageDistanceofPuttsmade",2006
28,28,"Rod Pampling",89,NA,60945,65,NA,NA,"AverageDistanceofPuttsmade",2006
30,30,"Daniel Chopra",110,NA,83214,89,NA,NA,"AverageDistanceofPuttsmade",2006
31,31,"Tim Clark",80,NA,51393,55,NA,NA,"AverageDistanceofPuttsmade",2006
32,32,"JB Holmes",81,NA,56910,61,NA,NA,"AverageDistanceofPuttsmade",2006
32,32,"Len Mattiace",59,NA,48539,52,NA,NA,"AverageDistanceofPuttsmade",2006
34,34,"Shigeki Maruyama",94,NA,73657,79,NA,NA,"AverageDistanceofPuttsmade",2006
35,35,"Arjun Atwal",97,NA,76361,82,NA,NA,"AverageDistanceofPuttsmade",2006
36,36,"Craig Barlow",77,NA,52031,56,NA,NA,"AverageDistanceofPuttsmade",2006
36,36,"Ted Purdy",103,NA,73377,79,NA,NA,"AverageDistanceofPuttsmade",2006
38,38,"Ryan Moore",68,NA,53795,58,NA,NA,"AverageDistanceofPuttsmade",2006
39,39,"James Driscoll",80,NA,69423,75,NA,NA,"AverageDistanceofPuttsmade",2006
39,39,"Larry Mize",53,NA,37975,41,NA,NA,"AverageDistanceofPuttsmade",2006
41,41,"Jason Gore",86,NA,66609,72,NA,NA,"AverageDistanceofPuttsmade",2006
41,41,"John Huston",74,NA,60148,65,NA,NA,"AverageDistanceofPuttsmade",2006
41,41,"Brandt Jobe",91,NA,64765,70,NA,NA,"AverageDistanceofPuttsmade",2006
41,41,"Arron Oberholser",82,NA,57344,62,NA,NA,"AverageDistanceofPuttsmade",2006
