"AverageDistanceofPuttsmade_RANKTHISWEEK_2009","AverageDistanceofPuttsmade_RANKLASTWEEK_2009","AverageDistanceofPuttsmade_PLAYERNAME_2009","AverageDistanceofPuttsmade_ROUNDS_2009","AverageDistanceofPuttsmade_AVG_2009","AverageDistanceofPuttsmade_TOTALDISTINCHES_2009","AverageDistanceofPuttsmade_TOTALROUNDS_2009","AverageDistanceofPuttsmade_AVGDIST_2009","AverageDistanceofPuttsmade_BESTROUND_2009","stat_name","year"
136,136,"Charley Hoffman",97,NA,73763,87,NA,NA,"AverageDistanceofPuttsmade",2009
136,136,"Troy Matteson",95,NA,74638,88,NA,NA,"AverageDistanceofPuttsmade",2009
136,136,"Chez Reavie",81,NA,59372,70,NA,NA,"AverageDistanceofPuttsmade",2009
139,139,"Jonathan Byrd",89,NA,66890,79,NA,NA,"AverageDistanceofPuttsmade",2009
140,140,"JJ Henry",97,NA,71059,84,NA,NA,"AverageDistanceofPuttsmade",2009
140,140,"John Merrick",91,NA,57522,68,NA,NA,"AverageDistanceofPuttsmade",2009
140,140,"Tag Ridings",50,NA,34666,41,NA,NA,"AverageDistanceofPuttsmade",2009
143,143,"Davis Love III",89,NA,65025,77,NA,NA,"AverageDistanceofPuttsmade",2009
144,144,"Retief Goosen",74,NA,47222,56,NA,NA,"AverageDistanceofPuttsmade",2009
144,144,"Scott Sterling",51,NA,33738,40,NA,NA,"AverageDistanceofPuttsmade",2009
146,146,"Fred Couples",54,NA,35363,42,NA,NA,"AverageDistanceofPuttsmade",2009
146,146,"Jeff Maggert",79,NA,61447,73,NA,NA,"AverageDistanceofPuttsmade",2009
148,148,"Heath Slocum",95,NA,71424,85,NA,NA,"AverageDistanceofPuttsmade",2009
148,148,"Kevin Stadler",65,NA,44521,53,NA,NA,"AverageDistanceofPuttsmade",2009
150,150,"Chris DiMarco",97,NA,72759,87,NA,NA,"AverageDistanceofPuttsmade",2009
150,150,"Tim Herron",87,NA,67724,81,NA,NA,"AverageDistanceofPuttsmade",2009
152,152,"Alex Cejka",82,NA,59303,71,NA,NA,"AverageDistanceofPuttsmade",2009
153,153,"Camilo Villegas",76,NA,46716,56,NA,NA,"AverageDistanceofPuttsmade",2009
154,154,"Boo Weekley",79,NA,54051,65,NA,NA,"AverageDistanceofPuttsmade",2009
155,155,"Glen Day",79,NA,53093,64,NA,NA,"AverageDistanceofPuttsmade",2009
155,155,"Mathew Goggin",76,NA,49784,60,NA,NA,"AverageDistanceofPuttsmade",2009
155,155,"Jimmy Walker",74,NA,53090,64,NA,NA,"AverageDistanceofPuttsmade",2009
158,158,"Joe Durant",62,NA,38957,47,NA,NA,"AverageDistanceofPuttsmade",2009
159,159,"Jason Gore",74,NA,51318,62,NA,NA,"AverageDistanceofPuttsmade",2009
160,160,"Rocco Mediate",79,NA,54610,66,NA,NA,"AverageDistanceofPuttsmade",2009
161,161,"Nicholas Thompson",96,NA,71903,87,NA,NA,"AverageDistanceofPuttsmade",2009
162,162,"Brad Adamonis",70,NA,50318,61,NA,NA,"AverageDistanceofPuttsmade",2009
163,163,"KJ Choi",65,NA,40995,50,NA,NA,"AverageDistanceofPuttsmade",2009
163,163,"Will Ma Kenzie",69,NA,50028,61,NA,NA,"AverageDistanceofPuttsmade",2009
165,165,"Briny Baird",89,NA,58925,72,NA,NA,"AverageDistanceofPuttsmade",2009
165,165,"Peter Tomasulo",61,NA,37625,46,NA,NA,"AverageDistanceofPuttsmade",2009
167,167,"Greg Owen",97,NA,66953,82,NA,NA,"AverageDistanceofPuttsmade",2009
168,168,"Robert Allenby",71,NA,45667,56,NA,NA,"AverageDistanceofPuttsmade",2009
169,169,"Darron Stiles",52,NA,34172,42,NA,NA,"AverageDistanceofPuttsmade",2009
170,170,"Tom Lehman",55,NA,28449,35,NA,NA,"AverageDistanceofPuttsmade",2009
171,171,"Jason Bohn",88,NA,66341,82,NA,NA,"AverageDistanceofPuttsmade",2009
172,172,"Charles Warren",63,NA,42750,53,NA,NA,"AverageDistanceofPuttsmade",2009
173,173,"Ken Duke",87,NA,57138,71,NA,NA,"AverageDistanceofPuttsmade",2009
174,174,"Adam Scott",53,NA,33739,42,NA,NA,"AverageDistanceofPuttsmade",2009
175,175,"Billy Mayfair",83,NA,55164,69,NA,NA,"AverageDistanceofPuttsmade",2009
176,176,"Charles Howell III",99,NA,66155,83,NA,NA,"AverageDistanceofPuttsmade",2009
177,177,"Ernie Els",70,NA,42996,54,NA,NA,"AverageDistanceofPuttsmade",2009
178,178,"JB Holmes",74,NA,48499,61,NA,NA,"AverageDistanceofPuttsmade",2009
179,179,"Rick Price",54,NA,32470,41,NA,NA,"AverageDistanceofPuttsmade",2009
180,180,"Vijay Singh",71,NA,40334,51,NA,NA,"AverageDistanceofPuttsmade",2009
181,181,"Jay Williamson",69,NA,44661,57,NA,NA,"AverageDistanceofPuttsmade",2009
182,182,"Stuart Appleby",79,NA,50823,65,NA,NA,"AverageDistanceofPuttsmade",2009
183,183,"Jarrod Lyle",65,NA,38769,50,NA,NA,"AverageDistanceofPuttsmade",2009
184,184,"Ricky Barnes",67,NA,37235,51,NA,NA,"AverageDistanceofPuttsmade",2009
