"FairwayApproachRTPScore_RANKTHISWEEK_2012","FairwayApproachRTPScore_RANKLASTWEEK_2012","FairwayApproachRTPScore_PLAYERNAME_2012","FairwayApproachRTPScore_ROUNDS_2012","FairwayApproachRTPScore_AVGRTP_2012","stat_name","year"
1,1,"Rory McIlroy",60,-0.186,"FairwayApproachRTPScore",2012
2,2,"Jason Dufner",83,-0.159,"FairwayApproachRTPScore",2012
3,3,"Tiger Woods",69,-0.151,"FairwayApproachRTPScore",2012
4,4,"Steve Stricker",73,-0.142,"FairwayApproachRTPScore",2012
5,5,"Brandt Snedeker",81,-0.141,"FairwayApproachRTPScore",2012
6,6,"Zach Johnson",95,-0.136,"FairwayApproachRTPScore",2012
6,6,"Phil Mickelson",79,-0.136,"FairwayApproachRTPScore",2012
8,8,"Keegan Bradley",90,-0.131,"FairwayApproachRTPScore",2012
9,9,"Matt Kuchar",86,-0.126,"FairwayApproachRTPScore",2012
10,10,"Bubba Watson",68,-0.125,"FairwayApproachRTPScore",2012
11,11,"Dustin Johnson",70,-0.124,"FairwayApproachRTPScore",2012
12,12,"Bo Van Pelt",84,-0.123,"FairwayApproachRTPScore",2012
13,13,"Jonas Blixt",72,-0.122,"FairwayApproachRTPScore",2012
13,13,"Luke Donald",63,-0.122,"FairwayApproachRTPScore",2012
15,15,"Jeff Overton",101,-0.119,"FairwayApproachRTPScore",2012
16,16,"Ryan Palmer",81,-0.118,"FairwayApproachRTPScore",2012
17,17,"Justin Rose",69,-0.117,"FairwayApproachRTPScore",2012
17,17,"Adam Scott",59,-0.117,"FairwayApproachRTPScore",2012
19,19,"Brendon de Jonge",115,-0.116,"FairwayApproachRTPScore",2012
20,20,"John Senden",81,-0.115,"FairwayApproachRTPScore",2012
20,20,"Webb Simpson",77,-0.115,"FairwayApproachRTPScore",2012
22,22,"Charl Schwartzel",56,-0.114,"FairwayApproachRTPScore",2012
23,23,"Geoff Ogilvy",73,-0.113,"FairwayApproachRTPScore",2012
23,23,"Carl Pettersson",92,-0.113,"FairwayApproachRTPScore",2012
25,25,"Scott Piercy",95,-0.112,"FairwayApproachRTPScore",2012
26,26,"Jason Day",57,-0.111,"FairwayApproachRTPScore",2012
26,26,"Jim Furyk",85,-0.111,"FairwayApproachRTPScore",2012
28,28,"Ken Duke",104,-0.11,"FairwayApproachRTPScore",2012
28,28,"Graeme McDowell",55,-0.11,"FairwayApproachRTPScore",2012
30,30,"Martin Laird",77,-0.107,"FairwayApproachRTPScore",2012
31,31,"Ben Curtis",62,-0.106,"FairwayApproachRTPScore",2012
32,32,"Robert Garrigus",89,-0.105,"FairwayApproachRTPScore",2012
32,32,"Ryan Moore",89,-0.105,"FairwayApproachRTPScore",2012
34,34,"Gary Christian",91,-0.104,"FairwayApproachRTPScore",2012
34,34,"Louis Oosthuizen",65,-0.104,"FairwayApproachRTPScore",2012
36,36,"Lee Westwood",60,-0.102,"FairwayApproachRTPScore",2012
37,37,"Bill Haas",79,-0.101,"FairwayApproachRTPScore",2012
38,38,"Jimmy Walker",101,-0.099,"FairwayApproachRTPScore",2012
39,39,"Sergio Garcia",57,-0.098,"FairwayApproachRTPScore",2012
39,39,"Charles Howell III",98,-0.098,"FairwayApproachRTPScore",2012
39,39,"Nick Watney",97,-0.098,"FairwayApproachRTPScore",2012
42,42,"Richard Lee",71,-0.095,"FairwayApproachRTPScore",2012
43,43,"Billy Horschel",63,-0.094,"FairwayApproachRTPScore",2012
44,44,"Brian Gay",91,-0.093,"FairwayApproachRTPScore",2012
45,45,"Sean OHair",84,-0.092,"FairwayApproachRTPScore",2012
46,46,"Padraig Harrington",67,-0.091,"FairwayApproachRTPScore",2012
47,47,"Martin Flores",95,-0.089,"FairwayApproachRTPScore",2012
47,47,"Vijay Singh",99,-0.089,"FairwayApproachRTPScore",2012
49,49,"Chris Kirk",93,-0.088,"FairwayApproachRTPScore",2012
49,49,"Bill Lunde",83,-0.088,"FairwayApproachRTPScore",2012
51,51,"Bud Cauley",99,-0.087,"FairwayApproachRTPScore",2012
52,52,"Nathan Green",73,-0.086,"FairwayApproachRTPScore",2012
