"Last15EventsPower_RANKTHISWEEK_2014","Last15EventsPower_RANKLASTWEEK_2014","Last15EventsPower_PLAYERNAME_2014","Last15EventsPower_EVENTS_2014","Last15EventsPower_RATING_2014","stat_name","year"
1,1,"Bubba Watson",11,9.8,"Last15EventsPower",2014
2,2,"Oliver Goss",2,9.7,"Last15EventsPower",2014
2,2,"Taylor Pendrith",1,9.7,"Last15EventsPower",2014
4,4,"Nicolas Colsaerts",3,9.6,"Last15EventsPower",2014
4,4,"Dustin Johnson",9,9.6,"Last15EventsPower",2014
6,6,"Jamie Lovemark",5,9.5,"Last15EventsPower",2014
6,6,"Harold Varner III",1,9.5,"Last15EventsPower",2014
8,8,"Scott Hend",1,9.4,"Last15EventsPower",2014
8,8,"Charles Howell III",12,9.4,"Last15EventsPower",2014
8,8,"Rory McIlroy",12,9.4,"Last15EventsPower",2014
8,8,"Patrick Rodgers",4,9.4,"Last15EventsPower",2014
12,12,"Charlie Beljan",7,9.2,"Last15EventsPower",2014
12,12,"JB Holmes",10,9.2,"Last15EventsPower",2014
12,12,"Andrew Loupe",7,9.2,"Last15EventsPower",2014
15,15,"Brooks Koepka",8,9.1,"Last15EventsPower",2014
15,15,"Jason Kokrak",10,9.1,"Last15EventsPower",2014
15,15,"Jhonattan Vegas",7,9.1,"Last15EventsPower",2014
18,18,"Jason Day",7,9,"Last15EventsPower",2014
18,18,"Robert Garrigus",8,9,"Last15EventsPower",2014
20,20,"Steven Bowditch",8,8.9,"Last15EventsPower",2014
20,20,"Scott Piercy",5,8.9,"Last15EventsPower",2014
20,20,"Tag Ridings",2,8.9,"Last15EventsPower",2014
23,23,"Victor Dubuisson",6,8.8,"Last15EventsPower",2014
23,23,"Ryan Palmer",11,8.8,"Last15EventsPower",2014
25,25,"Louis Oosthuizen",5,8.7,"Last15EventsPower",2014
25,25,"Adam Scott",12,8.7,"Last15EventsPower",2014
25,25,"Chris Wood",1,8.7,"Last15EventsPower",2014
25,25,"Gary Woodland",11,8.7,"Last15EventsPower",2014
29,29,"Graham DeLaet",9,8.6,"Last15EventsPower",2014
29,29,"Rickie Fowler",8,8.6,"Last15EventsPower",2014
29,29,"Charley Hoffman",11,8.6,"Last15EventsPower",2014
29,29,"Jordan Niebrugge",1,8.6,"Last15EventsPower",2014
29,29,"Bernd Wiesberger",1,8.6,"Last15EventsPower",2014
34,34,"Angel Cabrera",9,8.5,"Last15EventsPower",2014
34,34,"Sean OHair",8,8.5,"Last15EventsPower",2014
34,34,"Robert Streb",10,8.5,"Last15EventsPower",2014
34,34,"Jimmy Walker",8,8.5,"Last15EventsPower",2014
