"BirdieorBetterPercentage175200ya_RANKTHISWEEK_2007","BirdieorBetterPercentage175200ya_RANKLASTWEEK_2007","BirdieorBetterPercentage175200ya_PLAYERNAME_2007","BirdieorBetterPercentage175200ya_ROUNDS_2007","BirdieorBetterPercentage175200ya_Pct_2007","BirdieorBetterPercentage175200ya_TOTALBIRDIES_2007","BirdieorBetterPercentage175200ya_TOTALHOLES_2007","stat_name","year"
1,1,"John Daly",59,21.32,29,136,"BirdieorBetterPercentage175200ya",2007
2,2,"Freddie Jacobson",70,19.07,45,236,"BirdieorBetterPercentage175200ya",2007
3,3,"Jonathan Byrd",73,18.42,35,190,"BirdieorBetterPercentage175200ya",2007
4,4,"Michael Allen",74,18.41,37,201,"BirdieorBetterPercentage175200ya",2007
5,5,"Ernie Els",59,18.38,25,136,"BirdieorBetterPercentage175200ya",2007
6,6,"Tiger Woods",63,18.05,24,133,"BirdieorBetterPercentage175200ya",2007
7,7,"KJ Choi",87,18.02,40,222,"BirdieorBetterPercentage175200ya",2007
8,8,"Joe Ogilvie",102,17.97,53,295,"BirdieorBetterPercentage175200ya",2007
9,9,"Jay Williamson",50,17.69,23,130,"BirdieorBetterPercentage175200ya",2007
10,10,"Brett Wetterich",88,17.68,35,198,"BirdieorBetterPercentage175200ya",2007
11,11,"JB Holmes",71,17.39,32,184,"BirdieorBetterPercentage175200ya",2007
12,12,"Davis Love III",66,17.14,24,140,"BirdieorBetterPercentage175200ya",2007
13,13,"Aaron Baddeley",83,17.09,34,199,"BirdieorBetterPercentage175200ya",2007
14,14,"Rory Sabbatini",81,16.93,32,189,"BirdieorBetterPercentage175200ya",2007
15,15,"Steve Stricker",81,16.53,39,236,"BirdieorBetterPercentage175200ya",2007
16,16,"Bob Heintz",85,16.44,37,225,"BirdieorBetterPercentage175200ya",2007
16,16,"Steve Lowery",74,16.44,36,219,"BirdieorBetterPercentage175200ya",2007
18,18,"Mark Calcavecchia",93,16.16,37,229,"BirdieorBetterPercentage175200ya",2007
19,19,"JP Hayes",89,16.13,40,248,"BirdieorBetterPercentage175200ya",2007
20,20,"Tom Pernice Jr",104,16.08,46,286,"BirdieorBetterPercentage175200ya",2007
21,21,"Tag Ridings",52,15.87,20,126,"BirdieorBetterPercentage175200ya",2007
22,22,"Mathias Gronberg",95,15.83,41,259,"BirdieorBetterPercentage175200ya",2007
22,22,"Padraig Harrington",64,15.83,22,139,"BirdieorBetterPercentage175200ya",2007
24,24,"Bo Van Pelt",104,15.81,46,291,"BirdieorBetterPercentage175200ya",2007
25,25,"Robert Allenby",90,15.77,38,241,"BirdieorBetterPercentage175200ya",2007
