"Approachesfrom75100yards_RANKTHISWEEK_2012","Approachesfrom75100yards_RANKLASTWEEK_2012","Approachesfrom75100yards_PLAYERNAME_2012","Approachesfrom75100yards_ROUNDS_2012","Approachesfrom75100yards_AVG_2012","Approachesfrom75100yards_TOTALDISTANCEFEET_2012","Approachesfrom75100yards_OFATTEMPTS_2012","Approachesfrom75100yards_RELATIVETOPAR_2012","stat_name","year"
1,1,"Bo Van Pelt",84,NA,521.5,43,-5,"Approachesfrom75100yards",2012
2,2,"Steve Stricker",73,NA,635.833,51,-9,"Approachesfrom75100yards",2012
3,3,"Josh Teater",97,NA,907.583,69,-21,"Approachesfrom75100yards",2012
4,4,"Nick OHern",78,NA,725.917,54,-14,"Approachesfrom75100yards",2012
5,5,"Padraig Harrington",67,NA,459.083,34,-6,"Approachesfrom75100yards",2012
6,6,"Sergio Garcia",57,NA,292.75,21,1,"Approachesfrom75100yards",2012
6,6,"Webb Simpson",77,NA,502.25,36,-8,"Approachesfrom75100yards",2012
8,8,"Matt Kuchar",86,NA,896.833,63,-6,"Approachesfrom75100yards",2012
8,8,"Graeme McDowell",55,NA,525.917,37,-8,"Approachesfrom75100yards",2012
10,10,"Roland Thatcher",55,NA,457.5,32,-3,"Approachesfrom75100yards",2012
11,11,"Brandt Snedeker",81,NA,795.75,55,-13,"Approachesfrom75100yards",2012
12,12,"Brian Gay",91,NA,1562.417,107,-27,"Approachesfrom75100yards",2012
12,12,"Marc Leishman",84,NA,920.667,63,-12,"Approachesfrom75100yards",2012
14,14,"Bobby Gates",87,NA,777.583,53,-8,"Approachesfrom75100yards",2012
15,15,"John Daly",50,NA,590.333,40,-12,"Approachesfrom75100yards",2012
16,16,"Tim Clark",60,NA,921,62,-9,"Approachesfrom75100yards",2012
16,16,"Garth Mulroy",59,NA,414.417,28,-6,"Approachesfrom75100yards",2012
18,18,"Jason Bohn",81,NA,865.583,58,-11,"Approachesfrom75100yards",2012
18,18,"Henrik Stenson",51,NA,344,23,-3,"Approachesfrom75100yards",2012
20,20,"Martin Laird",77,NA,748.833,50,-6,"Approachesfrom75100yards",2012
20,20,"Bryce Molder",83,NA,902.417,60,-14,"Approachesfrom75100yards",2012
22,22,"Justin Leonard",79,NA,1174.583,78,-22,"Approachesfrom75100yards",2012
22,22,"Vaughn Taylor",81,NA,1028.25,68,-10,"Approachesfrom75100yards",2012
24,24,"Luke Donald",63,NA,639.167,42,-9,"Approachesfrom75100yards",2012
24,24,"Kevin Na",80,NA,625.75,41,-3,"Approachesfrom75100yards",2012
24,24,"Alexandre Rocha",62,NA,732.417,48,-13,"Approachesfrom75100yards",2012
27,27,"Ryuji Imada",78,NA,751.75,49,-11,"Approachesfrom75100yards",2012
28,28,"Ken Duke",104,NA,1112.583,72,-19,"Approachesfrom75100yards",2012
28,28,"Phil Mickelson",79,NA,648.333,42,-9,"Approachesfrom75100yards",2012
28,28,"Jeff Overton",101,NA,1061.583,69,-13,"Approachesfrom75100yards",2012
31,31,"Chris Kirk",93,NA,1113.667,72,-11,"Approachesfrom75100yards",2012
31,31,"Derek Lamely",64,NA,744.25,48,0,"Approachesfrom75100yards",2012
33,33,"Ryo Ishikawa",54,NA,499.5,32,-1,"Approachesfrom75100yards",2012
34,34,"Brian Davis",91,NA,1313.25,84,-12,"Approachesfrom75100yards",2012
34,34,"Billy Horschel",63,NA,690.917,44,-7,"Approachesfrom75100yards",2012
34,34,"David Toms",60,NA,611.583,39,-4,"Approachesfrom75100yards",2012
37,37,"Brendon de Jonge",115,NA,977.333,62,-13,"Approachesfrom75100yards",2012
37,37,"Troy Matteson",100,NA,881.333,56,-11,"Approachesfrom75100yards",2012
37,37,"Billy Mayfair",90,NA,552.25,35,-9,"Approachesfrom75100yards",2012
