"Approaches50125yardsRghRTP_RANKTHISWEEK_2013","Approaches50125yardsRghRTP_RANKLASTWEEK_2013","Approaches50125yardsRghRTP_PLAYERNAME_2013","Approaches50125yardsRghRTP_ROUNDS_2013","Approaches50125yardsRghRTP_AVGRTP_2013","stat_name","year"
1,1,"Tiger Woods",61,-0.25,"Approaches50125yardsRghRTP",2013
2,2,"Ryo Ishikawa",72,-0.149,"Approaches50125yardsRghRTP",2013
3,3,"Freddie Jacobson",63,-0.14,"Approaches50125yardsRghRTP",2013
4,4,"Chris Kirk",89,-0.116,"Approaches50125yardsRghRTP",2013
4,4,"Chris Stroud",88,-0.116,"Approaches50125yardsRghRTP",2013
6,6,"Scott Langley",79,-0.1,"Approaches50125yardsRghRTP",2013
7,7,"Charl Schwartzel",69,-0.091,"Approaches50125yardsRghRTP",2013
8,8,"Justin Leonard",86,-0.075,"Approaches50125yardsRghRTP",2013
9,9,"KJ Choi",85,-0.065,"Approaches50125yardsRghRTP",2013
10,10,"Cameron Tringale",80,-0.061,"Approaches50125yardsRghRTP",2013
11,11,"Rickie Fowler",75,-0.056,"Approaches50125yardsRghRTP",2013
12,12,"David Toms",49,-0.048,"Approaches50125yardsRghRTP",2013
13,13,"Stephen Ames",49,-0.043,"Approaches50125yardsRghRTP",2013
14,14,"Jordan Spieth",82,-0.042,"Approaches50125yardsRghRTP",2013
14,14,"Daniel Summerhays",83,-0.042,"Approaches50125yardsRghRTP",2013
16,16,"John Merrick",79,-0.038,"Approaches50125yardsRghRTP",2013
17,17,"Luke Guthrie",82,-0.036,"Approaches50125yardsRghRTP",2013
18,18,"Lee Williams",62,-0.031,"Approaches50125yardsRghRTP",2013
19,19,"Kevin Stadler",83,-0.03,"Approaches50125yardsRghRTP",2013
20,20,"Bob Estes",66,-0.029,"Approaches50125yardsRghRTP",2013
21,21,"Russell Henley",80,-0.024,"Approaches50125yardsRghRTP",2013
22,22,"Stewart Cink",71,-0.023,"Approaches50125yardsRghRTP",2013
22,22,"Graham DeLaet",94,-0.023,"Approaches50125yardsRghRTP",2013
24,24,"Marc Leishman",77,-0.02,"Approaches50125yardsRghRTP",2013
25,25,"Charley Hoffman",84,-0.018,"Approaches50125yardsRghRTP",2013
26,26,"Phil Mickelson",78,-0.017,"Approaches50125yardsRghRTP",2013
27,27,"Sangmoon Bae",83,0,"Approaches50125yardsRghRTP",2013
27,27,"Michael Bradley",56,0,"Approaches50125yardsRghRTP",2013
27,27,"Luke Donald",60,0,"Approaches50125yardsRghRTP",2013
27,27,"Jason Dufner",78,0,"Approaches50125yardsRghRTP",2013
27,27,"Tim Herron",45,0,"Approaches50125yardsRghRTP",2013
27,27,"Justin Hicks",79,0,"Approaches50125yardsRghRTP",2013
27,27,"DH Lee",65,0,"Approaches50125yardsRghRTP",2013
27,27,"Shawn Stefani",63,0,"Approaches50125yardsRghRTP",2013
27,27,"Henrik Stenson",65,0,"Approaches50125yardsRghRTP",2013
27,27,"Steve Stricker",51,0,"Approaches50125yardsRghRTP",2013
27,27,"Casey Wittenberg",72,0,"Approaches50125yardsRghRTP",2013
38,38,"Bill Haas",85,0.016,"Approaches50125yardsRghRTP",2013
39,39,"Roberto Castro",97,0.017,"Approaches50125yardsRghRTP",2013
39,39,"Morgan Hoffmann",64,0.017,"Approaches50125yardsRghRTP",2013
41,41,"Matt Jones",83,0.018,"Approaches50125yardsRghRTP",2013
42,42,"James Driscoll",76,0.022,"Approaches50125yardsRghRTP",2013
43,43,"Martin Flores",83,0.024,"Approaches50125yardsRghRTP",2013
43,43,"Robert Garrigus",69,0.024,"Approaches50125yardsRghRTP",2013
45,45,"Jim Herman",59,0.026,"Approaches50125yardsRghRTP",2013
45,45,"Patrick Reed",83,0.026,"Approaches50125yardsRghRTP",2013
45,45,"Brandt Snedeker",79,0.026,"Approaches50125yardsRghRTP",2013
48,48,"Jin Park",52,0.029,"Approaches50125yardsRghRTP",2013
48,48,"Charlie Wi",75,0.029,"Approaches50125yardsRghRTP",2013
50,50,"Brian Davis",91,0.031,"Approaches50125yardsRghRTP",2013
50,50,"Seung Yul Noh",71,0.031,"Approaches50125yardsRghRTP",2013
52,52,"Jason Day",86,0.033,"Approaches50125yardsRghRTP",2013
52,52,"Ian Poulter",59,0.033,"Approaches50125yardsRghRTP",2013
54,54,"Luke List",65,0.034,"Approaches50125yardsRghRTP",2013
55,55,"Sergio Garcia",65,0.043,"Approaches50125yardsRghRTP",2013
56,56,"Rory Sabbatini",86,0.046,"Approaches50125yardsRghRTP",2013
57,57,"Matt Every",89,0.047,"Approaches50125yardsRghRTP",2013
58,58,"Geoff Ogilvy",57,0.049,"Approaches50125yardsRghRTP",2013
59,59,"Eric Meierdierks",48,0.053,"Approaches50125yardsRghRTP",2013
59,59,"Chez Reavie",72,0.053,"Approaches50125yardsRghRTP",2013
59,59,"Josh Teater",86,0.053,"Approaches50125yardsRghRTP",2013
62,62,"Camilo Villegas",79,0.054,"Approaches50125yardsRghRTP",2013
62,62,"Bubba Watson",76,0.054,"Approaches50125yardsRghRTP",2013
64,64,"Dustin Johnson",71,0.056,"Approaches50125yardsRghRTP",2013
65,65,"Ted Potter Jr",65,0.058,"Approaches50125yardsRghRTP",2013
66,66,"Justin Rose",62,0.061,"Approaches50125yardsRghRTP",2013
67,67,"Greg Chalmers",77,0.063,"Approaches50125yardsRghRTP",2013
67,67,"David Lynn",70,0.063,"Approaches50125yardsRghRTP",2013
67,67,"John Rollins",77,0.063,"Approaches50125yardsRghRTP",2013
70,70,"Ernie Els",63,0.065,"Approaches50125yardsRghRTP",2013
71,71,"Jeff Overton",78,0.068,"Approaches50125yardsRghRTP",2013
72,72,"Fabian Gomez",65,0.07,"Approaches50125yardsRghRTP",2013
73,73,"Justin Bolli",59,0.071,"Approaches50125yardsRghRTP",2013
74,74,"Vaughn Taylor",50,0.074,"Approaches50125yardsRghRTP",2013
75,75,"David Lingmerth",68,0.077,"Approaches50125yardsRghRTP",2013
75,75,"Pat Perez",69,0.077,"Approaches50125yardsRghRTP",2013
77,77,"Boo Weekley",100,0.078,"Approaches50125yardsRghRTP",2013
78,78,"Nicolas Colsaerts",50,0.082,"Approaches50125yardsRghRTP",2013
78,78,"Dicky Pride",71,0.082,"Approaches50125yardsRghRTP",2013
80,80,"Mark Wilson",56,0.083,"Approaches50125yardsRghRTP",2013
81,81,"Scott Gardiner",61,0.085,"Approaches50125yardsRghRTP",2013
81,81,"Richard Lee",81,0.085,"Approaches50125yardsRghRTP",2013
81,81,"Mike Weir",60,0.085,"Approaches50125yardsRghRTP",2013
84,84,"Matt Kuchar",93,0.088,"Approaches50125yardsRghRTP",2013
85,85,"Gary Woodland",94,0.09,"Approaches50125yardsRghRTP",2013
86,86,"Rod Pampling",46,0.091,"Approaches50125yardsRghRTP",2013
87,87,"Bo Van Pelt",72,0.094,"Approaches50125yardsRghRTP",2013
