"ProximitytoHolefrom30yards_RANKTHISWEEK_2016","ProximitytoHolefrom30yards_RANKLASTWEEK_2016","ProximitytoHolefrom30yards_PLAYERNAME_2016","ProximitytoHolefrom30yards_ROUNDS_2016","ProximitytoHolefrom30yards_AVGDTP_2016","ProximitytoHolefrom30yards_TOTALDISTANCEFEET_2016","ProximitytoHolefrom30yards_OFSHOTS_2016","ProximitytoHolefrom30yards_SCRAMBLINGRANK_2016","stat_name","year"
1,1,"Billy Hurley III",22,NA,43,7,60,"ProximitytoHolefrom30yards",2016
2,2,"Vaughn Taylor",30,NA,102.917,14,178,"ProximitytoHolefrom30yards",2016
3,2,"DJ Trahan",23,NA,66.917,9,146,"ProximitytoHolefrom30yards",2016
4,6,"Branden Grace",31,NA,109.25,14,34,"ProximitytoHolefrom30yards",2016
5,7,"Graeme McDowell",33,NA,142.75,18,62,"ProximitytoHolefrom30yards",2016
6,8,"Matt Kuchar",46,NA,159.667,20,33,"ProximitytoHolefrom30yards",2016
7,9,"Vijay Singh",42,NA,381.75,46,138,"ProximitytoHolefrom30yards",2016
8,13,"Padraig Harrington",38,NA,323.25,38,49,"ProximitytoHolefrom30yards",2016
9,11,"Marc Leishman",41,NA,189.25,22,22,"ProximitytoHolefrom30yards",2016
10,5,"Scott Stallings",46,NA,303.583,35,136,"ProximitytoHolefrom30yards",2016
11,14,"Jamie Lovemark",57,NA,509.333,58,6,"ProximitytoHolefrom30yards",2016
12,15,"Luke Guthrie",31,NA,225.667,25,117,"ProximitytoHolefrom30yards",2016
13,18,"James Hahn",45,NA,258.083,28,139,"ProximitytoHolefrom30yards",2016
13,4,"JB Holmes",39,NA,306.333,33,56,"ProximitytoHolefrom30yards",2016
15,19,"Aaron Baddeley",51,NA,307.167,33,7,"ProximitytoHolefrom30yards",2016
15,10,"Martin Laird",46,NA,297.333,32,95,"ProximitytoHolefrom30yards",2016
15,19,"Jimmy Walker",43,NA,421.75,45,135,"ProximitytoHolefrom30yards",2016
18,17,"Rob Oppenheim",37,NA,198,21,111,"ProximitytoHolefrom30yards",2016
